Year	Region	Area	Commodity	Type	Revenue
2006	Gulf	Central Gulf of Mexico	NGL	Royalties	129050810.40
2006	Gulf	Central Gulf of Mexico	Oil	Royalties	2825123679.93
2007	Gulf	Central Gulf of Mexico	Oil & Gas	Bonus	291553076.00
2007	Gulf	Central Gulf of Mexico	Oil & Gas	Other Revenues	2965650.56
2007	Gulf	Central Gulf of Mexico	Gas	Other Royalties	3079084.13
2007	Gulf	Central Gulf of Mexico	NGL	Other Royalties	26199.16
2007	Gulf	Central Gulf of Mexico	Oil	Other Royalties	1398454.14
2007	Gulf	Central Gulf of Mexico	Oil & Gas	Other Royalties	2447314.48
2007	Gulf	Central Gulf of Mexico	Oil & Gas	Rents	97399305.82
2007	Gulf	Central Gulf of Mexico	Gas	Royalties	1951985864.43
2007	Gulf	Central Gulf of Mexico	NGL	Royalties	194360134.36
2007	Gulf	Central Gulf of Mexico	Oil	Royalties	2990445815.79
2008	Gulf	Central Gulf of Mexico	Oil & Gas	Bonus	6174199603.00
2008	Gulf	Central Gulf of Mexico	Oil & Gas	Other Revenues	2064354.74
2008	Gulf	Central Gulf of Mexico	Gas	Other Royalties	1729951.31
2008	Gulf	Central Gulf of Mexico	NGL	Other Royalties	31813.38
2008	Gulf	Central Gulf of Mexico	Oil	Other Royalties	-1578311.61
2008	Gulf	Central Gulf of Mexico	Oil & Gas	Other Royalties	-19290194.17
2008	Gulf	Central Gulf of Mexico	Oil & Gas	Rents	135069003.80
2008	Gulf	Central Gulf of Mexico	Gas	Royalties	2069793552.17
2008	Gulf	Central Gulf of Mexico	NGL	Royalties	225891892.99
2008	Gulf	Central Gulf of Mexico	Oil	Royalties	3731456317.79
2009	Gulf	Central Gulf of Mexico	Oil & Gas	Bonus	690110358.00
2009	Gulf	Central Gulf of Mexico	Oil & Gas	Other Revenues	2313080.43
2009	Gulf	Central Gulf of Mexico	Gas	Other Royalties	385697.13
2009	Gulf	Central Gulf of Mexico	NGL	Other Royalties	79962.93
2009	Gulf	Central Gulf of Mexico	Oil	Other Royalties	-3071926.36
2009	Gulf	Central Gulf of Mexico	Oil & Gas	Other Royalties	22598202.94
2009	Gulf	Central Gulf of Mexico	Oil & Gas	Rents	131202450.55
2009	Gulf	Central Gulf of Mexico	Gas	Royalties	683258199.03
2009	Gulf	Central Gulf of Mexico	NGL	Royalties	87215837.01
2009	Gulf	Central Gulf of Mexico	Oil	Royalties	1887663782.88
2010	Gulf	Central Gulf of Mexico	Oil & Gas	Bonus	878845493.00
2010	Gulf	Central Gulf of Mexico	Oil & Gas	Other Revenues	1357808.35
2010	Gulf	Central Gulf of Mexico	Gas	Other Royalties	83426.43
2010	Gulf	Central Gulf of Mexico	NGL	Other Royalties	72740.03
2010	Gulf	Central Gulf of Mexico	Oil	Other Royalties	314847.36
2010	Gulf	Central Gulf of Mexico	Oil & Gas	Other Royalties	56243922.35
2010	Gulf	Central Gulf of Mexico	Oil & Gas	Rents	143693780.75
2010	Gulf	Central Gulf of Mexico	Gas	Royalties	812269560.14
2010	Gulf	Central Gulf of Mexico	NGL	Royalties	180103244.26
2010	Gulf	Central Gulf of Mexico	Oil	Royalties	3543736618.22
