Year	State	County	FIPS	Commodity	Product	Volume
2008	MO	Crawford County	29055		Zinc Concentrate (tons)	6.67
2008	MO	Washington County	29221		Zinc Concentrate (tons)	10.33
2010	MO	Crawford County	29055		Zinc Concentrate (tons)	34.15
2005	MO	Crawford County	29055		Lead Concentrate (tons)	36.12
2010	MO	Washington County	29221		Zinc Concentrate (tons)	52.85
2005	MO	Washington County	29221		Lead Concentrate (tons)	55.88
2011	MO	Crawford County	29055		Zinc Concentrate (tons)	62.42
2010	MO	Crawford County	29055		Copper Concentrate (tons)	67.13
2012	MO	Crawford County	29055		Zinc Concentrate (tons)	67.91
2011	MO	Washington County	29221		Zinc Concentrate (tons)	96.58
2010	MO	Washington County	29221		Copper Concentrate (tons)	103.87
2012	MO	Washington County	29221		Zinc Concentrate (tons)	105.09
2013	MO	Crawford County	29055		Copper Concentrate (tons)	107.17
2006	MO	Crawford County	29055		Lead Concentrate (tons)	134.26
2013	MO	Washington County	29221		Copper Concentrate (tons)	165.83
2008	MO	Crawford County	29055		Lead Concentrate (tons)	194.32
2006	MO	Washington County	29221		Lead Concentrate (tons)	207.74
2013	MO	Dent County	29065		Copper Concentrate (tons)	212
2011	MO	Crawford County	29055		Copper Concentrate (tons)	265.77
2012	MO	Crawford County	29055		Copper Concentrate (tons)	299.53
2008	MO	Washington County	29221		Lead Concentrate (tons)	300.68
2014	MO	Dent County	29065		Copper Concentrate (tons)	334.61
2010	MO	Dent County	29065		Copper Concentrate (tons)	339.33
2006	MO	Crawford County	29055		Copper Concentrate (tons)	381.97
2011	MO	Washington County	29221		Copper Concentrate (tons)	411.23
2012	MO	Crawford County	29055		Lead Concentrate (tons)	461.66
2012	MO	Washington County	29221		Copper Concentrate (tons)	463.47
2011	MO	Crawford County	29055		Lead Concentrate (tons)	528.79
2010	MO	Crawford County	29055		Lead Concentrate (tons)	544.49
2006	MO	Washington County	29221		Copper Concentrate (tons)	591.03
2008	MO	Crawford County	29055		Copper Concentrate (tons)	604.17
2012	MO	Washington County	29221		Lead Concentrate (tons)	714.34
2009	MO	Dent County	29065		Copper Concentrate (tons)	772.67
2011	MO	Washington County	29221		Lead Concentrate (tons)	818.21
2010	MO	Washington County	29221		Lead Concentrate (tons)	842.51
2011	MO	Dent County	29065		Copper Concentrate (tons)	879.67
2008	MO	Washington County	29221		Copper Concentrate (tons)	934.83
2008	MO	Dent County	29065		Copper Concentrate (tons)	1159.67
2007	MO	Dent County	29065		Copper Concentrate (tons)	1416.33
2011	MO	Iron County	29093		Copper Concentrate (tons)	2276.67
2009	MO	Reynolds County	29179		Copper Concentrate (tons)	2628.67
2014	MO	Dent County	29065		Zinc Concentrate (tons)	2881.65
2005	MO	Reynolds County	29179		Copper Concentrate (tons)	3111
2008	MO	Reynolds County	29179		Copper Concentrate (tons)	3695.67
2007	MO	Reynolds County	29179		Copper Concentrate (tons)	3883.34
2012	MO	Dent County	29065		Zinc Concentrate (tons)	3953
2010	MO	Iron County	29093		Copper Concentrate (tons)	4174.33
2010	MO	Reynolds County	29179		Copper Concentrate (tons)	4289.33
2014	MO	Iron County	29093		Copper Concentrate (tons)	4362.58
2011	MO	Reynolds County	29179		Copper Concentrate (tons)	4552.67
2007	MO	Dent County	29065		Zinc Concentrate (tons)	4591
2012	MO	Iron County	29093		Copper Concentrate (tons)	4654.67
2006	MO	Dent County	29065		Zinc Concentrate (tons)	4751
2010	MO	Dent County	29065		Zinc Concentrate (tons)	5003.66
2013	MO	Dent County	29065		Zinc Concentrate (tons)	5179.99
2008	MO	Dent County	29065		Zinc Concentrate (tons)	5215.33
2009	MO	Iron County	29093		Copper Concentrate (tons)	5324.67
