Company	Revenue Type	Commodity	Revenue
QEP RESOURCES CO	ONRR/BLM - Rents	Oil & Gas	$463,664.50
QUARRY 187 LLC	BLM - Permit Fees	Mineral Materials	$197,235.52
QUATERRA ALASKA INC	BLM - Permit Fees	Locatable Minerals	$265,279.00
QUESTAR CORP	BLM - Permit Fees	Oil & Gas	$425.00
QUESTAR CORP	ONRR - Other Revenues	Oil & Gas	$1,248,312.48
QUESTAR CORP	ONRR - Royalties	Gas	$25,627,037.10
QUESTAR CORP	ONRR - Royalties	Oil	$3,955,612.51
QUESTAR CORP	ONRR/BLM - Rents	Oil & Gas	$16,240.50
QUICKSILVER RESOURCES INC	BLM - Permit Fees	Oil & Gas	$3,235.00
QUICKSILVER RESOURCES INC	ONRR - Other Revenues	Oil & Gas	($16,135.21)
QUICKSILVER RESOURCES INC	ONRR - Royalties	Gas	$13,659.78
QUICKSILVER RESOURCES INC	ONRR - Royalties	Oil	$57,817.61
QUICKSILVER RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	$172,133.33
R & R ROYALTY LTD	BLM - Permit Fees	Oil & Gas	$12,675.00
R & R ROYALTY LTD	ONRR - Other Revenues	Oil & Gas	$446.20
R & R ROYALTY LTD	ONRR/BLM - Bonus	Oil & Gas	$1,031,086.00
R & R ROYALTY LTD	ONRR/BLM - Rents	Oil & Gas	$1,301,423.50
RAAM GLOBAL ENERGY CO	ONRR - Inspection Fees	Oil & Gas	$290,200.00
RAAM GLOBAL ENERGY CO	ONRR - Other Revenues	Oil & Gas	$19,653.81
RAAM GLOBAL ENERGY CO	ONRR - Royalties	Gas	$694,703.14
RAAM GLOBAL ENERGY CO	ONRR - Royalties	Oil	$3,655,534.42
RAAM GLOBAL ENERGY CO	ONRR/BLM - Rents	Oil & Gas	$127,490.00
RAM POWER INC	ONRR/BLM - Rents	Geothermal	$313,167.00
RANCHO LOS ALAMOS LLC	ONRR/BLM - Rents	Oil & Gas	$167,737.00
RANGE PRODUCTION CORP	ONRR - Other Revenues	N/A	$864.00
RANGE PRODUCTION CORP	ONRR - Other Revenues	Oil & Gas	$48,418.86
RANGE PRODUCTION CORP	ONRR - Royalties	Gas	$260,518.42
RANGE PRODUCTION CORP	ONRR - Royalties	Oil	$191,025.40
RDL CONSTRUCTION	BLM - Permit Fees	Mineral Materials	$440,142.50
READ & STEVENS INC	BLM - Permit Fees	Oil & Gas	$26,529.50
READ & STEVENS INC	ONRR - Other Revenues	Oil & Gas	$32,480.02
READ & STEVENS INC	ONRR - Royalties	Gas	$650,794.46
READ & STEVENS INC	ONRR - Royalties	Oil	$1,222,782.46
READ & STEVENS INC	ONRR/BLM - Bonus	Oil & Gas	$17,776.00
READ & STEVENS INC	ONRR/BLM - Rents	Oil & Gas	$18,060.50
REAGAN SMITH ENERGY SOLUTIONS INC	BLM - Permit Fees	Oil & Gas	$508,109.00
REAGAN SMITH ENERGY SOLUTIONS INC	ONRR/BLM - Bonus	Oil & Gas	$321,014.00
REAGAN SMITH ENERGY SOLUTIONS INC	ONRR/BLM - Rents	Oil & Gas	$646.50
RED MOUNTAIN MINING INC	BLM - Permit Fees	Locatable Minerals	$98,280.00
RED MOUNTAIN MINING INC	BLM - Permit Fees	Mineral Materials	$40,677.27
RED RIVER COAL CO INC                                       	OSMRE - AML Fees including Audits and Late Charges 	Coal	$298,585.95
RED WILLOW PRODUCTION CO	BLM - Permit Fees	Oil & Gas	$2,765.00
RED WILLOW PRODUCTION CO	ONRR - Other Revenues	N/A	$214.00
RED WILLOW PRODUCTION CO	ONRR - Other Revenues	Oil & Gas	($73,747.52)
RED WILLOW PRODUCTION CO	ONRR - Royalties	Gas	$236,351.10
REDHAWK COPPER INC	BLM - Permit Fees	Locatable Minerals	$118,640.00
REDWOLF PRODUCTION INC	ONRR - Other Revenues	Oil & Gas	$2,496.21
REDWOLF PRODUCTION INC	ONRR - Royalties	Gas	$16,358.41
REDWOLF PRODUCTION INC	ONRR - Royalties	Oil	$101,920.07
RELIANCE ENERGY INC	ONRR - Other Revenues	Oil & Gas	$320.00
RELIANCE ENERGY INC	ONRR - Royalties	Gas	$80,556.10
RELIANCE ENERGY INC	ONRR - Royalties	Oil	$15,366.47
RELIANCE ENERGY INC	ONRR/BLM - Rents	Oil & Gas	$6,322.50
RENAISSANCE EXPLORATION INC	BLM - Permit Fees	Locatable Minerals	$278,474.00
RENAISSANCE OFFSHORE LLC	ONRR - Inspection Fees	Oil & Gas	$388,100.00
RENAISSANCE OFFSHORE LLC	ONRR - Other Revenues	Oil & Gas	$1,418,046.57
RENAISSANCE OFFSHORE LLC	ONRR - Royalties	Gas	$1,565,306.12
RENAISSANCE OFFSHORE LLC	ONRR - Royalties	Oil	$14,042,262.00
RENAISSANCE OFFSHORE LLC	ONRR/BLM - Bonus	Oil & Gas	$818,900.00
RENAISSANCE OFFSHORE LLC	ONRR/BLM - Rents	Oil & Gas	$44,665.00
REPSOL E&P USA INC	ONRR - Royalties	Gas	$963,942.53
REPSOL E&P USA INC	ONRR - Royalties	Oil	$43,024,090.87
REPSOL E&P USA INC	ONRR/BLM - Bonus	Oil & Gas	$611,351.00
REPSOL E&P USA INC	ONRR/BLM - Rents	Oil & Gas	$5,699,606.82
RES COAL LLC                                                	OSMRE - AML Fees including Audits and Late Charges 	Coal	$141,430.09
RESOLUTION COPPER MINING	BLM - Permit Fees	Locatable Minerals	$322,700.00
RETAMCO OPERATING INC	BLM - Permit Fees	Oil & Gas	$5,375.00
RETAMCO OPERATING INC	ONRR - Other Revenues	Oil & Gas	$9,260.36
RETAMCO OPERATING INC	ONRR - Royalties	Oil	$7,996.66
RETAMCO OPERATING INC	ONRR/BLM - Bonus	Oil & Gas	$310,112.50
RETAMCO OPERATING INC	ONRR/BLM - Rents	Oil & Gas	$453,133.58
REVELATION ENERGY LLC                                       	OSMRE - AML Fees including Audits and Late Charges 	Coal	$903,058.58
RHINO RESOURCE PARTNERS LP	ONRR - Royalties	Coal	$1,686,578.93
RHINO RESOURCE PARTNERS LP	ONRR/BLM - Rents	Coal	$52,193.13
RHINO RESOURCE PARTNERS LP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$114,482.88
RICHARDSON OIL	BLM - Permit Fees	Oil & Gas	$7,860.00
RICHARDSON OIL	ONRR - Other Revenues	Oil & Gas	$21,771.09
RICHARDSON OIL	ONRR - Royalties	Gas	$314,278.85
RICHARDSON OIL	ONRR - Royalties	Oil	$842,598.43
RICHARDSON OIL	ONRR/BLM - Rents	Oil & Gas	$76,744.25
RIDGELAKE ENERGY INC	ONRR - Inspection Fees	Oil & Gas	$17,000.00
RIDGELAKE ENERGY INC	ONRR - Other Revenues	Oil & Gas	$2,876.96
RIDGELAKE ENERGY INC	ONRR - Royalties	Gas	$257,516.20
RIDGELAKE ENERGY INC	ONRR - Royalties	Oil	$1,112,910.90
RIDGELAKE ENERGY INC	ONRR/BLM - Bonus	Oil & Gas	$290,594.00
RIDGELAKE ENERGY INC	ONRR/BLM - Rents	Oil & Gas	$33,499.00
RIDGEWOOD ENERGY CORP	ONRR - Other Revenues	Oil & Gas	($363,809.70)
RIDGEWOOD ENERGY CORP	ONRR - Royalties	Gas	$1,811,945.12
RIDGEWOOD ENERGY CORP	ONRR - Royalties	Oil	$5,175,592.10
RIDGEWOOD ENERGY CORP	ONRR/BLM - Bonus	Oil & Gas	$34,900,493.00
RIDGEWOOD ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$253,440.00
RIM OPERATING INC	BLM - Permit Fees	Oil & Gas	$2,960.00
RIM OPERATING INC	ONRR - Other Revenues	N/A	$214.00
RIM OPERATING INC	ONRR - Other Revenues	Oil & Gas	$1,403.30
RIM OPERATING INC	ONRR - Royalties	Gas	$22,261.61
RIM OPERATING INC	ONRR - Royalties	Oil	$1,366,935.90
