Land Category	Calendar Year	Offshore Region	Planning Area	Offshore Area	Protraction	Revenue Type	Commodity	Product	Total
Federal Offshore	2004	Alaska	Beaufort Sea			Bonus	Oil & Gas		 $ 8,034,909.00
Federal Offshore	2004	Alaska	Beaufort Sea			Rents	Oil & Gas		 $ 1,092,381.00
Federal Offshore	2004	Alaska	Beaufort Sea			Royalties	Oil	Oil	 $ 29,343,329.28
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Amery Terrace	NG15-09	Bonus	Oil & Gas		 $ 1,063,870.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Amery Terrace	NG15-09	Rents	Oil & Gas		 $ 864,000.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Atwater Valley	NG16-01	Bonus	Oil & Gas		 $ 9,480,892.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Atwater Valley	NG16-01	Other Revenue	Oil & Gas		 $ 77,760.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Atwater Valley	NG16-01	Rents	Oil & Gas		 $ 14,299,200.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Other Revenue	Oil & Gas		 $ 420.04
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Rents	Oil & Gas		 $ 2,008.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Gas	Fuel Gas	 $ 48,649.92
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Gas	Processed (Residue) Gas	 $ 194,838.46
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Gas	Unprocessed (Wet) Gas	 $ (2,165.80)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	NGL	Gas Plant Products	 $ 23,912.45
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Oil	Condensate	 $ 145,549.96
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Oil	Drip or Scrubber Condensate	 $ 0.94
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Oil	Inlet Scrubber	 $ 5.22
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Royalties	Oil	Oil	 $ 2,335,651.13
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Bonus	Oil & Gas		 $ 2,262,000.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Other Revenue	Oil & Gas		 $ 71,948.25
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Rents	Oil & Gas		 $ 76,849.05
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Gas	Processed (Residue) Gas	 $ 2,238,392.13
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Gas	Unprocessed (Wet) Gas	 $ 7,826,083.74
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	NGL	Gas Plant Products	 $ 20,864.86
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Oil	Condensate	 $ 874,224.54
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Oil	Drip or Scrubber Condensate	 $ 48.88
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Breton Sound Area	LA10B	Royalties	Oil	Oil	 $ 3,730,712.92
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Bonus	Oil & Gas		 $ 370,116.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Other Revenue	Oil & Gas		 $ 475,604.73
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Rents	Oil & Gas		 $ 149,530.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Royalties	Gas	Unprocessed (Wet) Gas	 $ 3,271,415.33
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Royalties	Oil	Condensate	 $ 2,887.55
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area	LA11	Royalties	Oil	Oil	 $ 444.02
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area, East Addition	LA11A	Bonus	Oil & Gas		 $ 182,500.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area, East Addition	LA11A	Rents	Oil & Gas		 $ 75,000.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Chandeleur Area, East Addition	LA11A	Royalties	Gas	Unprocessed (Wet) Gas	 $ 203,407.59
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Bonus	Oil & Gas		 $ 15,761,786.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenue	Oil & Gas		 $ (263,556.29)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Rents	Oil & Gas		 $ 1,840,274.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Royalties	Gas	Flash Gas	 $ 469,364.36
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Royalties	Gas	Fuel Gas	 $ 2,609.29
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Royalties	Gas	Processed (Residue) Gas	 $ 9,006,113.83
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Royalties	Gas	Unprocessed (Wet) Gas	 $ 65,819,174.19
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Royalties	NGL	Gas Plant Products	 $ 760,277.02
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Royalties	Oil	Condensate	 $ 8,131,504.80
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Royalties	Oil	Drip or Scrubber Condensate	 $ 271,882.25
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Royalties	Oil	Oil	 $ 1,262,770.43
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Bonus	Oil & Gas		 $ 1,746,859.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Other Revenue	Oil & Gas		 $ (538,326.14)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Rents	Oil & Gas		 $ 919,380.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalties	Gas	Flash Gas	 $ 29,305.51
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalties	Gas	Processed (Residue) Gas	 $ 9,351,691.67
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalties	Gas	Unprocessed (Wet) Gas	 $ 37,855,311.20
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalties	NGL	Gas Plant Products	 $ 618,717.60
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalties	Oil	Condensate	 $ 1,661,820.40
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalties	Oil	Drip or Scrubber Condensate	 $ 31,250.54
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalties	Oil	Inlet Scrubber	 $ 0.39
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalties	Oil	Oil	 $ 8,768,707.98
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Bonus	Oil & Gas		 $ 10,277,728.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenue	Oil & Gas		 $ 568,828.36
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Rents	Oil & Gas		 $ 1,810,841.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	Gas	Flash Gas	 $ 379,754.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	Gas	Fuel Gas	 $ 454,748.57
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	Gas	Processed (Residue) Gas	 $ 94,210,948.80
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	Gas	Unprocessed (Wet) Gas	 $ 82,816,758.17
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	NGL	Gas Plant Products	 $ 9,582,731.94
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	Oil	Condensate	 $ 18,207,075.70
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	Oil	Drip or Scrubber Condensate	 $ 558,039.11
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	Oil	Inlet Scrubber	 $ 7,024.24
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalties	Oil	Oil	 $ 32,415,160.88
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Bonus	Oil & Gas		 $ 4,656,765.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Other Revenue	Oil & Gas		 $ 81,689.99
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Rents	Oil & Gas		 $ 1,038,315.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalties	Gas	Flash Gas	 $ 1,087.27
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalties	Gas	Processed (Residue) Gas	 $ 23,819,519.80
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalties	Gas	Unprocessed (Wet) Gas	 $ 64,410,543.74
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalties	NGL	Gas Plant Products	 $ 3,654,194.76
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalties	Oil	Condensate	 $ 5,670,370.63
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalties	Oil	Drip or Scrubber Condensate	 $ 392,673.14
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalties	Oil	Inlet Scrubber	 $ (932.12)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalties	Oil	Oil	 $ 24,189,759.74
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Bonus	Oil & Gas		 $ 21,625,859.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Other Revenue	Oil & Gas		 $ 923,114.80
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Rents	Oil & Gas		 $ 1,842,182.50
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalties	Gas	Flash Gas	 $ 19,898.67
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalties	Gas	Processed (Residue) Gas	 $ 9,453,508.18
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalties	Gas	Unprocessed (Wet) Gas	 $ 11,403,468.42
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalties	NGL	Gas Plant Products	 $ 841,990.68
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalties	Oil	Condensate	 $ 1,722,367.66
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalties	Oil	Drip or Scrubber Condensate	 $ 256,485.83
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalties	Oil	Inlet Scrubber	 $ 427.34
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalties	Oil	Oil	 $ 53,040,657.56
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Bonus	Oil & Gas		 $ 3,592,991.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Other Revenue	Oil & Gas		 $ (582,648.16)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Rents	Oil & Gas		 $ 693,299.02
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Gas	Flash Gas	 $ 82.97
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Gas	Fuel Gas	 $ 1,289,956.09
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Gas	Gas Lost - Flared or Vented	 $ 78,369.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Gas	Processed (Residue) Gas	 $ 6,004,553.50
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Gas	Unprocessed (Wet) Gas	 $ 8,506,281.11
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	NGL	Gas Plant Products	 $ 820,418.27
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Oil	Condensate	 $ 4,295,673.39
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Oil	Drip or Scrubber Condensate	 $ 24,831.91
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Oil	Inlet Scrubber	 $ 3.87
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Royalties	Oil	Oil	 $ 21,861,522.80
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Bonus	Oil & Gas		 $ 2,808,064.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Other Revenue	Oil & Gas		 $ (2,108,148.64)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Rents	Oil & Gas		 $ 363,500.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalties	Gas	Processed (Residue) Gas	 $ 776,201.81
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalties	Gas	Unprocessed (Wet) Gas	 $ 30,128,808.93
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalties	NGL	Gas Plant Products	 $ 2,006,203.27
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalties	Oil	Condensate	 $ 2,594,170.86
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalties	Oil	Drip or Scrubber Condensate	 $ 135,536.35
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Royalties	Oil	Oil	 $ 881,778.61
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Bonus	Oil & Gas		 $ 98,537,960.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Other Revenue	Oil & Gas		 $ (1,586,966.65)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Rents	Oil & Gas		 $ 27,811,537.50
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Gas	Flash Gas	 $ 16,873.49
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Gas	Fuel Gas	 $ (42,019.78)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Gas	Processed (Residue) Gas	 $ 49,799,633.59
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Gas	Unprocessed (Wet) Gas	 $ 62,484,493.92
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	NGL	Gas Plant Products	 $ 12,190,132.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Oil	Condensate	 $ 4,663,994.80
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Oil	Drip or Scrubber Condensate	 $ 447,656.93
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Oil	Inlet Scrubber	 $ 2,965.39
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Oil	Oil	 $ 125,165,853.11
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Royalties	Other Products	Sulfur	 $ 1,388.73
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Lund	NG16-04	Rents	Oil & Gas		 $ 734,400.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Bonus	Oil & Gas		 $ 2,176,375.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Other Revenue	Oil & Gas		 $ (447,098.77)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Rents	Oil & Gas		 $ 718,310.95
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalties	Gas	Fuel Gas	 $ 375,362.31
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalties	Gas	Processed (Residue) Gas	 $ 24,405,333.69
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalties	Gas	Unprocessed (Wet) Gas	 $ 22,357,053.99
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalties	NGL	Gas Plant Products	 $ 2,221,440.67
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalties	Oil	Condensate	 $ 34,261,579.32
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalties	Oil	Drip or Scrubber Condensate	 $ 6,915.63
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalties	Oil	Inlet Scrubber	 $ (5,064.13)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Royalties	Oil	Oil	 $ 34,536,390.11
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Bonus	Oil & Gas		 $ 6,191,636.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Other Revenue	Oil & Gas		 $ (3,172,884.28)
Federal Offshore	2004	Gulf of Mexico				Other Revenue	Sulfur		 $ 22,221.06
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Rents	Oil & Gas		 $ 2,066,542.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Gas	Flash Gas	 $ 7,779.64
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Gas	Processed (Residue) Gas	 $ 23,873,898.59
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Gas	Unprocessed (Wet) Gas	 $ 23,961,209.39
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	NGL	Gas Plant Products	 $ 4,461,117.48
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Oil	Condensate	 $ 1,147,022.96
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Oil	Drip or Scrubber Condensate	 $ 57,315.85
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Oil	Inlet Scrubber	 $ 4,764.46
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Oil	Oil	 $ 26,621,191.62
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Other Products	Salt	 $ 3,445.30
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Royalties	Other Products	Sulfur	
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Bonus	Oil & Gas		 $ 33,050,661.25
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Other Revenue	Oil & Gas		 $ 4,267,546.43
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Rents	Oil & Gas		 $ 20,096,789.99
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	Gas	Flash Gas	 $ 724,960.58
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	Gas	Fuel Gas	 $ 3,973.85
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	Gas	Processed (Residue) Gas	 $ 252,834,018.31
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	Gas	Unprocessed (Wet) Gas	 $ 79,270,998.63
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	NGL	Gas Plant Products	 $ 42,775,487.70
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	Oil	Condensate	 $ 7,624,353.56
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	Oil	Drip or Scrubber Condensate	 $ 183,970.07
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	Oil	Inlet Scrubber	 $ 180,915.15
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Royalties	Oil	Oil	 $ 42,655,735.47
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Bonus	Oil & Gas		 $ 3,123,646.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Other Revenue	Oil & Gas		 $ 1,441,488.30
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Rents	Oil & Gas		 $ 494,130.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalties	Gas	Processed (Residue) Gas	 $ 31,421,669.60
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalties	Gas	Unprocessed (Wet) Gas	 $ 55,093,259.43
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalties	NGL	Gas Plant Products	 $ 699,636.07
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalties	Oil	Condensate	 $ 8,007.67
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalties	Oil	Drip or Scrubber Condensate	 $ 6,734.11
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalties	Oil	Oil	 $ 23,296.09
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalties	Oil	Other Liquid Hydrocarbons	 $ 38,081.61
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Royalties	Other Products	Sulfur	 $ 18,268.76
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Bonus	Oil & Gas		 $ 2,300,317.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Other Revenue	Oil & Gas		 $ (324,559.00)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Rents	Oil & Gas		 $ 131,445.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalties	Gas	Processed (Residue) Gas	 $ 740,297.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalties	Gas	Unprocessed (Wet) Gas	 $ 3,053,423.67
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalties	NGL	Gas Plant Products	 $ 1,491.50
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalties	Oil	Condensate	 $ 834,496.79
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Royalties	Oil	Oil	 $ 285,662.94
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Bonus	Oil & Gas		 $ 16,088,213.00
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenue	Oil & Gas		 $ 1,855,877.19
