Year	US				AK				AR		CA				pacific	CO	gulf				KS	LA				MT	NM	ND	OH	OK	PA	TX				UT	WV	WY
Production	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf	MMcf
2004	23969678	4736252	680911	4055340	3644084	3309960	334125	334125	187310	348827	294172	287205	61622	6966	54655	1089622	4000685				398197	1377295	1248050	129245	129245	97838	1644738	57333	90476	1655769	197217	5733918	5688972	44946	44946	290586	197217	1929040
2005	23456822	3889577	684671	3204906	3642948	3262379	380568	380568	190774	352044	297956	291271	60773	6685	54088	1143985	3150818				378250	1309913	1202328	107584	107584	108555	1656850	55904	83523	1639310	168501	6006837	5969905	36932	36932	311994	221108	2003826
2006	23535018	3584190	629652	2954538	3205751	2850934	354816	354816	270744	349137	308730	301921	47217	6809	40407	1214396	2914131				372029	1378238	1280758	97479	97479	114037	1619528	62786	86315	1688985	175950	6326433	6301649	24785	24785	356321	225530	2111766
2007	24663656	3476755	618042	2858713	3479290	3105086	374204	374204	270414	339389	293873	286584	52805	7289	45516	1254529	2813197				366859	1382828	1309960	72868	72868	120575	1555450	70797	88095	1783682	182277	6960858	6931629	29229	29229	385361	231184	2257884
2008	25636257	3028561	653704	2374857	3415884	3027696	388188	388188	447082	333019	288117	281088	51931	7029	44902	1402845	2329955				375314	1387722	1301523	86198	86198	119399	1487123	87188	84858	1886710	198295	7800655	7753869	46786	46786	441598	244880	2488267
2009	26056893	3072285	586953	2485331	3312386	2954896	357490	357490	680613	306263	265034	258983	47281	6052	41229	1511654	2444102				355394	1558638	1482252	76386	76386	105251	1425222	92489	88824	1901556	273869	7653647	7615836	37811	37811	449511	264436	2536336
2010	26816085	2875945	575601	2300344	3197100	2826952	370148	370148	927479	319891	278691	273136	46755	5554	41200	1589664	2259144				325591	2218283	2148447	69836	69836	93266	1341475	113867	78122	1827328	572902	7593697	7565123	28574	28574	436885	265174	2514657
2011	28479026	2416644	549151	1867492	3162922	2798220	364702	364702	1076757	279130	242551	237388	41742	5163	36579	1649306	1830913				309952	3040523	2969297	71226	71226	79506	1287682	157025	78858	1888870	1310592	7934689	7910898	23791	23791	461507	394125	2375301
2012	29542313	2044643	489505	1555138	3164791	2857485	307306	307306	1146168	246822	219560	214509	32313	5051	27262	1709376	1527875	0	0	0	296299	2955437	2882193	73244	73244	66954	1276296	258568	84482	2023461	2256696	8143510	8127004	16506	16506	490393	539860	2225622
2013	29522551	1859469	505318	1354151	3215358	2882956	332402	332402	1139654	252310	224856	219386	32924	5470	27454	1604860	1326697	0	0	0	292467	2366943	2289193	77750	77750	63242	1247394	345787	166017	1993754	3259042	8299472	8285436	14036	14036	470863	741853	2047757
