Year	US					AK			AR		CA				CO							LA			MT	NM	ND	OH	OK	PA		TX			UT	WV	WY
Production	MMcf					MMcf			MMcf		MMcf				MMcf							MMcf			MMcf	MMcf	MMcf	MMcf	MMcf	MMcf		MMcf			MMcf	MMcf	MMcf
2004	23969678	4736252	680911	4055340	3644084	3309960	334125	334125	187310	348827	287205	61622	6966	54655	1089622	4000685				398197	1377295	1248050	129245	129245	97838	1644738	57333	90476	1655769	197217	5733918	5688972	44946	44946	290586	197217	1929040
2005	23456822	3889577	684671	3204906	3642948	3262379	380568	380568	190774	352044	291271	60773	6685	54088	1143985	3150818				378250	1309913	1202328	107584	107584	108555	1656850	55904	83523	1639310	168501	6006837	5969905	36932	36932	311994	221108	2003826
2006	23535018	3584190	629652	2954538	3205751	2850934	354816	354816	270744	349137	301921	47217	6809	40407	1214396	2914131				372029	1378238	1280758	97479	97479	114037	1619528	62786	86315	1688985	175950	6326433	6301649	24785	24785	356321	225530	2111766
