Year	State	County	FIPS	Volume
2014	AR	Columbia County	05027	2
2013	AR	Columbia County	05027	2
2011	AR	Columbia County	05027	2
2010	AR	Columbia County	05027	2
2012	AR	Columbia County	05027	2
2009	AR	Columbia County	05027	2
2008	AR	Columbia County	05027	2
2007	AR	Columbia County	05027	2
2006	AR	Columbia County	05027	2
2005	AR	Columbia County	05027	2
2012	AR	Sebastian County	05131	2
2006	AR	Van Buren County	05141	1
2013	AR	Sebastian County	05131	2
2011	AR	Sebastian County	05131	2
2014	AR	Sebastian County	05131	2
2007	AR	Montgomery County	05097	1
2012	AR	Scott County	05127	1
2010	AR	Sebastian County	05131	2
2013	AR	Scott County	05127	1
2011	AR	Scott County	05127	1
2006	AR	Montgomery County	05097	1
2008	AR	Cleburne County	05023	1
2014	AR	Scott County	05127	1
2005	AR	Montgomery County	05097	1
2010	AR	Scott County	05127	1
2009	AR	Sebastian County	05131	2
2006	AR	Conway County	05029	1
2009	AR	Scott County	05127	1
2007	AR	Pope County	05115	1
2008	AR	White County	05145	1
2006	AR	Pope County	05115	1
2005	AR	Pope County	05115	1
2011	AR	Sharp County	05135	1
2005	AR	Conway County	05029	1
2009	AR	Sharp County	05135	1
2014	AR	Sharp County	05135	1
2010	AR	Sharp County	05135	1
2013	AR	Sharp County	05135	1
2007	AR	Sharp County	05135	1
2012	AR	Sharp County	05135	1
2008	AR	Sharp County	05135	1
2006	AR	Sharp County	05135	1
2005	AR	Sharp County	05135	1
2010	AR	White County	05145	1
2009	AR	White County	05145	1
2007	AR	Van Buren County	05141	1
2009	AR	Pope County	05115	1
2014	AR	Crawford County	05033	1
2013	AR	Crawford County	05033	1
2012	AR	Crawford County	05033	1
2009	AR	Crawford County	05033	1
2009	AR	Cleburne County	05023	1
2011	AR	Crawford County	05033	1
2010	AR	Crawford County	05033	1
2006	AR	Crawford County	05033	1
2005	AR	Crawford County	05033	1
2007	AR	Crawford County	05033	1
2008	AR	Pope County	05115	1
2008	AR	Crawford County	05033	1
2014	AR	Franklin County	05047	1
2014	AR	Pope County	05115	1
2007	AR	Conway County	05029	1
2013	AR	Pope County	05115	1
2013	AR	Franklin County	05047	1
2012	AR	Franklin County	05047	1
2010	AR	Franklin County	05047	1
2010	AR	Cleburne County	05023	1
2012	AR	Pope County	05115	1
2011	AR	Franklin County	05047	1
2007	AR	Franklin County	05047	1
2006	AR	Franklin County	05047	1
2005	AR	Franklin County	05047	1
2011	AR	Cleburne County	05023	1
2009	AR	Franklin County	05047	1
2008	AR	Franklin County	05047	1
2011	AR	Pope County	05115	1
2014	AR	Faulkner County	05045	1
2007	AR	Faulkner County	05045	1
2008	AR	Faulkner County	05045	1
2014	AR	Johnson County	05071	1
2012	AR	Cleburne County	05023	1
2013	AR	Faulkner County	05045	1
2013	AR	Johnson County	05071	1
2012	AR	Johnson County	05071	1
2011	AR	Johnson County	05071	1
2010	AR	Faulkner County	05045	1
2014	AR	Yell County	05149	1
2010	AR	Pope County	05115	1
2010	AR	Johnson County	05071	1
2013	AR	Yell County	05149	1
2005	AR	Logan County	05083	1
2012	AR	Faulkner County	05045	1
2009	AR	Faulkner County	05045	1
2009	AR	Johnson County	05071	1
2006	AR	Logan County	05083	1
2012	AR	Yell County	05149	1
2012	AR	White County	05145	1
2008	AR	Johnson County	05071	1
2011	AR	Faulkner County	05045	1
2007	AR	Johnson County	05071	1
2011	AR	Yell County	05149	1
2013	AR	Cleburne County	05023	1
2006	AR	Johnson County	05071	1
2008	AR	Van Buren County	05141	1
2011	AR	White County	05145	1
2010	AR	Yell County	05149	1
2005	AR	Johnson County	05071	1
2013	AR	White County	05145	1
2009	AR	Yell County	05149	1
2014	AR	Cleburne County	05023	1
2008	AR	Conway County	05029	1
2007	AR	Logan County	05083	1
2009	AR	Conway County	05029	1
2008	AR	Yell County	05149	1
2014	AR	White County	05145	1
2010	AR	Conway County	05029	1
2011	AR	Conway County	05029	1
2010	AR	Van Buren County	05141	1
2013	AR	Van Buren County	05141	1
2007	AR	Yell County	05149	1
2012	AR	Van Buren County	05141	1
2008	AR	Logan County	05083	1
2005	AR	Yell County	05149	1
2012	AR	Conway County	05029	1
2009	AR	Van Buren County	05141	1
2014	AR	Conway County	05029	1
2013	AR	Conway County	05029	1
2011	AR	Van Buren County	05141	1
2006	AR	Yell County	05149	1
2014	AR	Logan County	05083	1
2014	AR	Van Buren County	05141	1
2005	AR	Sebastian County	05131	1
2008	AR	Sebastian County	05131	1
2007	AR	Sebastian County	05131	1
2013	AR	Logan County	05083	1
2006	AR	Sebastian County	05131	1
2012	AR	Logan County	05083	1
2011	AR	Logan County	05083	1
2009	AR	Logan County	05083	1
2010	AR	Logan County	05083	1
