Company	Revenue Type	Commodity	Revenue
APEX OIL & GAS INC	ONRR - Royalties	Oil	8766
APEX OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	34689
ARCADIA OPERATING LLC	BLM - Permit Fees	Oil & Gas	90
ARCADIA OPERATING LLC	ONRR - Other Revenues	Oil & Gas	378
ARCADIA OPERATING LLC	ONRR - Royalties	Oil	194179
ARCH COAL INC	ONRR - Other Revenues	Coal	5405649
ARCH COAL INC	ONRR - Royalties	Coal	171684441
ARCH COAL INC	ONRR/BLM - Bonus	Coal	59126642
ARCH COAL INC	ONRR/BLM - Rents	Coal	188362
ARCH COAL INC	ONRR/BLM - Rents	Oil & Gas	37918
ARCH COAL INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	35205126
ARENA ENERGY	ONRR - Civil Penalties	N/A	80000
ARENA ENERGY	ONRR - Inspection Fees	Oil & Gas	2168800
ARENA ENERGY	ONRR - Other Revenues	Oil & Gas	1004278
ARENA ENERGY	ONRR - Royalties	Gas	8742620
ARENA ENERGY	ONRR - Royalties	Oil	50858472
ARENA ENERGY	ONRR/BLM - Bonus	Oil & Gas	560000
ARENA ENERGY	ONRR/BLM - Rents	Oil & Gas	968761
ARGENT ENERGY (US) HOLDINGS INC	BLM - Permit Fees	Oil & Gas	6500
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Other Revenues	N/A	914
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Other Revenues	Oil & Gas	13263
ARGENT ENERGY (US) HOLDINGS INC	ONRR - Royalties	Oil	541644
ARGENT ENERGY (US) HOLDINGS INC	ONRR/BLM - Rents	Oil & Gas	1106
ARGUS ENERGY VW LLC	ONRR/BLM - Bonus	Coal	155000
ARGUS ENERGY VW LLC	ONRR/BLM - Rents	Coal	22920
ARM ENERGY MANAGEMENT LLC	ONRR - Other Revenues	Oil & Gas	280080
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Gas	1212431
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Oil	8783
ARMSTRONG COAL CO INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	1633118
ARNELL OIL CO	ONRR - Royalties	Oil	120576
ASARCO LLC	BLM - Permit Fees	Locatable Minerals	417284
ATLAS ENERGY	ONRR - Other Revenues	Oil & Gas	-14788
ATLAS ENERGY	ONRR - Royalties	Gas	501969
ATLAS ENERGY	ONRR - Royalties	Oil	1817744
ATLAS ENERGY	ONRR/BLM - Rents	Oil & Gas	216
AUC LLC	BLM - Permit Fees	Locatable Minerals	106640
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	617
AUGUSTUS ENERGY RESOURCES LLC	ONRR - Royalties	Gas	175874
AZALEA OIL CO LLC	BLM - Permit Fees	Oil & Gas	2515
AZALEA OIL CO LLC	ONRR/BLM - Bonus	Oil & Gas	181794
AZALEA OIL CO LLC	ONRR/BLM - Rents	Oil & Gas	32631
B & N COAL INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	119031
B & W RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	197439
B.C. OPERATING INC	ONRR - Other Revenues	Oil & Gas	528
B.C. OPERATING INC	ONRR - Royalties	Gas	53078
B.C. OPERATING INC	ONRR - Royalties	Oil	187771
BADGER OIL CORP	ONRR - Royalties	Oil	204035
BALLARD PETROLEUM HOLDINGS LLC	BLM - Permit Fees	Oil & Gas	7130
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	12313
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Gas	422350
BALLARD PETROLEUM HOLDINGS LLC	ONRR - Royalties	Oil	4828231
BALLARD PETROLEUM HOLDINGS LLC	ONRR/BLM - Rents	Oil & Gas	20032
BARRICK GOLD CORP	BLM - Permit Fees	Locatable Minerals	2264107
BARRICK GOLD CORP	BLM - Permit Fees	Mineral Materials	1950
