state	name	FIPS
OR	Clatsop	41007
OR	Columbia	41009
OR	Umatilla	41059
OR	Wallowa	41063
OR	Morrow	41049
OR	Union	41061
OR	Gilliam	41021
OR	Tillamook	41057
OR	Washington	41067
OR	Sherman	41055
OR	Multnomah	41051
OR	Hood River	41027
OR	Wasco	41065
OR	Clackamas	41005
OR	Yamhill	41071
OR	Marion	41047
OR	Baker	41001
OR	Polk	41053
OR	Wheeler	41069
OR	Lincoln	41041
OR	Grant	41023
OR	Jefferson	41031
OR	Linn	41043
OR	Benton	41003
OR	Crook	41013
OR	Malheur	41045
OR	Deschutes	41017
OR	Lane	41039
OR	Harney	41025
OR	Douglas	41019
OR	Klamath	41035
OR	Lake	41037
OR	Coos	41011
OR	Jackson	41029
OR	Curry	41015
OR	Josephine	41033
