State	Commodity	HS6	Year	Value	Share
AZ	Copper	260300	2013	1547690000	0.07946399999999999
AZ	Copper	260300	2014	2177730000	0.102493
AZ	Copper	260300	2015	2502450000	0.11090799999999999
AZ	Gas	271121	2012	372750000	0.020253
AZ	Gas	271121	2013	540040000	0.027726999999999998
AZ	Gas	271121	2014	629100000	0.029608
AZ	Gas	271121	2015	375730000	0.016652
AR	Total	0	2012	7615200000	0.004926
AR	Total	0	2013	7153400000	0.004532
AR	Total	0	2014	6860020000	0.004233
AR	Total	0	2015	5874320000	0.003903
CA	Total	0	2012	161757310000	0.104642
CA	Total	0	2013	168129010000	0.106516
CA	Total	0	2014	173811630000	0.107256
CA	Total	0	2015	165367010000	0.109885
CA	Oil	271019	2012	3620190000	0.02238
CA	Oil	271019	2013	4025860000	0.023944999999999998
CA	Oil	271019	2014	4788270000	0.027549
CA	Oil	271019	2015	3104420000	0.018772999999999998
CO	Total	0	2012	8170080000	0.005285
CO	Total	0	2013	8545570000	0.0054139999999999995
CO	Total	0	2014	8337260000	0.005144999999999999
CO	Total	0	2015	7977920000	0.005301
CO	Other nonenergy minerals	261390	2012	125930000	0.015413
CO	Other nonenergy minerals	261390	2013	157630000	0.018446
CO	Other nonenergy minerals	261390	2014	163580000	0.01962
CO	Other nonenergy minerals	261390	2015	120020000	0.015045
CT	Total	0	2012	15871130000	0.010267
CT	Total	0	2013	16426800000	0.010407
CT	Total	0	2014	15930670000	0.009831
CT	Total	0	2015	15255890000	0.010137
CT	Other nonenergy minerals	283620	2012	142880000	0.009002
CT	Other nonenergy minerals	283620	2013	130360000.00000001	0.007936
CT	Other nonenergy minerals	283620	2014	125810000	0.007897
CT	Other nonenergy minerals	283620	2015	124600000	0.008167
CT	Oil	271019	2012	155320000	0.009786
CT	Oil	271019	2013	4550000	0.000277
CT	Oil	271019	2014	130479999.99999999	0.00819
CT	Oil	271019	2015	106550000	0.006984000000000001
DE	Total	0	2012	5113820000	0.0033079999999999997
DE	Total	0	2013	5337970000	0.003382
DE	Total	0	2014	5266630000	0.0032500000000000003
DE	Total	0	2015	5403040000	0.00359
DE	Oil	271019	2012	159540000	0.031197
DE	Oil	271019	2013	387370000	0.07256800000000001
DE	Oil	271019	2014	106090000	0.020144000000000002
DE	Oil	271019	2015	285240000	0.052793
FL	Total	0	2012	66222520000.00001	0.042839999999999996
FL	Total	0	2013	60486030000	0.03832
FL	Total	0	2014	58506530000	0.036103
FL	Total	0	2015	53843760000	0.035779
FL	Gold	710812	2012	7998010000	0.12077500000000001
FL	Gold	710812	2013	4908150000	0.081145
FL	Gold	710812	2014	3282060000	0.056097
FL	Gold	710812	2015	1736220000	0.032246000000000004
GA	Total	0	2012	36038510000	0.023313999999999998
GA	Total	0	2013	37534070000	0.023778999999999998
GA	Total	0	2014	39376830000	0.024299
GA	Total	0	2015	38548130000	0.025615000000000002
GA	Other nonenergy minerals	250700	2012	495990000	0.013763000000000001
GA	Other nonenergy minerals	250700	2013	508050000	0.013536
GA	Other nonenergy minerals	250700	2014	528750000	0.013428
GA	Other nonenergy minerals	250700	2015	491910000	0.012761
HI	Total	0	2012	731680000	0.000473
HI	Total	0	2013	598110000	0.00037900000000000005
HI	Total	0	2014	1447120000	0.000893
HI	Total	0	2015	1895680000	0.00126
HI	Oil	271019	2012	150000	0.000205
HI	Oil	271019	2013	27400000	0.045815
HI	Oil	271019	2014	292460000	0.202094
HI	Oil	271019	2015	164820000	0.086943
HI	Oil	271012	2012	65180000.00000001	0.089086
HI	Oil	271012	2013	69060000	0.115456
HI	Oil	271012	2014	128220000	0.08860200000000001
HI	Oil	271012	2015	125390000	0.066146
ID	Total	0	2012	6119920000	0.003959
ID	Total	0	2013	5783230000	0.003664
ID	Total	0	2014	5137450000	0.00317
ID	Total	0	2015	4295520000	0.0028539999999999998
ID	Silver	710691	2012	38970000	0.006368
ID	Silver	710691	2013	18290000	0.003162
ID	Silver	710691	2014	64650000.00000001	0.012583
ID	Silver	710691	2015	116330000	0.027082000000000002
ID	Other nonenergy minerals	260700	2012	14160000	0.002314
ID	Other nonenergy minerals	260700	2013	64650000.00000001	0.011179
ID	Other nonenergy minerals	260700	2014	104430000	0.020328
ID	Other nonenergy minerals	260700	2015	88770000	0.020665
ID	Other nonenergy minerals	280920	2012	48050000	0.007851
ID	Other nonenergy minerals	280920	2013	52570000	0.00909
ID	Other nonenergy minerals	280920	2014	57400000	0.011172999999999999
ID	Other nonenergy minerals	280920	2015	66519999.99999999	0.015486999999999999
ID	Other nonenergy minerals	280470	2012	43110000	0.007044
ID	Other nonenergy minerals	280470	2013	51910000	0.008976
ID	Other nonenergy minerals	280470	2014	49320000	0.0096
ID	Other nonenergy minerals	280470	2015	52900000	0.012315
IL	Total	0	2012	68157880000.00001	0.044092
IL	Total	0	2013	66157179999.99999	0.041913
IL	Total	0	2014	68246840000	0.042114000000000006
IL	Total	0	2015	63402310000	0.04213
IL	Oil	271012	2012	2493710000	0.036587
IL	Oil	271012	2013	3931300000	0.059424000000000005
IL	Oil	271012	2014	4918700000	0.072072
IL	Oil	271012	2015	2647630000	0.041759000000000004
IL	Oil	270900	2012	680000	0.00001
IL	Oil	270900	2013	283850000	0.004291
IL	Oil	270900	2014	1170810000	0.017155
IL	Oil	270900	2015	837840000	0.013215
IL	Other nonenergy minerals	284410	2012	402290000	0.005901999999999999
IL	Other nonenergy minerals	284410	2013	125830000	0.001902
IL	Other nonenergy minerals	284410	2014	324390000	0.004753
IL	Other nonenergy minerals	284410	2015	622840000	0.009824000000000001
IN	Total	0	2012	34398870000	0.022253
IN	Total	0	2013	34154530000	0.021638
IN	Total	0	2014	35467040000	0.021886000000000003
IN	Total	0	2015	33652460000	0.022362000000000003
IA	Total	0	2012	14622240000	0.009459
IA	Total	0	2013	13883070000	0.008794999999999999
IA	Total	0	2014	15092200000	0.009313
IA	Total	0	2015	13113620000	0.008714
IA	Other nonenergy minerals	261310	2012	171710000	0.011742999999999998
IA	Other nonenergy minerals	261310	2013	140280000	0.010105
IA	Other nonenergy minerals	261310	2014	195890000	0.01298
IA	Other nonenergy minerals	261310	2015	130550000.00000001	0.009956
KS	Total	0	2012	11683940000	0.0075580000000000005
KS	Total	0	2013	12457300000	0.007892
KS	Total	0	2014	12045820000	0.0074329999999999995
KS	Total	0	2015	10685940000	0.007101
KS	Other nonenergy minerals	284210	2012	31990000	0.002738
KS	Other nonenergy minerals	284210	2013	70770000	0.005681
KS	Other nonenergy minerals	284210	2014	62540000	0.005192
KS	Other nonenergy minerals	284210	2015	100590000	0.009414
KY	Total	0	2012	22131550000	0.014317
KY	Total	0	2013	25349320000	0.01606
KY	Total	0	2014	27650690000	0.017063
KY	Total	0	2015	28052530000	0.018641
KY	Other nonenergy minerals	284410	2013	1170000	0.000046
KY	Other nonenergy minerals	284410	2014	22900000	0.000828
KY	Other nonenergy minerals	284410	2015	188610000	0.006724
KY	Other nonenergy minerals	284420	2012	339120000	0.015323
KY	Other nonenergy minerals	284420	2013	186340000	0.007351
KY	Other nonenergy minerals	284420	2014	39520000	0.001429
KY	Other nonenergy minerals	284420	2015	170390000	0.006074
LA	Total	0	2012	62868770000	0.040670000000000005
LA	Total	0	2013	63241660000	0.040066
LA	Total	0	2014	64813660000	0.039994999999999996
LA	Total	0	2015	49183230000	0.032682
LA	Oil	271019	2012	18165300000	0.28894
LA	Oil	271019	2013	21143730000	0.334332
LA	Oil	271019	2014	20309330000	0.31335
LA	Oil	271019	2015	12475430000	0.253652
LA	Oil	271012	2012	2785500000	0.044307
LA	Oil	271012	2013	3167740000	0.050088999999999995
LA	Oil	271012	2014	3910700000	0.060338
LA	Oil	271012	2015	2129870000	0.043304999999999996
LA	Oil	270900	2012	60000	0.000001
LA	Oil	270900	2013	323670000	0.005118
LA	Oil	270900	2014	397530000	0.0061329999999999996
LA	Oil	270900	2015	765020000	0.015555000000000001
LA	Oil	271311	2012	464080000	0.007382
LA	Oil	271311	2013	472360000	0.007469
LA	Oil	271311	2014	484480000	0.007475000000000001
LA	Oil	271311	2015	341760000	0.0069489999999999994
LA	Oil	271312	2012	671510000	0.010681000000000001
LA	Oil	271312	2013	454800000	0.007192
LA	Oil	271312	2014	338170000	0.005218
LA	Oil	271312	2015	327140000	0.006651000000000001
LA	Other nonenergy minerals	260700	2012	25480000	0.00040500000000000003
LA	Other nonenergy minerals	260700	2013	104840000	0.001658
LA	Other nonenergy minerals	260700	2014	304220000	0.004694
LA	Other nonenergy minerals	260700	2015	232260000	0.0047220000000000005
LA	Coal	270112	2012	1003150000	0.015955999999999998
LA	Coal	270112	2013	506550000	0.00801
LA	Coal	270112	2014	287240000	0.004432
LA	Coal	270112	2015	229630000	0.0046689999999999995
MA	Total	0	2012	25613950000	0.01657
MA	Total	0	2013	26807850000	0.016984
MA	Total	0	2014	27382730000	0.016897
MA	Total	0	2015	25205990000	0.016749
MD	Total	0	2012	11745130000	0.007598000000000001
MD	Total	0	2013	11744830000	0.007441
MD	Total	0	2014	12233390000	0.007549
MD	Total	0	2015	10029750000	0.006665
ME	Total	0	2012	3047880000	0.001972
ME	Total	0	2013	2686760000	0.001702
ME	Total	0	2014	2711570000	0.001673
ME	Total	0	2015	2724100000	0.00181
ME	Gas	271121	2012	22160000	0.007269
ME	Gas	271121	2013	133860000.00000001	0.049824
ME	Gas	271121	2014	210230000	0.077529
ME	Gas	271121	2015	92400000	0.033919000000000005
MI	Total	0	2012	57051460000	0.036907
MI	Total	0	2013	58651790000	0.037158000000000004
MI	Total	0	2014	55928500000	0.034512
MI	Total	0	2015	53171400000	0.035332
MI	Gas	271121	2012	1651360000	0.028945
MI	Gas	271121	2013	1931510000	0.032932
MI	Gas	271121	2014	2053610000.0000002	0.036718
MI	Gas	271121	2015	1219460000	0.022934
MI	Other nonenergy minerals	280461	2012	881290000	0.015446999999999999
MI	Other nonenergy minerals	280461	2013	497550000	0.008483000000000001
MI	Other nonenergy minerals	280461	2014	716080000	0.012804
MI	Other nonenergy minerals	280461	2015	549040000	0.010326
MI	Other nonenergy minerals	260400	2012	40000	0.000001
MI	Other nonenergy minerals	260400	2013	10000	0
MI	Other nonenergy minerals	260400	2014	50800000	0.0009080000000000001
MI	Other nonenergy minerals	260400	2015	346350000	0.006514
MN	Total	0	2012	20826550000	0.013472999999999999
MN	Total	0	2013	20760050000	0.013151999999999999
MN	Total	0	2014	21408250000	0.013210999999999999
MN	Total	0	2015	19988330000	0.013282
MO	Total	0	2012	13903240000	0.008994
MO	Total	0	2013	12930040000	0.008192
MO	Total	0	2014	14140670000	0.008726000000000001
MO	Total	0	2015	13616730000	0.009048
MO	Coal	270112	2012	683350000	0.049151
MO	Coal	270112	2013	515539999.99999994	0.039871
MO	Coal	270112	2014	392850000	0.027782
MO	Coal	270112	2015	186250000	0.013678
MS	Total	0	2012	11793770000	0.007629
MS	Total	0	2013	12397610000	0.007854
MS	Total	0	2014	11450140000	0.007066
MS	Total	0	2015	10785880000	0.007167
MS	Oil	271019	2012	2719550000	0.23059200000000002
MS	Oil	271019	2013	3057700000	0.246636
MS	Oil	271019	2014	2970040000	0.259389
MS	Oil	271019	2015	2349240000	0.217807
MS	Oil	271012	2012	1120520000	0.09501
MS	Oil	271012	2013	1148950000	0.09267500000000001
MS	Oil	271012	2014	887920000	0.07754699999999999
MS	Oil	271012	2015	850020000	0.07880899999999999
MS	Oil	271311	2012	109060000	0.009247
MS	Oil	271311	2013	82790000	0.006678
MS	Oil	271311	2014	102490000	0.008951
MS	Oil	271311	2015	77760000	0.007209999999999999
MT	Total	0	2012	1575990000	0.0010199999999999999
MT	Total	0	2013	1505770000	0.000954
MT	Total	0	2014	1545430000	0.000954
MT	Total	0	2015	1386280000	0.000921
MT	Other nonenergy minerals	282550	2012	133789999.99999999	0.08489100000000001
MT	Other nonenergy minerals	282550	2013	118230000	0.07851899999999999
MT	Other nonenergy minerals	282550	2014	122430000	0.079223
MT	Other nonenergy minerals	282550	2015	147140000	0.10614000000000001
MT	Coal	270119	2012	150790000	0.095679
MT	Coal	270119	2013	144220000	0.095777
MT	Coal	270119	2014	137940000	0.08925599999999999
MT	Coal	270119	2015	123040000	0.08875899999999999
MT	Other nonenergy minerals	285000	2012	65780000	0.041737
MT	Other nonenergy minerals	285000	2013	60740000	0.040338000000000006
MT	Other nonenergy minerals	285000	2014	84060000	0.05439
MT	Other nonenergy minerals	285000	2015	67690000	0.04883
MT	Other nonenergy minerals	280461	2012	22910000	0.014536
MT	Other nonenergy minerals	280461	2013	33200000.000000004	0.022052000000000002
MT	Other nonenergy minerals	280461	2014	32420000	0.020979
MT	Other nonenergy minerals	280461	2015	38930000	0.028085
MT	Other nonenergy minerals	252329	2012	41400000	0.026267
MT	Other nonenergy minerals	252329	2013	39040000	0.025926
MT	Other nonenergy minerals	252329	2014	42740000	0.027658000000000002
MT	Other nonenergy minerals	252329	2015	37480000	0.027038000000000003
MT	Oil	271012	2012	121050000	0.07681
MT	Oil	271012	2013	84720000	0.056261
MT	Oil	271012	2014	63670000	0.041201
MT	Oil	271012	2015	26680000	0.019244
MT	Other nonenergy minerals	252620	2012	24150000	0.015321
MT	Other nonenergy minerals	252620	2013	23730000	0.015758
MT	Other nonenergy minerals	252620	2014	25380000	0.016422000000000003
MT	Other nonenergy minerals	252620	2015	26100000	0.018824
MT	Other nonenergy minerals	252210	2012	540000	0.000342
MT	Other nonenergy minerals	252210	2013	710000	0.000472
MT	Other nonenergy minerals	252210	2014	9470000	0.006128
MT	Other nonenergy minerals	252210	2015	16090000	0.011605
MT	Other nonenergy minerals	261390	2012	2040000	0.0012929999999999999
MT	Other nonenergy minerals	261390	2013	22610000	0.015017
MT	Other nonenergy minerals	261390	2014	44990000	0.029109
MT	Other nonenergy minerals	261390	2015	13370000	0.009645
NC	Total	0	2012	28838730000	0.018656
NC	Total	0	2013	29342050000	0.018589
NC	Total	0	2014	31376670000	0.019362
NC	Total	0	2015	30017530000	0.019946
ND	Total	0	2012	4310300000	0.002788
ND	Total	0	2013	4401700000	0.002789
ND	Total	0	2014	5492800000	0.0033900000000000002
ND	Total	0	2015	3863160000	0.002567
ND	Oil	270900	2012	1129720000	0.262097
ND	Oil	270900	2013	1393460000	0.31657399999999997
ND	Oil	270900	2014	2352740000	0.428332
ND	Oil	270900	2015	1216060000	0.314784
ND	Oil	271012	2012	177930000	0.041281
ND	Oil	271012	2013	196540000	0.044650999999999996
ND	Oil	271012	2014	300140000	0.054641999999999996
ND	Oil	271012	2015	225110000	0.058270999999999996
ND	Gas	271113	2012	56490000	0.013106
ND	Gas	271113	2013	63290000	0.014378
ND	Gas	271113	2014	138340000	0.025186
ND	Gas	271113	2015	62260000	0.016116
ND	Gas	271121	2012	2660000	0.0006169999999999999
ND	Gas	271121	2013	2610000	0.000594
ND	Gas	271121	2014	108640000	0.019779
ND	Gas	271121	2015	30680000	0.007941
NE	Total	0	2012	7454950000	0.004823
NE	Total	0	2013	7389670000	0.004682
NE	Total	0	2014	7863500000	0.004852
NE	Total	0	2015	6555850000	0.004356
NE	Gas	271121	2012	245540000	0.032936
NE	Gas	271121	2013	404590000	0.054751
NE	Gas	271121	2014	476520000	0.060599
NE	Gas	271121	2015	173520000	0.026468
NH	Total	0	2012	3487650000	0.0022559999999999998
NH	Total	0	2013	3511340000	0.002225
NH	Total	0	2014	4226840000	0.0026079999999999996
NH	Total	0	2015	4006840000	0.002663
NJ	Total	0	2012	37285600000	0.02412
NJ	Total	0	2013	36651540000	0.02322
NJ	Total	0	2014	36616210000	0.022595
NJ	Total	0	2015	32076380000	0.021314000000000003
NJ	Oil	271019	2012	5693470000	0.152699
NJ	Oil	271019	2013	3748940000	0.102286
NJ	Oil	271019	2014	2882360000	0.07871800000000001
NJ	Oil	271019	2015	1248700000	0.038929
NJ	Oil	271012	2012	262630000	0.007044
NJ	Oil	271012	2013	323760000	0.008833
NJ	Oil	271012	2014	377820000	0.010318
NJ	Oil	271012	2015	281440000	0.008773999999999999
NM	Total	0	2012	2957810000	0.001913
NM	Total	0	2013	2726640000	0.001727
NM	Total	0	2014	3800450000	0.002345
NM	Total	0	2015	3771650000	0.002506
NV	Total	0	2012	10261240000	0.006638
NV	Total	0	2013	8701070000	0.005512
NV	Total	0	2014	7691520000	0.004746
NV	Total	0	2015	8658320000	0.005753
NV	Gold	710812	2012	5399760000	0.5262290000000001
NV	Gold	710812	2013	3897040000	0.44787999999999994
NV	Gold	710812	2014	2798280000	0.36381399999999997
NV	Gold	710812	2015	3941220000	0.455195
NV	Copper	260300	2012	906910000	0.088382
NV	Copper	260300	2013	604390000	0.06946100000000001
NV	Copper	260300	2014	559800000	0.072781
NV	Copper	260300	2015	326920000	0.037758
NV	Silver	710691	2012	1020000	0.0001
NV	Silver	710691	2013	7130000	0.000819
NV	Silver	710691	2014	42600000	0.0055379999999999995
NV	Silver	710691	2015	244170000	0.028201
NY	Total	0	2012	81337510000	0.052618
NY	Total	0	2013	86312470000	0.054682
NY	Total	0	2014	88433810000	0.054570999999999995
NY	Total	0	2015	80059470000	0.053198999999999996
NY	Gold	710812	2012	6583760000	0.080944
NY	Gold	710812	2013	10405940000	0.120561
NY	Gold	710812	2014	8006520000	0.09053699999999999
NY	Gold	710812	2015	6753730000	0.084359
NY	Gas	271121	2012	63460000	0.00078
NY	Gas	271121	2013	550250000	0.006375
NY	Gas	271121	2014	908480000	0.010273000000000001
NY	Gas	271121	2015	486600000	0.006078
NY	Oil	271019	2012	749170000	0.009211
NY	Oil	271019	2013	578090000	0.006697999999999999
NY	Oil	271019	2014	596420000	0.006744
NY	Oil	271019	2015	316610000	0.003955
OH	Total	0	2012	48818900000	0.031581
OH	Total	0	2013	50826900000	0.032201
OH	Total	0	2014	52240100000	0.032236
OH	Total	0	2015	50694150000	0.033686
OH	Gold	710812	2012	260000	0.000005
OH	Gold	710812	2013	152780000	0.003006
OH	Gold	710812	2014	341880000	0.0065439999999999995
OH	Gold	710812	2015	317280000	0.006259
OK	Total	0	2012	6578540000	0.004255999999999999
OK	Total	0	2013	6919170000	0.004384
OK	Total	0	2014	6308690000	0.0038929999999999998
OK	Total	0	2015	5257790000	0.0034939999999999997
OR	Total	0	2012	18387860000	0.011895
OR	Total	0	2013	18635810000	0.011806
OR	Total	0	2014	20889450000	0.012889999999999999
OR	Total	0	2015	20083830000	0.013345000000000001
OR	Other nonenergy minerals	283620	2012	43660000	0.002375
OR	Other nonenergy minerals	283620	2013	37420000	0.0020080000000000002
OR	Other nonenergy minerals	283620	2014	2350000	0.000112
OR	Other nonenergy minerals	283620	2015	110810000	0.005516999999999999
PA	Total	0	2012	38851920000	0.025134
PA	Total	0	2013	41173080000	0.026084999999999997
PA	Total	0	2014	40354940000	0.024902
PA	Total	0	2015	39402720000	0.026183
PA	Coal	270112	2012	1204440000	0.031000999999999997
PA	Coal	270112	2013	1999120000	0.04855400000000001
PA	Coal	270112	2014	1561390000	0.038691
PA	Coal	270112	2015	1306410000	0.033155000000000004
PA	Gas	271112	2012	30760000	0.0007920000000000001
PA	Gas	271112	2013	162650000	0.00395
PA	Gas	271112	2014	226000000	0.005600000000000001
PA	Gas	271112	2015	405290000	0.010286
PA	Oil	271019	2012	756710000	0.019477
PA	Oil	271019	2013	1827470000	0.044385
PA	Oil	271019	2014	1164070000	0.028845999999999997
PA	Oil	271019	2015	347820000	0.008827
RI	Total	0	2012	2365690000	0.00153
RI	Total	0	2013	2164080000	0.001371
RI	Total	0	2014	2388750000	0.001474
RI	Total	0	2015	2124630000	0.0014119999999999998
RI	Silver	710610	2012	170710000	0.07216
RI	Silver	710610	2013	144420000	0.066733
RI	Silver	710610	2014	153600000	0.064303
RI	Silver	710610	2015	84870000	0.039944
RI	Other nonenergy minerals	284330	2012	79720000	0.033699
RI	Other nonenergy minerals	284330	2013	66900000.00000001	0.030913
RI	Other nonenergy minerals	284330	2014	58440000	0.024466
RI	Other nonenergy minerals	284330	2015	49310000	0.023209
SC	Total	0	2012	25115450000	0.016247
SC	Total	0	2013	26290860000	0.016656
SC	Total	0	2014	29624190000	0.018281000000000002
SC	Total	0	2015	30861290000	0.020507
SC	Other nonenergy minerals	284420	2012	49840000	0.001984
SC	Other nonenergy minerals	284420	2013	32509999.999999996	0.0012360000000000001
SC	Other nonenergy minerals	284420	2014	20340000	0.000687
SC	Other nonenergy minerals	284420	2015	140500000	0.004553
SD	Total	0	2012	1557350000	0.001007
SD	Total	0	2013	1584460000	0.0010040000000000001
SD	Total	0	2014	1593700000	0.000983
SD	Total	0	2015	1404520000	0.0009329999999999999
SD	Other nonenergy minerals	250810	2012	21800000	0.014001
SD	Other nonenergy minerals	250810	2013	25610000	0.016165
SD	Other nonenergy minerals	250810	2014	31010000	0.019455
SD	Other nonenergy minerals	250810	2015	35020000	0.024933999999999998
TN	Total	0	2012	31142980000	0.020146999999999998
TN	Total	0	2013	32306560000	0.020467
TN	Total	0	2014	32940170000	0.020327
TN	Total	0	2015	32430880000	0.02155
TX	Total	0	2012	264664930000	0.171213
TX	Total	0	2013	279370570000	0.176992
TX	Total	0	2014	288048990000	0.17775
TX	Total	0	2015	251087320000	0.166845
TX	Oil	271019	2012	34321050000.000004	0.12967700000000001
TX	Oil	271019	2013	36442920000	0.130447
TX	Oil	271019	2014	33282790000	0.11554600000000001
TX	Oil	271019	2015	24683380000	0.098306
TX	Oil	271012	2012	19738980000	0.074581
TX	Oil	271012	2013	21612470000	0.077361
TX	Oil	271012	2014	22450060000	0.07793800000000001
TX	Oil	271012	2015	17787150000	0.07084
TX	Oil	270900	2012	658980000	0.00249
TX	Oil	270900	2013	1831700000	0.0065569999999999995
TX	Oil	270900	2014	7430150000	0.025795
TX	Oil	270900	2015	5614160000	0.022359
TX	Gas	271112	2012	2455740000	0.009278999999999999
TX	Gas	271112	2013	4589430000	0.016428
TX	Gas	271112	2014	7108190000	0.024676999999999998
TX	Gas	271112	2015	4775500000	0.019018999999999998
TX	Gas	271121	2012	1531190000	0.005785
TX	Gas	271121	2013	1998840000	0.007155
TX	Gas	271121	2014	2782570000	0.00966
TX	Gas	271121	2015	1988140000	0.007918
UT	Total	0	2012	19259910000	0.012459
UT	Total	0	2013	16111140000	0.010206999999999999
UT	Total	0	2014	12305530000	0.007594
UT	Total	0	2015	13281640000	0.008826
UT	Gold	710812	2012	11788770000	0.612088
UT	Gold	710812	2013	8071960000	0.501017
UT	Gold	710812	2014	3798200000	0.308658
UT	Gold	710812	2015	5098110000	0.38384599999999997
UT	Coal	270112	2012	4139999.9999999995	0.000215
UT	Coal	270112	2014	43860000	0.003564
UT	Coal	270112	2015	142660000	0.010741
UT	Other nonenergy minerals	261390	2012	191330000	0.009934
UT	Other nonenergy minerals	261390	2013	88700000	0.0055049999999999995
UT	Other nonenergy minerals	261390	2014	254260000	0.020663
UT	Other nonenergy minerals	261390	2015	107660000	0.008106
UT	Silver	710691	2012	145390000	0.007549
UT	Silver	710691	2013	12090000	0.00075
UT	Silver	710691	2014	25920000	0.002107
UT	Silver	710691	2015	94670000	0.007128
VA	Total	0	2012	18276950000	0.011822999999999998
VA	Total	0	2013	17903990000	0.011343
VA	Total	0	2014	19255240000	0.011881999999999998
VA	Total	0	2015	18136740000	0.012052
VA	Coal	270112	2012	356900000	0.019528
VA	Coal	270112	2013	67230000	0.003755
VA	Coal	270112	2014	500260000	0.02598
VA	Coal	270112	2015	638560000	0.035207999999999996
VA	Oil	271019	2012	97100000	0.005313
VA	Oil	271019	2013	79340000	0.004431
VA	Oil	271019	2014	587730000	0.030522999999999998
VA	Oil	271019	2015	357660000	0.01972
VT	Total	0	2012	4139189999.9999995	0.002678
VT	Total	0	2013	4026590000	0.002551
VT	Total	0	2014	3669280000	0.002264
VT	Total	0	2015	3176210000	0.002111
WA	Total	0	2012	75654310000	0.048941
WA	Total	0	2013	81630550000	0.051716
WA	Total	0	2014	90547040000	0.055875
WA	Total	0	2015	86353160000	0.057381
WA	Oil	271019	2012	2300060000	0.030402
WA	Oil	271019	2013	3261960000	0.03996
WA	Oil	271019	2014	2848840000	0.031463
WA	Oil	271019	2015	1531600000	0.017736000000000002
WA	Oil	271012	2012	1211300000	0.016011
WA	Oil	271012	2013	1091580000	0.013372
WA	Oil	271012	2014	1079400000	0.011921
WA	Oil	271012	2015	489900000	0.005673
WA	Other nonenergy minerals	280461	2012	491090000	0.006491
WA	Other nonenergy minerals	280461	2013	430950000	0.005279000000000001
WA	Other nonenergy minerals	280461	2014	464040000	0.005124999999999999
WA	Other nonenergy minerals	280461	2015	411830000	0.004769
WA	Oil	271312	2012	234120000	0.003095
WA	Oil	271312	2013	262339999.99999997	0.0032140000000000003
WA	Oil	271312	2014	239840000	0.0026490000000000003
WA	Oil	271312	2015	248930000	0.002883
WI	Total	0	2012	23119000000	0.014956
WI	Total	0	2013	23108680000	0.01464
WI	Total	0	2014	23428060000	0.014457
WI	Total	0	2015	22445120000	0.014915000000000001
WV	Total	0	2012	11407150000	0.007379
WV	Total	0	2013	8619970000	0.005461000000000001
WV	Total	0	2014	7486180000	0.00462
WV	Total	0	2015	5722220000	0.003802
WV	Coal	270112	2012	7431290000	0.651459
WV	Coal	270112	2013	4537490000	0.526392
WV	Coal	270112	2014	3109040000	0.415304
WV	Coal	270112	2015	1718670000	0.300351
WY	Total	0	2012	1439190000	0.000931
WY	Total	0	2013	1350630000	0.000856
WY	Total	0	2014	1757200000	0.001084
WY	Total	0	2015	1174000000	0.00078
