State	Commodity	HS6	Year	Value	Share
AL	Total	0	2012	19576980000	0.012664
AL	Total	0	2013	19293070000	0.012223
AL	Total	0	2014	19439660000	0.011996
AL	Total	0	2015	19369520000	0.012870999999999999
AL	Coal	270112	2012	1671930000	0.085403
AL	Coal	270112	2013	1238480000	0.064193
AL	Coal	270112	2014	1113650000	0.057288
AL	Coal	270112	2015	698000000	0.036036
AL	Oil	271019	2012	77850000	0.003976
AL	Oil	271019	2013	20770000	0.001077
AL	Oil	271019	2014	38690000	0.00199
AL	Oil	271019	2015	122430000	0.006321
AK	Total	0	2012	4543420000	0.0029389999999999998
AK	Total	0	2013	4527820000	0.002869
AK	Total	0	2014	5110730000	0.003154
AK	Total	0	2015	4675200000	0.003107
AK	Other nonenergy minerals	260800	2012	795970000	0.175191
AK	Other nonenergy minerals	260800	2013	813800000	0.17973199999999998
AK	Other nonenergy minerals	260800	2014	1067970000	0.20896599999999999
AK	Other nonenergy minerals	260800	2015	896720000	0.19180399999999997
AK	Other nonenergy minerals	260700	2012	428070000	0.094217
AK	Other nonenergy minerals	260700	2013	389330000	0.08598599999999999
AK	Other nonenergy minerals	260700	2014	367490000	0.071906
AK	Other nonenergy minerals	260700	2015	317090000	0.067824
AK	Oil	271019	2012	177960000	0.039168
AK	Oil	271019	2013	285030000	0.06295200000000001
AK	Oil	271019	2014	176150000	0.034466000000000004
AK	Oil	271019	2015	221010000	0.047272999999999996
AK	Gas	271111	2012	144920000	0.031896
AK	Gas	271111	2014	216980000	0.042455999999999994
AK	Gas	271111	2015	187990000	0.040211
AK	Gold	261690	2012	107990000	0.023769
AK	Gold	261690	2013	140290000	0.030983999999999998
AK	Gold	261690	2014	139940000	0.027381000000000003
AK	Gold	261690	2015	154120000	0.032966
AK	Copper	260300	2012	169490000	0.037304
AK	Copper	260300	2013	150200000	0.033174
AK	Copper	260300	2014	186470000	0.036486
AK	Copper	260300	2015	98970000	0.02117
AK	Oil	270900	2013	50440000	0.011141000000000002
AK	Oil	270900	2014	73900000	0.014459
AK	Oil	270900	2015	57380000	0.012273000000000001
AZ	Total	0	2012	18404660000	0.011906000000000002
AZ	Total	0	2013	19476610000	0.012339
AZ	Total	0	2014	21247550000	0.013111
AZ	Total	0	2015	22563230000	0.014993000000000001
AZ	Copper	260300	2012	889670000	0.048339
