Label	Label_en	Value	cat	cat_en	unit	unit_en
Braunkohle	Braunkohle EN	178178	Energierohstoffe	Energierohstoffe EN	(kt)	(kt)
Erdgas	Erdgas EN	10060	Energierohstoffe	Energierohstoffe EN	Mio. m3	Mio. m3
Steinkohle	Steinkohle EN	7640	Energierohstoffe	Energierohstoffe EN	(kt)	(kt)
Erdöl	Erdöl EN	2430	Energierohstoffe	Energierohstoffe EN	(kt)	(kt)
Erdölgas	Erdölgas EN	67	Energierohstoffe	Energierohstoffe EN	(kt)	(kt)
Bausande und -kiese	Bausande und -kiese EN	238000	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
gebrochene Natursteine	gebrochene Natursteine EN	211000	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Kalk-,Mergel- und Dolomitstein	Kalk-,Mergel- und Dolomitstein EN	64000	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Steinsalz und Industriesole	Steinsalz und Industriesole EN	13064	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Quarzsand	Quarzsand EN	10400	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
REA-Gips	REA-Gips EN	7000	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Spezialtone	Spezialtone EN	6754	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Torf	Torf EN	5759	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(1000 m3)	(1000 m3)
Kaolin	Kaolin EN	4090	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Gips- und Anhydristein	Gips- und Anhydristein EN	4090	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Kallsalz (K2O)	Kallsalz (K2O) EN	3127	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Schwefel	Schwefel EN	708	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Naturwerksteine	Naturwerksteine EN	495	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Bentonit	Bentonit EN	395	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Feldspar	Feldspar EN	350	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Siedesalz	Siedesalz EN	274	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Baryt	Baryt EN	71	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Kieselerde	Kieselerde EN	54	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Fluorit	Fluorit EN	35	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	(kt)	(kt)
Eisenerz	Eisenerz EN	456	Metallrohstoffe	Metallrohstoffe EN	(kt)	(kt)
Metalle	Metalle EN	0.1	Metallrohstoffe	Metallrohstoffe EN	(kt)	(kt)
