Reporting Companies	Royalties Government	Royalties Company	Royalties Variance $	Royalties Variance %	Rents Government	Rents Company	Rents Variance $	Rents Variance %	Bonus Government	Bonus Company	Bonus Variance $	Bonus Variance %	Other Revenue Government	Other Revenue Company	Other Revenue Variance $	Other Revenue Variance %	Offshore Inspection Fee Government	Offshore Inspection Fee Company	Offshore Inspection Fee Variance $	Offshore Inspection Fee Variance %	ONRR Civil Penalties Government	ONRR Civil Penalties Company	ONRR Civil Penalties Variance $	ONRR Civil Penalties Variance %	Bonus & 1st Year Rental Government	Bonus & 1st Year Rental Company	Bonus & 1st Year Rental Variance $	Bonus & 1st Year Rental Variance %	Permit Fees Government	Permit Fees Company	Permit Fees Variance $	Permit Fees Variance %	Renewables Government	Renewables Company	Renewables Variance $	Renewables Variance %	AML Fees Government	AML Fees Company	AML Fees Variance $	AML Fees Variance %	OSMRE Civil Penalties Government	OSMRE Civil Penalties Company	OSMRE Civil Penalties Variance $	OSMRE Civil Penalties Variance %	Corporate Income Tax Company
Alpha Natural Resources, Inc.	 $ 29,672,103 	 $ 29,672,103 	 $ - 	0.0%	 $ 38,796 	 $ 38,796 	 $ - 	0%	 $ 42,129,612 	 $ 42,129,612 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 50,749 	 $ 50,749 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 19,128,754 	 $ 19,322,861 	 $ 194,107 	1.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Anadarko Petroleum Corporation	 $ 384,154,902 	 $ 382,748,703 	 $ 1,406,199 	0.4%	 $ 19,860,986 	 $ 20,252,345 	 $ 391,359 	2%	 $ 49,651,028 	 $ 49,808,312 	 $ 157,284 	0.3%	 $ 3,159,531 	 $ 3,143,781 	 $ 15,750 	0.5%	 $ 2,213,500 	 $ 2,122,000 	 $ 91,500 	4.1%	 $ 50,000 	 $ 50,000 	 $ - 	0.0%	 $ 268,065 	 $ 267,723 	 $ 342 	0.1%	 $ 2,696,255 	 $ 2,704,823 	 $ 8,568 	0.3%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
ANKOR Energy LLC	 $ 58,091,785 	 $ 56,708,700 	 $ 1,383,085 	2.4%	 $ 177,490 	 $ 193,970 	 $ 16,480 	9%	 $ - 	 $ - 	 $ - 	0.0%	 $ (12,222)	 $ (19,657)	 $ 7,435 	60.8%	 $ 1,049,300 	 $ 1,049,300 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 N/A
Apache Corporation	 $ 438,589,423 	 DNP 	 N/A 	N/A	 $ 3,500,972 	 DNP 	 N/A 	N/A	 $ 33,478,000 	 DNP 	 N/A 	N/A	 $ 2,595,866 	 DNP 	 N/A 	N/A	 $ 122,000 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 450,253 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
Arch Coal, Inc.	 $ 182,167,078 	 $ 182,167,078 	 $ - 	0.0%	 $ 232,049 	 $ 250,989 	 $ 18,940 	8%	 $ 60,000,202 	 $ 60,000,202 	 $ - 	0.0%	 $ 3,583,453 	 $ 3,583,453 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 440,313 	 $ 440,313 	 $ - 	0.0%	 $ 734 	 $ 734 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 34,025,339 	 $ 34,025,339 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
Arena Energy, LLC	 $ 85,536,515 	 $ 85,549,962 	 $ 13,447 	0.0%	 $ 1,182,340 	 $ 1,180,362 	 $ 1,978 	0%	 $ 1,307,000 	 $ 1,307,000 	 $ - 	0.0%	 $ 81,422 	 $ 81,908 	 $ 486 	0.6%	 $ 2,030,000 	 $ 2,030,000 	 $ - 	0.0%	 $ 90,000 	 $ 90,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 N/A
BHP Billiton LTD	 $ 290,943,513 	 $ 290,876,410 	 $ 67,103 	0.0%	 $ 11,531,065 	 $ 11,715,699 	 $ 184,634 	2%	 $ 121,705,398 	 $ 123,566,486 	 $ 1,861,088 	1.5%	 $ 190,198 	 $ 192,928 	 $ 2,730 	1.4%	 $ 505,980 	 $ 506,128 	 $ 148 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 92,644 	 $ 92,644 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 2,895,555 	 $ 2,895,555 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
BOPCO, LP	 $ 78,674,576 	 DNP 	 N/A 	N/A	 $ 52,115 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 32,680 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ 6,432,000 	 DNP 	 N/A 	N/A	 $ 378,214 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 $ - 	 DNP 	 N/A 	N/A	 DNP
BP America	 $ 847,156,065 	 $ 847,036,243 	 $ 119,822 	0.0%	 $ 25,739,425 	 $ 25,199,393 	 $ 540,032 	2%	 $ - 	 $ - 	 $ - 	0.0%	 $ 3,004,327 	 $ 2,943,014 	 $ 61,313 	2.0%	 $ 1,944,000 	 $ 1,944,000 	 $ - 	0.0%	 $ 60,000 	 $ 60,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 130,935 	 $ 130,500 	 $ 435 	0.3%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 85,000,000
Chevron Corporation	 $ 827,397,767 	 $ 772,842,106 	 $ 54,555,661 	6.6%	 $ 19,149,064 	 $ 19,003,698 	 $ 145,366 	1%	 $ 101,636,143 	 $ 101,636,143 	 $ - 	0.0%	 $ 3,164,566 	 $ 3,158,448 	 $ 6,118 	0.2%	 $ 7,394,900 	 $ 7,364,400 	 $ 30,500 	0.4%	 $ 40,000 	 $ 40,000 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 218,878 	 $ 215,043 	 $ 3,835 	1.8%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 13,680 	 $ 13,680 	 $ - 	0.0%	 DNR
Cimarex Energy Co.	 $ 67,020,156 	 $ 67,020,148 	 $ 8 	0.0%	 $ 45,254 	 $ 47,972 	 $ 2,718 	6%	 $ - 	 $ - 	 $ - 	0.0%	 $ 3,711,779 	 $ 3,712,145 	 $ 366 	0.0%	 $ 134,800 	 $ 134,800 	 $ - 	0.0%	 $ 327,450 	 $ 327,450 	 $ - 	0.0%	 $ 8,266,400 	 $ 8,268,117 	 $ 1,717 	0.0%	 $ 1,075,805 	 $ 1,121,342 	 $ 45,537 	4.23% 	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ (427,025)
Cloud Peak Energy Resources, LLC	 $ 120,674,727 	 $ 120,674,728 	 $ 1 	0.0%	 $ 100,997 	 $ 104,484 	 $ 3,487 	3%	 $ 79,026,630 	 $ 79,026,631 	 $ 1 	0.0%	 $ 214 	 $ - 	 $ 214 	100.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ 3,614 	 $ 3,614 	100.0%	 $ 222,366 	 $ 218,752 	 $ 3,614 	1.6%	 $ - 	 $ - 	 $ - 	0.0%	 $ 24,335,853 	 $ 24,335,853 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 9,500,000
Cobalt International Energy, Inc.	 $ - 	 $ - 	 $ - 	0.0%	 $ 9,848,675 	 $ 9,958,115 	 $ 109,440 	1%	 $ 54,536,650 	 $ 54,536,650 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ 335,500 	 $ 335,500 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 $ - 	 $ - 	 $ - 	0.0%	 DNR
