Year	Commodity	Product	Volume
2008	Oil (bbl)	Drip or Scrubber Condensate (bbl)	142628.91
2008	Oil (bbl)	Fuel Oil (bbl)	15.04
2008	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2518754128.4500003
2008	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	219089.01
2008	Other Products	Anhydrous Sodium Sulfate (ton)	170631
2008	Other Products	Borax-Decahydrate (ton)	7714
2008	Other Products	Borax-Pentahydrate (ton)	9738
2008	Other Products	Boric Acid (ton)	14837
2008	Other Products	Soda Ash (ton)	7852197
2008	Other Products	Sodium Bi-Carbonate (ton)	150511
2008	Other Products	Carbon Dioxide Gas (CO2) (mcf)	409775372.3
2008	Oil (bbl)	Inlet Scrubber (bbl)	26133.939999999995
2008	Other Products	Phosphate Raw Ore (ton)	2164370
2008	Other Products	Gold (ton)	7
2008	Other Products	Helium (bbl)	33.53
2008	Other Products	Copper Concentrate (ton)	13120
2008	Other Products	Lead Concentrate (ton)	201794.01
2008	Other Products	Zinc Concentrate (ton)	49732
2008	Gas (mcf)	Nitrogen (mcf)	26396.26
2008	Other Products	Leonardite (ton)	2232
2008	Other Products	Langbeinite (ton)	988815
2008	Other Products	Muriate Of Potash-Granular (ton)	336757
2008	Other Products	Muriate Of Potash-Standard (ton)	153956
2008	Other Products	Potash (ton)	292732
2008	Other Products	Sylvite-Raw Ore (ton)	536036
2008	Other Products	Brine Barrels (bbl)	59146
2008	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	123838519
2008	Other Products	Clay (ton)	25139
2008	Other Products	Magnesium Chloride Brine (ton)	55234
2008	Other Products	Manure Salts (ton)	3159
2008	Other Products	Gilsonite (ton)	27682
2008	Other Products	Limestone (ton)	186255
2008	Other Products	Purge Liquor (ton)	116333
2008	Other Products	Sodium Bisulfite (ton)	2242
2008	Other Products	Sodium Sesquicarbonate (ton)	82430
2008	Other Products	Sulfide (ton)	24850
2008	Other Products	Trona Ore (ton)	137476
2009	Gas (mcf)	Processed (Residue) Gas (mcf)	1702281917.81
2009	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	832177747.22
2009	NGL (gal)	Gas Plant Products (gal)	2199872023.29
2009	Oil (bbl)	Oil (bbl)	91583285.24
2009	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	8521.43
2009	Other Products	Sulfur (lton)	307207.95
2009	Coal (ton)	Coal (ton)	448320207.01
2009	Oil (bbl)	Condensate (bbl)	13306617.62
2009	Gas (mcf)	Coal Bed Methane (mcf)	616660699.07
2009	Gas (mcf)	Fuel Gas (mcf)	1156447.1600000001
2009	Other Products	Wavellite (spcmn)	843
2009	Other Products	Quartz Crystal (lb)	2086
2009	Other Products	Salt (ton)	682785
2009	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	1815600792.3500001
2009	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	233953.69
2009	Gas (mcf)	Flash Gas (mcf)	214145.31
2009	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	200276.96000000002
2009	Oil (bbl)	Drip or Scrubber Condensate (bbl)	171476.46
2009	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2875731710
2009	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	179170.56
2009	Other Products	Anhydrous Sodium Sulfate (ton)	141342
2009	Other Products	Borax-Decahydrate (ton)	5584
2009	Other Products	Borax-Pentahydrate (ton)	11110
2009	Other Products	Boric Acid (ton)	14292
2009	Other Products	Soda Ash (ton)	6188785
2009	Other Products	Sodium Bi-Carbonate (ton)	134185
2009	Other Products	Carbon Dioxide Gas (CO2) (mcf)	449759459.39
2009	Oil (bbl)	Inlet Scrubber (bbl)	12361.310000000001
2009	Other Products	Phosphate Raw Ore (ton)	2471028
2009	Other Products	Helium (bbl)	4.49
2009	Other Products	Copper Concentrate (ton)	10286
2009	Other Products	Lead Concentrate (ton)	201974.00000000003
2009	Other Products	Zinc Concentrate (ton)	53751.990000000005
2009	Gas (mcf)	Nitrogen (mcf)	30159.95
2009	Other Products	Leonardite (ton)	6060
2009	Other Products	Langbeinite (ton)	564245
2009	Other Products	Muriate Of Potash-Granular (ton)	219903
2009	Other Products	Muriate Of Potash-Standard (ton)	95146
2009	Other Products	Potash (ton)	292074
2009	Other Products	Sylvite-Raw Ore (ton)	352609
2009	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	198988743
2009	Other Products	Gold Placer (oz)	33
2009	Other Products	Clay (ton)	7021
2009	Other Products	Magnesium Chloride Brine (ton)	55478
2009	Other Products	Manure Salts (ton)	398
2009	Other Products	Gilsonite (ton)	16475
2009	Other Products	Limestone (ton)	182694
2009	Other Products	Purge Liquor (ton)	118021
2009	Other Products	Sodium Bisulfite (ton)	931
2009	Other Products	Sodium Sesquicarbonate (ton)	60314
2009	Other Products	Sulfide (ton)	31532
2009	Other Products	Trona Ore (ton)	136118
2010	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	832217248.95
2010	NGL (gal)	Gas Plant Products (gal)	3183427544.1099997
2010	Oil (bbl)	Oil (bbl)	96556622.33999999
2010	Gas (mcf)	Processed (Residue) Gas (mcf)	1543610421.38
2010	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	5498.91
2010	Other Products	Sulfur (lton)	432682.23999999993
2010	Coal (ton)	Coal (ton)	463113986
2010	Oil (bbl)	Condensate (bbl)	12669136.84
2010	Gas (mcf)	Coal Bed Methane (mcf)	592422748.76
2010	Gas (mcf)	Fuel Gas (mcf)	1199170.4600000002
2010	Other Products	Wavellite (spcmn)	87
2010	Other Products	Quartz Crystal (lb)	1505
2010	Other Products	Salt (ton)	753794
2010	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	2015118207.52
2010	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	223938.12
2010	Geothermal	Geothermal - sulfur (lton)	4669.79
2010	Gas (mcf)	Flash Gas (mcf)	74826.55
2010	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	130939.36
2010	Oil (bbl)	Drip or Scrubber Condensate (bbl)	175412.10000000003
2010	Oil (bbl)	Fuel Oil (bbl)	6.72
2010	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2719032139.24
2010	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	224486.3
2010	Other Products	Anhydrous Sodium Sulfate (ton)	176158
2010	Other Products	Borax-Decahydrate (ton)	30848
2010	Other Products	Borax-Pentahydrate (ton)	56462
2010	Other Products	Boric Acid (ton)	24652
2010	Other Products	Soda Ash (ton)	5896534
2010	Other Products	Sodium Bi-Carbonate (ton)	187219
2010	Other Products	Helium (bbl)	109.06
2010	Other Products	Carbon Dioxide Gas (CO2) (mcf)	455643668.25
2010	Oil (bbl)	Inlet Scrubber (bbl)	25207.03
2010	Other Products	Phosphate Raw Ore (ton)	3975105
2010	Other Products	Gold (ton)	7
2010	Gas (mcf)	Nitrogen (mcf)	32000.84
2010	Other Products	Copper Concentrate (ton)	7551.99
2010	Other Products	Lead Concentrate (ton)	179484.01
2010	Other Products	Zinc Concentrate (ton)	43438
2010	Other Products	Leonardite (ton)	8100
2010	Other Products	Langbeinite (ton)	877864
2010	Other Products	Muriate Of Potash-Granular (ton)	444951
2010	Other Products	Muriate Of Potash-Standard (ton)	121472
2010	Other Products	Potash (ton)	337838
2010	Other Products	Sylvite-Raw Ore (ton)	434538
2010	Other Products	Brine Barrels (bbl)	1370
2010	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	163346106
2010	Other Products	Gold Placer (oz)	126
2010	Other Products	Clay (ton)	17144
2010	Other Products	Magnesium Chloride Brine (ton)	67218
2010	Other Products	Manure Salts (ton)	589
2010	Other Products	Gilsonite (ton)	26069
2010	Other Products	Limestone (ton)	158266
