Year	Commodity	Type	Revenue
2009	Gas (mcf)	Other Royalties	669271.43
2009	Oil & Gas	Other Royalties	-18292881.700000003
2009	Oil & Gas	Rents	285935440.27
2009	Gas (mcf)	Royalties	1104265863.54
2009	NGL (gal)	Royalties	130518074.00999998
2009	Oil (bbl)	Royalties	617699469.5500001
2009	Oil & Gas	Bonus	1255452529.69
2009	Other Products	Royalties	104838302.30999999
2009	Hardrock	Other Revenues	36484.1
2009	Coal	Bonus	381621262.26
2009	Coal	Rents	1276624.5499999998
2009	Hardrock	Rents	21469.52
2009	Geothermal	Rents	2490478
2009	Sodium	Rents	11040.240000000002
2009	Potassium	Rents	103617.5
2009	Geothermal	Bonus	17985323
2009	Geothermal	Royalties	10362146.02
2009	Sodium	Bonus	1416
2009	Sodium	Other Revenues	52073.98999999999
2009	Coal (ton)	Royalties	691920216.8100001
2009	Phosphate	Other Revenues	135039
2009	Phosphate	Rents	-1441
2009	Copper	Other Revenues	26110
2009	Potassium	Bonus	23760
2009	Potassium	Other Revenues	350938.75
2009	Geothermal	Other Revenues	-27029.76
2009	Asphalt	Rents	959
2009	Tar Sands	Rents	7732
2009	Limestone	Rents	240
2009	Clay	Rents	314
2009	Gilsonite	Other Revenues	-2409.6900000000005
2009	Gilsonite	Rents	-3957.5
2010	Oil & Gas	Other Revenues	1139915.9800000002
2010	Gas (mcf)	Other Royalties	-11991.08
2010	Oil & Gas	Other Royalties	21854277.94
2010	Oil & Gas	Rents	282644743.59000003
2010	Gas (mcf)	Royalties	1489234795.31
2010	NGL (gal)	Royalties	206665997.37
2010	Oil (bbl)	Royalties	892926700.7900001
2010	Oil & Gas	Bonus	1047068867.0799999
2010	Other Products	Royalties	105936705.00999999
2010	Hardrock	Other Revenues	39552.770000000004
2010	Coal	Rents	1349863.3499999999
2010	Coal (ton)	Royalties	762300666.0200001
2010	Hardrock	Rents	1386.93
2010	Geothermal	Rents	3177496.71
2010	Sodium	Rents	-13140.66
2010	Potassium	Rents	-78692
2010	Geothermal	Royalties	12134426.25
2010	Geothermal	Other Revenues	101622.42
2010	Sodium	Bonus	120
2010	Sodium	Other Revenues	154421.44999999998
2010	Geothermal	Bonus	2772303
2010	Coal	Bonus	109259486.55
2010	Coal	Other Royalties	82870.55
2010	Phosphate	Rents	-3650
2010	Phosphate	Bonus	6892
2010	Phosphate	Other Revenues	159661
2010	Garnet	Rents	80
2010	Coal	Other Revenues	3808838.6799999997
2010	Copper	Other Revenues	26110
2010	Potassium	Other Revenues	201397.97
2010	Oil & Gas	Royalties	-11.03
2010	Asphalt	Rents	-2397.5
2010	Tar Sands	Rents	7732
2010	Limestone	Rents	-200
2010	Clay	Rents	154
2010	Gilsonite	Bonus	1500
2010	Gilsonite	Rents	1120.5
2011	Oil & Gas	Other Revenues	5760706.180000002
2011	Gas (mcf)	Other Royalties	-18418.18
2011	Oil & Gas	Other Royalties	25351059.44
2011	Oil & Gas	Rents	258041283.01000002
2011	Gas (mcf)	Royalties	1370384179.2500002
2011	Oil (bbl)	Royalties	1166895254.58
2011	Oil & Gas	Bonus	327336225.24
2011	NGL (gal)	Royalties	290644420.84000003
2011	Other Products	Royalties	131968533.73999998
2011	Hardrock	Rents	-1448.5
2011	Coal	Rents	1317319.27
2011	Hardrock	Other Revenues	40478.05
2011	Oil & Gas	Royalties	-2.8499999999999996
2011	Geothermal	Rents	3341120.02
2011	Sodium	Rents	-5843.299999999999
2011	Potassium	Rents	112209.25
2011	Geothermal	Royalties	11642243.05
2011	Geothermal	Other Revenues	9899.600000000002
2011	Sodium	Bonus	120
2011	Geothermal	Bonus	432591
2011	Coal	Bonus	246413527.16
2011	NGL (gal)	Other Royalties	156525.92
2011	Sodium	Other Revenues	184332.34
2011	Oil Shale	Rents	1252
2011	Phosphate	Rents	-3367.5
2011	Phosphate	Bonus	755824
2011	Phosphate	Other Revenues	160807
2011	Oil (bbl)	Other Royalties	11.07
2011	Copper	Other Revenues	26110
2011	Geothermal	Other Royalties	30070
2011	Coal (ton)	Royalties	786436238.3500001
2011	Potassium	Other Revenues	304066.4
2011	Potassium	Bonus	20962776.73
2011	Clay	Rents	314
2011	Gilsonite	Rents	-1329.5
2012	Oil & Gas	Other Revenues	6227104.01
2012	Gas (mcf)	Other Royalties	-26965.41
2012	Oil & Gas	Other Royalties	-5222141.29
2012	Oil & Gas	Rents	286692397.05
2012	Gas (mcf)	Royalties	856951118
2012	Oil (bbl)	Royalties	1346704955.2199998
2012	Oil & Gas	Bonus	2272937544.98
2012	NGL (gal)	Royalties	326348543.57
2012	Other Products	Royalties	169719221.83000004
2012	Hardrock	Rents	10230
2012	Coal	Rents	1380223.2799999998
2012	Hardrock	Other Revenues	46501.96
2012	Geothermal	Rents	2864406
2012	Sodium	Other Revenues	121286
2012	Sodium	Rents	26095.489999999998
2012	Potassium	Rents	161501.75
2012	Geothermal	Royalties	11853626.24
2012	Geothermal	Other Revenues	12621.36
2012	Sodium	Bonus	-480
2012	Coal	Bonus	556656544.4300001
2012	Geothermal	Bonus	72138
2012	Oil Shale	Rents	2180
2012	Phosphate	Other Revenues	138052
2012	Phosphate	Rents	1921.5
2012	Phosphate	Bonus	799997.74
2012	Oil (bbl)	Other Royalties	16.65
2012	NGL (gal)	Other Royalties	1898.55
2012	Copper	Other Revenues	26110
2012	Hardrock	Bonus	30
2012	Gas (mcf)	Other Revenues	-0.01
2012	Potassium	Bonus	2334568
2012	Oil & Gas	Royalties	-1.46
2012	Coal (ton)	Royalties	783923797.06
2012	Potassium	Other Revenues	328069.62
2012	Clay	Rents	-6
2012	Gilsonite	Rents	-3201.5
2013	Oil & Gas	Other Revenues	28564681.670000006
2013	Gas (mcf)	Other Royalties	-4658.55
2013	Oil & Gas	Other Royalties	10215357.81
2013	Geothermal	Rents	2587597.01
2013	Oil & Gas	Rents	283643785.73999995
2013	Gas (mcf)	Royalties	1077316681.0000002
2013	Oil (bbl)	Royalties	1510863188.0200005
2013	Oil & Gas	Bonus	1614412777.25
2013	NGL (gal)	Royalties	232375970.90000004
2013	Other Products	Royalties	159814167.67000002
2013	Hardrock	Other Revenues	37845.55
2013	Coal	Rents	1163029.02
2013	Hardrock	Rents	20420
2013	Geothermal	Royalties	12340958.160000002
2013	Sodium	Rents	27486.5
2013	Coal	Bonus	460039881.79
2013	Sodium	Other Revenues	45103.979999999996
2013	Oil Shale	Rents	1876
2013	Potassium	Rents	77372
2013	Phosphate	Other Revenues	149271
2013	Phosphate	Rents	-11769
2013	Hardrock	Royalties	3.28
2013	Copper	Other Revenues	26110
2013	Copper	Rents	-2611
2013	Geothermal	Bonus	96344
2013	Geothermal	Other Revenues	13180.33
2013	Potassium	Bonus	504944
2013	Potassium	Other Revenues	365623
2013	Clay	Rents	314
2013	Gilsonite	Rents	1826.5
2013	NGL (gal)	Other Royalties	6723.77
2005	Potassium	Other Royalties	299039.46
2005	Clay	Other Revenues	782.43
2005	Gilsonite	Other Revenues	11151
2006	Coal	Other Royalties	1213214.45
2006	Clay	Other Revenues	163.94
2006	Gilsonite	Other Revenues	10677
2007	Clay	Other Revenues	462
2007	Gilsonite	Other Revenues	7911
2008	Coal	Other Royalties	1306685.69
2008	Clay	Other Revenues	942
2009	Coal	Other Revenues	-752162.81
2009	Coal	Other Royalties	12372165.92
2009	Clay	Other Revenues	942
2010	Clay	Other Revenues	462
2010	Gilsonite	Other Revenues	327
2011	Coal	Other Revenues	4803614.03
2011	Coal	Other Royalties	78440.29
2011	Clay	Other Revenues	462
2011	Gilsonite	Other Revenues	14058
2012	Coal	Other Revenues	5189668.3
2012	Coal	Other Royalties	686970.16
2012	Clay	Other Revenues	462
2012	Gilsonite	Other Revenues	-1533
2013	Coal (ton)	Royalties	667682678.48
2013	Coal	Other Revenues	3922545.0300000003
2013	Coal	Other Royalties	11704.82
2013	Clay	Other Revenues	942
2013	Gilsonite	Other Revenues	4191
2004	Gas	Other Roy Vals	487286.50000000006
2004	NGL	Other Roy Vals	38900.79
2004	Oil	Other Roy Vals	-19450115.85
2004	Oil & Gas	Other Roy Vals	-3920.120000001043
2004	Gas	Royalties	3333630704.6400003
2004	NGL	Royalties	159351892.52
2004	Oil	Royalties	1339786648.41
2005	Gas	Other Roy Vals	703458.32
2005	NGL	Other Roy Vals	45280.07
2005	Oil	Other Roy Vals	-10673802.71
2005	Oil & Gas	Other Roy Vals	-1606679.7600000002
2005	Gas	Royalties	3254688294.2799993
2005	NGL	Royalties	143591300.48000002
2005	Oil	Royalties	2282714970.63
2006	Gas	Other Roy Vals	293726.34
2006	NGL	Other Roy Vals	23867.8
2006	Oil	Other Roy Vals	-10004432.39
2006	Oil & Gas	Other Roy Vals	-45831423.66
2006	Gas	Royalties	3033157716.28
2006	NGL	Royalties	153028186.37000003
2006	Oil	Royalties	3642350620.45
2007	Gas	Other Roy Vals	3078951.8800000004
2007	NGL	Other Roy Vals	26199.16
2007	Oil	Other Roy Vals	6677147.100000001
2007	Oil & Gas	Other Roy Vals	15540276.120000001
2007	Gas	Royalties	2562445913.42
2007	NGL	Royalties	222338813.47
2007	Oil	Royalties	3676823096.66
2008	Gas	Other Roy Vals	1729951.31
2008	NGL	Other Roy Vals	31813.38
2008	Oil	Other Roy Vals	4140634.8799999994
2008	Oil & Gas	Other Roy Vals	-20586341.690000005
2008	Gas	Royalties	2833012959.2700005
2008	NGL	Royalties	264450984.07999998
2008	Oil	Royalties	4678187326.67
2009	Gas	Other Roy Vals	385697.13
2009	NGL	Other Roy Vals	79962.93
2009	Oil	Other Roy Vals	69623812.44
2009	Oil & Gas	Other Roy Vals	15783026.96
2009	Gas	Royalties	773898784.5900002
2009	NGL	Royalties	103738545.95
2009	Oil	Royalties	2276840979.1500006
2010	Gas	Other Roy Vals	83426.43000000001
2010	NGL	Other Roy Vals	72740.03
2010	Oil	Other Roy Vals	67259900.2
2010	Oil & Gas	Other Roy Vals	71423173.7
2010	Gas	Royalties	972977236.82
2010	NGL	Royalties	221465192.6
2010	Oil	Royalties	4143280128.26
2011	Gas	Other Roy Vals	486359.05
2011	NGL	Other Roy Vals	-76033.32
2011	Oil	Other Roy Vals	872304.5699999994
2011	Oil & Gas	Other Roy Vals	33440567.21
2011	Gas	Royalties	818711164.9300001
2011	NGL	Royalties	279090548.86
2011	Oil	Royalties	5257237028.96
2012	Gas	Other Roy Vals	646546.43
2012	NGL	Other Roy Vals	835496.52
2012	Oil	Other Roy Vals	7937819.52
2012	Oil & Gas	Other Roy Vals	27289544.060000002
2012	Gas	Royalties	441686895.47
2012	NGL	Royalties	223475031.35
2012	Oil	Royalties	5284687964.73
2013	Gas	Other Roy Vals	260043.66
2013	NGL	Other Roy Vals	-57341.64
2013	Oil	Other Roy Vals	6746359.720000001
2013	Oil & Gas	Other Roy Vals	-2890686.59
2013	Gas	Royalties	500143064.99
2013	NGL	Royalties	165897430.44
2013	Oil	Royalties	5519560602.620001
2004	Sulfur	Other Revenues	22221.06
2005	Sulfur	Other Revenues	10547.43
2006	Sulfur	Other Revenues	10838
2007	Sulfur	Other Revenues	11624.84
2008	Sulfur	Other Revenues	12709.04
2008	Other Commodities	Royalties	274461.14
2009	Sulfur	Other Revenues	12631.84
2010	Sulfur	Other Revenues	12551.32
2011	Sulfur	Other Revenues	12670.72
2012	Sulfur	Other Revenues	12429.6
2013	Sulfur	Other Revenues	11186
2004	Other Commodities	Royalties	31647.33
2005	Other Commodities	Royalties	33538.57
2006	Other Commodities	Royalties	16655.01
2007	Other Commodities	Royalties	35556.72
2009	Other Commodities	Royalties	20981.66
2010	Other Commodities	Royalties	2202.000000000002
2011	Other Commodities	Royalties	66345.86
2012	Other Commodities	Royalties	51865.990000000005
2013	Other Commodities	Royalties	21907.44
2009	Wind	Rents	68319.68
2010	Wind	Rents	139517.76
2011	Wind	Rents	135247.84
2012	Wind	Rents	128842.84
2013	Wind	Bonus	4713568.5
2013	Wind	Rents	1106665.92
