Year	Company	Type	Government Reported	Company Reported	Variance Dollars	Variance Percent
2013	Alpha Natural Resources, Inc.	Royalties	29672103	29672103	0	0
2013	Alpha Natural Resources, Inc.	Rents	38796	38796	0	0
2013	Alpha Natural Resources, Inc.	Bonus	42129612	42129612	0	0
2013	Alpha Natural Resources, Inc.	Other Revenue	0	0	0	0
2013	Alpha Natural Resources, Inc.	Offshore Inspection Fee	0	0	0	0
2013	Alpha Natural Resources, Inc.	ONRR Civil Penalties	0	0	0	0
2013	Alpha Natural Resources, Inc.	Bonus & 1st Year Rental	0	0	0	0
2013	Alpha Natural Resources, Inc.	Permit Fees	50749	50749	0	0
2013	Alpha Natural Resources, Inc.	Renewables	0	0	0	0
2013	Alpha Natural Resources, Inc.	AML Fees	19128754	19322861	-194107	1.01
2013	Alpha Natural Resources, Inc.	OSMRE Civil Penalties	0	0	0	0
2013	Alpha Natural Resources, Inc.	Corporate Income Tax	0	did not report	N/A	N/A
2013	Anadarko Petroleum Corporation	Royalties	384154902	382748703	1406199	0.37
2013	Anadarko Petroleum Corporation	Rents	19860986	20252345	-391359	1.97
2013	Anadarko Petroleum Corporation	Bonus	49651028	49808312	-157284	0.32
2013	Anadarko Petroleum Corporation	Other Revenue	3159531	3143781	15750	0.5
2013	Anadarko Petroleum Corporation	Offshore Inspection Fee	2213500	2122000	91500	4.13
2013	Anadarko Petroleum Corporation	ONRR Civil Penalties	50000	50000	0	0
2013	Anadarko Petroleum Corporation	Bonus & 1st Year Rental	268065	267723	342	0.13
2013	Anadarko Petroleum Corporation	Permit Fees	2696255	2704823	-8568	0.32
2013	Anadarko Petroleum Corporation	Renewables	0	0	0	0
2013	Anadarko Petroleum Corporation	AML Fees	0	0	0	0
2013	Anadarko Petroleum Corporation	OSMRE Civil Penalties	0	0	0	0
2013	Anadarko Petroleum Corporation	Corporate Income Tax	0	did not report	N/A	N/A
2013	ANKOR Energy LLC	Royalties	58091785	56708700	1383085	2.38
2013	ANKOR Energy LLC	Rents	177490	193970	-16480	9.29
2013	ANKOR Energy LLC	Bonus	0	0	0	0
2013	ANKOR Energy LLC	Other Revenue	-12222	-19657	7435	60.83
2013	ANKOR Energy LLC	Offshore Inspection Fee	1049300	1049300	0	0
2013	ANKOR Energy LLC	ONRR Civil Penalties	0	0	0	0
2013	ANKOR Energy LLC	Bonus & 1st Year Rental	0	0	0	0
2013	ANKOR Energy LLC	Permit Fees	0	0	0	0
2013	ANKOR Energy LLC	Renewables	0	0	0	0
