Year	Company	Type	Government Reported	Company Reported	Variance Dollars	Variance Percent
2016	Alpha Natural Resources, Inc.	Royalties	26797927	26797927	0	0
2016	Alpha Natural Resources, Inc.	Rents	47388	38796	8592	18.13
2016	Alpha Natural Resources, Inc.	Bonus	42129612	42129612	0	0
2016	Alpha Natural Resources, Inc.	Other Revenue	0	0	0	0
2016	Alpha Natural Resources, Inc.	Offshore Inspection Fee	0	0	0	0
2016	Alpha Natural Resources, Inc.	ONRR Civil Penalties	0	0	0	0
2016	Alpha Natural Resources, Inc.	Bonus & 1st Year Rental	0	0	0	0
2016	Alpha Natural Resources, Inc.	Permit Fees	93519	93389	130	0.14
2016	Alpha Natural Resources, Inc.	Renewables	0	0	0	0
2016	Alpha Natural Resources, Inc.	AML Fees	16478459	16442458	36001	0.22
2016	Alpha Natural Resources, Inc.	OSMRE Civil Penalties	0	0	0	0
2016	Alpha Natural Resources, Inc.	Corporate Income Tax	N/A	did not report	N/A	N/A
2016	Anadarko Petroleum Corporation	Royalties	163746846	163776660	-29814	0.02
2016	Anadarko Petroleum Corporation	Rents	13674714	13422581	252133	1.84
2016	Anadarko Petroleum Corporation	Bonus	2400166	2400167	-1	0
2016	Anadarko Petroleum Corporation	Other Revenue	-13402016	-13238338	-163678	1.22
2016	Anadarko Petroleum Corporation	Offshore Inspection Fee	2074000	2235000	-161000	7.76
2016	Anadarko Petroleum Corporation	ONRR Civil Penalties	0	0	0	0
2016	Anadarko Petroleum Corporation	Bonus & 1st Year Rental	571200	571200	0	0
2016	Anadarko Petroleum Corporation	Permit Fees	784639	783902	737	0.09
2016	Anadarko Petroleum Corporation	Renewables	0	0	0	0
2016	Anadarko Petroleum Corporation	AML Fees	0	0	0	0
2016	Anadarko Petroleum Corporation	OSMRE Civil Penalties	0	0	0	0
2016	Anadarko Petroleum Corporation	Corporate Income Tax	N/A	did not report	N/A	N/A
2016	Apache Corporation	Royalties	47551091	did not participate	N/A	N/A
2016	Apache Corporation	Rents	2198426	did not participate	N/A	N/A
2016	Apache Corporation	Bonus	0	did not participate	N/A	N/A
2016	Apache Corporation	Other Revenue	313908	did not participate	N/A	N/A
2016	Apache Corporation	Offshore Inspection Fee	91500	did not participate	N/A	N/A
2016	Apache Corporation	ONRR Civil Penalties	0	did not participate	N/A	N/A
2016	Apache Corporation	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
2016	Apache Corporation	Permit Fees	455180	did not participate	N/A	N/A
2016	Apache Corporation	Renewables	0	did not participate	N/A	N/A
2016	Apache Corporation	AML Fees	0	did not participate	N/A	N/A
2016	Apache Corporation	OSMRE Civil Penalties	0	did not participate	N/A	N/A
2016	Apache Corporation	Corporate Income Tax	N/A	did not participate	N/A	N/A
2016	Arch Coal, Inc. 	Royalties	171684441	171684441	0	0
2016	Arch Coal, Inc. 	Rents	226280	226280	0	0
2016	Arch Coal, Inc. 	Bonus	59126642	59126642	0	0
2016	Arch Coal, Inc. 	Other Revenue	5405649	5360237	45412	0.84
2016	Arch Coal, Inc. 	Offshore Inspection Fee	0	0	0	0
2016	Arch Coal, Inc. 	ONRR Civil Penalties	0	0	0	0
2016	Arch Coal, Inc. 	Bonus & 1st Year Rental	0	0	0	0
