CY	State/Offshore Region	Offshore Area	Revenue Type	Commodity	 Product 	 Royalty/Revenue 
2004	Gulf of Mexico	Chand E	Other Roy Vals	Oil & Gas		 $ -   
2004	Gulf of Mexico	Chand E	Rents	Oil and Gas		 $ 75,000.00 
2004	Gulf of Mexico	Chand E	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 203,407.59 
2004	Gulf of Mexico	Chandeleur	Bonus	Oil and Gas		 $ 370,116.00 
2004	Gulf of Mexico	Chandeleur	Other Roy Vals	Oil & Gas		 $ 475,604.73 
2004	Gulf of Mexico	Chandeleur	Rents	Oil and Gas		 $ 149,530.00 
2004	Gulf of Mexico	Chandeleur	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 3,271,415.33 
2004	Gulf of Mexico	Chandeleur	Royalties	Oil	 Condensate 	 $ 2,887.55 
2004	Gulf of Mexico	Chandeleur	Royalties	Oil	 Oil 	 $ 444.02 
2004	Gulf of Mexico	Corp Christi	Bonus	Oil and Gas		 $ 8,974,771.00 
2004	Gulf of Mexico	Corp Christi	Rents	Oil and Gas		 $ 1,226,220.00 
2004	Gulf of Mexico	Desoto Can	Bonus	Oil and Gas		 $ 8,376,765.00 
2004	Gulf of Mexico	Desoto Can	Other Roy Vals	Oil & Gas		 $ 420,000.00 
2004	Gulf of Mexico	Desoto Can	Other Roy Vols	Gas	 Processed (Residue) Gas 	 $ -   
2004	Gulf of Mexico	Desoto Can	Other Roy Vols	Gas	 Unprocessed (Wet) Gas 	 $ -   
2004	Gulf of Mexico	Desoto Can	Other Roy Vols	NGL	 Gas Plant Products 	 $ -   
2004	Gulf of Mexico	Desoto Can	Other Roy Vols	Oil	 Condensate 	 $ -   
2004	Gulf of Mexico	Desoto Can	Other Roy Vols	Oil	 Drip or Scrubber Condensate 	 $ -   
2004	Gulf of Mexico	Desoto Can	Rents	Oil and Gas		 $ 3,853,226.82 
2004	Gulf of Mexico	Desoto Can	Royalties	Gas	 Flash Gas 	 $ 5,387.48 
2004	Gulf of Mexico	Desoto Can	Royalties	Gas	 Processed (Residue) Gas 	 $ 23,685,907.46 
2004	Gulf of Mexico	Desoto Can	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 485,221.47 
2004	Gulf of Mexico	Desoto Can	Royalties	NGL	 Gas Plant Products 	 $ 113,124.27 
2004	Gulf of Mexico	Desoto Can	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 5,227.72 
2004	Gulf of Mexico	Destin Dome	Rents	Oil and Gas		 $ 90,897.54 
2004	Gulf of Mexico	E Cameron S	Bonus	Oil and Gas		 $ 1,746,859.00 
2004	Gulf of Mexico	E Cameron S	Other Revenues	Oil & Gas		 $ 8,644.59 
2004	Gulf of Mexico	E Cameron S	Other Roy Vals	Oil	 Condensate 	 $ (27,075.88)
2004	Gulf of Mexico	E Cameron S	Other Roy Vals	Oil	 Oil 	 $ (94,509.05)
2004	Gulf of Mexico	E Cameron S	Other Roy Vals	Oil & Gas		 $ (548,172.56)
2004	Gulf of Mexico	E Cameron S	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	E Cameron S	Rents	Oil and Gas		 $ 919,380.00 
2004	Gulf of Mexico	E Cameron S	Royalties	Gas	 Flash Gas 	 $ 29,305.51 
2004	Gulf of Mexico	E Cameron S	Royalties	Gas	 Processed (Residue) Gas 	 $ 9,351,691.67 
2004	Gulf of Mexico	E Cameron S	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 37,855,311.20 
2004	Gulf of Mexico	E Cameron S	Royalties	NGL	 Gas Plant Products 	 $ 618,717.60 
2004	Gulf of Mexico	E Cameron S	Royalties	Oil	 Condensate 	 $ 1,688,896.28 
2004	Gulf of Mexico	E Cameron S	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 31,250.54 
2004	Gulf of Mexico	E Cameron S	Royalties	Oil	 Inlet Scrubber 	 $ 0.39 
2004	Gulf of Mexico	E Cameron S	Royalties	Oil	 Oil 	 $ 8,863,217.03 
2004	Gulf of Mexico	East Breaks	Bonus	Oil and Gas		 $ 16,128,528.00 
2004	Gulf of Mexico	East Breaks	Other Revenues	Oil & Gas		 $ 69,423.01 
2004	Gulf of Mexico	East Breaks	Other Roy Vals	Oil	 Oil 	 $ 154,148.73 
2004	Gulf of Mexico	East Breaks	Other Roy Vals	Oil & Gas		 $ 1,438,668.84 
2004	Gulf of Mexico	East Breaks	Other Roy Vols	Gas	 Flash Gas 	 $ -   
2004	Gulf of Mexico	East Breaks	Other Roy Vols	Gas	 Unprocessed (Wet) Gas 	 $ -   
2004	Gulf of Mexico	East Breaks	Other Roy Vols	Oil	 Condensate 	 $ -   
2004	Gulf of Mexico	East Breaks	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	East Breaks	Rents	Oil and Gas		 $ 9,810,792.48 
2004	Gulf of Mexico	East Breaks	Royalties	Gas	 Flash Gas 	 $ (1,182.00)
2004	Gulf of Mexico	East Breaks	Royalties	Gas	 Processed (Residue) Gas 	 $ 66,057,717.27 
2004	Gulf of Mexico	East Breaks	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 147,211,072.40 
2004	Gulf of Mexico	East Breaks	Royalties	NGL	 Gas Plant Products 	 $ 169,441.75 
2004	Gulf of Mexico	East Breaks	Royalties	Oil	 Condensate 	 $ 3,899,126.97 
2004	Gulf of Mexico	East Breaks	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 86,491.47 
2004	Gulf of Mexico	East Breaks	Royalties	Oil	 Oil 	 $ (7,280,438.84)
2004	Gulf of Mexico	East Cameron	Bonus	Oil and Gas		 $ 15,761,786.00 
2004	Gulf of Mexico	East Cameron	Other Revenues	Oil & Gas		 $ 33,181.81 
2004	Gulf of Mexico	East Cameron	Other Roy Vals	Gas	 Flash Gas 	 $ 583.95 
2004	Gulf of Mexico	East Cameron	Other Roy Vals	Gas	 Fuel Gas 	 $ 10.24 
2004	Gulf of Mexico	East Cameron	Other Roy Vals	Gas	 Processed (Residue) Gas 	 $ 15,007.43 
2004	Gulf of Mexico	East Cameron	Other Roy Vals	Gas	 Unprocessed (Wet) Gas 	 $ 4,641.56 
2004	Gulf of Mexico	East Cameron	Other Roy Vals	NGL	 Gas Plant Products 	 $ 999.35 
2004	Gulf of Mexico	East Cameron	Other Roy Vals	Oil	 Condensate 	 $ 718,364.59 
2004	Gulf of Mexico	East Cameron	Other Roy Vals	Oil	 Oil 	 $ 2,562.88 
2004	Gulf of Mexico	East Cameron	Other Roy Vals	Oil & Gas		 $ (296,738.10)
2004	Gulf of Mexico	East Cameron	Rents	Oil and Gas		 $ 1,840,274.00 
2004	Gulf of Mexico	East Cameron	Royalties	Gas	 Flash Gas 	 $ 468,780.41 
2004	Gulf of Mexico	East Cameron	Royalties	Gas	 Fuel Gas 	 $ 2,599.05 
2004	Gulf of Mexico	East Cameron	Royalties	Gas	 Processed (Residue) Gas 	 $ 8,991,106.40 
2004	Gulf of Mexico	East Cameron	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 65,814,532.63 
2004	Gulf of Mexico	East Cameron	Royalties	NGL	 Gas Plant Products 	 $ 759,277.67 
2004	Gulf of Mexico	East Cameron	Royalties	Oil	 Condensate 	 $ 7,413,140.21 
2004	Gulf of Mexico	East Cameron	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 271,882.25 
2004	Gulf of Mexico	East Cameron	Royalties	Oil	 Oil 	 $ 1,260,207.55 
2004	Gulf of Mexico	Eugene I	Bonus	Oil and Gas		 $ 10,277,728.00 
2004	Gulf of Mexico	Eugene I	Other Revenues	Oil & Gas		 $ 31,586.99 
2004	Gulf of Mexico	Eugene I	Other Roy Vals	Gas	 Fuel Gas 	 $ 1,268.08 
2004	Gulf of Mexico	Eugene I	Other Roy Vals	Gas	 Processed (Residue) Gas 	 $ 4,881.34 
2004	Gulf of Mexico	Eugene I	Other Roy Vals	Gas	 Unprocessed (Wet) Gas 	 $ 9,444.05 
2004	Gulf of Mexico	Eugene I	Other Roy Vals	NGL	 Gas Plant Products 	 $ -   
2004	Gulf of Mexico	Eugene I	Other Roy Vals	Oil	 Condensate 	 $ 40,123.22 
2004	Gulf of Mexico	Eugene I	Other Roy Vals	Oil	 Drip or Scrubber Condensate 	 $ -   
2004	Gulf of Mexico	Eugene I	Other Roy Vals	Oil	 Oil 	 $ 206,584.71 
2004	Gulf of Mexico	Eugene I	Other Roy Vals	Oil & Gas		 $ 537,241.37 
2004	Gulf of Mexico	Eugene I	Other Roy Vols	Oil	 Condensate 	 $ -   
2004	Gulf of Mexico	Eugene I	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Eugene I	Rents	Oil and Gas		 $ 1,810,841.00 
2004	Gulf of Mexico	Eugene I	Royalties	Gas	 Flash Gas 	 $ 379,754.00 
2004	Gulf of Mexico	Eugene I	Royalties	Gas	 Fuel Gas 	 $ 453,480.49 
2004	Gulf of Mexico	Eugene I	Royalties	Gas	 Processed (Residue) Gas 	 $ 94,206,067.46 
2004	Gulf of Mexico	Eugene I	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 82,807,314.12 
2004	Gulf of Mexico	Eugene I	Royalties	NGL	 Gas Plant Products 	 $ 9,582,731.94 
2004	Gulf of Mexico	Eugene I	Royalties	Oil	 Condensate 	 $ 18,166,952.48 
2004	Gulf of Mexico	Eugene I	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 558,039.11 
2004	Gulf of Mexico	Eugene I	Royalties	Oil	 Inlet Scrubber 	 $ 7,024.24 
2004	Gulf of Mexico	Eugene I	Royalties	Oil	 Oil 	 $ 32,208,576.17 
2004	Gulf of Mexico	Eugene So	Bonus	Oil and Gas		 $ 4,656,765.00 
2004	Gulf of Mexico	Eugene So	Other Revenues	Oil & Gas		 $ 37,205.32 
2004	Gulf of Mexico	Eugene So	Other Roy Vals	Oil	 Condensate 	 $ 149,636.33 
2004	Gulf of Mexico	Eugene So	Other Roy Vals	Oil	 Oil 	 $ 1,486,597.70 
2004	Gulf of Mexico	Eugene So	Other Roy Vals	Oil & Gas		 $ 44,484.67 
2004	Gulf of Mexico	Eugene So	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Eugene So	Rents	Oil and Gas		 $ 1,038,315.00 
2004	Gulf of Mexico	Eugene So	Royalties	Gas	 Flash Gas 	 $ 1,087.27 
2004	Gulf of Mexico	Eugene So	Royalties	Gas	 Processed (Residue) Gas 	 $ 23,819,519.80 
2004	Gulf of Mexico	Eugene So	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 64,410,543.74 
2004	Gulf of Mexico	Eugene So	Royalties	NGL	 Gas Plant Products 	 $ 3,654,194.76 
2004	Gulf of Mexico	Eugene So	Royalties	Oil	 Condensate 	 $ 5,520,734.30 
2004	Gulf of Mexico	Eugene So	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 392,673.14 
2004	Gulf of Mexico	Eugene So	Royalties	Oil	 Inlet Scrubber 	 $ (932.12)
2004	Gulf of Mexico	Eugene So	Royalties	Oil	 Oil 	 $ 22,703,162.04 
2004	Gulf of Mexico	Ewing Bank	Bonus	Oil and Gas		 $ 21,625,859.00 
2004	Gulf of Mexico	Ewing Bank	Other Revenues	Oil & Gas		 $ 122,117.76 
2004	Gulf of Mexico	Ewing Bank	Other Roy Vals	Oil	 Oil 	 $ (2,903,314.76)
2004	Gulf of Mexico	Ewing Bank	Other Roy Vals	Oil & Gas		 $ 800,997.04 
2004	Gulf of Mexico	Ewing Bank	Other Roy Vols	Gas	 Flash Gas 	 $ -   
2004	Gulf of Mexico	Ewing Bank	Other Roy Vols	Gas	 Processed (Residue) Gas 	 $ -   
2004	Gulf of Mexico	Ewing Bank	Other Roy Vols	Gas	 Unprocessed (Wet) Gas 	 $ -   
2004	Gulf of Mexico	Ewing Bank	Other Roy Vols	Oil	 Condensate 	 $ -   
2004	Gulf of Mexico	Ewing Bank	Other Roy Vols	Oil	 Drip or Scrubber Condensate 	 $ -   
2004	Gulf of Mexico	Ewing Bank	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Ewing Bank	Rents	Oil and Gas		 $ 1,842,182.50 
2004	Gulf of Mexico	Ewing Bank	Royalties	Gas	 Flash Gas 	 $ 19,898.67 
2004	Gulf of Mexico	Ewing Bank	Royalties	Gas	 Processed (Residue) Gas 	 $ 9,453,508.18 
2004	Gulf of Mexico	Ewing Bank	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 11,403,468.42 
2004	Gulf of Mexico	Ewing Bank	Royalties	NGL	 Gas Plant Products 	 $ 841,990.68 
2004	Gulf of Mexico	Ewing Bank	Royalties	Oil	 Condensate 	 $ 1,722,367.66 
2004	Gulf of Mexico	Ewing Bank	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 256,485.83 
2004	Gulf of Mexico	Ewing Bank	Royalties	Oil	 Inlet Scrubber 	 $ 427.34 
2004	Gulf of Mexico	Ewing Bank	Royalties	Oil	 Oil 	 $ 55,943,972.32 
2004	Gulf of Mexico	Fl Mid Grd	Rents	Oil and Gas		 $ 43,081.60 
2004	Gulf of Mexico	Gal So Ad	Bonus	Oil and Gas		 $ 1,778,008.00 
2004	Gulf of Mexico	Gal So Ad	Other Roy Vals	Oil & Gas		 $ 315,000.00 
2004	Gulf of Mexico	Gal So Ad	Other Roy Vols	Oil	 Condensate 	 $ -   
2004	Gulf of Mexico	Gal So Ad	Other Roy Vols	Oil	 Drip or Scrubber Condensate 	 $ -   
2004	Gulf of Mexico	Gal So Ad	Rents	Oil and Gas		 $ 432,000.00 
2004	Gulf of Mexico	Gal So Ad	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 1,939,640.17 
2004	Gulf of Mexico	Gal So Ad	Royalties	Oil	 Condensate 	 $ 54,149.68 
2004	Gulf of Mexico	Galveston	Bonus	Oil and Gas		 $ 12,632,025.00 
2004	Gulf of Mexico	Galveston	Other Revenues	Oil & Gas		 $ 51,971.69 
2004	Gulf of Mexico	Galveston	Other Roy Vals	Oil & Gas		 $ 993,422.86 
2004	Gulf of Mexico	Galveston	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Galveston	Rents	Oil and Gas		 $ 3,022,565.00 
2004	Gulf of Mexico	Galveston	Royalties	Gas	 Flash Gas 	 $ 50,008.67 
2004	Gulf of Mexico	Galveston	Royalties	Gas	 Processed (Residue) Gas 	 $ 27,712,661.60 
2004	Gulf of Mexico	Galveston	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 23,294,795.47 
2004	Gulf of Mexico	Galveston	Royalties	NGL	 Gas Plant Products 	 $ 2,538,807.66 
2004	Gulf of Mexico	Galveston	Royalties	Oil	 Condensate 	 $ 846,258.87 
2004	Gulf of Mexico	Galveston	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 8,023.64 
2004	Gulf of Mexico	Galveston	Royalties	Oil	 Oil 	 $ 3,853,580.35 
2004	Gulf of Mexico	Garden Banks	Bonus	Oil and Gas		 $ 32,018,110.00 
2004	Gulf of Mexico	Garden Banks	Other Revenues	Oil & Gas		 $ 223,846.01 
2004	Gulf of Mexico	Garden Banks	Other Roy Vals	Oil	 Oil 	 $ 299,134.60 
2004	Gulf of Mexico	Garden Banks	Other Roy Vals	Oil & Gas		 $ 99,279.00 
2004	Gulf of Mexico	Garden Banks	Other Roy Vols	Gas	 Flash Gas 	 $ -   
2004	Gulf of Mexico	Garden Banks	Other Roy Vols	Gas	 Processed (Residue) Gas 	 $ -   
2004	Gulf of Mexico	Garden Banks	Other Roy Vols	Gas	 Unprocessed (Wet) Gas 	 $ -   
2004	Gulf of Mexico	Garden Banks	Other Roy Vols	NGL	 Gas Plant Products 	 $ -   
2004	Gulf of Mexico	Garden Banks	Other Roy Vols	Oil	 Condensate 	 $ -   
2004	Gulf of Mexico	Garden Banks	Other Roy Vols	Oil	 Drip or Scrubber Condensate 	 $ -   
2004	Gulf of Mexico	Garden Banks	Other Roy Vols	Oil	 Inlet Scrubber 	 $ -   
2004	Gulf of Mexico	Garden Banks	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Garden Banks	Rents	Oil and Gas		 $ 21,326,570.50 
2004	Gulf of Mexico	Garden Banks	Royalties	Gas	 Flash Gas 	 $ 87,743.74 
2004	Gulf of Mexico	Garden Banks	Royalties	Gas	 Processed (Residue) Gas 	 $ 108,795,752.11 
2004	Gulf of Mexico	Garden Banks	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 33,278,174.85 
2004	Gulf of Mexico	Garden Banks	Royalties	NGL	 Gas Plant Products 	 $ 2,051,025.92 
2004	Gulf of Mexico	Garden Banks	Royalties	Oil	 Condensate 	 $ 1,914,350.05 
2004	Gulf of Mexico	Garden Banks	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 1,064,431.67 
2004	Gulf of Mexico	Garden Banks	Royalties	Oil	 Inlet Scrubber 	 $ 234.56 
2004	Gulf of Mexico	Garden Banks	Royalties	Oil	 Oil 	 $ 98,788,587.34 
2004	Gulf of Mexico	Grand Isle	Bonus	Oil and Gas		 $ 3,592,991.00 
2004	Gulf of Mexico	Grand Isle	Other Revenues	Oil & Gas		 $ 567.29 
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	Gas	 Fuel Gas 	 $ 1,103.37 
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	Gas	 Processed (Residue) Gas 	 $ 22,790.86 
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	Gas	 Unprocessed (Wet) Gas 	 $ 10,076.08 
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	NGL	 Gas Plant Products 	 $ 2,895.67 
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	Oil	 Condensate 	 $ 78,446.21 
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	Oil	 Drip or Scrubber Condensate 	 $ 54.60 
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	Oil	 Inlet Scrubber 	 $ 3.08 
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	Oil	 Oil 	 $ (4,392,157.08)
2004	Gulf of Mexico	Grand Isle	Other Roy Vals	Oil & Gas		 $ (583,215.45)
2004	Gulf of Mexico	Grand Isle	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Grand Isle	Rents	Oil and Gas		 $ 693,299.02 
2004	Gulf of Mexico	Grand Isle	Royalties	Gas	 Flash Gas 	 $ 82.97 
2004	Gulf of Mexico	Grand Isle	Royalties	Gas	 Fuel Gas 	 $ 1,288,852.72 
2004	Gulf of Mexico	Grand Isle	Royalties	Gas	 Gas Lost - Flared or Vented 	 $ 78,369.00 
2004	Gulf of Mexico	Grand Isle	Royalties	Gas	 Processed (Residue) Gas 	 $ 5,981,762.65 
2004	Gulf of Mexico	Grand Isle	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 8,496,205.03 
2004	Gulf of Mexico	Grand Isle	Royalties	NGL	 Gas Plant Products 	 $ 817,522.60 
2004	Gulf of Mexico	Grand Isle	Royalties	Oil	 Condensate 	 $ 4,217,227.19 
