CY	State/Offshore Region	Offshore Area	Revenue Type	Commodity	 Product 	 Royalty/Revenue 
2004	Alaska- Offshore	Alaska	Bonus	Oil and Gas		 $ 3,054,848.00 
2004	Alaska- Offshore	Alaska	Rents	Oil and Gas		 $ 777,666.00 
2004	Alaska- Offshore	Beechey Pt	Bonus	Oil and Gas		 $ 4,651,884.00 
2004	Alaska- Offshore	Beechey Pt	Rents	Oil and Gas		 $ 212,385.00 
2004	Alaska- Offshore	Beechey Pt	Royalties	Oil	 Oil 	 $ 29,343,329.28 
2004	Alaska- Offshore	Harrison Bay	Bonus	Oil and Gas		 $ 328,177.00 
2004	Alaska- Offshore	Harrison Bay	Rents	Oil and Gas		 $ 102,330.00 
2004	Gulf of Mexico	Alamin Can	Bonus	Oil and Gas		 $ 5,662,171.00 
2004	Gulf of Mexico	Alamin Can	Other Revenues	Oil & Gas		 $ (20,060.80)
2004	Gulf of Mexico	Alamin Can	Other Roy Vals	Oil	 Oil 	 $ (637,168.09)
2004	Gulf of Mexico	Alamin Can	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Alamin Can	Rents	Oil and Gas		 $ 22,060,095.02 
2004	Gulf of Mexico	Alamin Can	Royalties	Gas	 Processed (Residue) Gas 	 $ 14,346,105.08 
2004	Gulf of Mexico	Alamin Can	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ (0.00)
2004	Gulf of Mexico	Alamin Can	Royalties	NGL	 Gas Plant Products 	 $ 207,627.04 
2004	Gulf of Mexico	Alamin Can	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 0.00 
2004	Gulf of Mexico	Alamin Can	Royalties	Oil	 Oil 	 $ 1,092,381.57 
2004	Gulf of Mexico	Amukta Pass	Bonus	Oil and Gas		 $ 1,063,870.00 
2004	Gulf of Mexico	Amukta Pass	Rents	Oil and Gas		 $ 864,000.00 
2004	Gulf of Mexico	Anderson	Other Roy Vals	Oil & Gas		 $ 13.10 
2004	Gulf of Mexico	Anderson	Royalties	Gas	 Processed (Residue) Gas 	 $ 156.00 
2004	Gulf of Mexico	Anderson	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 21.24 
2004	Gulf of Mexico	Anderson	Royalties	NGL	 Gas Plant Products 	 $ 24.89 
2004	Gulf of Mexico	Anderson	Royalties	Oil	 Condensate 	 $ 21.00 
2004	Gulf of Mexico	Atwater Valley	Bonus	Oil and Gas		 $ 9,480,892.00 
2004	Gulf of Mexico	Atwater Valley	Other Revenues	Oil & Gas		 $ 77,760.00 
2004	Gulf of Mexico	Atwater Valley	Rents	Oil and Gas		 $ 14,385,600.00 
2004	Gulf of Mexico	Autauga	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ (1,355,220.00)
2004	Gulf of Mexico	Bay Marchand	Other Roy Vals	Gas	 Fuel Gas 	 $ (20.63)
2004	Gulf of Mexico	Bay Marchand	Other Roy Vals	Gas	 Processed (Residue) Gas 	 $ 153.48 
2004	Gulf of Mexico	Bay Marchand	Other Roy Vals	NGL	 Gas Plant Products 	 $ 177.93 
2004	Gulf of Mexico	Bay Marchand	Other Roy Vals	Oil	 Condensate 	 $ 796.96 
2004	Gulf of Mexico	Bay Marchand	Other Roy Vals	Oil	 Drip or Scrubber Condensate 	 $ (0.00)
2004	Gulf of Mexico	Bay Marchand	Other Roy Vals	Oil	 Inlet Scrubber 	 $ 0.00 
2004	Gulf of Mexico	Bay Marchand	Other Roy Vals	Oil	 Oil 	 $ (45,494.04)
2004	Gulf of Mexico	Bay Marchand	Other Roy Vals	Oil & Gas		 $ 420.04 
2004	Gulf of Mexico	Bay Marchand	Rents	Oil and Gas		 $ 2,008.00 
2004	Gulf of Mexico	Bay Marchand	Royalties	Gas	 Fuel Gas 	 $ 48,670.55 
2004	Gulf of Mexico	Bay Marchand	Royalties	Gas	 Processed (Residue) Gas 	 $ 194,684.98 
2004	Gulf of Mexico	Bay Marchand	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ (2,165.80)
2004	Gulf of Mexico	Bay Marchand	Royalties	NGL	 Gas Plant Products 	 $ 23,734.52 
2004	Gulf of Mexico	Bay Marchand	Royalties	Oil	 Condensate 	 $ 144,752.99 
2004	Gulf of Mexico	Bay Marchand	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 0.94 
2004	Gulf of Mexico	Bay Marchand	Royalties	Oil	 Inlet Scrubber 	 $ 5.21 
2004	Gulf of Mexico	Bay Marchand	Royalties	Oil	 Oil 	 $ 2,381,145.17 
2004	Gulf of Mexico	Bossier	Other Revenues	Oil & Gas		 $ (34.48)
2004	Gulf of Mexico	Bossier	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Bossier	Royalties	Gas	 Processed (Residue) Gas 	 $ 80,552.73 
2004	Gulf of Mexico	Bossier	Royalties	Oil	 Oil 	 $ 58,592.02 
2004	Gulf of Mexico	Brazos Area	Bonus	Oil and Gas		 $ 2,357,763.00 
2004	Gulf of Mexico	Brazos Area	Other Revenues	Oil & Gas		 $ 17,139.72 
2004	Gulf of Mexico	Brazos Area	Other Roy Vals	Oil & Gas		 $ 104,295.69 
2004	Gulf of Mexico	Brazos Area	Rents	Oil and Gas		 $ 1,050,555.00 
2004	Gulf of Mexico	Brazos Area	Royalties	Gas	 Flash Gas 	 $ (766,140.91)
2004	Gulf of Mexico	Brazos Area	Royalties	Gas	 Processed (Residue) Gas 	 $ 2,109,583.88 
2004	Gulf of Mexico	Brazos Area	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 56,969,712.36 
2004	Gulf of Mexico	Brazos Area	Royalties	NGL	 Gas Plant Products 	 $ 15,536.93 
2004	Gulf of Mexico	Brazos Area	Royalties	Oil	 Condensate 	 $ 246,129.79 
2004	Gulf of Mexico	Brazos Area	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 38,793.15 
2004	Gulf of Mexico	Brazos Area	Royalties	Oil	 Oil 	 $ 74,402.19 
2004	Gulf of Mexico	Brazos S Ad	Bonus	Oil and Gas		 $ 1,525,155.00 
2004	Gulf of Mexico	Brazos S Ad	Other Revenues	Oil & Gas		 $ 45,078.27 
2004	Gulf of Mexico	Brazos S Ad	Other Roy Vals	Oil & Gas		 $ 8,716.00 
2004	Gulf of Mexico	Brazos S Ad	Rents	Oil and Gas		 $ 748,800.00 
2004	Gulf of Mexico	Brazos S Ad	Royalties	Gas	 Flash Gas 	 $ 3,706.69 
2004	Gulf of Mexico	Brazos S Ad	Royalties	Gas	 Processed (Residue) Gas 	 $ 3,559,086.34 
2004	Gulf of Mexico	Brazos S Ad	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 49,038,103.22 
2004	Gulf of Mexico	Brazos S Ad	Royalties	NGL	 Gas Plant Products 	 $ (560,754.22)
2004	Gulf of Mexico	Brazos S Ad	Royalties	Oil	 Condensate 	 $ 239,391.29 
2004	Gulf of Mexico	Brazos S Ad	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 18,477.03 
2004	Gulf of Mexico	Brazos S Ad	Royalties	Oil	 Oil 	 $ 205,576.10 
2004	Gulf of Mexico	Breton Sound	Bonus	Oil and Gas		 $ 2,262,000.00 
2004	Gulf of Mexico	Breton Sound	Other Roy Vals	Gas	 Unprocessed (Wet) Gas 	 $ -   
2004	Gulf of Mexico	Breton Sound	Other Roy Vals	Oil	 Condensate 	 $ -   
2004	Gulf of Mexico	Breton Sound	Other Roy Vals	Oil	 Oil 	 $ (93.14)
2004	Gulf of Mexico	Breton Sound	Other Roy Vals	Oil & Gas		 $ 71,948.25 
2004	Gulf of Mexico	Breton Sound	Other Roy Vols	Oil	 Oil 	 $ -   
2004	Gulf of Mexico	Breton Sound	Rents	Oil and Gas		 $ 76,849.05 
2004	Gulf of Mexico	Breton Sound	Royalties	Gas	 Fuel Gas 	 $ -   
2004	Gulf of Mexico	Breton Sound	Royalties	Gas	 Processed (Residue) Gas 	 $ 2,238,392.13 
2004	Gulf of Mexico	Breton Sound	Royalties	Gas	 Unprocessed (Wet) Gas 	 $ 7,826,083.74 
2004	Gulf of Mexico	Breton Sound	Royalties	NGL	 Gas Plant Products 	 $ 20,864.86 
2004	Gulf of Mexico	Breton Sound	Royalties	Oil	 Condensate 	 $ 874,224.54 
2004	Gulf of Mexico	Breton Sound	Royalties	Oil	 Drip or Scrubber Condensate 	 $ 48.88 
2004	Gulf of Mexico	Breton Sound	Royalties	Oil	 Oil 	 $ 3,730,806.06 
2004	Gulf of Mexico	Chand E	Bonus	Oil and Gas		 $ 182,500.00 
