CY	Onshore/Offshore	County Code	St	County	Revenue Type	Commodity	Product	Royalty/Revenue
2004	Onshore	03149	AR	Yell	Royalties	Gas	Unprocessed (Wet) Gas	 $ 737,072.99 
2004	Onshore	04013	CA	Contra Costa	Other Roy Vals	Oil & Gas		 $ 55.00 
2004	Onshore	04013	CA	Contra Costa	Royalties	Gas	Processed (Residue) Gas	 $ 204.59 
2004	Onshore	04013	CA	Contra Costa	Royalties	Gas	Unprocessed (Wet) Gas	 $ 1,860.90 
2004	Onshore	04019	CA	Fresno	Other Revenues	Oil & Gas		 $ 606.13 
2004	Onshore	04019	CA	Fresno	Royalties	Gas	Gas Plant Products	 $ 8,204.93 
2004	Onshore	04019	CA	Fresno	Royalties	Gas	Processed (Residue) Gas	 $ 52,197.80 
2004	Onshore	04019	CA	Fresno	Royalties	Gas	Unprocessed (Wet) Gas	 $ 221,952.28 
2004	Onshore	04019	CA	Fresno	Royalties	Oil	Oil	 $ 122,746.65 
2004	Onshore	04021	CA	Glenn	Royalties	Gas	Unprocessed (Wet) Gas	 $ 4,094.69 
2004	Onshore	04025	CA	Imperial	Other Roy Vals	Geothermal		 $ 7,584,696.97 
2004	Onshore	04025	CA	Imperial	Royalties	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours	 $ 31,447.00 
2004	Onshore	04025	CA	Imperial	Royalties	Geothermal	Geothermal - Electrical Generation, Other	 $ 992.16 
2004	Onshore	04027	CA	Inyo	Royalties	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours	 $ 3,546,438.88 
2004	Onshore	04029	CA	Kern	Other Revenues	Oil & Gas		 $ 3,367.91 
2004	Onshore	04029	CA	Kern	Other Roy Vals	Oil & Gas		 $ 2,203.80 
2004	Onshore	04029	CA	Kern	Royalties	Gas	Gas Lost - Flared or Vented	 $ 1,800.00 
2004	Onshore	04029	CA	Kern	Royalties	Gas	Gas Plant Products	 $ 27,496.56 
2004	Onshore	04029	CA	Kern	Royalties	Gas	Processed (Residue) Gas	 $ 337,635.34 
2004	Onshore	04029	CA	Kern	Royalties	Gas	Unprocessed (Wet) Gas	 $ 51,394.87 
2004	Onshore	04029	CA	Kern	Royalties	Oil	Condensate	 $ 11,773.43 
2004	Onshore	04029	CA	Kern	Royalties	Oil	Fuel Oil	 $ 110.93 
2004	Onshore	04029	CA	Kern	Royalties	Oil	Oil	 $ 9,950,396.26 
2004	Onshore	04030	CA	Kern	Other Revenues	Oil & Gas		 $ 3,367.91 
2004	Onshore	04030	CA	Kern	Other Roy Vals	Oil & Gas		 $ 2,203.80 
2004	Onshore	04030	CA	Kern	Royalties	Gas	Gas Lost - Flared or Vented	 $ 1,800.00 
2004	Onshore	04030	CA	Kern	Royalties	Gas	Gas Plant Products	 $ 27,496.56 
2004	Onshore	04030	CA	Kern	Royalties	Gas	Processed (Residue) Gas	 $ 337,635.34 
2004	Onshore	04030	CA	Kern	Royalties	Gas	Unprocessed (Wet) Gas	 $ 65,903.20 
2004	Onshore	04030	CA	Kern	Royalties	Oil	Condensate	 $ 11,773.43 
2004	Onshore	04030	CA	Kern	Royalties	Oil	Fuel Oil	 $ 110.93 
2004	Onshore	04030	CA	Kern	Royalties	Oil	Oil	 $ 10,098,301.54 
2004	Onshore	04031	CA	Kings	Other Revenues	Oil & Gas		 $ 2,265.34 
2004	Onshore	04031	CA	Kings	Royalties	Gas	Gas Plant Products	 $ 10,229.69 
2004	Onshore	04031	CA	Kings	Royalties	Gas	Processed (Residue) Gas	 $ 65,595.09 
2004	Onshore	04031	CA	Kings	Royalties	Oil	Oil	 $ 82,145.15 
2004	Onshore	04033	CA	Lake	Royalties	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds	 $ 2,689,982.36 
2004	Onshore	04035	CA	Lassen	Royalties	Geothermal	Geothermal - Direct Utilization, Millions of BTUs	 $ 39,865.28 
2004	Onshore	04037	CA	Los Angeles	Other Revenues	Oil & Gas		 $ 20,125.43 
2004	Onshore	04037	CA	Los Angeles	Royalties	Gas	Gas Lost - Flared or Vented	 $ 5,329.59 
2004	Onshore	04037	CA	Los Angeles	Royalties	Gas	Processed (Residue) Gas	 $ 328.58 
2004	Onshore	04037	CA	Los Angeles	Royalties	Gas	Unprocessed (Wet) Gas	 $ 35,825.15 
2004	Onshore	04037	CA	Los Angeles	Royalties	Oil	Condensate	 $ 70,646.03 
2004	Onshore	04037	CA	Los Angeles	Royalties	Oil	Oil	 $ 1,761,039.64 
2004	Onshore	04051	CA	Mono	Other Revenues	Geothermal		 $ 8,320.00 
2004	Onshore	04051	CA	Mono	Other Roy Vals	Geothermal		 $ (100,000.00)
2004	Onshore	04051	CA	Mono	Royalties	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours	 $ 186,978.74 
2004	Onshore	04053	CA	Monterey	Royalties	Oil	Oil	 $ 7,516.59 
2004	Onshore	04067	CA	Sacramento	Royalties	Gas	Unprocessed (Wet) Gas	 $ -   
2004	Onshore	04067	CA	Sacramento	Royalties	Oil	Condensate	 $ -   
2004	Onshore	04069	CA	San Benito	Other Revenues	Oil & Gas		 $ 40.30 
2004	Onshore	04069	CA	San Benito	Royalties	Oil	Oil	 $ 876.24 
2004	Onshore	04071	CA	San Bernardn	Royalties	Sodium	Borax-Anhydrous	 $ 31,693.82 
2004	Onshore	04071	CA	San Bernardn	Royalties	Sodium	Boric Oxide	 $ (328.08)
2004	Onshore	04071	CA	San Bernardn	Royalties	Sodium	Soda Ash-Granular	 $ 260,287.46 
2004	Onshore	04071	CA	San Bernardn	Royalties	Solids	Anhydrous Sodium Sulfate	 $ (18,463.04)
2004	Onshore	04071	CA	San Bernardn	Royalties	Solids	Borax-Decahydrate	 $ 635.38 
2004	Onshore	04071	CA	San Bernardn	Royalties	Solids	Borax-Pentahydrate	 $ (3,086.30)
2004	Onshore	04071	CA	San Bernardn	Royalties	Solids	Boric Acid	 $ (16,152.59)
2004	Onshore	04071	CA	San Bernardn	Royalties	Solids	Salt-Waste	 $ (52.69)
2004	Onshore	04077	CA	San Joaquin	Royalties	Gas	Unprocessed (Wet) Gas	 $ 2,675.80 
2004	Onshore	04079	CA	San Luis Ob.	Other Revenues	Oil & Gas		 $ 1,233.35 
2004	Onshore	04079	CA	San Luis Ob.	Other Roy Vals	Oil & Gas		 $ 6,215.00 
2004	Onshore	04079	CA	San Luis Ob.	Royalties	Oil	Oil	 $ 49,085.67 
2004	Onshore	04083	CA	Santa Barbar	Royalties	Gas	Gas Plant Products	 $ 543.04 
2004	Onshore	04083	CA	Santa Barbar	Royalties	Gas	Processed (Residue) Gas	 $ 175,231.44 
2004	Onshore	04083	CA	Santa Barbar	Royalties	Oil	Oil	 $ 307,299.77 
2004	Onshore	04095	CA	Solano	Royalties	Gas	Unprocessed (Wet) Gas	 $ 2,537,068.52 
2004	Onshore	04095	CA	Solano	Royalties	Oil	Condensate	 $ 8,286.97 
2004	Onshore	04097	CA	Sonoma	Royalties	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds	 $ 3,366,259.11 
2004	Onshore	04111	CA	Ventura	Other Revenues	Oil & Gas		 $ 511.37 
2004	Onshore	04111	CA	Ventura	Royalties	Gas	Gas Lost - Flared or Vented	 $ 2,753.81 
2004	Onshore	04111	CA	Ventura	Royalties	Gas	Gas Plant Products	 $ 21,730.54 
2004	Onshore	04111	CA	Ventura	Royalties	Gas	Processed (Residue) Gas	 $ 83,660.82 
2004	Onshore	04111	CA	Ventura	Royalties	Gas	Unprocessed (Wet) Gas	 $ 227,364.05 
2004	Onshore	04111	CA	Ventura	Royalties	Oil	Condensate	 $ 2,033.36 
2004	Onshore	04111	CA	Ventura	Royalties	Oil	Oil	 $ 730,299.01 
2004	Onshore	05005	CO	Arapahoe	Other Revenues	Oil & Gas		 $ 160.00 
2004	Onshore	05005	CO	Arapahoe	Royalties	Oil	Condensate	 $ 87.87 
2004	Onshore	05005	CO	Arapahoe	Royalties	Oil	Oil	 $ 435.70 
2004	Onshore	05007	CO	Archuleta	Other Roy Vals	Oil & Gas		 $ 325.99 
2004	Onshore	05007	CO	Archuleta	Royalties	Gas	Coal Bed Methane	 $ 9,826.87 
