Land Category	Calendar Year	Ofshore Region	Planning Area	Offshore Area	Protraction	Volume Type	Commodity	Product	 Sales Volumes 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Royalty	Oil	Oil (bbl)	  2,455,959.96 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	Gas	Flash Gas (mcf)	  486,108.88 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	Gas	Fuel Gas (mcf)	  2,049,187.21 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	Gas	Processed (Residue) Gas (mcf)	  94,145,426.25 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  84,536,863.05 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	NGL	Gas Plant Products (gal)	  99,107,855.06 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	Oil	Condensate (bbl)	  2,846,025.07 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  89,521.63 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	Oil	Inlet Scrubber (bbl)	  165.60 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Royalty	Oil	Oil (bbl)	  9,875,426.41 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalty	Gas	Flash Gas (mcf)	  1,298.69 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalty	Gas	Processed (Residue) Gas (mcf)	  23,611,106.32 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  60,616,347.62 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalty	NGL	Gas Plant Products (gal)	  63,186,309.05 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalty	Oil	Condensate (bbl)	  958,601.05 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  75,181.71 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalty	Oil	Inlet Scrubber (bbl)	  83.75 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Royalty	Oil	Oil (bbl)	  12,041,437.88 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalty	Gas	Flash Gas (mcf)	  22,833.36 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Royalty	Gas	Processed (Residue) Gas (mcf)	  8,056,645.48 
