Year	Commodity	Product	Volume
2005		Oil (bbl)	591135787.45
2006		Oil (bbl)	597516297.35
2007		Oil (bbl)	593651665.66
2010		Oil (bbl)	698016292.30
2013		Oil (bbl)	624356427.30
2009		Oil (bbl)	697544984.09
2008		Oil (bbl)	550550132.54
2010		Gas (mcf)	6266529413.86
2012		Oil (bbl)	613961417.28
2011		Oil (bbl)	618782277.69
2012		Gas (mcf)	5397876357.44
2009		Gas (mcf)	6531108932.71
2014		Gas (mcf)	4845632207.13
2014		Oil (bbl)	696431298.41
2013		Gas (mcf)	4967395174.32
2008		Gas (mcf)	6328776139.06
2007		Gas (mcf)	6525771643.14
2005		Gas (mcf)	6512469360.29
2011		Gas (mcf)	5766751056.17
2008		Zinc Concentrate (tons)	45452.00
2006		Gas (mcf)	6472023821.85
2010		Zinc Concentrate (tons)	43522.00
2005		Lead Concentrate (tons)	207576.00
2011		Zinc Concentrate (tons)	43763.00
2010		Copper Concentrate (tons)	8973.99
2012		Zinc Concentrate (tons)	32595.01
2013		Copper Concentrate (tons)	15448.00
2006		Lead Concentrate (tons)	223123.00
2008		Lead Concentrate (tons)	203433.00
2011		Copper Concentrate (tons)	8386.01
2012		Copper Concentrate (tons)	21424.34
2014		Copper Concentrate (tons)	20282.00
2006		Copper Concentrate (tons)	19002.00
2012		Lead Concentrate (tons)	155035.01
2011		Lead Concentrate (tons)	176582.00
2010		Lead Concentrate (tons)	184361.00
2008		Copper Concentrate (tons)	11909.01
2009		Copper Concentrate (tons)	8726.01
2007		Copper Concentrate (tons)	10960.00
2013		Geothermal - Electrical Generation, Kilowatt Hours	2372166722.57
2014		Geothermal - sulfur	2089.89
2007		Quartz Crystal (tickets/pounds)	2400.00
2013		Geothermal - sulfur	2448.04
2012		Geothermal - sulfur	2598.09
2014		Zinc Concentrate (tons)	44650.71
2005		Copper Concentrate (tons)	13141.00
2011		Geothermal - sulfur	3469.89
2007		Zinc Concentrate (tons)	55968.01
2010		Geothermal - sulfur	4669.79
2006		Zinc Concentrate (tons)	54880.01
2013		Zinc Concentrate (tons)	40418.39
2005		Zinc Concentrate (tons)	49449.00
2009		Zinc Concentrate (tons)	50275.99
2006		Quartz Crystal (tickets/pounds)	6350.00
2005		Gilsonite (tons)	8041.00
2005		Quartz Crystal (tickets/pounds)	8065.00
2006		Gilsonite (tons)	8776.00
2014		Lead Concentrate (tons)	143271.71
2007		Gilsonite (tons)	10879.00
2014		Geothermal - Electrical Generation, Kilowatt Hours	2578672343.96
2009		Gilsonite (tons)	13016.00
2013		Lead Concentrate (tons)	145983.48
2008		Gilsonite (tons)	16957.00
2009		Lead Concentrate (tons)	194150.01
2011		Geothermal - Electrical Generation, Other	19883.37
2010		Gilsonite (tons)	28082.00
2007		Lead Concentrate (tons)	221198.00
2014		Clay (tons)	33520.00
2011		Sodium Bi-Carbonate (tons)	34297.00
2012		Gilsonite (tons)	35927.00
2010		Sodium Bi-Carbonate (tons)	46904.00
2005		Purge Liquor (tons- equivalent)	61925.00
2006		Brine Barrels (barrels)	66862.00
2012		Sodium Bi-Carbonate (tons)	69262.00
2006		Purge Liquor (tons- equivalent)	69814.00
2013		Sodium Bi-Carbonate (tons)	71539.00
2012		Purge Liquor (tons- equivalent)	73594.00
2013		Purge Liquor (tons- equivalent)	88213.00
2011		Purge Liquor (tons- equivalent)	88407.00
2014		Purge Liquor (tons- equivalent)	91878.00
2007		Purge Liquor (tons- equivalent)	97711.00
2008		Sodium Bi-Carbonate (tons)	102512.00
2010		Purge Liquor (tons- equivalent)	104405.00
2014		Sodium Bi-Carbonate (tons)	107022.00
2009		Muriate Of Potash-Standard (tons)	112839.00
2008		Purge Liquor (tons- equivalent)	116333.00
2009		Purge Liquor (tons- equivalent)	118021.00
2013		Sodium Sesquicarbonate	121115.00
2014		Muriate Of Potash-Standard (tons)	127433.00
2013		Muriate Of Potash-Standard (tons)	132492.00
2009		Trona Ore (tons)	139699.00
2012		Muriate Of Potash-Standard (tons)	146453.00
2010		Muriate Of Potash-Standard (tons)	155054.00
2011		Muriate Of Potash-Standard (tons)	170449.00
2008		Muriate Of Potash-Standard (tons)	177001.00
2009		Geothermal - Direct Utilization, Millions of BTUs	179170.56
2005		Geothermal - Electrical Generation, Other	204030.26
2007		Geothermal - Electrical Generation, Other	207155.08
2008		Coal (tons)	468615143.00
2007		Geothermal - Direct Utilization, Millions of BTUs	217499.73
2008		Geothermal - Direct Utilization, Millions of BTUs	219089.01
2010		Geothermal - Electrical Generation, Other	223938.12
2010		Geothermal - Direct Utilization, Millions of BTUs	224486.30
2006		Geothermal - Electrical Generation, Other	227562.00
2011		Geothermal - Direct Utilization, Millions of BTUs	228010.63
2009		Muriate Of Potash-Granular (tons)	233928.00
2009		Geothermal - Electrical Generation, Other	233953.69
2008		Geothermal - Electrical Generation, Other	237415.56
2006		Geothermal - Direct Utilization, Millions of BTUs	238146.66
2014		Geothermal - Direct Utilization, Millions of BTUs	243504.10
2007		Muriate Of Potash-Standard (tons)	251708.00
2005		Geothermal - Direct Utilization, Millions of BTUs	260242.35
2006		Coal (tons)	422759555.96
2012		Coal (tons)	403187584.09
2012		Geothermal - Direct Utilization, Millions of BTUs	271469.64
2013		Geothermal - Direct Utilization, Millions of BTUs	276337.16
2008		Salt (tons)	314483.00
2006		Muriate Of Potash-Granular (tons)	327424.00
2010		Coal (tons)	438489366.77
2013		Muriate Of Potash-Granular (tons)	342439.00
2014		Langbeinite (tons)	363289.00
2010		Muriate Of Potash-Granular (tons)	364751.00
2009		Salt (tons)	372956.00
2008		Muriate Of Potash-Granular (tons)	398253.00
2012		Salt (tons)	409345.00
2012		Muriate Of Potash-Granular (tons)	424920.00
2005		Muriate Of Potash-Granular (tons)	424981.00
2013		Salt (tons)	425125.00
2007		Muriate Of Potash-Granular (tons)	429446.00
2010		Salt (tons)	434018.00
2011		Salt (tons)	439367.00
2011		Muriate Of Potash-Granular (tons)	454506.00
2014		Salt (tons)	457529.00
2014		Muriate Of Potash-Granular (tons)	467320.00
2006		Muriate Of Potash-Standard (tons)	469892.00
2005		Muriate Of Potash-Standard (tons)	476837.00
2006		Potash (tons)	492294.00
2014		Coal (tons)	375266658.61
2011		Coal (tons)	436025533.29
2005		Langbeinite (tons)	551675.00
2009		Coal (tons)	429263346.39
2013		Coal (tons)	376686235.68
2009		Langbeinite (tons)	648073.00
2014		Geothermal - Electrical Generation, Other	691756.00
2013		Langbeinite (tons)	707765.00
2005		Coal (tons)	415417017.00
2006		Langbeinite (tons)	734349.00
2011		Langbeinite (tons)	745606.00
2010		Langbeinite (tons)	830346.00
2012		Langbeinite (tons)	859349.00
2007		Coal (tons)	435839436.96
2007		Langbeinite (tons)	966101.00
2008		Langbeinite (tons)	974982.00
2007		Phosphate Raw Ore (tons)	2324385.00
2006		Phosphate Raw Ore (tons)	2381392.00
2008		Phosphate Raw Ore (tons)	2424258.00
2005		Geothermal - Electrical Generation, Kilowatt Hours	1670047946.60
2012		Geothermal - Electrical Generation, Kilowatt Hours	2132181179.01
2005		Phosphate Raw Ore (tons)	2621832.00
2007		Geothermal - Electrical Generation, Kilowatt Hours	1678895823.32
2010		Geothermal - Electrical Generation, Kilowatt Hours	2015118207.52
2009		Geothermal - Electrical Generation, Kilowatt Hours	1815600792.35
2008		Geothermal - Electrical Generation, Kilowatt Hours	1639893566.23
2006		Geothermal - Electrical Generation, Kilowatt Hours	1653821446.53
2011		Geothermal - Electrical Generation, Kilowatt Hours	2004451294.29
2005		Soda Ash (tons)	3416753.00
2009		Phosphate Raw Ore (tons)	3423741.00
2010		Phosphate Raw Ore (tons)	3523585.00
2012		Phosphate Raw Ore (tons)	4467766.00
2011		Phosphate Raw Ore (tons)	4690032.00
2012		Soda Ash (tons)	4740200.00
2006		Soda Ash (tons)	4755332.00
2013		Phosphate Raw Ore (tons)	4960123.00
2010		Soda Ash (tons)	4990309.00
2013		Soda Ash (tons)	5232597.00
2009		Soda Ash (tons)	5545300.00
2007		Soda Ash (tons)	5662599.00
2011		Soda Ash (tons)	5705147.00
2014		Phosphate Raw Ore (tons)	5777094.00
2014		Soda Ash (tons)	6075994.00
2008		Soda Ash (tons)	7069757.00
2014		Geothermal - Electrical Generation, Thousands of Pounds	2509148497.24
2013		Geothermal - Electrical Generation, Thousands of Pounds	2362410879.76
2012		Geothermal - Electrical Generation, Thousands of Pounds	2501855610.01
2009		Geothermal - Electrical Generation, Thousands of Pounds	2875731710.00
2011		Geothermal - Electrical Generation, Thousands of Pounds	2603301430.34
2010		Geothermal - Electrical Generation, Thousands of Pounds	2719032139.24
2008		Geothermal - Electrical Generation, Thousands of Pounds	2518754128.45
2007		Geothermal - Electrical Generation, Thousands of Pounds	2097093993.71
2006		Geothermal - Electrical Generation, Thousands of Pounds	2404278131.12
2005		Geothermal - Electrical Generation, Thousands of Pounds	2343379429.84
2014		Geothermal - Direct Utilization, Hundreds of Gallons	46536534.78
2013		Geothermal - Direct Utilization, Hundreds of Gallons	57238368.00
2014		Geothermal - Direct Use, Millions of Gallons	63624483.00
2013		Geothermal - Direct Use, Millions of Gallons	69920724.50
2011		Geothermal - Direct Use, Millions of Gallons	71606330.00
2006		Geothermal - Direct Utilization, Hundreds of Gallons	85859889.00
2005		Geothermal - Direct Utilization, Hundreds of Gallons	90021493.00
2007		Geothermal - Direct Utilization, Hundreds of Gallons	106272414.00
2012		Geothermal - Direct Use, Millions of Gallons	113448300.00
2012		Geothermal - Direct Utilization, Hundreds of Gallons	123103803.00
2008		Geothermal - Direct Utilization, Hundreds of Gallons	123838519.00
2011		Geothermal - Direct Utilization, Hundreds of Gallons	131014604.00
2010		Geothermal - Direct Utilization, Hundreds of Gallons	163346106.00
2009		Geothermal - Direct Utilization, Hundreds of Gallons	198988743.00
