State	ELEC.GEN.ALL-US-99.A	ELEC.GEN.ALL	Source	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Delaware	ELEC.GEN.SUN-DE-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	8	23	45
Delaware	ELEC.GEN.GEO-DE-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Delaware	ELEC.GEN.BIO-DE-99.A	ELEC.GEN.BIO	Biomass (total)	--	--	0	48	163	126	136	145	105	57
Delaware	ELEC.GEN.WWW-DE-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	--
Delaware	ELEC.GEN.WAS-DE-99.A	ELEC.GEN.WAS	Other biomass	--	--	0	48	163	126	136	145	105	57
District Of Columbia	ELEC.GEN.ALL-DC-99.A	ELEC.GEN.ALL	General
District Of Columbia	ELEC.GEN.HYC-DC-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	--	--	--	--	--	--	--	--	--	--
District Of Columbia	ELEC.GEN.AOR-DC-99.A	ELEC.GEN.AOR	All Other Renewables	--	--	--	--	--	--	--	--	--	--
District Of Columbia	ELEC.GEN.WND-DC-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
District Of Columbia	ELEC.GEN.SUN-DC-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
District Of Columbia	ELEC.GEN.GEO-DC-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
District Of Columbia	ELEC.GEN.BIO-DC-99.A	ELEC.GEN.BIO	Biomass (total)	--	--	--	--	--	--	--	--	--	--
District Of Columbia	ELEC.GEN.WWW-DC-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	--
District Of Columbia	ELEC.GEN.WAS-DC-99.A	ELEC.GEN.WAS	Other biomass	--	--	--	--	--	--	--	--	--	--
Florida	ELEC.GEN.ALL-FL-99.A	ELEC.GEN.ALL	General
Florida	ELEC.GEN.HYC-FL-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	265	266	203	154	206	208	177	182	151	254
Florida	ELEC.GEN.AOR-FL-99.A	ELEC.GEN.AOR	All Other Renewables	4502	4327	4331	4303	4303	4340	4487	4670	4524	4659
Florida	ELEC.GEN.WND-FL-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
Florida	ELEC.GEN.SUN-FL-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	9	80	126	194	210
Florida	ELEC.GEN.GEO-FL-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Florida	ELEC.GEN.BIO-FL-99.A	ELEC.GEN.BIO	Biomass (total)	4502	4327	4331	4303	4303	4331	4406	4544	4330	4449
Florida	ELEC.GEN.WWW-FL-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	2216	2022	1979	1930	1969	1954	2019	2209	2058	2139
Florida	ELEC.GEN.WAS-FL-99.A	ELEC.GEN.WAS	Other biomass	2285	2305	2352	2373	2334	2377	2387	2335	2273	2309
Georgia	ELEC.GEN.ALL-GA-99.A	ELEC.GEN.ALL	General
Georgia	ELEC.GEN.HYC-GA-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	3692	4032	2569	2236	2145	3260	3322	2705	2236	3714
Georgia	ELEC.GEN.AOR-GA-99.A	ELEC.GEN.AOR	All Other Renewables	3192	3272	3419	3415	2782	2825	3181	3190	3279	3839
Georgia	ELEC.GEN.WND-GA-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
Georgia	ELEC.GEN.SUN-GA-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	3	14
Georgia	ELEC.GEN.GEO-GA-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Georgia	ELEC.GEN.BIO-GA-99.A	ELEC.GEN.BIO	Biomass (total)	3192	3272	3419	3415	2782	2825	3181	3190	3276	3825
Georgia	ELEC.GEN.WWW-GA-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	3108	3195	3362	3362	2660	2746	3054	3070	3107	3409
Georgia	ELEC.GEN.WAS-GA-99.A	ELEC.GEN.WAS	Other biomass	83	77	57	53	122	80	127	119	168	415
Maryland	ELEC.GEN.ALL-MD-99.A	ELEC.GEN.ALL	General
Maryland	ELEC.GEN.HYC-MD-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	2508	1704	2104	1652	1974	1889	1667	2547	1657	1727
Maryland	ELEC.GEN.AOR-MD-99.A	ELEC.GEN.AOR	All Other Renewables	589	623	626	603	612	551	574	822	898	941
Maryland	ELEC.GEN.WND-MD-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	1	271	322	322
Maryland	ELEC.GEN.SUN-MD-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	0	3	22	63
Maryland	ELEC.GEN.GEO-MD-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Maryland	ELEC.GEN.BIO-MD-99.A	ELEC.GEN.BIO	Biomass (total)	589	623	626	603	612	551	572	548	554	556
Maryland	ELEC.GEN.WWW-MD-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	192	206	218	203	198	175	165	168	159	143
Maryland	ELEC.GEN.WAS-MD-99.A	ELEC.GEN.WAS	Other biomass	397	417	408	400	415	376	407	380	395	413
North Carolina	ELEC.GEN.ALL-NC-99.A	ELEC.GEN.ALL	General
North Carolina	ELEC.GEN.HYC-NC-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	5435	5397	3839	2984	3034	5171	4757	3893	3728	6901
North Carolina	ELEC.GEN.AOR-NC-99.A	ELEC.GEN.AOR	All Other Renewables	1733	1807	1828	1672	1922	1893	2083	2345	2704	2955
North Carolina	ELEC.GEN.WND-NC-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
North Carolina	ELEC.GEN.SUN-NC-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	2	5	11	17	139	345
North Carolina	ELEC.GEN.GEO-NC-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
North Carolina	ELEC.GEN.BIO-NC-99.A	ELEC.GEN.BIO	Biomass (total)	1733	1807	1828	1672	1920	1889	2072	2328	2564	2610
North Carolina	ELEC.GEN.WWW-NC-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	1621	1709	1737	1585	1800	1757	1876	1953	2262	2200
North Carolina	ELEC.GEN.WAS-NC-99.A	ELEC.GEN.WAS	Other biomass	112	98	92	87	120	131	195	375	302	410
South Carolina	ELEC.GEN.ALL-SC-99.A	ELEC.GEN.ALL	General
South Carolina	ELEC.GEN.HYC-SC-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	2447	2938	1807	1556	1123	2332	2376	1554	1420	3160
South Carolina	ELEC.GEN.AOR-SC-99.A	ELEC.GEN.AOR	All Other Renewables	1763	1814	1910	1996	1816	1748	1873	2129	2143	2226
South Carolina	ELEC.GEN.WND-SC-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
South Carolina	ELEC.GEN.SUN-SC-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	0
South Carolina	ELEC.GEN.GEO-SC-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
South Carolina	ELEC.GEN.BIO-SC-99.A	ELEC.GEN.BIO	Biomass (total)	1763	1814	1910	1996	1816	1748	1873	2129	2143	2226
South Carolina	ELEC.GEN.WWW-SC-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	1694	1726	1804	1895	1696	1611	1742	1988	1941	2013
South Carolina	ELEC.GEN.WAS-SC-99.A	ELEC.GEN.WAS	Other biomass	69	88	106	101	120	137	131	141	203	213
Virginia	ELEC.GEN.ALL-VA-99.A	ELEC.GEN.ALL	General
Virginia	ELEC.GEN.HYC-VA-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1583	1484	1351	1248	1011	1479	1500	1210	1044	1254
Virginia	ELEC.GEN.AOR-VA-99.A	ELEC.GEN.AOR	All Other Renewables	2432	2498	2458	2566	2698	2418	2220	2196	2358	2906
Virginia	ELEC.GEN.WND-VA-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
Virginia	ELEC.GEN.SUN-VA-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Virginia	ELEC.GEN.GEO-VA-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Virginia	ELEC.GEN.BIO-VA-99.A	ELEC.GEN.BIO	Biomass (total)	2432	2498	2458	2566	2698	2418	2220	2196	2358	2906
Virginia	ELEC.GEN.WWW-VA-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	1733	1803	1780	1792	1916	1708	1404	1406	1436	1946
Virginia	ELEC.GEN.WAS-VA-99.A	ELEC.GEN.WAS	Other biomass	699	695	678	773	782	709	815	790	923	960
West Virginia	ELEC.GEN.ALL-WV-99.A	ELEC.GEN.ALL	General
West Virginia	ELEC.GEN.HYC-WV-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1318	1448	1572	1254	1248	1646	1367	1453	1431	1739
West Virginia	ELEC.GEN.AOR-WV-99.A	ELEC.GEN.AOR	All Other Renewables	163	155	174	168	392	742	939	1112	1297	1391
West Virginia	ELEC.GEN.WND-WV-99.A	ELEC.GEN.WND	Wind	161	154	174	168	392	742	939	1103	1286	1387
West Virginia	ELEC.GEN.SUN-WV-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
West Virginia	ELEC.GEN.GEO-WV-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
West Virginia	ELEC.GEN.BIO-WV-99.A	ELEC.GEN.BIO	Biomass (total)	2	1	0	0	0	-1	0	9	11	4
West Virginia	ELEC.GEN.WWW-WV-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	1	0	0	0	0	-1	0	0	0	--
West Virginia	ELEC.GEN.WAS-WV-99.A	ELEC.GEN.WAS	Other biomass	2	0	0	0	0	0	0	9	11	4
East South Central	ELEC.GEN.ALL-ESC-99.A	ELEC.GEN.ALL	General
Alabama	ELEC.GEN.ALL-AL-99.A	ELEC.GEN.ALL	General
Alabama	ELEC.GEN.HYC-AL-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	10626	10145	7252	4136	6136	12535	8704	8884	7435	12899
Alabama	ELEC.GEN.AOR-AL-99.A	ELEC.GEN.AOR	All Other Renewables	3779	3647	3884	3801	3357	3050	2377	2817	2777	2876
Alabama	ELEC.GEN.WND-AL-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
Alabama	ELEC.GEN.SUN-AL-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Alabama	ELEC.GEN.GEO-AL-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Alabama	ELEC.GEN.BIO-AL-99.A	ELEC.GEN.BIO	Biomass (total)	3779	3647	3884	3801	3357	3050	2377	2817	2777	2876
Alabama	ELEC.GEN.WWW-AL-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	3756	3630	3865	3784	3324	3035	2365	2807	2769	2854
Alabama	ELEC.GEN.WAS-AL-99.A	ELEC.GEN.WAS	Other biomass	23	16	19	17	34	14	12	10	8	21
Kentucky	ELEC.GEN.ALL-KY-99.A	ELEC.GEN.ALL	General
Kentucky	ELEC.GEN.HYC-KY-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	3780	2961	2592	1669	1917	3318	2580	2969	2362	3275
Kentucky	ELEC.GEN.AOR-KY-99.A	ELEC.GEN.AOR	All Other Renewables	411	421	459	466	460	364	440	436	333	327
Kentucky	ELEC.GEN.WND-KY-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
Kentucky	ELEC.GEN.SUN-KY-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Kentucky	ELEC.GEN.GEO-KY-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Kentucky	ELEC.GEN.BIO-KY-99.A	ELEC.GEN.BIO	Biomass (total)	411	421	459	466	460	364	440	436	333	327
Kentucky	ELEC.GEN.WWW-KY-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	349	358	369	370	351	263	349	341	237	228
Kentucky	ELEC.GEN.WAS-KY-99.A	ELEC.GEN.WAS	Other biomass	62	63	89	95	109	101	91	95	96	98
Mississippi	ELEC.GEN.ALL-MS-99.A	ELEC.GEN.ALL	General
Mississippi	ELEC.GEN.HYC-MS-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	--	--	--	--	--	--	--	--	--	--
Mississippi	ELEC.GEN.AOR-MS-99.A	ELEC.GEN.AOR	All Other Renewables	1514	1522	1541	1493	1391	1424	1504	1506	1509	1448
Mississippi	ELEC.GEN.WND-MS-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
Mississippi	ELEC.GEN.SUN-MS-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Mississippi	ELEC.GEN.GEO-MS-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Mississippi	ELEC.GEN.BIO-MS-99.A	ELEC.GEN.BIO	Biomass (total)	1514	1522	1541	1493	1391	1424	1504	1506	1509	1448
Mississippi	ELEC.GEN.WWW-MS-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	1511	1516	1535	1488	1386	1417	1503	1503	1493	1433
Mississippi	ELEC.GEN.WAS-MS-99.A	ELEC.GEN.WAS	Other biomass	3	5	6	5	5	7	1	3	16	15
Tennessee	ELEC.GEN.ALL-TN-99.A	ELEC.GEN.ALL	General
Tennessee	ELEC.GEN.HYC-TN-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	10408	9310	7749	4940	5646	10212	8138	9576	8296	12443
Tennessee	ELEC.GEN.AOR-TN-99.A	ELEC.GEN.AOR	All Other Renewables	830	766	811	971	965	950	988	1020	836	1110
Tennessee	ELEC.GEN.WND-TN-99.A	ELEC.GEN.WND	Wind	4	3	55	50	50	52	41	53	47	47
Tennessee	ELEC.GEN.SUN-TN-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	12	20
Tennessee	ELEC.GEN.GEO-TN-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Tennessee	ELEC.GEN.BIO-TN-99.A	ELEC.GEN.BIO	Biomass (total)	826	763	756	921	915	899	947	967	777	1043
Tennessee	ELEC.GEN.WWW-TN-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	784	695	698	868	879	862	914	930	715	958
Tennessee	ELEC.GEN.WAS-TN-99.A	ELEC.GEN.WAS	Other biomass	42	68	58	52	36	36	33	36	62	85
West South Central	ELEC.GEN.ALL-WSC-99.A	ELEC.GEN.ALL	General
Arkansas	ELEC.GEN.ALL-AR-99.A	ELEC.GEN.ALL	General
Arkansas	ELEC.GEN.HYC-AR-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	3643	3083	1551	3237	4660	4193	3659	2958	2198	2655
Arkansas	ELEC.GEN.AOR-AR-99.A	ELEC.GEN.AOR	All Other Renewables	1810	1736	1723	1624	1513	1586	1624	1668	1660	1601
Arkansas	ELEC.GEN.WND-AR-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
Arkansas	ELEC.GEN.SUN-AR-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Arkansas	ELEC.GEN.GEO-AR-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Arkansas	ELEC.GEN.BIO-AR-99.A	ELEC.GEN.BIO	Biomass (total)	1810	1736	1723	1624	1513	1586	1624	1668	1660	1601
Arkansas	ELEC.GEN.WWW-AR-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	1778	1708	1689	1581	1466	1529	1567	1587	1590	1496
Arkansas	ELEC.GEN.WAS-AR-99.A	ELEC.GEN.WAS	Other biomass	33	28	33	43	47	57	57	81	70	105
Louisiana	ELEC.GEN.ALL-LA-99.A	ELEC.GEN.ALL	General
Louisiana	ELEC.GEN.HYC-LA-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1099	811	713	827	1064	1236	1109	1044	680	1045
Louisiana	ELEC.GEN.AOR-LA-99.A	ELEC.GEN.AOR	All Other Renewables	2966	2887	2962	2980	2710	2364	2468	2443	2430	2787
Louisiana	ELEC.GEN.WND-LA-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	--	--
Louisiana	ELEC.GEN.SUN-LA-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Louisiana	ELEC.GEN.GEO-LA-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Louisiana	ELEC.GEN.BIO-LA-99.A	ELEC.GEN.BIO	Biomass (total)	2966	2887	2962	2980	2710	2364	2468	2443	2430	2787
Louisiana	ELEC.GEN.WWW-LA-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	2890	2806	2881	2898	2639	2297	2393	2371	2366	2704
Louisiana	ELEC.GEN.WAS-LA-99.A	ELEC.GEN.WAS	Other biomass	77	80	81	82	71	67	74	71	64	82
Oklahoma	ELEC.GEN.ALL-OK-99.A	ELEC.GEN.ALL	General
Oklahoma	ELEC.GEN.HYC-OK-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	2977	2630	624	3066	3811	3553	2809	1507	1146	2178
Oklahoma	ELEC.GEN.AOR-OK-99.A	ELEC.GEN.AOR	All Other Renewables	823	1137	2010	2129	2551	2929	4160	5919	8521	11506
Oklahoma	ELEC.GEN.WND-OK-99.A	ELEC.GEN.WND	Wind	573	848	1712	1849	2358	2698	3808	5605	8158	11162
Oklahoma	ELEC.GEN.SUN-OK-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Oklahoma	ELEC.GEN.GEO-OK-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Oklahoma	ELEC.GEN.BIO-OK-99.A	ELEC.GEN.BIO	Biomass (total)	250	289	297	280	193	231	352	314	363	344
Oklahoma	ELEC.GEN.WWW-OK-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	250	289	297	276	23	68	255	227	269	218
Oklahoma	ELEC.GEN.WAS-OK-99.A	ELEC.GEN.WAS	Other biomass	0	0	0	4	170	163	97	87	94	126
Texas	ELEC.GEN.ALL-TX-99.A	ELEC.GEN.ALL	General
Texas	ELEC.GEN.HYC-TX-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1301	1333	662	1644	1039	1029	1262	563	584	480
Texas	ELEC.GEN.AOR-TX-99.A	ELEC.GEN.AOR	All Other Renewables	4247	5336	7818	10288	17639	21104	27705	32183	34017	37760
Texas	ELEC.GEN.WND-TX-99.A	ELEC.GEN.WND	Wind	3138	4237	6671	9006	16225	20026	26251	30548	32214	35874
Texas	ELEC.GEN.SUN-TX-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	8	29	118	163
Texas	ELEC.GEN.GEO-TX-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Texas	ELEC.GEN.BIO-TX-99.A	ELEC.GEN.BIO	Biomass (total)	1109	1098	1148	1281	1414	1078	1445	1606	1684	1723
Texas	ELEC.GEN.WWW-TX-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	857	852	892	914	976	649	900	928	984	993
Texas	ELEC.GEN.WAS-TX-99.A	ELEC.GEN.WAS	Other biomass	252	247	256	367	438	429	545	678	700	730
Mountain	ELEC.GEN.ALL-MTN-99.A	ELEC.GEN.ALL	General
Arizona	ELEC.GEN.ALL-AZ-99.A	ELEC.GEN.ALL	General
Arizona	ELEC.GEN.HYC-AZ-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	6973	6410	6793	6598	7286	6427	6622	9174	6717	5915
Arizona	ELEC.GEN.AOR-AZ-99.A	ELEC.GEN.AOR	All Other Renewables	48	74	54	42	114	202	319	529	1698	2733
Arizona	ELEC.GEN.WND-AZ-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	30	135	256	532	450
Arizona	ELEC.GEN.SUN-AZ-99.A	ELEC.GEN.SUN	Solar	4	14	13	9	15	14	16	83	955	2111
Arizona	ELEC.GEN.GEO-AZ-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Arizona	ELEC.GEN.BIO-AZ-99.A	ELEC.GEN.BIO	Biomass (total)	44	60	40	33	99	159	168	190	211	171
Arizona	ELEC.GEN.WWW-AZ-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	12	8	--	76	137	140	144	157	102
Arizona	ELEC.GEN.WAS-AZ-99.A	ELEC.GEN.WAS	Other biomass	44	48	32	33	23	22	28	47	54	69
Colorado	ELEC.GEN.ALL-CO-99.A	ELEC.GEN.ALL	General
Colorado	ELEC.GEN.HYC-CO-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1195	1415	1791	1730	2039	1886	1578	2083	1497	1213
Colorado	ELEC.GEN.AOR-CO-99.A	ELEC.GEN.AOR	All Other Renewables	255	811	896	1325	3284	3246	3555	5367	6192	7536
Colorado	ELEC.GEN.WND-CO-99.A	ELEC.GEN.WND	Wind	220	776	866	1292	3221	3164	3452	5200	5969	7204
Colorado	ELEC.GEN.SUN-CO-99.A	ELEC.GEN.SUN	Solar	--	--	--	2	18	26	42	105	165	248
Colorado	ELEC.GEN.GEO-CO-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Colorado	ELEC.GEN.BIO-CO-99.A	ELEC.GEN.BIO	Biomass (total)	35	34	31	31	45	57	60	62	58	84
Colorado	ELEC.GEN.WWW-CO-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	0	0	0	0	0	0	2	0	0	3
Colorado	ELEC.GEN.WAS-CO-99.A	ELEC.GEN.WAS	Other biomass	35	34	31	31	45	56	58	62	58	81
Idaho	ELEC.GEN.ALL-ID-99.A	ELEC.GEN.ALL	General
Idaho	ELEC.GEN.HYC-ID-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	8462	8542	11242	9022	9363	10434	9154	13405	10940	8473
Idaho	ELEC.GEN.AOR-ID-99.A	ELEC.GEN.AOR	All Other Renewables	560	560	690	653	748	867	1014	1892	2515	3152
Idaho	ELEC.GEN.WND-ID-99.A	ELEC.GEN.WND	Wind	--	--	170	172	207	313	441	1307	1891	2460
Idaho	ELEC.GEN.SUN-ID-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Idaho	ELEC.GEN.GEO-ID-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	86	76	72	63	75	40
Idaho	ELEC.GEN.BIO-ID-99.A	ELEC.GEN.BIO	Biomass (total)	560	560	520	481	455	478	501	522	549	652
Idaho	ELEC.GEN.WWW-ID-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	560	560	520	481	455	478	478	474	460	454
Idaho	ELEC.GEN.WAS-ID-99.A	ELEC.GEN.WAS	Other biomass	--	--	--	--	--	0	24	48	90	198
Montana	ELEC.GEN.ALL-MT-99.A	ELEC.GEN.ALL	General
Montana	ELEC.GEN.HYC-MT-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	8856	9587	10130	9364	10000	9506	9415	12596	11283	9638
Montana	ELEC.GEN.AOR-MT-99.A	ELEC.GEN.AOR	All Other Renewables	62	72	530	607	704	916	1027	1265	1262	1760
Montana	ELEC.GEN.WND-MT-99.A	ELEC.GEN.WND	Wind	--	--	436	496	593	821	930	1265	1262	1755
Montana	ELEC.GEN.SUN-MT-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Montana	ELEC.GEN.GEO-MT-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Montana	ELEC.GEN.BIO-MT-99.A	ELEC.GEN.BIO	Biomass (total)	62	72	94	111	111	95	97	--	--	5
Montana	ELEC.GEN.WWW-MT-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	62	72	94	111	111	95	97	--	--	5
Montana	ELEC.GEN.WAS-MT-99.A	ELEC.GEN.WAS	Other biomass	--	--	--	--	--	--	--	--	--	--
Nevada	ELEC.GEN.ALL-NV-99.A	ELEC.GEN.ALL	General
Nevada	ELEC.GEN.HYC-NV-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1615	1702	2058	2003	1751	2461	2157	2191	2440	2682
Nevada	ELEC.GEN.AOR-NV-99.A	ELEC.GEN.AOR	All Other Renewables	1298	1263	1344	1297	1539	1808	2287	2437	2969	3690
Nevada	ELEC.GEN.WND-NV-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	--	--	129	251
Nevada	ELEC.GEN.SUN-NV-99.A	ELEC.GEN.SUN	Solar	--	--	--	44	156	174	217	291	473	745
Nevada	ELEC.GEN.GEO-NV-99.A	ELEC.GEN.GEO	Geothermal	1298	1263	1344	1253	1383	1633	2070	2146	2347	2670
Nevada	ELEC.GEN.BIO-NV-99.A	ELEC.GEN.BIO	Biomass (total)	--	--	--	--	--	1	0	0	19	24
Nevada	ELEC.GEN.WWW-NV-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	1	0	0	0	0
Nevada	ELEC.GEN.WAS-NV-99.A	ELEC.GEN.WAS	Other biomass	--	--	--	--	--	--	--	--	19	24
New Mexico	ELEC.GEN.ALL-NM-99.A	ELEC.GEN.ALL	General
New Mexico	ELEC.GEN.HYC-NM-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	139	165	198	268	312	271	217	195	223	92
New Mexico	ELEC.GEN.AOR-NM-99.A	ELEC.GEN.AOR	All Other Renewables	513	799	1277	1409	1662	1580	1855	2242	2574	2600
New Mexico	ELEC.GEN.WND-NM-99.A	ELEC.GEN.WND	Wind	513	795	1255	1393	1643	1547	1832	2104	2226	2193
New Mexico	ELEC.GEN.SUN-NM-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	9	128	334	388
New Mexico	ELEC.GEN.GEO-NM-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	0
New Mexico	ELEC.GEN.BIO-NM-99.A	ELEC.GEN.BIO	Biomass (total)	0	5	22	16	19	34	14	9	14	19
New Mexico	ELEC.GEN.WWW-NM-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	--
New Mexico	ELEC.GEN.WAS-NM-99.A	ELEC.GEN.WAS	Other biomass	0	5	22	16	19	34	14	9	14	19
Utah	ELEC.GEN.ALL-UT-99.A	ELEC.GEN.ALL	General
Utah	ELEC.GEN.HYC-UT-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	450	784	747	539	668	835	696	1230	748	505
Utah	ELEC.GEN.AOR-UT-99.A	ELEC.GEN.AOR	All Other Renewables	199	189	205	195	302	487	781	961	1100	932
Utah	ELEC.GEN.WND-UT-99.A	ELEC.GEN.WND	Wind	--	--	--	--	24	160	448	573	704	540
Utah	ELEC.GEN.SUN-UT-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	2	2
Utah	ELEC.GEN.GEO-UT-99.A	ELEC.GEN.GEO	Geothermal	195	185	191	164	254	279	277	330	335	319
