State	ELEC.GEN.ALL-US-99.A	ELEC.GEN.ALL	Source	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Connecticut	ELEC.GEN.GEO-CT-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Connecticut	ELEC.GEN.BIO-CT-99.A	ELEC.GEN.BIO	Biomass (total)	758	753	763	730	734	759	740	660	667	652
Connecticut	ELEC.GEN.WWW-CT-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	5	7	9	2	2	1	0	1	1	4
Connecticut	ELEC.GEN.WAS-CT-99.A	ELEC.GEN.WAS	Other biomass	752	746	755	728	732	758	739	659	666	648
Maine	ELEC.GEN.ALL-ME-99.A	ELEC.GEN.ALL	General
Maine	ELEC.GEN.HYC-ME-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	3430	4091	4278	3738	4457	4212	3810	3979	3733	3560
Maine	ELEC.GEN.AOR-ME-99.A	ELEC.GEN.AOR	All Other Renewables	3598	4068	3968	4207	4058	3938	4152	4495	4099	4893
Maine	ELEC.GEN.WND-ME-99.A	ELEC.GEN.WND	Wind	--	--	--	99	132	299	499	707	887	1048
Maine	ELEC.GEN.SUN-ME-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Maine	ELEC.GEN.GEO-ME-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Maine	ELEC.GEN.BIO-ME-99.A	ELEC.GEN.BIO	Biomass (total)	3598	4068	3968	4108	3926	3640	3653	3788	3212	3846
Maine	ELEC.GEN.WWW-ME-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	3187	3778	3685	3848	3669	3367	3390	3511	2945	3625
Maine	ELEC.GEN.WAS-ME-99.A	ELEC.GEN.WAS	Other biomass	411	290	283	260	258	273	264	277	267	220
Massachusetts	ELEC.GEN.ALL-MA-99.A	ELEC.GEN.ALL	General
Massachusetts	ELEC.GEN.HYC-MA-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	998	1042	1513	797	1156	1201	996	1149	912	992
Massachusetts	ELEC.GEN.AOR-MA-99.A	ELEC.GEN.AOR	All Other Renewables	1230	1258	1279	1240	1255	1229	1274	1207	1843	1448
Massachusetts	ELEC.GEN.WND-MA-99.A	ELEC.GEN.WND	Wind	--	--	--	--	4	6	22	61	90	205
Massachusetts	ELEC.GEN.SUN-MA-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	0	0	1	5	30	106
Massachusetts	ELEC.GEN.GEO-MA-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Massachusetts	ELEC.GEN.BIO-MA-99.A	ELEC.GEN.BIO	Biomass (total)	1230	1258	1279	1240	1252	1223	1251	1140	1724	1137
Massachusetts	ELEC.GEN.WWW-MA-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	114	120	125	119	123	115	125	101	659	77
Massachusetts	ELEC.GEN.WAS-MA-99.A	ELEC.GEN.WAS	Other biomass	1116	1138	1154	1121	1129	1108	1125	1039	1065	1061
New Hampshire	ELEC.GEN.ALL-NH-99.A	ELEC.GEN.ALL	General
New Hampshire	ELEC.GEN.HYC-NH-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1316	1799	1529	1265	1633	1680	1478	1605	1289	1427
New Hampshire	ELEC.GEN.AOR-NH-99.A	ELEC.GEN.AOR	All Other Renewables	883	942	746	1123	1175	1198	1232	1091	1381	1695
New Hampshire	ELEC.GEN.WND-NH-99.A	ELEC.GEN.WND	Wind	--	--	--	--	10	62	76	66	209	389
New Hampshire	ELEC.GEN.SUN-NH-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
New Hampshire	ELEC.GEN.GEO-NH-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
New Hampshire	ELEC.GEN.BIO-NH-99.A	ELEC.GEN.BIO	Biomass (total)	883	942	746	1123	1165	1135	1157	1025	1173	1306
New Hampshire	ELEC.GEN.WWW-NH-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	728	786	590	970	1010	984	1030	917	1035	1169
New Hampshire	ELEC.GEN.WAS-NH-99.A	ELEC.GEN.WAS	Other biomass	155	156	156	153	155	151	127	108	137	137
Rhode Island	ELEC.GEN.ALL-RI-99.A	ELEC.GEN.ALL	General
Rhode Island	ELEC.GEN.HYC-RI-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	5	7	6	4	5	5	4	7	4	4
Rhode Island	ELEC.GEN.AOR-RI-99.A	ELEC.GEN.AOR	All Other Renewables	102	0	149	155	158	145	140	130	102	53
Rhode Island	ELEC.GEN.WND-RI-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	3	3	1	3
Rhode Island	ELEC.GEN.SUN-RI-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	2
