Year	MSHA ID	Mine Name	Mine State	Mine County	Mine Status	Mine Type	Company Type	Operation Type	Operating Company	Operating Company Address	Union Code	Coal Supply Region	Production (short tons)	Average Employees	Labor Hours
2014	103444	Little Spring Creek Mine	Alabama	Walker	Active	Surface	Indepedent Producer Operator	Mine only	Cedar Lake Mining, Inc.	2600 Warrior Jasper Road, Warrior, AL 35549		Appalachia Southern	7,316	10	3,957
2014	103321	Poplar Springs	Alabama	Winston	Active	Surface	Indepedent Producer Operator	Mine only	Centennial Natural Resources L	P.O. Box 2420, Jasper, AL 35502		Appalachia Southern	220,792	26	83,484
2014	103358	Old Union	Alabama	Winston	Active	Surface	Indepedent Producer Operator	Mine only	Birmingham Coal & Coke Co Inc	912 Edenton St, Birmingham, AL 35242		Appalachia Southern	211,677	60	74,160
2014	5000030	Usibelli	Alaska	Denali	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Usibelli Coal Mine Inc	P.O. Box 1000, Healy, AK 99743	International Brotherhood Of Teamsters, Chauffeurs, Warehouse	Western	1,501,758	120	276,467
2014	201195	Kayenta Mine	Arizona	Navajo	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Peabody Western Coal Company	P.O. Box 650, Kayenta, AZ 86033	United Mine Workers Of America	Western	8,050,607	387	998,331
2014	301569	Penny #1	Arkansas	Sebastian	Temporarily closed	Surface	Indepedent Producer Operator	Mine only	Comer Mining Company	P.O. Box 986, Greenwood, AR 72936		Interior	7,001	2	1,095
2014	301736	Sebastian Mine	Arkansas	Sebastian	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Sebastian Management Llc	P.O. Box 339, Hartford, AR 72938		Interior	86,988	82	177,539
2014	504591	Bowie No 2 Mine	Colorado	Delta	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Bowie Resources Llc	P.O. Box 1488, Paonia, CO 81428		Uinta Region	2,407,598	348	748,115
2014	503672	West Elk Mine	Colorado	Gunnison	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Mountain Coal Company, L.L.C.	P.O. Box 591, Somerset, CO 81434		Uinta Region	6,192,656	351	744,347
2014	504864	King Ii	Colorado	La Plata	Active	Underground	Operating Subsidiary	Mine only	Gcc Energy Llc	6473 County Road 120, Hesperus, CO 81326		Western	970,780	128	282,402
2014	504975	Bates Portals	Colorado	Las Animas	Active	Underground	Indepedent Producer Operator	Mine only	New Elk Coal Company Llc	12250 Hy12, Weston, CO 81091		Western	9,935	15	25,086
2014	502838	Trapper Mine	Colorado	Moffat	Active	Surface	Indepedent Producer Operator	Mine only	Trapper Mining Inc	P.O. Box 187, Craig, CO 81626	International Union Of Operation Engineers	Uinta Region	1,943,717	177	358,437
2014	502962	Colowyo Mine	Colorado	Moffat	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Colowyo Coal Company L P	5731 State Highway 13, Meeker, CO 81641		Uinta Region	2,481,775	217	421,935
2014	500299	New Horizon Mine	Colorado	Montrose	Active	Surface	Operating Subsidiary	Mine only	Western Fuels-Colorado, Llc	P.O. Box 628, Nucla, CO 81424	United Mine Workers Of America	Western	283,654	29	55,425
2014	503505	Deserado Mine	Colorado	Rio Blanco	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Blue Mountain Energy Inc	3607 County Road #65, Rangely, CO 81648	United Mine Workers Of America	Uinta Region	1,882,624	163	329,283
2014	4801645	Addcar System 18 Hwm Serial No	Colorado	Rio Blanco	Active	Surface	Operating Subsidiary	Mine only	Ugm Addcar Systems Llc	No. 1 Hwm Drive, Ashland, KY 41102		Uinta Region	1,175,264	27	69,412
2014	503836	Foidel Creek Mine	Colorado	Routt	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Peabody Twentymile Mining Llc	29515 Routt Cnty Rd#27, Oak Creek, CO 80467		Uinta Region	6,659,492	367	819,902
2014	1103189	Mc#1 Mine	Illinois	Franklin	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	M-Class Mining Llc	11351 N. Thompsonville Rd., Macedonia, IL 62860		Illinois Basin	9,097,628	356	822,719
2014	1103017	Wildcat Hills Mine - Cottage G	Illinois	Gallatin	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Peabody Midwest Mining, Llc	7100 Eagle Crest Blvd., Suite, Evansville, IN 47715		Illinois Basin	1,919,376	189	446,197
2014	1103203	White Oak Mine No. 1	Illinois	Hamilton	Active	Underground	Indepedent Producer Operator	Mine only	White Oak Resources Llc	P.O. Box 339, Mcleansboro, IL 62859		Illinois Basin	1,736,928	280	670,136
2014	1103242	Alliance Wor Processing	Illinois	Hamilton	Active	Underground	Indepedent Producer Operator	Preparation Plant	Alliance Wor Processing	Rt. 1,  Bocx 184-B, Dahlgren, IL 62828		Illinois Basin	0	23	42,278
2014	1103020	Creek Paum Mine	Illinois	Jackson	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Knight Hawk Coal Llc	500 Cuttler-Trico Road, Percy, IL 62272		Illinois Basin	15,450	6	13,625
2014	1100601	Rend Lake	Illinois	Jefferson	Active, men working, not producing	Surface	Indepedent Producer Operator	Preparation Plant	Consolidation Coal Company	1000 Consol Energy Drive, Canonsburg, PA 15317		Illinois Basin	0	5	5,829
2014	1100726	Shay #1 Mine	Illinois	Macoupin	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Maryan Mining Llc	14300 Brushy Mound Rd, Carlinville, IL 62626		Illinois Basin	1,633,881	109	242,794
2014	1102236	Crown Ii Mine	Illinois	Macoupin	Active, men working, not producing	Surface	Indepedent Producer Operator	Preparation Plant	Springfield Coal Company Llc	P.O. Box 260, Industry, IL 61440		Illinois Basin	0	2	3,722
2014	1102236	Crown Ii Mine	Illinois	Macoupin	Active, men working, not producing	Underground	Indepedent Producer Operator	Preparation Plant	Springfield Coal Company Llc	P.O. Box 260, Industry, IL 61440		Illinois Basin	0	1	3,721
2014	1103182	Deer Run Mine	Illinois	Montgomery	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Patton Mining Llc	211 N Broadway,ste 2600, St. Louis, MO 63102		Illinois Basin	5,564,836	169	374,753
2014	1103045	Red Hawk	Illinois	Perry	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Knight Hawk Coal, Llc	500 Cutler-Trico Road, Percy, IL 62272		Illinois Basin	373,158	37	84,743
2014	1103143	Prairie Eagle	Illinois	Perry	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Knight Hawk Coal, Llc	500 Cutler-Trico Road, Percy, IL 62272		Illinois Basin	76,959	20	48,710
2014	1103143	Prairie Eagle	Illinois	Perry	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Knight Hawk Coal, Llc	500 Cutler-Trico Road, Percy, IL 62272		Illinois Basin	0	18	42,409
2014	1103147	Prairie Eagle-Underground	Illinois	Perry	Active	Underground	Indepedent Producer Operator	Mine only	Knight Hawk Coal, Llc	500 Cutler-Trico Rd, Percy, IL 62272		Illinois Basin	3,175,516	211	468,977
2014	1103241	Jordan	Illinois	Perry	Active	Surface	Indepedent Producer Operator	Mine only	Elk Land Holdings, Llc	2206 Samuel Stuart Ct., Chesterfield, MO 63005		Illinois Basin	45,094	3	6,548
2014	1102408	Gateway Mine	Illinois	Randolph	Active	Underground	Operating Subsidiary	Mine only	Peabody Midwest Mining, Llc	7100 Eagle Crest Blvd., Suite, Evansville, IN 47715		Illinois Basin	2,478,541	187	435,367
2014	1102546	Preparation Plant	Illinois	Randolph	Active	Underground	Indepedent Producer Operator	Preparation Plant	Peabody Midwest Mining, Llc	P.O. Box 397, Coulterville, IL 62237		Illinois Basin	0	32	63,611
2014	1103226	Hawkeye Mine	Illinois	Randolph	Active	Surface	Indepedent Producer Operator	Mine only	Knight Hawk Coal, Llc	500 Cutler-Trico Road, Percy, IL 62272		Illinois Basin	262,572	20	46,191
2014	1103248	Black Hawk	Illinois	Randolph	Active	Surface	Indepedent Producer Operator	Mine only	Knight Hawk Coal Llc	500 Cutler/Trico Road, Percy, IL 62272		Illinois Basin	920,124	31	69,686
2014	1103225	Kinder Morgan Cahokia Terminal	Illinois	St Clair	Active	Surface	Indepedent Producer Operator	Preparation Plant	Kinder Morgan Operating Lp, C	#2 Monsanto Avenute, Sauget, IL 62201		Illinois Basin	0	20	54,647
2014	1103225	Kinder Morgan Cahokia Terminal	Illinois	St Clair	Active	Underground	Indepedent Producer Operator	Preparation Plant	Kinder Morgan Operating Lp, C	#2 Monsanto Avenute, Sauget, IL 62201		Illinois Basin	0	20	54,647
2014	1102752	The American Coal Company New	Illinois	Saline	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	The American Coal Company	P.O. Box 727, Harrisburg, IL 62946		Illinois Basin	5,509,709	596	1,383,098
2014	1103099	Willow Lake Central Preparatio	Illinois	Saline	Active	Surface	Operating Subsidiary	Preparation Plant	Big Ridge Inc	420 Long Lane Road, Equality, IL 62934	United Mine Workers Of America	Illinois Basin	0	7	16,253
2014	1103099	Willow Lake Central Preparatio	Illinois	Saline	Active	Underground	Operating Subsidiary	Preparation Plant	Big Ridge Inc	420 Long Lane Road, Equality, IL 62934	United Mine Workers Of America	Illinois Basin	0	17	37,925
2014	1103156	Wildcat Hills Mine-Underground	Illinois	Saline	Active	Underground	Operating Subsidiary	Mine only	Peabody Midwest Mining, Llc	7100 Eagle Crst Blvd, #100, Evansville, IN 47715		Illinois Basin	2,018,114	284	656,806
2014	1103212	Eagle River Coal Llc Mine No 1	Illinois	Saline	Active	Surface	Indepedent Producer Operator	Mine only	Eagle River Coal Llc	29 W. Raymond St, Harrisburg, IL 62946		Illinois Basin	794,059	57	114,775
2014	1103232	New Future Mine	Illinois	Saline	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	The American Coal Company	P.O. Box 727, Harrisburg, IL 62946		Illinois Basin	5,744,296	333	747,770
2014	1102664	Viper Mine	Illinois	Sangamon	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	Icg Illinois, Llc	5945 Lester Road, Williamsville, IL 62693		Illinois Basin	2,141,184	307	606,833
2014	1103064	Friendsville Mine	Illinois	Wabash	Active	Surface	Operating Subsidiary	Mine and Preparation Plant	Friendsville Mine Llc	528 Main St. Ste 202, Evansville, IN 47708		Illinois Basin	849,383	49	157,219
2014	1103193	Lively Grove Mine	Illinois	Washington	Active	Underground	Indepedent Producer Operator	Mine only	Prairie State Generating Compa	4274 County Hwy 12, Marissa, IL 62257		Illinois Basin	4,556,865	361	771,473
2014	1103058	Pattiki	Illinois	White	Active	Underground	Operating Subsidiary	Mine and Preparation Plant	White County Coal, Llc	P.O. Box 457, Carmi, IL 62821		Illinois Basin	2,573,351	292	731,726
2014	1103141	Mach #1 Mine	Illinois	Williamson	Active	Underground	Indepedent Producer Operator	Mine and Preparation Plant	Mach Mining Llc	P.O. Box 300, Johnston City, IL 62951		Illinois Basin	6,482,276	176	448,241
2014	1202460	Ace In The Hole	Indiana	Clay	Active	Surface	Indepedent Producer Operator	Mine only	Sunrise Coal, Llc	1183 E Canvasback Dr, Terre Haute, IN 47802		Illinois Basin	334,528	25	58,863
2014	1201946	Viking Mine - Corning Pit	Indiana	Daviess	Active, men working, not producing	Surface	Operating Subsidiary	Mine and Preparation Plant	Peabody Midwest Mining, Llc	P.O. Box 28, Montgomery, IN 47558		Illinois Basin	114,138	18	43,431
2014	1202372	Antioch Mine	Indiana	Daviess	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Solar Sources, Inc.	P.O. Box 7, Petersburg, IN 47567		Illinois Basin	1,014,125	99	250,772
2014	1202374	Shamrock Mine	Indiana	Dubois	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Solar Sources, Inc.	625 N. Ninth St., Petersburg, IN 47567		Illinois Basin	1,223,405	125	319,446
2014	1202425	Hilsmeyer Mine	Indiana	Dubois	Active	Surface	Indepedent Producer Operator	Mine and Preparation Plant	Sun Energy Group, Llc	2701 W 1100 S, Huntingburg, IN 47542		Illinois Basin	178,354	15	29,031
