Company	Type	Government Reported	Company Reported	Variance Dollars	Variance Percent
Ultra Resources Inc.	Bonus & 1st Year Rental	0	0	0	0
Ultra Resources Inc.	Permit Fees	1079450	1072950	6500	0.6
Ultra Resources Inc.	Renewables	0	0	0	0
Ultra Resources Inc.	AML Fees	0	0	0	0
Ultra Resources Inc.	OSMRE Civil Penalties	0	0	0	0
Ultra Resources Inc.	Corporate Income Tax	N/A	7500000	NaN	N/A
Venari Offshore LLC	Royalties	0	0	0	0
Venari Offshore LLC	Rents	633600	633600	0	0
Venari Offshore LLC	Bonus	67811424	67811424	0	0
Venari Offshore LLC	Other Revenue	0	0	0	0
Venari Offshore LLC	Offshore Inspection Fee	0	0	0	0
Venari Offshore LLC	ONRR Civil Penalties	0	0	0	0
Venari Offshore LLC	Bonus & 1st Year Rental	0	0	0	0
Venari Offshore LLC	Permit Fees	0	0	0	0
Venari Offshore LLC	Renewables	0	0	0	0
Venari Offshore LLC	AML Fees	0	0	0	0
Venari Offshore LLC	OSMRE Civil Penalties	0	0	0	0
Venari Offshore LLC	Corporate Income Tax	0	N/A	N/A	N/A
W&T Offshore, Inc.	Royalties	112117802	112117802	0	0
W&T Offshore, Inc.	Rents	2923574	2923574	0	0
W&T Offshore, Inc.	Bonus	392000	392000	0	0
W&T Offshore, Inc.	Other Revenue	1765934	1765934	0	0
W&T Offshore, Inc.	Offshore Inspection Fee	651500	651500	0	0
W&T Offshore, Inc.	ONRR Civil Penalties	210000	210000	0	0
W&T Offshore, Inc.	Bonus & 1st Year Rental	0	0	0	0
W&T Offshore, Inc.	Permit Fees	0	0	0	0
W&T Offshore, Inc.	Renewables	0	0	0	0
W&T Offshore, Inc.	AML Fees	0	0	0	0
W&T Offshore, Inc.	OSMRE Civil Penalties	0	0	0	0
W&T Offshore, Inc.	Corporate Income Tax	56125879	56125879	0	0
Walter Oil & Gas Corporation	Royalties	84708541	did not participate	N/A	N/A
Walter Oil & Gas Corporation	Rents	1061006	did not participate	N/A	N/A
Walter Oil & Gas Corporation	Bonus	2822500	did not participate	N/A	N/A
Walter Oil & Gas Corporation	Other Revenue	-3386358	did not participate	N/A	N/A
Walter Oil & Gas Corporation	Offshore Inspection Fee	581400	did not participate	N/A	N/A
Walter Oil & Gas Corporation	ONRR Civil Penalties	0	did not participate	N/A	N/A
Walter Oil & Gas Corporation	Bonus & 1st Year Rental	0	did not participate	N/A	N/A
Walter Oil & Gas Corporation	Permit Fees	0	did not participate	N/A	N/A
Walter Oil & Gas Corporation	Renewables	0	did not participate	N/A	N/A
Walter Oil & Gas Corporation	AML Fees	0	did not participate	N/A	N/A
Walter Oil & Gas Corporation	OSMRE Civil Penalties	0	did not participate	N/A	N/A
Walter Oil & Gas Corporation	Corporate Income Tax	0	did not participate	N/A	N/A
WPX Energy, Inc.	Royalties	88077827	88116556	-38729	0
WPX Energy, Inc.	Rents	154045	123452	30593	20
WPX Energy, Inc.	Bonus	0	0	0	0
WPX Energy, Inc.	Other Revenue	1183618	1214994	-31376	2.7
WPX Energy, Inc.	Offshore Inspection Fee	0	0	0	0
WPX Energy, Inc.	ONRR Civil Penalties	0	214	-214	100
WPX Energy, Inc.	Bonus & 1st Year Rental	0	0	0	0
WPX Energy, Inc.	Permit Fees	1600395	1599000	1395	0.1
WPX Energy, Inc.	Renewables	0	0	0	0
WPX Energy, Inc.	AML Fees	0	0	0	0
WPX Energy, Inc.	OSMRE Civil Penalties	0	0	0	0
WPX Energy, Inc.	Corporate Income Tax	N/A	-27500000	NaN	N/A
