Year	State	Resource	Revenue
2004	MO	minerals	177752.67
2005	MO	minerals	21530.00
2006	MO	minerals	20389.65
2007	MO	minerals	20191.50
2008	MO	minerals	-17296.60
2008	MO	other	14161006.54
2009	MO	minerals	13003.00
2010	MO	minerals	13003.00
2010	MO	oilgas	7037.20
2011	MO	minerals	13043.00
2012	MO	minerals	16897.00
2013	MO	other	9346248.93
2013	MO	minerals	16897.00
2004	MO	other	811386.29
2005	MO	other	5104767.20
2006	MO	other	10358659.95
2007	MO	other	17761752.73
2009	MO	other	9306934.69
2010	MO	other	13256995.71
2011	MO	other	14835289.12
2012	MO	other	11519614.55
