Year	State	Commodity	Product	Volume
2004	NM	Gas	Unprocessed (Wet) Gas (mcf)	334296250.99
2004	NM	Gas	Coal Bed Methane (mcf)	278770627.61
2004	NM	Gas	Processed (Residue) Gas (mcf)	327058746.43
2004	NM	NGL	Gas Plant Products (gal)	1260811090.20
2004	NM	Oil	Condensate (bbl)	3854434.90
2004	NM	Oil	Oil (bbl)	24976788.45
2004	NM	Gas	Flash Gas (mcf)	9150.02
2004	NM	Oil	Drip or Scrubber Condensate (bbl)	30473.67
2004	NM	Brine Barrels	Brine Barrels (bbl)	57816.00
2004	NM	Langbeinite	Langbeinite (ton)	854891.00
2004	NM	Muriate Of Potash-Granular	Muriate Of Potash-Granular (ton)	465127.00
2004	NM	Muriate Of Potash-Standard	Muriate Of Potash-Standard (ton)	198675.00
2004	NM	Potash	Potash (ton)	425643.00
2004	NM	Salt	Salt (ton)	284088.00
2004	NM	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	9036595.59
2004	NM	Oil	Other Liquid Hydrocarbons (bbl)	3.00
2004	NM	Coal	Coal (ton)	7269699.00
2004	NV	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	104184341.00
2004	NV	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	674485048.46
2004	NV	Sand/Gravel	Sand/Gravel (ton)	524208.00
2004	NV	Potash	Potash (ton)	1072.00
2004	NV	Oil	Oil (bbl)	459934.18
2004	NY	Gas	Unprocessed (Wet) Gas (mcf)	18738.57
2004	OH	Gas	Unprocessed (Wet) Gas (mcf)	657768.59
2004	OH	Oil	Oil (bbl)	29484.28
2004	OH	Gas	Processed (Residue) Gas (mcf)	13880.00
2004	OK	Gas	Unprocessed (Wet) Gas (mcf)	15024554.35
2004	OK	Oil	Condensate (bbl)	52793.44
2004	OK	Oil	Oil (bbl)	121022.91
2004	OK	Gas	Processed (Residue) Gas (mcf)	789806.43
2004	OK	NGL	Gas Plant Products (gal)	1617146.81
2004	OK	Oil	Other Liquid Hydrocarbons (bbl)	177.95
2004	OK	Coal	Coal (ton)	767819.00
2004	OK	Gas	Coal Bed Methane (mcf)	65104.87
2004	OK	Oil	Inlet Scrubber (bbl)	2.62
2004	PA	Gas	Unprocessed (Wet) Gas (mcf)	68589.32
2004	PA	Gas	Processed (Residue) Gas (mcf)	6081.91
2004	PA	Oil	Oil (bbl)	392.62
2004	SD	Oil	Oil (bbl)	158471.37
2004	SD	Gas	Unprocessed (Wet) Gas (mcf)	239981.92
2004	TX	Oil	Oil (bbl)	389911.97
2004	TX	Gas	Processed (Residue) Gas (mcf)	423073.51
2004	TX	Gas	Unprocessed (Wet) Gas (mcf)	23374627.07
2004	TX	Oil	Condensate (bbl)	38920.22
2004	TX	NGL	Gas Plant Products (gal)	2040024.33
2004	TX	Oil	Drip or Scrubber Condensate (bbl)	760.00
2004	TX	Gas	Fuel Gas (mcf)	2680.40
2004	TX	Oil	Inlet Scrubber (bbl)	-373.00
2004	UT	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2523949051.63
2004	UT	Coal	Coal (ton)	20482634.00
2004	UT	Gas	Coal Bed Methane (mcf)	12292659.59
2004	UT	Gas	Fuel Gas (mcf)	7045.12
2004	UT	Gas	Processed (Residue) Gas (mcf)	8544955.07
2004	UT	Gas	Unprocessed (Wet) Gas (mcf)	120989289.32
2004	UT	Oil	Oil (bbl)	4407782.12
2004	UT	Oil	Condensate (bbl)	567627.37
2004	UT	NGL	Gas Plant Products (gal)	47350183.04
2004	UT	Clay	Clay (ton)	18407.00
2004	UT	Oil	Drip or Scrubber Condensate (bbl)	972.65
2004	UT	Magnesium Chloride Brine	Magnesium Chloride Brine (ton)	58204.00
2004	UT	Manure Salts	Manure Salts (ton)	6043.00
2004	UT	Potash	Potash (ton)	19335.00
2004	UT	Salt	Salt (ton)	9137.00
2004	UT	Gilsonite	Gilsonite (ton)	18458.00
2004	VA	Gas	Unprocessed (Wet) Gas (mcf)	513808.48
2004	VA	Limestone	Limestone (ton)	126597.00
2004	WA	Coal	Coal (ton)	10683.00
2004	WV	Gas	Unprocessed (Wet) Gas (mcf)	1466494.81
2004	WV	Gas	Processed (Residue) Gas (mcf)	3500.00
2004	WV	Oil	Oil (bbl)	27.19
2004	WY	Gas	Fuel Gas (mcf)	56998.50
2004	WY	Oil	Oil (bbl)	26544206.39
2004	WY	Gas	Processed (Residue) Gas (mcf)	275153284.37
2004	WY	Gas	Unprocessed (Wet) Gas (mcf)	623720469.82
2004	WY	NGL	Gas Plant Products (gal)	327498741.40
2004	WY	Oil	Condensate (bbl)	5611000.79
2004	WY	Coal	Coal (ton)	374947098.00
2004	WY	Gas	Coal Bed Methane (mcf)	91655735.51
2004	WY	Oil	Drip or Scrubber Condensate (bbl)	151124.41
2004	WY	Sulfur	Sulfur (lton)	3221973.75
2004	WY	Oil	Inlet Scrubber (bbl)	17.24
2004	WY	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	58441594.31
2004	WY	Purge Liquor	Purge Liquor (ton)	41385.00
2004	WY	Soda Ash	Soda Ash (ton)	1999311.00
2004	WY	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	22315.00
2004	WY	Sodium Sesquicarbonate	Sodium Sesquicarbonate (ton)	43432.00
2004	WY	Trona Ore	Trona Ore (ton)	5480.00
2005	AK	Gas	Processed (Residue) Gas (mcf)	70338.24
2005	AK	Gas	Unprocessed (Wet) Gas (mcf)	31389635.16
2005	AK	NGL	Gas Plant Products (gal)	2348392.00
2005	AK	Oil	Oil (bbl)	223886.33
2005	AL	Gas	Processed (Residue) Gas (mcf)	204841.49
2005	AL	Oil	Other Liquid Hydrocarbons (bbl)	1189.59
2005	AL	Sulfur	Sulfur (lton)	351.15
2005	AL	Clay	Clay (ton)	45640.00
2005	AL	Oil	Oil (bbl)	195111.99
2005	AL	Gas	Unprocessed (Wet) Gas (mcf)	578211.48
2005	AL	NGL	Gas Plant Products (gal)	39.98
2005	AL	Oil	Condensate (bbl)	0.68
2005	AL	Gas	Coal Bed Methane (mcf)	105563.43
2005	AL	Gas	Fuel Gas (mcf)	24.68
2005	AR	Gas	Processed (Residue) Gas (mcf)	5933.36
2005	AR	Oil	Oil (bbl)	34.45
2005	AR	Gas	Unprocessed (Wet) Gas (mcf)	9229854.48
2005	AR	Quartz Crystal	Quartz Crystal (lb)	10236.00
2005	AR	Gas	Coal Bed Methane (mcf)	2073.60
2005	AZ	Salt	Salt (ton)	44.00
2005	CA	Gas	Unprocessed (Wet) Gas (mcf)	2719908.95
2005	CA	Oil	Condensate (bbl)	117863.51
2005	CA	Gas	Processed (Residue) Gas (mcf)	1446051.16
2005	CA	NGL	Gas Plant Products (gal)	1472461.31
2005	CA	Oil	Oil (bbl)	14442407.63
2005	CA	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	988196801.68
2005	CA	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	204030.26
2005	CA	Gas	Gas Lost - Flared or Vented (mcf)	45948.02
2005	CA	Oil	Fuel Oil (bbl)	32.00
2005	CA	Oil	Inlet Scrubber (bbl)	155.26
2005	CA	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	53196738.69
2005	CA	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	260242.35
2005	CA	Anhydrous Sodium Sulfate	Anhydrous Sodium Sulfate (ton)	165121.00
2005	CA	Borax-Anhydrous	Borax-Anhydrous (ton)	905.00
2005	CA	Borax-Decahydrate	Borax-Decahydrate (ton)	8170.00
2005	CA	Borax-Pentahydrate	Borax-Pentahydrate (ton)	10324.00
2005	CA	Boric Acid	Boric Acid (ton)	15829.00
2005	CA	Salt	Salt (ton)	85884.00
2005	CA	Soda Ash	Soda Ash (ton)	865308.00
2005	CA	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	14730.00
