Company	Revenue Type	Commodity	Revenue
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	$920 
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	N/A	"$5,127 "
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	"$26,383 "
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	"$338,240 "
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	"$4,009,310 "
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	"$2,895 "
ADDISON OIL LLC	ONRR - Royalties	Gas	"($24,132)"
ADDISON OIL LLC	ONRR - Royalties	Oil	"$126,347 "
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	"$91,180 "
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	"$94,187 "
AERA ENERGY LLC	ONRR - Royalties	Gas	"$72,982 "
AERA ENERGY LLC	ONRR - Royalties	Oil	"$34,301,123 "
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	"$7,429 "
AGC SODA CORP	ONRR - Other Revenues	Sodium	"$15,815 "
AGC SODA CORP	ONRR - Royalties	Other Commodities	Withheld
AGNICO-EAGLE USA LIMITED	BLM - Permit Fees	Locatable Minerals	"$200,400 "
ALAMO-PALACE MP 59 LLC	BLM - Permit Fees	Oil & Gas	"$6,500 "
ALAMO-PALACE MP 59 LLC	ONRR - Other Revenues	Oil & Gas	"($6,478)"
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	"$3,996,329 "
ALLEN & KIRMSE LTD	BLM - Permit Fees	Oil & Gas	$620 
ALLEN & KIRMSE LTD	ONRR/BLM - Bonus	Oil & Gas	"$2,974,340 "
ALLEN & KIRMSE LTD	ONRR/BLM - Rents	Oil & Gas	"$6,239 "
ALLIANCE COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	"$4,097,068 "
