Year	State	County	FIPS	Volume
2012	OH	Athens County	39009	2
2007	OH	Athens County	39009	2
2012	OH	Trumbull County	39155	2
2014	OH	Athens County	39009	1
2014	OH	Perry County	39127	2
2014	OH	Stark County	39151	2
2014	OH	Trumbull County	39155	2
2013	OH	Trumbull County	39155	2
2010	OH	Perry County	39127	2
2007	OH	Perry County	39127	2
2009	OH	Perry County	39127	2
2013	OH	Perry County	39127	2
2013	OH	Muskingum County	39119	2
2013	OH	Stark County	39151	2
2008	OH	Perry County	39127	2
2014	OH	Muskingum County	39119	2
2006	OH	Perry County	39127	2
2009	OH	Stark County	39151	2
2011	OH	Perry County	39127	2
2005	OH	Perry County	39127	2
2008	OH	Licking County	39089	1
2012	OH	Perry County	39127	2
2012	OH	Muskingum County	39119	2
2011	OH	Stark County	39151	2
2012	OH	Stark County	39151	2
2010	OH	Stark County	39151	2
2011	OH	Muskingum County	39119	2
2010	OH	Muskingum County	39119	2
2008	OH	Stark County	39151	2
2007	OH	Stark County	39151	2
2006	OH	Stark County	39151	2
2009	OH	Muskingum County	39119	2
2008	OH	Muskingum County	39119	2
2013	OH	Licking County	39089	1
2005	OH	Muskingum County	39119	2
2006	OH	Muskingum County	39119	2
2007	OH	Muskingum County	39119	2
2014	OH	Licking County	39089	1
2005	OH	Stark County	39151	2
2011	OH	Trumbull County	39155	2
2011	OH	Licking County	39089	1
2009	OH	Trumbull County	39155	2
2009	OH	Licking County	39089	1
2010	OH	Licking County	39089	1
2008	OH	Trumbull County	39155	2
2005	OH	Trumbull County	39155	2
2012	OH	Licking County	39089	1
2010	OH	Trumbull County	39155	2
2009	OH	Monroe County	39111	2
2007	OH	Trumbull County	39155	2
2014	OH	Monroe County	39111	2
2006	OH	Trumbull County	39155	2
2011	OH	Athens County	39009	1
2008	OH	Monroe County	39111	2
2013	OH	Athens County	39009	1
2013	OH	Washington County	39167	2
2007	OH	Monroe County	39111	2
2010	OH	Monroe County	39111	2
2013	OH	Monroe County	39111	2
2013	OH	Hocking County	39073	2
2014	OH	Hocking County	39073	2
2011	OH	Hocking County	39073	1
2010	OH	Hocking County	39073	1
2012	OH	Monroe County	39111	2
2012	OH	Hocking County	39073	1
2010	OH	Athens County	39009	1
2012	OH	Washington County	39167	2
2006	OH	Monroe County	39111	2
2007	OH	Hocking County	39073	1
2005	OH	Washington County	39167	2
2011	OH	Monroe County	39111	2
2005	OH	Athens County	39009	1
2007	OH	Washington County	39167	2
2006	OH	Hocking County	39073	1
2009	OH	Athens County	39009	1
2009	OH	Washington County	39167	2
2008	OH	Athens County	39009	1
2005	OH	Monroe County	39111	2
2009	OH	Hocking County	39073	1
2006	OH	Washington County	39167	2
2011	OH	Washington County	39167	2
2005	OH	Hocking County	39073	1
2010	OH	Washington County	39167	2
2008	OH	Hocking County	39073	1
2008	OH	Washington County	39167	2
2006	OH	Athens County	39009	1
2014	OH	Mahoning County	39099	2
2014	OH	Washington County	39167	2
2013	OH	Mahoning County	39099	2
2012	OH	Mahoning County	39099	2
2011	OH	Mahoning County	39099	2
2010	OH	Mahoning County	39099	2
2008	OH	Mahoning County	39099	2
2009	OH	Mahoning County	39099	2
2005	OH	Mahoning County	39099	2
2007	OH	Mahoning County	39099	2
2012	OH	Lawrence County	39087	1
2006	OH	Mahoning County	39099	2
2009	OH	Lawrence County	39087	1
2014	OH	Portage County	39133	2
2013	OH	Portage County	39133	2
2012	OH	Portage County	39133	2
2011	OH	Portage County	39133	2
2010	OH	Portage County	39133	2
2008	OH	Lawrence County	39087	1
2009	OH	Portage County	39133	2
2006	OH	Portage County	39133	2
2007	OH	Portage County	39133	2
2007	OH	Lawrence County	39087	1
2005	OH	Portage County	39133	2
2008	OH	Portage County	39133	2
2006	OH	Lawrence County	39087	1
2005	OH	Lawrence County	39087	1
