Year	Region	Area	Commodity	Product	Type	Revenue	Count
2010	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Other Royalties	9209.35	12
2010	Gulf	Central Gulf of Mexico	Gas	 Processed (Residue) Gas 	Other Royalties	310411.32	11
2010	Gulf	Central Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Other Royalties	-236330.27	13
2010	Gulf	Central Gulf of Mexico	NGL	 Gas Plant Products 	Other Royalties	72740.03	10
2010	Gulf	Central Gulf of Mexico	Oil	 Condensate 	Other Royalties	-426919.01	27
2010	Gulf	Central Gulf of Mexico	Oil	 Oil 	Other Royalties	734150.68	30
2010	Gulf	Central Gulf of Mexico	Oil & Gas		Other Royalties	56243922.35	35
2010	Gulf	Central Gulf of Mexico	Oil & Gas		Rents	143693780.75	42
2010	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Royalties	15726743.38	25
2010	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Royalties	7160350.52	17
2010	Gulf	Central Gulf of Mexico	Gas	 Gas Lost - Flared or Vented 	Royalties	308449.83	7
2010	Gulf	Central Gulf of Mexico	Gas	 Processed (Residue) Gas 	Royalties	535936095.56	33
2010	Gulf	Central Gulf of Mexico	Gas	 Unprocessed (Wet) Gas 	Royalties	253137920.85	35
2010	Gulf	Central Gulf of Mexico	NGL	 Gas Plant Products 	Royalties	180103244.26	32
2010	Gulf	Central Gulf of Mexico	Oil	 Condensate 	Royalties	229235266.78	35
2010	Gulf	Central Gulf of Mexico	Oil	 Drip or Scrubber Condensate 	Royalties	9336308.37	28
2010	Gulf	Central Gulf of Mexico	Oil	 Oil 	Royalties	3303950180.34	33
2011	Gulf	Central Gulf of Mexico	Oil & Gas		Other Revenues	2025978.06	27
2011	Gulf	Central Gulf of Mexico	Gas	 Flash Gas 	Other Royalties	493.55	7
2011	Gulf	Central Gulf of Mexico	Gas	 Fuel Gas 	Other Royalties	65347.69	13
2011	Gulf	Central Gulf of Mexico	Gas	 Processed (Residue) Gas 	Other Royalties	369643.43	12
