Year	Region	Area	Commodity	Product	Volume	Count
2004	Gulf		Gas	Unprocessed (Wet) Gas (mcf)	-0.01	1
2004	Pacific	Southern California	Gas	Fuel Gas (mcf)	9831.00	1
2004	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	26524346.64	1
2004	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	2998044.83	1
2004	Pacific	Southern California	NGL	Gas Plant Products (gal)	17622248.89	1
2004	Pacific	Southern California	Oil	Condensate (bbl)	14588.82	1
2004	Pacific	Southern California	Oil	Drip or Scrubber Condensate (bbl)	72249.12	1
2004	Pacific	Southern California	Oil	Oil (bbl)	27341534.92	1
2004	Pacific	Southern California	Other	Sulfur (lton)	4877.45	1
2005	Alaska	Beaufort Sea	Oil	Oil (bbl)	3999992.71	1
2005	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	11196479.14	19
2005	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	272720.92	6
2005	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	1209658846.04	32
2005	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	1061833483.67	34
2005	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	1545307157.93	32
2005	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	26661490.46	32
2005	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	907604.71	29
2005	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	371878874.77	32
2005	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	1528169.13	23
2005	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	15002.95	15
2005	Gulf	Central Gulf of Mexico	Other	Salt (ton)	28603.00	1
2005	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	9748.20	1
2005	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	5791.42	1
2005	Gulf	Eastern Gulf of Mexico	Gas	Flash Gas (mcf)	1142.00	1
