Year	Region	Area	Commodity	Product	Volume	Count
2012	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	7622.17	3
2012	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	81.30	1
2012	Gulf	Eastern Gulf of Mexico	Oil	Condensate (bbl)	4889.11	3
2012	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	73230641.22	3
2012	Gulf	Eastern Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	14242.86	1
2012	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	194813559.99	15
2012	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	81550225.00	16
2012	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	424286746.61	15
2012	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	22656731.90	18
2012	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	244991.52	6
2012	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	45626580.26	14
2012	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	334857.38	12
2012	Gulf	Western Gulf of Mexico	Gas	Fuel Gas (mcf)	24604.60	1
2012	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	2480.10	5
2012	Pacific	Southern California	Gas	Fuel Gas (mcf)	13945.00	1
2012	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	9943325.40	1
2012	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	2640365.43	1
2012	Pacific	Southern California	NGL	Gas Plant Products (gal)	4264164.42	1
2012	Pacific	Southern California	Oil	Condensate (bbl)	15315.66	1
2012	Pacific	Southern California	Oil	Inlet Scrubber (bbl)	27166.36	1
2012	Pacific	Southern California	Oil	Oil (bbl)	17589177.19	1
2012	Pacific	Southern California	Other	Sulfur (lton)	2582.94	1
2013	Alaska	Beaufort Sea	Oil	Oil (bbl)	652367.69	1
2013	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	683868065.97	35
2013	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	229869010.69	36
2013	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	1538035828.87	35
2013	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	25951706.51	36
2013	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	374643.49	27
2013	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	372802281.38	33
2013	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	1149081.72	26
2013	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	13516976.22	25
2013	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	635439.72	10
2013	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	225010.67	24
2013	Gulf	Central Gulf of Mexico	Other	Salt (ton)	26546.00	1
2013	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	6481.36	1
2013	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	69.22	1
2013	Gulf	Eastern Gulf of Mexico	Oil	Condensate (bbl)	5719.85	3
2013	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	35533846.84	3
2013	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	155062766.63	15
2013	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	66433705.57	17
2013	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	399728852.95	15
2013	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	17404774.58	17
2013	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	174435.14	6
2013	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	45215446.82	13
2013	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	214770.83	10
2013	Gulf	Western Gulf of Mexico	Gas	Fuel Gas (mcf)	44585.00	4
2013	Gulf	Western Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	8091.00	1
2013	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	687.16	2
2013	Pacific	Southern California	Gas	Fuel Gas (mcf)	2565.00	1
2013	Pacific	Southern California	Gas	Processed (Residue) Gas (mcf)	10921851.14	1
2013	Pacific	Southern California	Gas	Unprocessed (Wet) Gas (mcf)	1925816.68	1
2013	Pacific	Southern California	NGL	Gas Plant Products (gal)	5131381.27	1
2013	Pacific	Southern California	Oil	Condensate (bbl)	14306.76	1
2013	Pacific	Southern California	Oil	Inlet Scrubber (bbl)	30890.96	1
2013	Pacific	Southern California	Oil	Oil (bbl)	18623737.42	1
2013	Pacific	Southern California	Other	Sulfur (lton)	2900.14	1
