CY,St,Commodity,Revenue Type,Sum of Total
,,Oil & Gas (Non-Royalty),Other Revenues,107976.93
,,,Rents,6735
,SC,Hardrock,Other Revenues,3330
,SD,Gas,Royalties,13970.15
,,Oil,Royalties,536692.87
,,Oil & Gas (Non-Royalty),Bonus,26320
,,,Other Revenues,11013.04
,,,Rents,185086
,TX,CO2,Royalties,1314.73
,,Gas,Royalties,1841583.25
,,NGL,Royalties,6887105.31
,,Oil,Royalties,2040230.51
,,Oil & Gas (Non-Royalty),Other Revenues,217180.84
,,,Rents,412378.77
,UT,Clay,Other Revenues,930.46
,,,Royalties,8463.93
,,CO2,Royalties,109048.69
,,Coal,Bonus,3440000
,,,Other Revenues,2971903.11
,,,Rents,249712
,,,Royalties,32519176.93
,,Gas,Royalties,42293218.8
,,Geothermal,Bonus,19140.5
,,,Rents,81309
,,,Royalties,344995.43
,,Gilsonite,Other Revenues,5658
,,,Rents,1309
,,,Royalties,1417560.95
,,Gold,Other Revenues,1953
,,,Rents,651
,,NGL,Royalties,4988579.26
,,Oil,Royalties,39338198.58
,,Oil  ,Rents,320
,,Oil & Gas (Non-Royalty),Bonus,175884.25
,,,Other Revenues,-1924498.73
,,,Rents,1265175.49
,,Phosphate,Other Revenues,24360
,,Potassium,Other Revenues,377805.12
,,,Rents,-6590
,,,Royalties,178067.92
,,Sodium,Royalties,2486.61
,VA,Gas,Royalties,17258.89
,,Hardrock,Other Revenues,1065
,,,Rents,355
,,Oil & Gas (Non-Royalty),Other Revenues,15927.75
,,,Rents,21254
,WA,Coal,Royalties,1195.88
,,Geothermal,Rents,8437
,WV,Gas,Royalties,22882.15
,,Oil & Gas (Non-Royalty),Other Revenues,398291.73
,,,Rents,8630
,WY,CO2,Royalties,4061979.65
,,Coal,Bonus,307860637.3
,,,Other Revenues,-7903.3
,,,Rents,603237.24
,,,Royalties,397070065.6
,,Gas,Other Revenues,1730.6
,,,Royalties,256254081
,,NGL,Other Revenues,1195.89
,,,Royalties,42256118.42
,,Oil,Royalties,163944345.9
,,Oil & Gas (Non-Royalty),Bonus,10311853
,,,Other Revenues,1783951.85
,,,Rents,7388340.56
,,Sodium,Bonus,424121.28
,,,Other Revenues,93888.44
,,,Rents,-30929.5
,,,Royalties,33162755.99
,,Sulfur,Royalties,221509.11
2006,AK,Coal,Rents,5120
,,Gas,Other Revenues,180625.92
,,,Royalties,13993320.68
,,NGL,Royalties,139228.34
,,Oil,Other Revenues,-11.6
,,,Royalties,1810092.43
,,Oil & Gas (Non-Royalty),Other Revenues,50883.13
,,,Rents,8968619.75
,AL,Clay,Royalties,20117.1
,,Coal,Bonus,64113.6
,,,Rents,4830
,,,Royalties,1780.73
,,Gas,Royalties,780638.16
,,Hardrock,Other Revenues,123
,,,Rents,-41
,,NGL,Royalties,9.45
,,Oil,Royalties,648227.9
,,Oil & Gas (Non-Royalty),Bonus,175620
,,,Other Revenues,13553.3
,,,Rents,47055.5
,,Sulfur,Royalties,1193.1
,AR,Gas,Royalties,8274401.21
,,Hardrock,Other Revenues,1291
,,,Rents,9
,,,Royalties,267
,,Oil,Royalties,243.75
,,Oil & Gas (Non-Royalty),Bonus,7120378.99
,,,Other Revenues,-185484.64
,,,Rents,1485824.5
,AZ,Geothermal,Rents,4168
,,Oil & Gas (Non-Royalty),Rents,61945.5
,,Sodium,Other Revenues,12
,,,Rents,4
,,,Royalties,72.47
,CA,Gas,Royalties,5228800.99
,,Geothermal,Other Revenues,22517.18
,,,Rents,120067.24
,,,Royalties,11387545.97
,,NGL,Royalties,294589.25
,,Oil,Royalties,93078519.83
,,Oil & Gas (Non-Royalty),Bonus,2237089.75
,,,Other Revenues,569618.57
,,,Rents,558366.48
,,Sodium,Other Revenues,-139.23
,,,Rents,3087
,,,Royalties,4883871.58
,CO,CO2,Royalties,24279648.79
,,Coal,Bonus,555142.87
,,,Other Revenues,3549.37
,,,Rents,188146.4
,,,Royalties,48424625.79
,,Gas,Royalties,162935102.3
,,NGL,Royalties,4601849.2
,,Oil,Other Revenues,-185.38
,,,Rents,-22.9
,,,Royalties,33952941.97
,,Oil  ,Other Revenues,20000
,,,Rents,15264
,,Oil & Gas (Non-Royalty),Bonus,27263502.5
,,,Other Revenues,265694.15
,,,Rents,6432194.33
,,Sodium,Other Revenues,-18031
,,,Rents,-8224
,,,Royalties,361867.12
,FL,Oil & Gas (Non-Royalty),Other Revenues,6070.8
,,,Rents,12116.5
,,Phosphate,Royalties,1398.1
,ID,Hardrock,Other Revenues,929.2
,,,Rents,-100
,,,Royalties,3464.85
,,Oil & Gas (Non-Royalty),Rents,2712.5
,,Phosphate,Other Revenues,100083
,,,Rents,7924
,,,Royalties,2064495.78
,IL,Oil,Royalties,271844.9
,,Oil & Gas (Non-Royalty),Other Revenues,175
,KS,Gas,Other Revenues,216.83
,,,Royalties,4935394.68
,,Helium,Royalties,-57.39
,,NGL,Royalties,456079.31
,,Oil,Rents,-160
