CY,St,Commodity,Revenue Type,Sum of Total
,,Oil,Royalties,40323912.49
,,Oil  ,Rents,1252
,,Oil & Gas (Non-Royalty),Bonus,867492
,,,Other Revenues,8722842.47
,,,Rents,5308286.79
,,Sodium,Other Revenues,60399
,,,Rents,13051
,,,Royalties,513414.2
,FL,Oil & Gas (Non-Royalty),Rents,3200
,,Phosphate,Other Revenues,2134
,,,Royalties,521357.53
,ID,Geothermal,Bonus,53464
,,,Other Revenues,2181
,,,Rents,152813
,,Hardrock,Other Revenues,126
,,,Rents,-25
,,,Royalties,620
,,Oil & Gas (Non-Royalty),Rents,18228
,,Phosphate,Bonus,755824
,,,Other Revenues,121541.12
,,,Rents,3473.5
,,,Royalties,8534799.04
,IL,Hardrock,Other Revenues,3454.87
,,Oil,Royalties,293429.06
,IN,Oil,Royalties,20846.36
,,Oil & Gas (Non-Royalty),Rents,5802
,KS,Gas,Royalties,2575929
,,Helium,Royalties,32.65
,,NGL,Royalties,1084902.45
,,Oil,Royalties,3794385.12
,,Oil & Gas (Non-Royalty),Bonus,2495
,,,Other Revenues,359850.55
,,,Rents,44317.5
,KY,Coal,Bonus,9450
,,,Other Revenues,281.08
,,,Rents,13716
,,,Royalties,1689965.21
,,Gas,Royalties,96803.68
,,NGL,Royalties,6174.57
,,Oil,Royalties,138008.84
,,Oil & Gas (Non-Royalty),Bonus,7672
,,,Other Revenues,24566.49
,,,Rents,5942
,LA,Gas,Royalties,10595116.61
,,NGL,Royalties,2266245.09
,,Oil,Other Revenues,8.13
,,,Royalties,4442082.17
,,Oil & Gas (Non-Royalty),Bonus,10283052
,,,Other Revenues,528498.98
,,,Rents,215175
,MD,Oil & Gas (Non-Royalty),Other Revenues,11038.04
,,,Rents,496
,MI,Gas,Royalties,824571.54
,,Hardrock,Rents,923
,,NGL,Royalties,76774.54
,,Oil,Royalties,306503.17
,,Oil & Gas (Non-Royalty),Bonus,103080
,,,Other Revenues,40550.3
,,,Rents,78488.83
,MN,Hardrock,Other Revenues,48660
,,,Rents,-3745.5
,MO,Hardrock,Other Revenues,12303
,,,Rents,740
,,,Royalties,14835289.1
,,Oil & Gas (Non-Royalty),Other Revenues,7877.2
,MS,Gas,Royalties,378508.65
,,Oil,Royalties,3668206.7
,,Oil & Gas (Non-Royalty),Bonus,1690832.5
,,,Other Revenues,124458.07
,,,Rents,570714
,MT,Coal,Bonus,3980440
,,,Other Revenues,1425280.79
,,,Rents,127402
,,,Royalties,43776576.85
,,Gas,Royalties,7323979.08
,,Hardrock,Rents,121.5
,,NGL,Royalties,460264.82
,,Oil,Royalties,27440491.35
,,Oil & Gas (Non-Royalty),Bonus,5274628.5
,,,Other Revenues,568923.73
,,,Rents,2527262.59
,,Phosphate,Other Revenues,4241.45
,,,Rents,1409
,,Sulfur,Royalties,9789.04
,NC,Hardrock,Other Revenues,474
,,,Rents,158
,ND,Coal,Bonus,6400
,,,Rents,33912
,,,Royalties,1057378.52
,,Gas,Royalties,4327661.88
,,NGL,Royalties,1639729.75
,,Oil,Royalties,104578084
,,Oil & Gas (Non-Royalty),Bonus,99832571
,,,Other Revenues,2824733.37
,,,Rents,1045657.98
,NE,Oil,Royalties,349883.44
,,Oil & Gas (Non-Royalty),Other Revenues,47294.71
,,,Rents,578
,NM,CO2,Royalties,1254302.48
,,Coal,Other Revenues,81860.43
,,,Rents,87999
,,,Royalties,8989647.39
,,Gas,Other Revenues,123.38
,,,Royalties,360976778.8
,,Geothermal,Other Revenues,-6149.62
,,,Rents,36612
,,NGL,Royalties,160960169.8
,,Oil,Royalties,365797822.5
,,Oil & Gas (Non-Royalty),Bonus,28952637
,,,Other Revenues,25371638.4
,,,Rents,2667835.63
,,Potassium,Other Revenues,321023.92
,,,Rents,720.5
,,,Royalties,21516187.9
,,Sodium,Other Revenues,-5657.81
,,,Rents,125.6
,,,Royalties,227885.21
,,Sulfur,Royalties,65189.6
,NV,Geothermal,Bonus,349527
,,,Other Revenues,159933.71
,,,Rents,2221435
,,,Royalties,3805122.92
,,Oil,Royalties,4396705.28
,,Oil & Gas (Non-Royalty),Bonus,785542
,,,Other Revenues,15541.44
,,,Rents,6030611.05
,NY,Gas,Royalties,21546.22
,,Oil & Gas (Non-Royalty),Other Revenues,199.14
,OH,Gas,Royalties,313489.71
,,Oil,Royalties,250633.96
,,Oil & Gas (Non-Royalty),Bonus,78
,,,Other Revenues,20013.69
,,,Rents,79625.98
,OK,Coal,Other Revenues,218.77
,,,Rents,33633
,,,Royalties,1111693.18
,,Gas,Royalties,7253757.78
,,NGL,Royalties,472945.12
,,Oil,Royalties,1788030.32
,,Oil & Gas (Non-Royalty),Bonus,3898210
,,,Other Revenues,235220.9
,,,Rents,314333.5
,OR,Geothermal,Other Revenues,36057
,,,Rents,265839
,,Oil & Gas (Non-Royalty),Rents,492137
,PA,Gas,Royalties,65116
,,Oil,Royalties,29967.7
,,Oil & Gas (Non-Royalty),Other Revenues,11939.84
,SC,Hardrock,Other Revenues,3370.7
,,,Rents,93
,SD,Gas,Royalties,91269.7
,,Oil,Royalties,1916529.14
,,Oil & Gas (Non-Royalty),Bonus,364146
,,,Other Revenues,13937.13
,,,Rents,127748
,TN,Oil & Gas (Non-Royalty),Other Revenues,132
,TX,Gas,Royalties,18232886.41
,,NGL,Royalties,-1283627.16
,,Oil,Royalties,3601452.66
,,Oil & Gas (Non-Royalty),Bonus,16226208
,,,Other Revenues,807159.67
,,,Rents,468808.97
,UT,Clay,Other Revenues,462
,,,Rents,314
,,,Royalties,3761.28
,,CO2,Royalties,92067.76
,,Coal,Bonus,1475320
,,,Other Revenues,-335049.51
,,,Rents,245193.86
,,,Royalties,23928635.03
,,Gas,Royalties,112367150.7
,,Geothermal,Other Revenues,5886.06
,,,Rents,432158
,,,Royalties,283747.21
,,Gilsonite,Other Revenues,21093
,,,Rents,-1301.5
,,,Royalties,2351729
,,NGL,Royalties,31603987.71
,,Oil,Royalties,107699871.2
,,Oil & Gas (Non-Royalty),Bonus,-745451.5
,,,Other Revenues,3507610.46
,,,Rents,4515632.83
,,Phosphate,Other Revenues,47364
,,,Rents,-7474
,,Potassium,Bonus,20962776.73
,,,Other Revenues,-688
,,,Rents,113122.75
,,,Royalties,365925.14
,,Sodium,Royalties,2716.42
,VA,Gas,Royalties,-52930.65
,,Hardrock,Other Revenues,1065
,,,Rents,355
,,,Royalties,112434.96
,,Oil & Gas (Non-Royalty),Other Revenues,15543.75
,,,Rents,2078
,WA,Coal,Rents,1566
,,Geothermal,Rents,16874
,,Oil & Gas (Non-Royalty),Other Revenues,-14.77
,,,Rents,379638.5
,WV,Gas,Royalties,501787.79
,,Oil & Gas (Non-Royalty),Other Revenues,290914.67
,,,Rents,97855.01
,WY,CO2,Royalties,287737.81
,,Coal,Bonus,237360047.2
,,,Other Revenues,3263361.68
,,,Rents,575181.4
,,,Royalties,637753285.7
,,Gas,Other Revenues,20742.29
,,,Rents,-121.16
,,,Royalties,686915960.4
,,NGL,Royalties,68574645.94
,,Oil,Other Revenues,2.94
,,,Royalties,320106660.3
,,Oil & Gas (Non-Royalty),Bonus,114435096
,,,Other Revenues,7799204.65
,,,Rents,14079435.09
,,Sodium,Other Revenues,177190.96
,,,Rents,-4514
,,,Royalties,25434898.53
,,Sulfur,Royalties,1810389.17
2012,AK,Gas,Other Revenues,-26964.4
,,,Royalties,9033758.09
,,Oil,Royalties,2309160.05
,,Oil & Gas (Non-Royalty),Bonus,4811477
,,,Other Revenues,531496.12
,,,Rents,4870103.93
,AL,Coal,Rents,13494
,,,Royalties,6554517.5
,,Gas,Royalties,152464.09
,,NGL,Royalties,6770.98
,,Oil,Royalties,335549.76
,,Oil & Gas (Non-Royalty),Bonus,892908
,,,Other Revenues,7941.86
,,,Rents,122304
,,Sulfur,Royalties,4038.52
,AR,Gas,Royalties,3899725.44
,,Hardrock,Other Revenues,1362.7
,,,Rents,-120
,,,Royalties,11.3
,,Oil,Royalties,-118.43
,,Oil & Gas (Non-Royalty),Bonus,-52912
,,,Other Revenues,-4275.51
,,,Rents,790680.5
,AZ,Geothermal,Other Revenues,36.09
,,,Rents,2084
,,Oil & Gas (Non-Royalty),Rents,16520
,,Potassium,Rents,-3268
,,Sodium,Other Revenues,-109
,,,Rents,-39
,,,Royalties,1377.69
,CA,Gas,Royalties,4934528.37
,,Geothermal,Other Revenues,29089.53
,,,Rents,76790
,,,Royalties,9031259.64
,,NGL,Royalties,2863883.72
,,Oil,Royalties,184759238.5
,,Oil & Gas (Non-Royalty),Bonus,3211260
,,,Other Revenues,1070449.92
,,,Rents,332699
,,Sodium,Bonus,-480
,,,Other Revenues,16255.71
,,,Rents,5032.5
,,,Royalties,9357039.15
,,Sulfur,Royalties,514.96
,CO,CO2,Royalties,60658090.31
,,Coal,Bonus,1605164
,,,Other Revenues,873412.72
,,,Rents,207891.75
,,,Royalties,53360266.9
,,Gas,Royalties,95270499.94
,,Geothermal,Bonus,16708
,,,Rents,16708
,,Helium,Royalties,55.43
,,NGL,Royalties,30306621.58
,,Oil,Royalties,46539157.43
,,Oil  ,Rents,1860
,,Oil & Gas (Non-Royalty),Bonus,9822960
,,,Other Revenues,4272151.15
,,,Rents,4743818.11
,,Sodium,Other Revenues,22695.6
,,,Rents,5694
,,,Royalties,1108450.12
,FL,Oil & Gas (Non-Royalty),Rents,3200
,,Phosphate,Other Revenues,1549
,,,Royalties,2169985.21
,ID,Geothermal,Rents,168288
,,Hardrock,Other Revenues,126
,,,Rents,-3
,,,Royalties,796.8
,,Oil & Gas (Non-Royalty),Rents,14718
,,Phosphate,Bonus,799997.74
,,,Other Revenues,119027.02
,,,Rents,1120
,,,Royalties,9431323.92
,IL,Oil,Royalties,312501.12
,,Oil & Gas (Non-Royalty),Other Revenues,273
,IN,Oil,Royalties,30714.95
,,Oil & Gas (Non-Royalty),Rents,17667
,KS,Gas,Other Revenues,-1.01
,,,Royalties,1791856.17
,,Helium,Royalties,3.73
,,NGL,Royalties,816168.57
,,Oil,Royalties,3007032.52
,,Oil & Gas (Non-Royalty),Other Revenues,-23962.63
,,,Rents,44798
,KY,Coal,Other Revenues,297.94
,,,Rents,21789
,,,Royalties,1329238.93
,,Gas,Royalties,75283.31
,,NGL,Royalties,538.08
,,Oil,Royalties,171818.71
,,Oil & Gas (Non-Royalty),Other Revenues,184381.24
,,,Rents,5942
,LA,Gas,Royalties,7851114.81
,,NGL,Royalties,1230425.66
,,Oil,Other Revenues,16.65
,,,Royalties,4495004.94
,,Oil & Gas (Non-Royalty),Bonus,4121653
,,,Other Revenues,523981.9512
,,,Rents,355647.03
,MD,Oil & Gas (Non-Royalty),Other Revenues,8820.55
,,,Rents,496
,MI,Gas,Royalties,986601.69
,,Hardrock,Rents,923
,,NGL,Other Revenues,1985.3
,,,Royalties,-111127.45
,,Oil,Royalties,412453.72
,,Oil & Gas (Non-Royalty),Other Revenues,25817.23
,,,Rents,95498.5
,MN,Hardrock,Bonus,30
,,,Other Revenues,48693.62
,,,Rents,9901
,MO,Hardrock,Other Revenues,16197
,,,Rents,700
,,,Royalties,11519614.55
,,Oil & Gas (Non-Royalty),Other Revenues,7877.2
,MS,Gas,Royalties,190967.48
,,Oil,Royalties,3799127.98
,,Oil & Gas (Non-Royalty),Bonus,4690705
,,,Other Revenues,16704.07
,,,Rents,828497.34
,MT,Coal,Bonus,10650000
,,,Other Revenues,1523323.87
,,,Rents,145461
,,,Royalties,44121466.05
,,Gas,Royalties,4372522.8
,,Hardrock,Rents,71.5
,,NGL,Royalties,209936.84
,,Oil,Royalties,26589350.21
,,Oil & Gas (Non-Royalty),Bonus,7020543.75
,,,Other Revenues,860544.63
,,,Rents,2262310.4
,,Phosphate,Other Revenues,4227
,,,Rents,1409
,,Sulfur,Royalties,4657.08
,NC,Hardrock,Other Revenues,474
,,,Rents,158
,ND,Coal,Other Revenues,147.01
,,,Rents,29844
,,,Royalties,1432194.19
,,Gas,Royalties,5429489.15
,,Hardrock,Rents,1363
,,NGL,Royalties,1517103.16
,,Oil,Royalties,138452652.8
,,Oil & Gas (Non-Royalty),Bonus,44291659
,,,Other Revenues,3466188.89
,,,Rents,1010566.12
,NE,Gas,Royalties,10081.24
,,Oil,Royalties,266251.67
,,Oil & Gas (Non-Royalty),Bonus,7238
,,,Other Revenues,39853.34
,,,Rents,-1196.72
,NM,CO2,Royalties,1486259.15
,,Coal,Other Revenues,71304.03
,,,Rents,76341
,,,Royalties,15455162.21
,,Gas,Other Revenues,-0.01
,,,Royalties,244246120.9
,,Geothermal,Other Revenues,2969.34
,,,Rents,13145
,,NGL,Other Revenues,-86.75
,,,Royalties,121934216.1
,,Oil,Royalties,469615124.9
,,Oil & Gas (Non-Royalty),Bonus,77118488
,,,Other Revenues,6430016.05
,,,Rents,2220754.55
,,Potassium,Bonus,2334568
,,,Other Revenues,344876.62
,,,Rents,79645.25
,,,Royalties,25689453.75
,,Sodium,Other Revenues,720
,,,Rents,1120
,,,Royalties,299029.62
,,Sulfur,Royalties,-0.16
,NV,Geothermal,Bonus,55430
,,,Other Revenues,313629.87
,,,Rents,1868731
,,,Royalties,2527924.42
,,Oil,Royalties,3980598.73
,,Oil & Gas (Non-Royalty),Bonus,4909442.5
,,,Other Revenues,-596
,,,Rents,6708454
,,Potassium,Other Revenues,7503
,,,Rents,2501
,NY,Gas,Royalties,4468.71
,,Oil & Gas (Non-Royalty),Other Revenues,184.62
,OH,Gas,Royalties,194258.63
,,Oil,Royalties,285827.14
,,Oil & Gas (Non-Royalty),Other Revenues,45931.74
,,,Rents,29698
,OK,Coal,Other Revenues,219.18
,,,Rents,34113
,,,Royalties,691834.24
,,Gas,Royalties,4880673.41
,,NGL,Royalties,1710869.5
,,Oil,Royalties,3456171.05
,,Oil & Gas (Non-Royalty),Bonus,5608080
,,,Other Revenues,398753.8
,,,Rents,357918.75
,OR,Geothermal,Other Revenues,38044.21
,,,Rents,253422
,,Oil & Gas (Non-Royalty),Rents,427987
,PA,Gas,Royalties,71102.98
,,NGL,Royalties,322.67
,,Oil,Royalties,46854.56
,,Oil & Gas (Non-Royalty),Other Revenues,27932.54
,SC,Hardrock,Other Revenues,6626.26
,,,Rents,-1110
,SD,Gas,Royalties,44862.95
,,Oil,Royalties,2047914.23
,,Oil & Gas (Non-Royalty),Bonus,1325016
,,,Other Revenues,9597.15
,,,Rents,167034.5
,TX,Gas,Royalties,20373295.77
,,NGL,Royalties,455171.76
,,Oil,Royalties,4735203.87
,,Oil & Gas (Non-Royalty),Bonus,2944495
,,,Other Revenues,305780.98
,,,Rents,417588.48
,UT,Clay,Other Revenues,462
,,,Rents,-6
,,,Royalties,4185.31
,,CO2,Royalties,50036.18
,,Coal,Bonus,40320
,,,Other Revenues,186979.23
,,,Rents,258329.6
,,,Royalties,37186454.34
,,Gas,Royalties,92482070.08
,,Geothermal,Other Revenues,5190
,,,Rents,391513
,,,Royalties,293927.22
,,Gilsonite,Other Revenues,2308.27
,,,Rents,-3201.5
,,,Royalties,3405726.5
,,NGL,Royalties,33235428.97
,,Oil,Royalties,121098760.9
,,Oil  ,Rents,320
,,Oil & Gas (Non-Royalty),Bonus,50119492
,,,Other Revenues,-1836610.9
,,,Rents,4155967.62
,,Phosphate,Other Revenues,24942
,,Potassium,Other Revenues,-288
,,,Rents,82623.5
,,,Royalties,360263.73
,,Sodium,Royalties,3576.93
,VA,Gas,Royalties,39176.17
,,Hardrock,Other Revenues,1065
,,,Rents,355
,,,Royalties,128426.76
,,Oil & Gas (Non-Royalty),Bonus,11572
,,,Other Revenues,3065.67
,,,Rents,18807.5
,WA,Coal,Rents,1566
,,Oil & Gas (Non-Royalty),Rents,9555.5
,WV,Gas,Royalties,149433.71
,,Oil,Royalties,0.62
,,Oil & Gas (Non-Royalty),Other Revenues,304213.36
,,,Rents,93865
,WY,CO2,Royalties,656148.07
,,Coal,Bonus,544361060.4
,,,Other Revenues,3328792.71
,,,Rents,595983.93
,,,Royalties,623807541.7
,,Gas,Royalties,360466762.1
,,NGL,Royalties,132172213.4
,,Oil,Royalties,329958603.3
,,Oil & Gas (Non-Royalty),Bonus,45532883
,,,Other Revenues,2389991.61
,,,Rents,13105761.26
,,Sodium,Other Revenues,43246.21
,,,Rents,15777
,,,Royalties,41333219.87
,,Sulfur,Royalties,2025396.59
2013,AK,Gas,Other Revenues,-4658.55
,,,Royalties,6988259.54
,,Geothermal,Rents,7680
,,Oil,Royalties,6598210.68
,,Oil & Gas (Non-Royalty),Bonus,1058899
,,,Other Revenues,-77592.6
,,,Rents,5318877.61
,AL,Coal,Rents,13494
,,,Royalties,3677302.59
,,Gas,Royalties,196400.53
,,Hardrock,Other Revenues,-615
,,NGL,Royalties,4106.86
,,Oil,Royalties,318163.13
,,Oil & Gas (Non-Royalty),Other Revenues,-4286.01
,,,Rents,132265
,,Sulfur,Royalties,2679.68
,AR,Gas,Royalties,5083889.58
,,Hardrock,Other Revenues,1442.46
,,,Rents,-100
,,,Royalties,4.45
,,Oil,Royalties,7.87
,,Oil & Gas (Non-Royalty),Other Revenues,6628.75
,,,Rents,481198
,AZ,Oil & Gas (Non-Royalty),Bonus,24436
,,,Rents,35167
,,Sodium,Royalties,4224.65
,CA,Gas,Royalties,2872588.57
,,Geothermal,Other Revenues,17818.73
,,,Rents,163095
,,,Royalties,9306336.54
,,Hardrock,Rents,105
,,NGL,Royalties,1711449.96
,,Oil,Royalties,183762630.4
,,Oil & Gas (Non-Royalty),Bonus,190982
,,,Other Revenues,-7431.49
,,,Rents,279477.5
,,Sodium,Other Revenues,55.58
,,,Rents,649.5
,,,Royalties,8742199.96
,,Sulfur,Royalties,123.84
,CO,CO2,Royalties,61659766.89
,,Coal,Bonus,1958321.35
,,,Other Revenues,327202.22
,,,Rents,18694.53
,,,Royalties,26242242.2
,,Gas,Royalties,104880815
,,Geothermal,Rents,28262
,,Helium,Royalties,66.23
,,NGL,Royalties,48063554.99
,,Oil,Royalties,47276400.22
,,Oil  ,Rents,1556
,,Oil & Gas (Non-Royalty),Bonus,3131195.5
,,,Other Revenues,4530979.21
,,,Rents,4228342.7
,,Potassium,Rents,8720
,,Sodium,Other Revenues,29319
,,,Rents,-11841
,,,Royalties,1088703.02
,FL,Phosphate,Other Revenues,989
,,,Royalties,285731.37
,ID,Geothermal,Rents,148525
,,Hardrock,Rents,40
,,,Royalties,368.72
,,Oil & Gas (Non-Royalty),Rents,8274
,,Phosphate,Other Revenues,116524.47
,,,Rents,-555.5
,,,Royalties,9817743.38
,IL,Oil,Royalties,302424.64
,IN,Oil,Royalties,17820.38
,,Oil & Gas (Non-Royalty),Other Revenues,13037.54
,,,Rents,12833
,KS,Gas,Royalties,2385710.79
,,Helium,Royalties,-0.22
,,NGL,Royalties,704648.42
,,Oil,Royalties,2628624.21
,,Oil & Gas (Non-Royalty),Bonus,24000
,,,Other Revenues,-13692.55
,,,Rents,41863
,KY,Coal,Other Revenues,3690
,,,Rents,5847
,,,Royalties,1499102.72
,,Gas,Royalties,46424.2
,,NGL,Royalties,-0.04
,,Oil,Royalties,160773.22
,,Oil & Gas (Non-Royalty),Other Revenues,-71015.15
,,,Rents,5754
,LA,Gas,Royalties,8480335.47
,,NGL,Royalties,912124.92
,,Oil,Royalties,4128046.98
,,Oil & Gas (Non-Royalty),Bonus,26429.72
,,,Other Revenues,334734.01
,,,Rents,386317.5
,MD,Oil & Gas (Non-Royalty),Other Revenues,10158.99
,,,Rents,496
,MI,Gas,Royalties,649576.53
,,NGL,Royalties,57279.45
,,Oil,Royalties,372243.04
,,Oil & Gas (Non-Royalty),Bonus,277614
,,,Other Revenues,9845.35
,,,Rents,138963.33
,MN,Hardrock,Other Revenues,48660
,,,Rents,16960
,MO,Hardrock,Other Revenues,16197
,,,Rents,700
,,,Royalties,9356915.72
,MS,Gas,Royalties,274220.31
,,Oil,Royalties,4759241.28
,,Oil & Gas (Non-Royalty),Bonus,344280
,,,Other Revenues,4197.09
,,,Rents,733279
,MT,Coal,Other Revenues,11321.06
,,,Rents,112056
,,,Royalties,44889477.56
,,Gas,Royalties,4573178.49
,,Hardrock,Rents,20
,,NGL,Royalties,47535.98
,,Oil,Royalties,25245245.64
,,Oil & Gas (Non-Royalty),Bonus,552566.75
,,,Other Revenues,443103.47
,,,Rents,1877780.89
,,Phosphate,Other Revenues,2818
,,,Rents,-4227
,,Sulfur,Royalties,5314.96
,NC,Hardrock,Other Revenues,474
,,,Rents,-316
,ND,Coal,Other Revenues,79398.67
,,,Rents,37770
,,,Royalties,1952973.52
,,Gas,Royalties,7716684.54
,,Hardrock,Other Revenues,29.58
,,,Rents,1363
,,NGL,Royalties,2172657.75
,,Oil,Royalties,180649260.3
,,Oil & Gas (Non-Royalty),Bonus,61507604
,,,Other Revenues,1571912.32
,,,Rents,896819.14
,NE,Gas,Royalties,5288.38
,,Oil,Royalties,292938.04
,,Oil & Gas (Non-Royalty),Bonus,26824
,,,Other Revenues,42860.57
,,,Rents,3726
,NM,CO2,Royalties,1535253.91
,,Coal,Other Revenues,25449.02
,,,Rents,76314
,,,Royalties,14827533.41
,,Gas,Royalties,301109651.9
,,Geothermal,Bonus,82500
,,,Other Revenues,5607.81
,,,Rents,55235
,,NGL,Royalties,90428259.67
,,Oil,Royalties,568253428.8
,,Oil & Gas (Non-Royalty),Bonus,55792554
,,,Other Revenues,18637141.58
,,,Rents,2045231.45
,,Potassium,Bonus,504944
,,,Other Revenues,343267.02
,,,Rents,-25543.5
,,,Royalties,20425901.29
,,Sodium,Other Revenues,-9217.96
,,,Rents,-2920
,,,Royalties,479907.97
,NV,Geothermal,Bonus,13844
,,,Other Revenues,158778.44
,,,Rents,1456086
,,,Royalties,2730744.4
,,Oil,Royalties,3613728.95
,,Oil & Gas (Non-Royalty),Bonus,1989254
,,,Other Revenues,17374.89
,,,Rents,5788867
,,Potassium,Other Revenues,7641.63
,,,Rents,2501
,NY,Gas,Royalties,5222.81
,,Oil & Gas (Non-Royalty),Other Revenues,215.41
,OH,Gas,Royalties,211525.83
,,Oil,Royalties,235422.98
,,Oil & Gas (Non-Royalty),Other Revenues,116587.31
,,,Rents,24683.77
,OK,Coal,Other Revenues,243.79
,,,Rents,34113
,,,Royalties,962180.33
,,Gas,Royalties,5189665.61
,,Helium,Royalties,1.2
,,NGL,Royalties,564485.75
,,Oil,Royalties,4998979.9
,,Oil & Gas (Non-Royalty),Bonus,1316388
,,,Other Revenues,128727.3
,,,Rents,352244.85
,OR,Geothermal,Other Revenues,47362.03
,,,Rents,238862
,,Oil & Gas (Non-Royalty),Rents,377474
,PA,Gas,Royalties,10156.88
,,NGL,Royalties,2093.58
,,Oil,Royalties,20669.77
,,Oil & Gas (Non-Royalty),Other Revenues,61588.61
,SD,Gas,Royalties,47288.28
,,Oil,Royalties,2004620.58
,,Oil & Gas (Non-Royalty),Bonus,502153
,,,Other Revenues,12689.01
,,,Rents,220881
,TX,Gas,Royalties,20999759.72
,,NGL,Royalties,258039.15
,,Oil,Royalties,3167054
,,Oil & Gas (Non-Royalty),Bonus,6162995
,,,Other Revenues,761242.02
,,,Rents,481901.73
,UT,Clay,Other Revenues,942
,,,Rents,314
,,,Royalties,4144.61
,,CO2,Royalties,24861.78
,,Coal,Bonus,40320
,,,Other Revenues,6990.5
,,,Rents,207588.2
,,,Royalties,39455178.73
,,Gas,Royalties,104952255.5
,,Geothermal,Other Revenues,5190
,,,Rents,364597
,,,Royalties,303753.38
,,Gilsonite,Other Revenues,5391
,,,Rents,1826.5
,,,Royalties,2895810.09
,,NGL,Royalties,27466174.21
,,Oil,Royalties,130370575.7
,,Oil  ,Rents,320
,,Oil & Gas (Non-Royalty),Bonus,6144252
,,,Other Revenues,3061794.77
,,,Rents,3038547.72
,,Phosphate,Other Revenues,31920
,,,Rents,-7560
,,Potassium,Other Revenues,22588.33
,,,Rents,91694.5
,,,Royalties,383259.74
,,Sodium,Royalties,3105.48
,VA,Gas,Royalties,55416.5
,,Hardrock,Other Revenues,-2130
,,,Rents,-710
,,,Royalties,60702.52
,,Oil,Royalties,91.93
,,Oil & Gas (Non-Royalty),Other Revenues,3968.32
,,,Rents,20991
,WA,Coal,Rents,2406
,,Geothermal,Rents,8437
,WV,Gas,Royalties,71158.95
,,Oil & Gas (Non-Royalty),Other Revenues,545039.58
,,,Rents,83058
,WY,CO2,Royalties,306677.66
,,Coal,Bonus,457930360.4
,,,Other Revenues,3587959.62
,,,Rents,603037.53
,,,Royalties,534226397.1
,,Gas,Royalties,500511207.1
,,NGL,Other Revenues,6723.77
,,,Royalties,59983560.24
,,Oil,Royalties,341686585.4
,,Oil & Gas (Non-Royalty),Bonus,42415725
,,,Other Revenues,8804690.9
,,,Rents,12107000.75
,,Sodium,Other Revenues,25898.67
,,,Rents,39715
,,,Royalties,42212949.27
,,Sulfur,Royalties,476174.84
2014,AK,Gas,Rents,-25.75
,,,Royalties,9794200.09
,,Geothermal,Rents,7680
,,NGL,Royalties,1646.25
,,Oil,Royalties,10201949.46
,,Oil & Gas (Non-Royalty),Bonus,2885153
,,,Other Revenues,127355.38
,,,Rents,5045156.77
,AL,Coal,Other Revenues,330103.2
,,,Rents,13494
,,,Royalties,613796.88
,,Gas,Royalties,513959.27
,,NGL,Royalties,2943.59
,,Oil,Royalties,215483.98
,,Oil & Gas (Non-Royalty),Bonus,499700
,,,Other Revenues,61032.17
,,,Rents,126039
,,Sulfur,Royalties,1609.3
,AR,Gas,Royalties,5876059.28
,,Hardrock,Other Revenues,1402.52
,,,Rents,-20
,,Oil,Royalties,22.18
,,Oil & Gas (Non-Royalty),Bonus,35472
,,,Other Revenues,11163.78
,,,Rents,242774.86
,AZ,Oil & Gas (Non-Royalty),Rents,33887
,,Sodium,Other Revenues,12
,,,Rents,20
,,,Royalties,1102.77
,CA,Gas,Royalties,3997619.96
,,Geothermal,Bonus,53342
,,,Other Revenues,12425.96
,,,Rents,111941
,,,Royalties,11007300.73
,,Hardrock,Rents,42
,,NGL,Royalties,1450262.96
,,Oil,Royalties,161588021
,,Oil & Gas (Non-Royalty),Other Revenues,335594.33
,,,Rents,219782.5
,,Potassium,Other Revenues,39.63
,,Sodium,Other Revenues,16768.06
,,,Rents,7981.75
,,,Royalties,7843802.14
,,Sulfur,Royalties,115.98
,CO,CO2,Royalties,77734843.51
,,Coal,Bonus,2576770
,,,Other Revenues,67249.59
,,,Rents,161118.8
,,,Royalties,38402556.81
,,Gas,Royalties,153949496.3
,,Geothermal,Rents,25062
,,Helium,Royalties,68.42
,,NGL,Royalties,26867997.94
,,Oil,Royalties,54808148.76
,,Oil  ,Rents,1556
,,Oil & Gas (Non-Royalty),Bonus,774268
,,,Other Revenues,1998863.24
,,,Rents,3441737.57
,,Potassium,Rents,4360.5
,,Sodium,Bonus,402000
,,,Other Revenues,67608.56
,,,Rents,1476
,,,Royalties,1172327.8
,FL,Phosphate,Other Revenues,1980.51
,ID,Geothermal,Rents,156515
,,Hardrock,Other Revenues,126
,,Oil & Gas (Non-Royalty),Rents,8274
,,Phosphate,Other Revenues,112448.41
,,,Rents,3572
,,,Royalties,11278893.39
,IL,Oil,Royalties,217483.93
,IN,Oil & Gas (Non-Royalty),Other Revenues,13527.99
,,,Rents,27664
,KS,Gas,Royalties,1646331.42
,,Helium,Royalties,2865.72
,,NGL,Royalties,1130744.63
,,Oil,Royalties,2140764.9
,,Oil & Gas (Non-Royalty),Bonus,18000
,,,Other Revenues,-28097.16
,,,Rents,36233.5
,KY,Coal,Other Revenues,-3690
,,,Rents,13716
,,,Royalties,191914.85
,,Gas,Royalties,41212.96
,,Oil,Royalties,141596.84
,,Oil & Gas (Non-Royalty),Other Revenues,66391.68
,,,Rents,5754
,LA,Gas,Royalties,7407657.55
,,NGL,Royalties,913492.99
