CY	St	Commodity	Revenue Type	Total
		Oil & Gas (Non-Royalty)	Other Revenues	$20,113.20 
			Rents	$6,338.00 
	OK	Coal	Bonus	$160,197.75 
			Other Revenues	$6,844.03 
			Rents	$32,633.00 
			Royalties	$710,934.24 
		Gas	Other Revenues	$85.70 
			Royalties	$12,281,179.43 
		NGL	Royalties	$500,879.99 
		Oil	Royalties	$1,470,212.32 
		Oil & Gas (Non-Royalty)	Bonus	$10,302,430.00 
			Other Revenues	$186,529.00 
			Rents	$462,248.38 
	OR	Geothermal	Other Revenues	$85,460.76 
			Rents	$31,594.99 
		Oil & Gas (Non-Royalty)	Rents	$409,115.50 
	PA	Gas	Royalties	$93,487.28 
		Oil	Royalties	$630.47 
		Oil & Gas (Non-Royalty)	Other Revenues	$8,337.57 
			Rents	$153.00 
	SC	Hardrock	Rents	$1,110.00 
	SD	Gas	Royalties	$117,883.15 
		Oil	Royalties	$2,309,915.27 
		Oil & Gas (Non-Royalty)	Other Revenues	$4,821.19 
			Rents	$168,923.50 
	TX	Gas	Royalties	$25,366,108.66 
		NGL	Royalties	$258,099.03 
		Oil	Royalties	$3,833,355.26 
		Oil & Gas (Non-Royalty)	Bonus	$10,351,925.00 
			Other Revenues	$519,248.18 
			Rents	$653,198.14 
	UT	Clay	Other Revenues	$942.00 
			Rents	$314.00 
			Royalties	$3,746.92 
		CO2	Royalties	$65,886.12 
		Coal	Bonus	$661,980.59 
			Other Revenues	$34,269.29 
			Rents	$164,844.00 
			Royalties	$25,060,607.58 
		Gas	Royalties	$215,187,409.39 
		Geothermal	Other Revenues	$5,969.56 
			Rents	$19,933.00 
			Royalties	$272,452.62 
		Gilsonite	Other Revenues	$44,039.42 
			Rents	$6,523.50 
			Royalties	$1,168,798.99 
		Hardrock	Other Revenues	$480.00 
			Rents	$928.00 
		NGL	Royalties	$10,848,454.71 
		Oil	Rents	($101.25)
			Royalties	$117,024,532.91 
		Oil & Gas (Non-Royalty)	Bonus	$10,306,150.50 
			Other Revenues	$11,554,467.41 
			Rents	$6,487,240.59 
		Phosphate	Other Revenues	$30,897.99 
			Rents	($1,670.00)
		Potassium	Other Revenues	$1,995.39 
			Rents	$22,364.00 
			Royalties	$432,675.09 
		Sodium	Royalties	$1,258.67 
		Tar Sands	Other Revenues	$114.86 
			Rents	$7,679.67 
	VA	Gas	Royalties	$426,356.27 
		Hardrock	Other Revenues	$1,168.24 
			Rents	($177.50)
			Royalties	$106,657.16 
		Oil & Gas (Non-Royalty)	Bonus	$136,015.00 
			Other Revenues	$10,353.11 
			Rents	$30,208.00 
	WA	Coal	Other Revenues	$180.72 
			Rents	$1,566.00 
			Royalties	$224,769.86 
		Oil & Gas (Non-Royalty)	Other Revenues	$44.25 
			Rents	$989,309.00 
	WV	Gas	Royalties	$1,053,997.88 
		Oil & Gas (Non-Royalty)	Bonus	$793,231.00 
			Other Revenues	$414,670.30 
			Rents	$78,692.26 
	WY	CO2	Royalties	$560,395.03 
		Coal	Bonus	$426,744,981.86 
			Other Revenues	$220,437.05 
			Rents	$545,524.39 
			Royalties	$563,931,403.30 
		Gas	Other Revenues	$14,925.21 
			Royalties	$1,214,143,366.83 
		NGL	Royalties	$91,717,765.47 
		Oil	Royalties	$354,318,589.73 
		Oil & Gas (Non-Royalty)	Bonus	$59,921,126.25 
			Other Revenues	$18,643,526.92 
			Rents	$16,785,532.10 
		Sodium	Other Revenues	$204,085.97 
			Rents	($13,608.85)
			Royalties	$17,610,723.65 
		Sulfur	Royalties	$1,119,707.84 
2008 Total				$5,740,374,559.79 
2009	AK	Gas	Other Revenues	$669,201.79 
			Royalties	$18,184,643.12 
		NGL	Royalties	$3,850.75 
		Oil	Royalties	$961,364.34 
		Oil & Gas (Non-Royalty)	Bonus	$21,411,357.00 
			Other Revenues	$151,661.15 
			Rents	$10,518,405.47 
	AL	Coal	Bonus	$64,113.60 
			Other Revenues	($275,172.65)
			Rents	$13,494.00 
			Royalties	$4,548,639.75 
		Gas	Royalties	$345,960.64 
		Hardrock	Other Revenues	$123.00 
		NGL	Royalties	$726.52 
		Oil	Royalties	$249,992.54 
		Oil & Gas (Non-Royalty)	Bonus	$29,848.00 
			Other Revenues	($13,060.44)
			Rents	$202,246.50 
		Sulfur	Royalties	$2,877.54 
	AR	Gas	Royalties	$5,552,145.77 
		Hardrock	Other Revenues	$1,080.60 
			Rents	$275.52 
			Royalties	$968.91 
		Oil	Royalties	$102.19 
		Oil & Gas (Non-Royalty)	Bonus	$1,791,408.00 
			Other Revenues	$338,810.26 
			Rents	$1,536,694.02 
	AZ	Geothermal	Rents	$2,084.00 
		Oil & Gas (Non-Royalty)	Other Revenues	$58.00 
			Rents	$85,552.50 
		Potassium	Rents	$1,634.00 
		Sodium	Other Revenues	$12.00 
			Rents	$4.00 
			Royalties	$264.66 
	CA	Gas	Royalties	$2,552,202.55 
		Geothermal	Bonus	$86,820.00 
			Other Revenues	$63,434.13 
			Rents	$228,906.57 
			Royalties	$7,765,202.92 
		Hardrock	Rents	$21.00 
		NGL	Royalties	$177,797.91 
		Oil	Royalties	$85,178,526.20 
		Oil & Gas (Non-Royalty)	Bonus	$176,965.00 
			Other Revenues	$356,294.88 
			Rents	$334,862.59 
		Sodium	Bonus	$1,416.00 
			Other Revenues	$22,627.82 
			Rents	($5,649.00)
			Royalties	$2,316,245.31 
	CO	CO2	Royalties	$38,714,984.72 
		Coal	Bonus	$3,743,381.00 
			Other Revenues	$750,379.61 
			Rents	$196,040.31 
			Royalties	$41,577,742.66 
		Gas	Royalties	$86,565,098.51 
		NGL	Royalties	$3,051,157.85 
		Oil	Other Revenues	$50,000.00 
			Royalties	$22,533,013.54 
		Oil & Gas (Non-Royalty)	Bonus	$6,264,658.50 
			Other Revenues	$1,499,987.94 
			Rents	$6,384,477.12 
		Sodium	Other Revenues	($101,590.92)
			Rents	($867.00)
			Royalties	$295,578.50 
	FL	Oil & Gas (Non-Royalty)	Rents	($8,397.00)
		Phosphate	Other Revenues	$12,009.31 
			Rents	($1,647.00)
	ID	Geothermal	Bonus	$42,054.00 
			Rents	$66,217.00 
		Hardrock	Rents	$236.00 
			Royalties	$292.88 
		Oil & Gas (Non-Royalty)	Rents	$38,609.00 
		Phosphate	Other Revenues	$123,604.62 
			Rents	$3,417.00 
			Royalties	$3,566,737.10 
	IL	Oil	Royalties	$207,440.79 
	IN	Oil	Royalties	$40,118.71 
		Oil & Gas (Non-Royalty)	Bonus	$83,198.00 
			Rents	$33,540.00 
	KS	Gas	Other Revenues	($37.27)
			Royalties	$2,795,931.19 
		Helium	Royalties	$20.06 
		NGL	Royalties	$465,442.24 
		Oil	Royalties	$1,694,815.24 
		Oil & Gas (Non-Royalty)	Bonus	$9,914.00 
			Other Revenues	($363,032.27)
			Rents	$65,068.50 
	KY	Coal	Bonus	$9,450.00 
			Other Revenues	$12,134.73 
			Rents	$6,912.00 
			Royalties	$1,343,660.04 
		Gas	Royalties	$102,788.01 
		NGL	Royalties	$3,078.20 
		Oil	Royalties	$86,949.45 
		Oil & Gas (Non-Royalty)	Other Revenues	$15,948.25 
			Rents	$6,689.00 
	LA	Gas	Royalties	$12,651,878.53 
		NGL	Royalties	$1,857,114.79 
		Oil	Royalties	$2,418,464.82 
		Oil & Gas (Non-Royalty)	Bonus	$285,968.00 
			Other Revenues	($2,127,082.70)
			Rents	$130,279.50 
	MD	Oil & Gas (Non-Royalty)	Other Revenues	$11,314.77 
			Rents	$496.00 
	MI	Gas	Royalties	$1,357,434.06 
		NGL	Royalties	$90,273.77 
		Oil	Royalties	$169,656.28 
		Oil & Gas (Non-Royalty)	Bonus	$735,688.00 
			Other Revenues	($49,254.47)
			Rents	$174,734.50 
	MN	Hardrock	Other Revenues	$48,948.67 
			Rents	$522.50 
	MO	Hardrock	Other Revenues	$21,799.06 
			Rents	$700.00 
			Royalties	$9,306,934.70 
		Oil & Gas (Non-Royalty)	Other Revenues	$840.00 
	MS	Gas	Royalties	$361,720.29 
		Oil	Royalties	$1,512,498.47 
		Oil & Gas (Non-Royalty)	Other Revenues	$14,818.26 
			Rents	$456,502.00 
	MT	Coal	Bonus	$3,980,440.00 
			Other Revenues	$14,573,361.12 
			Rents	$135,921.00 
			Royalties	$29,886,609.55 
		Gas	Royalties	$10,546,036.53 
		Hardrock	Rents	$146.50 
		NGL	Royalties	$283,045.53 
		Oil	Royalties	$18,206,062.98 
		Oil & Gas (Non-Royalty)	Bonus	$1,931,044.50 
			Other Revenues	$324,021.26 
			Rents	$2,987,036.01 
		Phosphate	Other Revenues	$4,227.00 
		Sulfur	Royalties	($9,594.46)
	ND	Coal	Bonus	$113,080.00 
			Other Revenues	($4,064.23)
			Rents	$38,472.00 
			Royalties	$216,006.15 
		Gas	Royalties	$3,074,077.73 
		Hardrock	Rents	$16,815.00 
		NGL	Royalties	$702,268.32 
		Oil	Royalties	$42,545,251.51 
		Oil & Gas (Non-Royalty)	Bonus	$94,133,005.00 
			Other Revenues	($368,674.15)
			Rents	$1,135,059.86 
		Sulfur	Royalties	$0.01 
	NE	Gas	Royalties	$8,173.16 
		Oil	Royalties	$237,831.38 
		Oil & Gas (Non-Royalty)	Other Revenues	$254,465.23 
			Rents	$1,384.00 
	NM	CO2	Royalties	$805,270.17 
		Coal	Other Revenues	$163,101.70 
			Rents	$76,311.00 
			Royalties	$1,188,144.14 
		Gas	Other Revenues	$106.91 
			Royalties	$289,303,504.27 
		Geothermal	Other Revenues	($40,480.00)
			Rents	$640.00 
		NGL	Royalties	$76,820,999.78 
		Oil	Royalties	$181,738,797.30 
		Oil & Gas (Non-Royalty)	Bonus	$20,948,904.00 
			Other Revenues	($14,253,619.80)
			Rents	$3,120,917.52 
		Potassium	Bonus	$23,760.00 
			Other Revenues	$366,697.73 
			Rents	$78,831.50 
			Royalties	$26,110,566.73 
		Sodium	Other Revenues	$2,040.00 
			Rents	$440.00 
			Royalties	$151,857.73 
	NV	Geothermal	Bonus	$8,402,869.00 
			Other Revenues	$313,547.00 
			Rents	$1,676,409.00 
			Royalties	$2,308,921.99 
		Oil	Royalties	$2,514,107.50 
		Oil & Gas (Non-Royalty)	Bonus	$1,024,056.00 
			Other Revenues	$1,466.73 
			Rents	$5,762,989.50 
		Potassium	Other Revenues	($46.50)
	NY	Gas	Royalties	$6,748.55 
		Oil & Gas (Non-Royalty)	Other Revenues	$32.37 
	OH	Gas	Royalties	$363,180.74 
		Oil	Royalties	$226,732.60 
		Oil & Gas (Non-Royalty)	Other Revenues	$20,560.42 
			Rents	$6,337.02 
	OK	Coal	Bonus	$158,197.75 
			Rents	$41,733.00 
			Royalties	$772,544.94 
		Gas	Royalties	$5,827,405.78 
		NGL	Royalties	$168,705.48 
		Oil	Royalties	$1,207,932.03 
		Oil & Gas (Non-Royalty)	Bonus	$9,403,116.00 
			Other Revenues	($75,813.95)
			Rents	$375,120.11 
	OR	Geothermal	Bonus	$702,815.00 
			Other Revenues	$24,393.99 
			Rents	$272,569.41 
		Oil & Gas (Non-Royalty)	Rents	$407,515.50 
	PA	Gas	Royalties	$64,848.07 
		Oil	Royalties	$36,882.35 
		Oil & Gas (Non-Royalty)	Bonus	($114,805.00)
			Other Revenues	$17,438.03 
	SC	Hardrock	Other Revenues	$3,470.71 
			Rents	$3,063.86 
			Royalties	$101.16 
	SD	Gas	Royalties	$234,095.34 
		Oil	Royalties	$1,071,239.81 
		Oil & Gas (Non-Royalty)	Bonus	$163,035.00 
			Other Revenues	$8,504.91 
			Rents	$210,441.50 
	TN	Oil & Gas (Non-Royalty)	Other Revenues	$132.00 
	TX	Gas	Royalties	$9,955,494.42 
		NGL	Royalties	$563,468.89 
		Oil	Royalties	$2,206,421.12 
		Oil & Gas (Non-Royalty)	Bonus	$12,983,247.00 
			Other Revenues	($171,060.00)
			Rents	$669,316.50 
	UT	Clay	Other Revenues	$942.00 
			Rents	$314.00 
			Royalties	$1,015.94 
		CO2	Royalties	$45,598.00 
		Coal	Bonus	$582,800.00 
			Other Revenues	$49,598.50 
			Rents	$248,943.00 
			Royalties	$21,367,992.07 
		Gas	Royalties	$101,872,063.66 
		Geothermal	Bonus	$8,750,765.00 
			Other Revenues	$5,581.33 
			Rents	$232,317.00 
			Royalties	$288,021.11 
		Gilsonite	Other Revenues	$17,731.87 
			Rents	($3,957.50)
			Royalties	$1,430,142.30 
		Hardrock	Other Revenues	$269.42 
			Rents	$848.00 
		NGL	Royalties	$10,106,510.27 
		Oil	Royalties	$68,955,887.12 
		Oil & Gas (Non-Royalty)	Bonus	$7,157,980.00 
			Other Revenues	($2,576,247.10)
			Rents	$5,524,501.38 
		Phosphate	Rents	$8,314.00 
		Potassium	Other Revenues	($688.00)
			Rents	$24,904.00 
			Royalties	$318,693.88 
		Sodium	Royalties	$2,600.66 
		Tar Sands	Rents	$7,732.00 
	VA	Gas	Royalties	$27,921.71 
		Hardrock	Other Revenues	($2,662.50)
			Rents	($355.00)
			Royalties	$113,515.27 
		Oil & Gas (Non-Royalty)	Other Revenues	$9,695.31 
			Rents	$43,073.50 
	WA	Coal	Other Revenues	$54,841.52 
			Rents	$2,406.00 
		Oil & Gas (Non-Royalty)	Rents	$1,049,163.00 
	WV	Gas	Royalties	$507,838.52 
		Oil & Gas (Non-Royalty)	Other Revenues	$304,880.88 
			Rents	$92,267.52 
	WY	CO2	Royalties	$70,188.83 
		Coal	Bonus	$372,979,249.91 
			Other Revenues	($1,902,298.38)
			Rents	$516,632.24 
			Royalties	$585,104,653.21 
		Gas	Royalties	$552,004,672.42 
		NGL	Royalties	$36,223,633.71 
		Oil	Royalties	$183,699,381.29 
		Oil & Gas (Non-Royalty)	Bonus	$28,487,374.00 
			Other Revenues	$12,445,923.34 
			Rents	$14,509,730.16 
		Sodium	Other Revenues	$186,188.74 
			Rents	($21,596.44)
			Royalties	$14,480,388.55 
		Sulfur	Royalties	$7,096,365.82 
2009 Total				$3,330,938,523.69 
2010	AK	Gas	Other Revenues	($12,252.35)
			Royalties	$12,684,633.21 
		NGL	Royalties	$529.03 
		Oil	Royalties	$1,767,763.83 
		Oil & Gas (Non-Royalty)	Bonus	$23,381.92 
			Other Revenues	$1,616,340.31 
			Rents	$6,881,806.48 
	AL	Coal	Other Revenues	($808,130.04)
			Rents	$13,494.00 
			Royalties	$11,199,539.31 
		Gas	Royalties	$362,567.82 
		Hardrock	Other Revenues	$123.00 
		NGL	Royalties	$356.91 
		Oil	Royalties	$315,095.46 
		Oil & Gas (Non-Royalty)	Bonus	$79,712.00 
			Other Revenues	$15,303.48 
			Rents	$140,101.00 
		Sulfur	Royalties	$1,448.44 
	AR	Gas	Royalties	$10,157,706.77 
		Hardrock	Other Revenues	$1,381.77 
			Rents	($170.07)
			Royalties	$119.35 
		Oil	Royalties	$72.45 
		Oil & Gas (Non-Royalty)	Bonus	$1,446,984.65 
			Other Revenues	($97,342.48)
			Rents	$1,352,603.00 
	AZ	Geothermal	Other Revenues	($21.85)
			Rents	$2,084.00 
		Oil & Gas (Non-Royalty)	Other Revenues	($36.82)
			Rents	$36,056.00 
		Potassium	Rents	$1,634.00 
		Sodium	Other Revenues	$12.00 
			Rents	$4.00 
			Royalties	$1,565.53 
	CA	Gas	Royalties	$3,290,800.40 
		Geothermal	Bonus	$19,348.00 
			Other Revenues	$242,976.41 
			Rents	$109,859.70 
			Royalties	$8,870,403.45 
		NGL	Royalties	$228,021.93 
		Oil	Royalties	$118,066,622.83 
		Oil & Gas (Non-Royalty)	Bonus	$4,248,728.00 
			Other Revenues	$74,598.32 
			Rents	$326,507.50 
		Sodium	Bonus	$120.00 
			Other Revenues	$41,121.99 
			Rents	$14,772.47 
			Royalties	$2,723,718.92 
	CO	CO2	Royalties	$42,234,863.74 
		Coal	Bonus	$3,656,320.00 
			Other Revenues	$508,068.10 
			Rents	$224,973.00 
			Royalties	$57,800,184.96 
		Gas	Royalties	$138,848,892.72 
		NGL	Royalties	$11,703,217.13 
		Oil	Royalties	$34,349,638.69 
		Oil & Gas (Non-Royalty)	Bonus	$794,919.00 
			Other Revenues	$5,984,692.86 
			Rents	$5,545,323.76 
		Sodium	Other Revenues	$61,266.54 
			Rents	($1,320.00)
			Royalties	$369,823.60 
	FL	Oil & Gas (Non-Royalty)	Rents	$3,200.00 
		Phosphate	Other Revenues	$1,768.00 
			Royalties	$90,567.06 
	ID	Geothermal	Bonus	$21,188.00 
			Rents	$63,612.00 
		Hardrock	Other Revenues	$120.00 
			Rents	$139.00 
		Oil & Gas (Non-Royalty)	Rents	$10,414.50 
		Phosphate	Bonus	$6,892.00 
			Other Revenues	$129,192.22 
			Rents	($2,537.00)
			Royalties	$9,053,379.95 
	IL	Hardrock	Other Revenues	$192.69 
		Oil	Royalties	$347,506.70 
		Oil & Gas (Non-Royalty)	Other Revenues	$9,990.63 
	IN	Oil	Royalties	$34,814.78 
		Oil & Gas (Non-Royalty)	Rents	$44,679.00 
	KS	Gas	Royalties	$3,464,587.74 
		NGL	Royalties	$680,608.48 
		Oil	Royalties	$2,215,850.59 
		Oil & Gas (Non-Royalty)	Bonus	$1,840.00 
			Other Revenues	$255,046.67 
			Rents	$71,529.50 
	KY	Coal	Other Revenues	$16,258.29 
			Rents	$17,526.00 
			Royalties	$127,255.28 
		Gas	Royalties	$96,567.14 
		NGL	Royalties	$6,974.54 
		Oil	Royalties	$219,858.58 
		Oil & Gas (Non-Royalty)	Other Revenues	$30,902.21 
			Rents	$129.50 
	LA	Gas	Royalties	$9,261,833.20 
		NGL	Royalties	$6,831,778.16 
		Oil	Royalties	$2,971,999.98 
		Oil & Gas (Non-Royalty)	Bonus	$37,175,276.00 
			Other Revenues	$976,316.08 
			Rents	$97,473.00 
	MD	Oil & Gas (Non-Royalty)	Other Revenues	$9,380.63 
			Rents	$496.00 
	MI	Gas	Royalties	$1,158,217.08 
		NGL	Royalties	$181,567.15 
		Oil	Royalties	$277,626.97 
		Oil & Gas (Non-Royalty)	Other Revenues	$40.46 
			Rents	$84,577.17 
	MN	Hardrock	Other Revenues	$48,660.00 
			Rents	$1,027.00 
	MO	Hardrock	Other Revenues	$12,303.00 
			Rents	$700.00 
			Royalties	$13,256,995.70 
		Oil & Gas (Non-Royalty)	Other Revenues	$14,914.40 
	MS	Gas	Royalties	$358,725.17 
		Oil	Royalties	$2,013,962.34 
		Oil & Gas (Non-Royalty)	Bonus	$30,210.00 
			Other Revenues	$18,323.24 
			Rents	$350,318.00 
	MT	Coal	Bonus	$7,870,440.00 
			Other Revenues	$1,366,719.73 
			Rents	$137,805.00 
			Royalties	$44,802,675.49 
		Gas	Royalties	$10,099,743.48 
		Hardrock	Rents	$219.50 
		NGL	Royalties	$367,384.28 
		Oil	Royalties	$23,912,973.34 
		Oil & Gas (Non-Royalty)	Bonus	$3,090,375.75 
			Other Revenues	$686,867.78 
			Rents	$2,628,456.14 
		Phosphate	Other Revenues	$4,291.81 
			Rents	($1,409.00)
		Sulfur	Royalties	$3,906.01 
	ND	Coal	Bonus	$153,080.00 
			Other Revenues	($6,680.77)
			Rents	$35,532.00 
			Royalties	$98,864.55 
		Gas	Royalties	$4,230,395.85 
		NGL	Royalties	$1,023,318.72 
		Oil	Royalties	$65,531,431.40 
		Oil & Gas (Non-Royalty)	Bonus	$27,128,865.00 
			Other Revenues	$1,071,618.06 
			Rents	$1,021,591.50 
	NE	Gas	Royalties	$232,556.60 
		Oil	Royalties	$302,763.08 
		Oil & Gas (Non-Royalty)	Other Revenues	($138,093.61)
			Rents	$578.00 
	NM	CO2	Royalties	$1,703,269.41 
		Coal	Other Revenues	$82,876.29 
			Rents	$76,311.00 
			Royalties	$6,366,664.20 
		Gas	Other Revenues	$261.27 
			Royalties	$378,888,395.34 
		Geothermal	Other Revenues	$6,205.86 
			Rents	$8,143.00 
		NGL	Royalties	$109,577,592.96 
		Oil	Royalties	$277,772,156.37 
		Oil & Gas (Non-Royalty)	Bonus	$18,566,108.00 
			Other Revenues	$7,932,342.80 
			Rents	$2,850,891.72 
		Potassium	Other Revenues	$197,728.47 
			Rents	($109,903.00)
			Royalties	$20,143,042.62 
		Sodium	Other Revenues	$4,560.00 
			Rents	($1,040.00)
			Royalties	$216,177.08 
	NV	Geothermal	Bonus	$2,318,233.00 
			Other Revenues	$214,078.85 
			Rents	$2,291,910.00 
			Royalties	$2,981,543.05 
		Oil	Royalties	$3,397,208.34 
		Oil & Gas (Non-Royalty)	Bonus	$461,720.25 
			Other Revenues	$5,222.11 
			Rents	$6,525,522.50 
		Potassium	Other Revenues	$15,006.00 
			Rents	$3,039.00 
	NY	Gas	Royalties	$6,474.30 
		Oil & Gas (Non-Royalty)	Other Revenues	$8.47 
	OH	Coal	Royalties	$3,372.86 
		Gas	Royalties	$339,336.67 
		Oil	Royalties	$224,093.04 
		Oil & Gas (Non-Royalty)	Bonus	$162,765.50 
			Other Revenues	$21,426.45 
			Rents	$19,419.50 
	OK	Asphalt	Other Revenues	$479.50 
			Rents	($479.50)
		Coal	Bonus	$158,197.75 
			Other Revenues	$68,860.58 
			Rents	$47,340.00 
			Royalties	$559,409.37 
		Gas	Royalties	$7,353,758.02 
		NGL	Royalties	$242,206.11 
		Oil	Royalties	$1,328,319.07 
		Oil & Gas (Non-Royalty)	Bonus	$278,901.00 
			Other Revenues	$106,161.59 
			Rents	$335,812.22 
	OR	Geothermal	Other Revenues	$26,526.93 
			Rents	$283,071.00 
		Oil & Gas (Non-Royalty)	Rents	$391,906.00 
	PA	Gas	Royalties	$114,620.38 
		Oil	Royalties	$64,677.99 
		Oil & Gas (Non-Royalty)	Bonus	$114,805.00 
			Other Revenues	$43,054.09 
			Rents	$153.00 
	SC	Hardrock	Other Revenues	$3,452.25 
			Rents	$266.14 
			Royalties	$22.60 
	SD	Gas	Royalties	$140,071.69 
		Oil	Royalties	$1,275,226.68 
		Oil & Gas (Non-Royalty)	Other Revenues	$11,127.87 
			Rents	$123,480.00 
	TX	Gas	Royalties	$10,752,025.39 
		NGL	Royalties	$541,798.86 
		Oil	Royalties	$3,229,252.17 
		Oil & Gas (Non-Royalty)	Bonus	$43,747,928.00 
			Other Revenues	($582,063.41)
			Rents	$540,658.33 
	UT	Clay	Other Revenues	$462.00 
			Rents	$154.00 
			Royalties	$2,457.02 
		CO2	Royalties	$78,833.31 
		Coal	Bonus	$663,440.00 
			Other Revenues	$546,714.66 
			Rents	$256,074.69 
			Royalties	$23,761,390.10 
		Gas	Royalties	$140,906,694.46 
		Geothermal	Bonus	$413,534.00 
			Other Revenues	$5,214.31 
			Rents	$384,029.00 
			Royalties	$282,479.75 
		Gilsonite	Bonus	$1,500.00 
			Other Revenues	$4,190.55 
			Rents	$1,092.50 
			Royalties	$1,879,371.19 
		Limestone	Rents	$40.00 
		NGL	Royalties	$20,620,897.63 
		Oil	Royalties	$96,376,085.82 
		Oil & Gas (Non-Royalty)	Bonus	$3,467,491.00 
			Other Revenues	$5,615,537.80 
			Rents	$5,165,949.99 
		Phosphate	Other Revenues	$27,148.00 
			Rents	($2,206.00)
		Potassium	Other Revenues	($698.00)
			Rents	$24,904.00 
			Royalties	$269,089.73 
		Sodium	Royalties	$1,985.17 
		Tar Sands	Rents	$7,732.00 
	VA	Gas	Royalties	$111,609.05 
		Hardrock	Rents	($355.00)
			Royalties	$117,397.69 
		Oil & Gas (Non-Royalty)	Other Revenues	($16,016.35)
			Rents	$27,389.50 
	WA	Coal	Rents	$726.00 
		Oil & Gas (Non-Royalty)	Other Revenues	$19.71 
			Rents	$540,431.00 
	WV	Gas	Royalties	$382,764.07 
		Oil	Royalties	$174.44 
		Oil & Gas (Non-Royalty)	Other Revenues	$231,467.03 
			Rents	$90,509.46 
	WY	CO2	Royalties	($86,581.28)
		Coal	Bonus	$96,758,008.80 
			Other Revenues	$2,152,564.03 
			Rents	$541,521.66 
			Royalties	$617,668,237.93 
		Gas	Royalties	$755,991,818.72 
		NGL	Royalties	$54,659,745.47 
		Oil	Royalties	$256,931,525.83 
		Oil & Gas (Non-Royalty)	Bonus	$29,548,696.00 
			Other Revenues	$23,101,589.53 
			Rents	$12,560,375.97 
		Sodium	Other Revenues	$329,791.75 
			Rents	$15,044.15 
			Royalties	$13,486,783.83 
		Sulfur	Royalties	$371,502.86 
2010 Total				$3,856,183,495.08 
2011	AK	Gas	Other Revenues	($39,283.85)
			Royalties	$10,163,381.86 
		Oil	Royalties	$2,022,988.68 
		Oil & Gas (Non-Royalty)	Bonus	$639,996.00 
			Other Revenues	($1,113,239.35)
			Rents	$5,147,254.34 
	AL	Coal	Rents	$13,494.00 
			Royalties	$9,722,181.57 
		Gas	Royalties	$264,684.95 
		Hardrock	Other Revenues	$123.00 
		NGL	Royalties	$8,644.81 
		Oil	Royalties	$392,011.62 
		Oil & Gas (Non-Royalty)	Bonus	$577,250.75 
			Other Revenues	($21,963.58)
			Rents	$65,360.00 
		Sulfur	Royalties	$4,447.73 
	AR	Gas	Royalties	$6,656,466.06 
		Hardrock	Other Revenues	$1,367.05 
			Rents	$40.00 
			Royalties	$7.35 
		Oil	Royalties	$82.72 
		Oil & Gas (Non-Royalty)	Bonus	$1,839,143.00 
			Other Revenues	($859.63)
			Rents	$1,100,363.00 
	AZ	Geothermal	Other Revenues	$6,252.00 
			Rents	$2,084.00 
		Oil & Gas (Non-Royalty)	Rents	$20,804.00 
		Sodium	Other Revenues	$12.00 
			Rents	$4.00 
			Royalties	$8,959.28 
	CA	Gas	Royalties	$4,326,620.76 
		Geothermal	Other Revenues	$120,489.11 
			Rents	$204,122.00 
			Royalties	$7,553,372.92 
		NGL	Royalties	$785,384.52 
		Oil	Royalties	$173,536,665.82 
		Oil & Gas (Non-Royalty)	Bonus	$5,619,228.00 
			Other Revenues	$349,113.74 
			Rents	$340,302.30 
		Sodium	Bonus	$120.00 
			Other Revenues	$13,624.70 
			Rents	$3,543.49 
			Royalties	$4,275,236.74 
	CO	CO2	Royalties	$49,744,663.24 
		Coal	Bonus	$3,591,320.00 
			Other Revenues	$478,029.44 
			Rents	$183,518.00 
			Royalties	$58,407,801.56 
		Gas	Royalties	$136,163,642.24 
		Geothermal	Bonus	$29,600.00 
			Rents	$3,200.00 
		Helium	Royalties	$58.22 
		NGL	Other Revenues	$156,525.92 
			Royalties	$23,988,178.87 
		Oil	Rents	$1,252.00 
			Royalties	$40,323,912.49 
		Oil & Gas (Non-Royalty)	Bonus	$867,492.00 
			Other Revenues	$8,722,842.47 
			Rents	$5,308,286.79 
		Sodium	Other Revenues	$60,399.00 
			Rents	$13,051.00 
			Royalties	$513,414.20 
	FL	Oil & Gas (Non-Royalty)	Rents	$3,200.00 
		Phosphate	Other Revenues	$2,134.00 
			Royalties	$521,357.53 
	ID	Geothermal	Bonus	$53,464.00 
			Other Revenues	$2,181.00 
			Rents	$152,813.00 
		Hardrock	Other Revenues	$126.00 
			Rents	($25.00)
			Royalties	$620.00 
		Oil & Gas (Non-Royalty)	Rents	$18,228.00 
		Phosphate	Bonus	$755,824.00 
			Other Revenues	$121,541.12 
			Rents	$3,473.50 
			Royalties	$8,534,799.04 
	IL	Hardrock	Other Revenues	$3,454.87 
		Oil	Royalties	$293,429.06 
	IN	Oil	Royalties	$20,846.36 
		Oil & Gas (Non-Royalty)	Rents	$5,802.00 
	KS	Gas	Royalties	$2,575,929.00 
		Helium	Royalties	$32.65 
		NGL	Royalties	$1,084,902.45 
		Oil	Royalties	$3,794,385.12 
		Oil & Gas (Non-Royalty)	Bonus	$2,495.00 
			Other Revenues	$359,850.55 
			Rents	$44,317.50 
	KY	Coal	Bonus	$9,450.00 
			Other Revenues	$281.08 
			Rents	$13,716.00 
			Royalties	$1,689,965.21 
		Gas	Royalties	$96,803.68 
		NGL	Royalties	$6,174.57 
		Oil	Royalties	$138,008.84 
