Land Category	FY	St	County Name	FIPS	Revenue Type	Mineral Lease Type	Commodity	Product	Total
Fed Onshore	2006	AK	Bristol Bay	02185	Rents	Coal	Coal		$10,240.00
Fed Onshore	2006	AK	Kenai Peninsula	02122	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$66,391.24
Fed Onshore	2006	AK	Kenai Peninsula	02122	Other Revenues	Oil & Gas	Gas		$159,455.96
Fed Onshore	2006	AK	Kenai Peninsula	02122	Other Revenues	Oil & Gas	Oil		($11.60)
Fed Onshore	2006	AK	Kenai Peninsula	02122	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$133,341.54
Fed Onshore	2006	AK	Kenai Peninsula	02122	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$8,086.63
Fed Onshore	2006	AK	Kenai Peninsula	02122	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		($332.89)
Fed Onshore	2006	AK	Kenai Peninsula	02122	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$29,346.39
Fed Onshore	2006	AK	Kenai Peninsula	02122	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$54,485.81
Fed Onshore	2006	AK	Kenai Peninsula	02122	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$13,318,007.70
Fed Onshore	2006	AK	Kenai Peninsula	02122	Royalties	Oil & Gas	NGL	Gas Plant Products	$229,226.63
Fed Onshore	2006	AK	Kenai Peninsula	02122	Royalties	Oil & Gas	Oil	Oil	$1,884,609.29
Fed Onshore	2006	AK	Kenai Peninsula	02122	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$43,071.76
Fed Onshore	2006	AK	North Slope	02185	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$2,345,349.31
Fed Onshore	2006	AK	North Slope	02119	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$154,149.00
Fed Onshore	2006	AK	North Slope	02163	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$514,375.50
Fed Onshore	2006	AK	North Slope	02279	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$2,253,650.80
