Land Category	FY	St	County Name	FIPS	Revenue Type	Mineral Lease Type	Commodity	Product	Total
Fed Onshore	2006	AK	North Slope	02287	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$232,817.39
Fed Onshore	2006	AL	Baldwin	01003	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($14,774.93)
Fed Onshore	2006	AL	Baldwin	01003	Royalties	Oil & Gas	Gas	Fuel Gas	($1,218.89)
Fed Onshore	2006	AL	Baldwin	01003	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	($67,051.81)
Fed Onshore	2006	AL	Baldwin	01003	Royalties	Oil & Gas	NGL	Gas Plant Products	($20.12)
Fed Onshore	2006	AL	Baldwin	01003	Royalties	Oil & Gas	Oil	Drip or Scrubber Condensate	($53.76)
Fed Onshore	2006	AL	Baldwin	01003	Royalties	Oil & Gas	Oil	Oil	($14.16)
Fed Onshore	2006	AL	Baldwin	01003	Royalties	Oil & Gas	Oil	Other Liquid Hydrocarbons	$5.64
Fed Onshore	2006	AL	Baldwin	01003	Royalties	Oil & Gas	Sulfur	Sulfur	($383.57)
Fed Onshore	2006	AL	Bibb	01007	Other Revenues	Hardrock	Hardrock		$123.00
Fed Onshore	2006	AL	Bibb	01007	Rents	Hardrock	Hardrock		($41.00)
Fed Onshore	2006	AL	Bibb	01007	Royalties	Hardrock	Clay	Clay	$21,525.30
Fed Onshore	2006	AL	Conecuh	01035	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$106.00
Fed Onshore	2006	AL	Covington	01039	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$8,147.50
Fed Onshore	2006	AL	Covington	01039	Royalties	Oil & Gas	Oil	Oil	$568,325.36
Fed Onshore	2006	AL	Escambia	01053	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$25,633.50
Fed Onshore	2006	AL	Escambia	01053	Royalties	Oil & Gas	Oil	Oil	$134,950.86
Fed Onshore	2006	AL	Fayette	01057	Bonus	Coal	Coal		$64,113.60
Fed Onshore	2006	AL	Fayette	01057	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$92.43
Fed Onshore	2006	AL	Fayette	01057	Rents	Coal	Coal		$8,664.00
Fed Onshore	2006	AL	Fayette	01057	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$1,080.00
Fed Onshore	2006	AL	Fayette	01057	Royalties	Coal	Coal	Coal	$1,980.40
Fed Onshore	2006	AL	Fayette	01057	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$3,056.19
Fed Onshore	2006	AL	Jefferson	01073	Rents	Coal	Coal		$4,830.00
Fed Onshore	2006	AL	Lamar	01075	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$0.08
Fed Onshore	2006	AL	Lamar	01075	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$243.00
Fed Onshore	2006	AL	Lamar	01075	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$4,819.70
Fed Onshore	2006	AL	Lamar	01075	Royalties	Oil & Gas	Oil	Oil	$9,887.90
Fed Onshore	2006	AL	Mobile	01097	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$14,866.65
Fed Onshore	2006	AL	Mobile	01097	Royalties	Oil & Gas	Gas	Fuel Gas	$1,787.39
Fed Onshore	2006	AL	Mobile	01097	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$264,044.92
Fed Onshore	2006	AL	Mobile	01097	Royalties	Oil & Gas	NGL	Gas Plant Products	$20.22
Fed Onshore	2006	AL	Mobile	01097	Royalties	Oil & Gas	Oil	Drip or Scrubber Condensate	$54.46
Fed Onshore	2006	AL	Mobile	01097	Royalties	Oil & Gas	Oil	Oil	$16,792.18
Fed Onshore	2006	AL	Mobile	01097	Royalties	Oil & Gas	Oil	Other Liquid Hydrocarbons	$22.78
Fed Onshore	2006	AL	Mobile	01097	Royalties	Oil & Gas	Sulfur	Sulfur	$1,534.34
Fed Onshore	2006	AL	Mobile/Water	01097	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$7.30
Fed Onshore	2006	AL	Mobile/Water	01097	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$5.00
Fed Onshore	2006	AL	Mobile/Water	01097	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$4,747.09
Fed Onshore	2006	AL	Mobile/Water	01097	Royalties	Oil & Gas	NGL	Gas Plant Products	$14.04
Fed Onshore	2006	AL	Mobile/Water	01097	Royalties	Oil & Gas	Oil	Condensate	$5.74
Fed Onshore	2006	AL	Mobile/Water	01097	Royalties	Oil & Gas	Sulfur	Sulfur	$5.36
Fed Onshore	2006	AL	Tuscaloosa	01125	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$175,620.00
Fed Onshore	2006	AL	Tuscaloosa	01125	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$11,015.69
Fed Onshore	2006	AL	Tuscaloosa	01125	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$11,578.50
Fed Onshore	2006	AL	Tuscaloosa	01125	Royalties	Oil & Gas	Gas	Coal Bed Methane	$104,924.89
Fed Onshore	2006	AL	Tuscaloosa	01125	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$73,539.54
Fed Onshore	2006	AL	Tuscaloosa	01125	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$526,886.71
Fed Onshore	2006	AR	Columbia	05027	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$5,858.36
Fed Onshore	2006	AR	Columbia	05027	Royalties	Oil & Gas	Oil	Oil	$243.99
Fed Onshore	2006	AR	Conway	05029	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$7,027.50
Fed Onshore	2006	AR	Conway	05029	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$43,006.90
Fed Onshore	2006	AR	Crawford	05033	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$14,212.00
Fed Onshore	2006	AR	Crawford	05033	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$3,757.42
Fed Onshore	2006	AR	Crawford	05033	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$63,201.76
Fed Onshore	2006	AR	Crawford	05033	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$147,557.76
Fed Onshore	2006	AR	Cross	05037	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$1,183.50
Fed Onshore	2006	AR	Faulkner	05045	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$960.00
Fed Onshore	2006	AR	Franklin	05047	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$158,866.00
Fed Onshore	2006	AR	Franklin	05047	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$4,320.00
Fed Onshore	2006	AR	Franklin	05047	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$14,617.53
Fed Onshore	2006	AR	Franklin	05047	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$112,178.68
Fed Onshore	2006	AR	Franklin	05047	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$185,866.68
Fed Onshore	2006	AR	Garland	05051	Other Revenues	Hardrock	Hardrock		$480.00
Fed Onshore	2006	AR	Garland	05051	Rents	Hardrock	Hardrock		($80.00)
Fed Onshore	2006	AR	Johnson	05071	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$107,217.06
Fed Onshore	2006	AR	Johnson	05071	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$379.98
Fed Onshore	2006	AR	Johnson	05071	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$155,468.36
Fed Onshore	2006	AR	Johnson	05071	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$740,445.93
Fed Onshore	2006	AR	Lee	05077	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,587,717.00
Fed Onshore	2006	AR	Lee	05077	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$23,724.00
Fed Onshore	2006	AR	Logan	05083	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$373,178.00
Fed Onshore	2006	AR	Logan	05083	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($19,118.10)
Fed Onshore	2006	AR	Logan	05083	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$120,580.19
Fed Onshore	2006	AR	Logan	05083	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$1,038,519.37
Fed Onshore	2006	AR	Madison	05087	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$68,216.94
Fed Onshore	2006	AR	Madison	05087	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$9,497.86
Fed Onshore	2006	AR	Montgomery	05097	Other Revenues	Hardrock	Hardrock		$972.50
Fed Onshore	2006	AR	Montgomery	05097	Rents	Hardrock	Hardrock		$129.00
Fed Onshore	2006	AR	Montgomery	05097	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$131,749.64
Fed Onshore	2006	AR	Montgomery	05097	Rents	Quartz	Hardrock		$40.00
Fed Onshore	2006	AR	Montgomery	05097	Royalties	Hardrock	Hardrock	Quartz Crystal	$345.50
Fed Onshore	2006	AR	Ouachita	05103	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$10.50
Fed Onshore	2006	AR	Perry	05105	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$9,140.00
Fed Onshore	2006	AR	Perry	05105	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$38,674.43
Fed Onshore	2006	AR	Phillips	05107	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$19,716.00
Fed Onshore	2006	AR	Phillips	05107	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$12,867.00
Fed Onshore	2006	AR	Polk	05113	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$35,718.46
Fed Onshore	2006	AR	Pope	05115	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$46,100.00
Fed Onshore	2006	AR	Pope	05115	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($71.55)
Fed Onshore	2006	AR	Pope	05115	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$160,364.39
Fed Onshore	2006	AR	Pope	05115	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$13,950.78
Fed Onshore	2006	AR	Prairie	05117	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$280.00
Fed Onshore	2006	AR	Scott	05127	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$3,617,560.00
Fed Onshore	2006	AR	Scott	05127	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$314.38
Fed Onshore	2006	AR	Scott	05127	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$356,491.86
Fed Onshore	2006	AR	Sebastian	05131	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($58,326.73)
Fed Onshore	2006	AR	Sebastian	05131	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$47,455.04
Fed Onshore	2006	AR	Sebastian	05131	Royalties	Oil & Gas	Gas	Coal Bed Methane	$1,799.31
Fed Onshore	2006	AR	Sebastian	05131	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$4,436,550.72
Fed Onshore	2006	AR	Van Buren	05141	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$42,981.45
Fed Onshore	2006	AR	Washington	05143	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$160.00
Fed Onshore	2006	AR	Yell	05149	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$80.00
Fed Onshore	2006	AR	Yell	05149	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($9,275.53)
Fed Onshore	2006	AR	Yell	05149	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$129,301.38
Fed Onshore	2006	AR	Yell	05149	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$2,360,609.28
Fed Onshore	2006	AZ	Apache	04001	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$440.09
Fed Onshore	2006	AZ	Apache	04001	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$12,007.50
Fed Onshore	2006	AZ	Greenlee	04011	Rents	Geothermal	Geothermal		$4,168.00
Fed Onshore	2006	AZ	Maricopa	04013	Other Revenues	Sodium	Sodium		$12.00
Fed Onshore	2006	AZ	Maricopa	04013	Rents	Sodium	Sodium		$4.00
Fed Onshore	2006	AZ	Maricopa	04013	Royalties	Sodium	Sodium	Salt	$72.47
Fed Onshore	2006	AZ	Mohave	04015	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$58,275.00
Fed Onshore	2006	AZ	Mohave	04015	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$97,690.50
Fed Onshore	2006	CA	Contra Costa	06013	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$11,270.84
Fed Onshore	2006	CA	Contra Costa	06013	Royalties	Oil & Gas	Oil	Condensate	$127.71
Fed Onshore	2006	CA	Fresno	06019	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$23,399.98
Fed Onshore	2006	CA	Fresno	06019	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($1,175.77)
Fed Onshore	2006	CA	Fresno	06019	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$54,651.79
Fed Onshore	2006	CA	Fresno	06019	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$86,205.05
Fed Onshore	2006	CA	Fresno	06019	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$262,466.30
Fed Onshore	2006	CA	Fresno	06019	Royalties	Oil & Gas	NGL	Gas Plant Products	$12,844.00
Fed Onshore	2006	CA	Fresno	06019	Royalties	Oil & Gas	Oil	Condensate	$7,079.22
Fed Onshore	2006	CA	Fresno	06019	Royalties	Oil & Gas	Oil	Oil	$222,579.09
Fed Onshore	2006	CA	Glenn	06021	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$802.14
Fed Onshore	2006	CA	Glenn	06021	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$5,418.82
Fed Onshore	2006	CA	Imperial	06025	Other Revenues	Geothermal	Geothermal		$122.27
Fed Onshore	2006	CA	Imperial	06025	Rents	Geothermal	Geothermal		$8,608.00
Fed Onshore	2006	CA	Imperial	06025	Royalties	Geothermal	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours	$93,579.00
Fed Onshore	2006	CA	Imperial	06025	Royalties	Geothermal	Geothermal	Geothermal - Electrical Generation, Other	$810.20
Fed Onshore	2006	CA	Inyo	06027	Other Revenues	Geothermal	Geothermal		($124,866.46)
Fed Onshore	2006	CA	Inyo	06027	Rents	Geothermal	Geothermal		$10,270.24
Fed Onshore	2006	CA	Inyo	06027	Royalties	Geothermal	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours	$1,994,685.01
Fed Onshore	2006	CA	Kern	06029	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$505,751.25
Fed Onshore	2006	CA	Kern	06029	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$266,691.30
Fed Onshore	2006	CA	Kern	06029	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$233,269.82
Fed Onshore	2006	CA	Kern	06029	Royalties	Oil & Gas	Gas	Gas Lost - Flared or Vented	$3,300.00
Fed Onshore	2006	CA	Kern	06029	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$1,061,713.60
Fed Onshore	2006	CA	Kern	06029	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$1,061,525.86
Fed Onshore	2006	CA	Kern	06029	Royalties	Oil & Gas	NGL	Gas Plant Products	$209,599.60
Fed Onshore	2006	CA	Kern	06029	Royalties	Oil & Gas	Oil	Condensate	$172,620.76
Fed Onshore	2006	CA	Kern	06029	Royalties	Oil & Gas	Oil	Fuel Oil	$34.09
Fed Onshore	2006	CA	Kern	06029	Royalties	Oil & Gas	Oil	Inlet Scrubber	$1,023.64
Fed Onshore	2006	CA	Kern	06029	Royalties	Oil & Gas	Oil	Oil	$74,693,313.84
Fed Onshore	2006	CA	Kings	06031	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$629.60
Fed Onshore	2006	CA	Kings	06031	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$34,401.72
Fed Onshore	2006	CA	Kings	06031	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$120,364.20
Fed Onshore	2006	CA	Kings	06031	Royalties	Oil & Gas	NGL	Gas Plant Products	$17,694.87
Fed Onshore	2006	CA	Kings	06031	Royalties	Oil & Gas	Oil	Oil	$245,220.59
Fed Onshore	2006	CA	Lake	06033	Other Revenues	Geothermal	Geothermal		$28.42
Fed Onshore	2006	CA	Lake	06033	Royalties	Geothermal	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds	$3,482,209.70
Fed Onshore	2006	CA	Lassen	06035	Royalties	Geothermal	Geothermal	Geothermal - Direct Utilization, Millions of BTUs	$67,493.98
Fed Onshore	2006	CA	Los Angeles	06037	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($0.01)
Fed Onshore	2006	CA	Los Angeles	06037	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$331,887.83
Fed Onshore	2006	CA	Los Angeles	06037	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$1,275.00
Fed Onshore	2006	CA	Los Angeles	06037	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$515.68
Fed Onshore	2006	CA	Los Angeles	06037	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$37,616.60
Fed Onshore	2006	CA	Los Angeles	06037	Royalties	Oil & Gas	Oil	Condensate	$96,612.73
Fed Onshore	2006	CA	Los Angeles	06037	Royalties	Oil & Gas	Oil	Oil	$3,160,724.32
Fed Onshore	2006	CA	Merced	06047	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$3,200.00
Fed Onshore	2006	CA	Merced	06047	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$1,684.50
Fed Onshore	2006	CA	Mono	06051	Other Revenues	Geothermal	Geothermal		$1,600.00
Fed Onshore	2006	CA	Mono	06051	Rents	Geothermal	Geothermal		$22,690.00
Fed Onshore	2006	CA	Mono	06051	Royalties	Geothermal	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours	$153,274.76
Fed Onshore	2006	CA	Monterey	06053	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$0.49
Fed Onshore	2006	CA	Monterey	06053	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$11,330.00
Fed Onshore	2006	CA	Monterey	06053	Royalties	Oil & Gas	Oil	Oil	$25,542.25
Fed Onshore	2006	CA	Sacramento	06067	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$329.00
Fed Onshore	2006	CA	San Benito	06069	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$126,808.52
Fed Onshore	2006	CA	San Benito	06069	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$103,983.15
Fed Onshore	2006	CA	San Benito	06069	Royalties	Oil & Gas	Oil	Oil	$1,715.51
Fed Onshore	2006	CA	San Bernardn	06071	Rents	Sodium	Sodium		$707.00
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Potassium	Sodium	Anhydrous Sodium Sulfate	$190,170.24
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Potassium	Sodium	Borax-Anhydrous	$7,430.47
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Potassium	Sodium	Borax-Decahydrate	$31,598.26
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Potassium	Sodium	Borax-Pentahydrate	$38,410.04
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Potassium	Sodium	Boric Acid	$150,152.83
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Potassium	Sodium	Salt	$40,765.19
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Potassium	Sodium	Soda Ash	$3,373,202.03
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Potassium	Sodium	Sodium Bi-Carbonate	$38,870.88
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Anhydrous Sodium Sulfate	$110,511.27
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Borax-Anhydrous	$4,682.75
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Borax-Decahydrate	$19,387.24
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Borax-Pentahydrate	$21,264.50
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Boric Acid	$91,045.65
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Salt	$23,676.96
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Soda Ash	$864,911.53
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Soda Ash-Granular	($165,503.39)
Fed Onshore	2006	CA	San Bernardn	06071	Royalties	Sodium	Sodium	Sodium Bi-Carbonate	$11,117.77
Fed Onshore	2006	CA	San Joaquin	06077	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$0.32
Fed Onshore	2006	CA	San Joaquin	06077	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$3,612.22
Fed Onshore	2006	CA	San Luis Ob.	06079	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$1,735.07
Fed Onshore	2006	CA	San Luis Ob.	06079	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$74,723.50
Fed Onshore	2006	CA	San Luis Ob.	06079	Royalties	Oil & Gas	Oil	Oil	$176,282.33
Fed Onshore	2006	CA	Santa Barbar	06083	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($84.24)
Fed Onshore	2006	CA	Santa Barbar	06083	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$9,356.56
Fed Onshore	2006	CA	Santa Barbar	06083	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$41,853.18
Fed Onshore	2006	CA	Santa Barbar	06083	Royalties	Oil & Gas	Oil	Oil	$583,271.61
Fed Onshore	2006	CA	Siskiyou	06093	Rents	Geothermal	Geothermal		$73,387.00
Fed Onshore	2006	CA	Solano	06095	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($264.99)
Fed Onshore	2006	CA	Solano	06095	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$40.00
Fed Onshore	2006	CA	Solano	06095	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$2,492,189.80
Fed Onshore	2006	CA	Solano	06095	Royalties	Oil & Gas	Oil	Condensate	$15,911.30
Fed Onshore	2006	CA	Sonoma	06097	Other Revenues	Geothermal	Geothermal		$541.70
Fed Onshore	2006	CA	Sonoma	06097	Royalties	Geothermal	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds	$4,575,823.75
Fed Onshore	2006	CA	Sutter	06101	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$80.00
Fed Onshore	2006	CA	Trinity	06105	Other Revenues	Sodium	Sodium		($240.00)
Fed Onshore	2006	CA	Ventura	06111	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($27,882.36)
Fed Onshore	2006	CA	Ventura	06111	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$10,035.94
Fed Onshore	2006	CA	Ventura	06111	Royalties	Oil & Gas	Gas	Gas Lost - Flared or Vented	$25,723.81
Fed Onshore	2006	CA	Ventura	06111	Royalties	Oil & Gas	Gas	Processed (Residue) Gas	$121,567.57
Fed Onshore	2006	CA	Ventura	06111	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$383,670.59
Fed Onshore	2006	CA	Ventura	06111	Royalties	Oil & Gas	NGL	Gas Plant Products	$25,867.97
Fed Onshore	2006	CA	Ventura	06111	Royalties	Oil & Gas	Oil	Condensate	$2,516.91
Fed Onshore	2006	CA	Ventura	06111	Royalties	Oil & Gas	Oil	Oil	$1,813,385.40
Fed Onshore	2006	CA	Yolo	06113	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$1,917.00
Fed Onshore	2006	CO	Arapahoe	08005	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$20.00
Fed Onshore	2006	CO	Arapahoe	08005	Royalties	Oil & Gas	Oil	Condensate	$157.64
Fed Onshore	2006	CO	Arapahoe	08005	Royalties	Oil & Gas	Oil	Oil	$567.26
Fed Onshore	2006	CO	Archuleta	08007	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$2,457.85
Fed Onshore	2006	CO	Archuleta	08007	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$11,931.92
Fed Onshore	2006	CO	Archuleta	08007	Royalties	Oil & Gas	Gas	Coal Bed Methane	$9,611.60
Fed Onshore	2006	CO	Archuleta	08007	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$216,104.77
Fed Onshore	2006	CO	Baca	08009	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,982.00
Fed Onshore	2006	CO	Baca	08009	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$7,679.27
Fed Onshore	2006	CO	Baca	08009	Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$18,428.11
Fed Onshore	2006	CO	Baca	08009	Royalties	Oil & Gas	Gas	Unprocessed (Wet) Gas	$25,452.73
