Land Category	FY	Offshore Region	Offshore Planning Area	BOEM Block Name	BOEM Protraction	Revenue Type	Mineral Lease Type	Commodity	Product	Total
Fed Offshore	2006	Alaska	Beaufort Sea			Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		$176.23
Fed Offshore	2006	Alaska	Beaufort Sea			Rents	Oil & Gas	Oil & Gas (Non-Royalty)		$2,049,517.50
Fed Offshore	2006	Alaska	Beaufort Sea			Royalties	Oil & Gas	Oil	Oil	$41,994,747.69
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Lund	NG16-04	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$446,976.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area, South Addition	LA8A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$607,000.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Mobile	NH16-04	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,025,950.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pass Area	LA9	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,098,781.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,504,970.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Viosca Knoll	NH16-07	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,651,785.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,768,471.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$1,983,336.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area, South Addition	LA3B	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,032,771.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,143,762.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,346,845.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$2,543,350.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area, South Addition	LA1B	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$3,109,418.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$3,228,195.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier Area	LA6	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$4,498,855.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$6,587,169.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area, West Addition	LA1A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$6,780,409.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$6,971,325.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$7,579,453.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$7,731,279.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$8,473,900.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$10,607,358.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area	LA3A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$11,773,599.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$13,530,213.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$14,518,198.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area	LA3	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$14,617,056.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area	LA1	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$16,077,268.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Walker Ridge	NG15-06	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$22,486,952.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier Area, South Addition	LA6A	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$24,589,189.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Atwater Valley	NG16-01	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$64,653,387.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$94,605,238.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Bonus	Oil & Gas	Oil & Gas (Non-Royalty)		$220,248,403.00
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	Gas	Flash Gas	($540.93)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Gas	Flash Gas	$2.05
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	Gas	Flash Gas	$4.80
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenues	Oil & Gas	Gas	Flash Gas	$22.68
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenues	Oil & Gas	Gas	Fuel Gas	$1.78
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	Gas	Fuel Gas	$263.53
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area	LA3	Other Revenues	Oil & Gas	Gas	Fuel Gas	$328.57
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pass Area	LA9	Other Revenues	Oil & Gas	Gas	Fuel Gas	$377.25
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier and Bay Marchand Areas	LA6	Other Revenues	Oil & Gas	Gas	Fuel Gas	$894.16
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenues	Oil & Gas	Gas	Fuel Gas	$1,049.23
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	Gas	Fuel Gas	$1,832.82
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Gas	Fuel Gas	$20,171.20
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenues	Oil & Gas	Gas	Gas Lost - Flared or Vented	$3.75
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Gas	Gas Lost - Flared or Vented	$1,152.24
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area	LA1	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	($185.17)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	($160.14)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	($23.91)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	$161.84
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	$665.67
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	$712.73
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	$2,923.64
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	$8,355.36
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier and Bay Marchand Areas	LA6	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	$13,311.94
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	$31,305.23
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Gas	Processed (Residue) Gas	$187,570.59
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	($21,695.99)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	($7,099.45)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	($6,270.22)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	($2,200.57)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area	LA1	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	($1,039.07)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$683.14
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$856.04
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pass Area	LA9	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$1,314.39
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier and Bay Marchand Areas	LA6	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$2,359.91
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$2,976.44
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$3,821.66
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$4,280.23
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area	LA3	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$5,941.34
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Other Revenues	Oil & Gas	Gas	Unprocessed (Wet) Gas	$9,893.68
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Other Revenues	Oil & Gas	NGL	Gas Plant Products	($29.21)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area	LA1	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$4.22
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$17.64
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$23.73
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$103.50
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$150.25
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier and Bay Marchand Areas	LA6	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$714.24
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$1,529.50
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$1,739.58
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	NGL	Gas Plant Products	$13,416.70
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Other Revenues	Oil & Gas	Oil	Condensate	($81,558.57)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Other Revenues	Oil & Gas	Oil	Condensate	($6,675.23)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Other Revenues	Oil & Gas	Oil	Condensate	($5,075.57)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	Oil	Condensate	($3,348.93)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Other Revenues	Oil & Gas	Oil	Condensate	($1,629.59)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area, South Addition	LA3B	Other Revenues	Oil & Gas	Oil	Condensate	($569.64)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier Area	LA6	Other Revenues	Oil & Gas	Oil	Condensate	($298.45)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Viosca Knoll	NH16-07	Other Revenues	Oil & Gas	Oil	Condensate	($164.54)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pass Area	LA9	Other Revenues	Oil & Gas	Oil	Condensate	($145.77)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Other Revenues	Oil & Gas	Oil	Condensate	$309.84
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Other Revenues	Oil & Gas	Oil	Condensate	$911.39
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Other Revenues	Oil & Gas	Oil	Condensate	$1,409.05
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area, South Addition	LA1B	Other Revenues	Oil & Gas	Oil	Condensate	$1,654.34
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Other Revenues	Oil & Gas	Oil	Condensate	$2,095.91
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenues	Oil & Gas	Oil	Condensate	$5,234.06
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier Area, South Addition	LA6A	Other Revenues	Oil & Gas	Oil	Condensate	$7,859.47
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area	LA1	Other Revenues	Oil & Gas	Oil	Condensate	$9,888.32
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Other Revenues	Oil & Gas	Oil	Condensate	$17,511.78
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier and Bay Marchand Areas	LA6	Other Revenues	Oil & Gas	Oil	Condensate	$18,730.52
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area	LA3A	Other Revenues	Oil & Gas	Oil	Condensate	$18,846.64
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area	LA3	Other Revenues	Oil & Gas	Oil	Condensate	$29,195.89
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Oil	Condensate	$57,490.03
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Other Revenues	Oil & Gas	Oil	Condensate	$60,053.84
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenues	Oil & Gas	Oil	Condensate	$64,315.08
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	Oil	Condensate	$85,813.99
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Other Revenues	Oil & Gas	Oil	Drip or Scrubber Condensate	$13.12
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier and Bay Marchand Areas	LA6	Other Revenues	Oil & Gas	Oil	Drip or Scrubber Condensate	$72.11
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	Oil	Drip or Scrubber Condensate	$110.53
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Oil	Drip or Scrubber Condensate	$497.15
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	Oil	Drip or Scrubber Condensate	$1,455.39
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	Oil	Inlet Scrubber	($0.01)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Oil	Inlet Scrubber	$25.43
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Other Revenues	Oil & Gas	Oil	Oil	($8,306,370.93)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Other Revenues	Oil & Gas	Oil	Oil	($3,526,652.38)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier Area, South Addition	LA6A	Other Revenues	Oil & Gas	Oil	Oil	($1,978,495.85)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Green Canyon	NG15-03	Other Revenues	Oil & Gas	Oil	Oil	($1,504,962.37)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area, South Addition	LA8A	Other Revenues	Oil & Gas	Oil	Oil	($1,216,463.04)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Other Revenues	Oil & Gas	Oil	Oil	($1,031,143.11)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Viosca Knoll	NH16-07	Other Revenues	Oil & Gas	Oil	Oil	($632,848.54)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Other Revenues	Oil & Gas	Oil	Oil	($212,422.19)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area, South Addition	LA2A	Other Revenues	Oil & Gas	Oil	Oil	($55,898.28)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area, South and East Addition	LA10A	Other Revenues	Oil & Gas	Oil	Oil	($34,426.07)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Other Revenues	Oil & Gas	Oil	Oil	($27,438.52)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area, South Addition	LA1B	Other Revenues	Oil & Gas	Oil	Oil	($10,574.35)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area	LA1	Other Revenues	Oil & Gas	Oil	Oil	($5,598.55)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area, South Addition	LA3B	Other Revenues	Oil & Gas	Oil	Oil	($3,426.79)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenues	Oil & Gas	Oil	Oil	$1,138.44
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area	LA3A	Other Revenues	Oil & Gas	Oil	Oil	$6,479.62
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pass Area, South and East Addition	LA9A	Other Revenues	Oil & Gas	Oil	Oil	$9,529.39
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier Area	LA6	Other Revenues	Oil & Gas	Oil	Oil	$14,145.40
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pass Area	LA9	Other Revenues	Oil & Gas	Oil	Oil	$30,215.60
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Other Revenues	Oil & Gas	Oil	Oil	$47,051.88
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Bay Marchand Area	LA6C	Other Revenues	Oil & Gas	Oil	Oil	$92,649.72
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area	LA3	Other Revenues	Oil & Gas	Oil	Oil	$130,212.42
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenues	Oil & Gas	Oil	Oil	$145,774.23
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Other Revenues	Oil & Gas	Oil	Oil	$178,796.66
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Other Revenues	Oil & Gas	Oil	Oil	$516,974.03
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Other Revenues	Oil & Gas	Oil	Oil	$554,068.70
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Delta Area	LA8	Other Revenues	Oil & Gas	Oil	Oil	$594,560.47
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	Oil	Oil	$816,971.12
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier and Bay Marchand Areas	LA6	Other Revenues	Oil & Gas	Oil	Oil	$821,102.28
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Oil	Oil	$2,610,982.54
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Timbalier and Bay Marchand Areas	LA6	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($6,252,200.42)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Main Pass Area	LA10	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($5,399,753.86)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area	LA1	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($5,214,845.63)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($3,938,398.74)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Viosca Knoll	NH16-07	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($2,936,121.10)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area	LA4	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($2,500,431.11)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	East Cameron Area	LA2	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($2,417,969.11)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pass Area, South and East Addition	LA9A	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($1,657,792.24)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Mississippi Canyon	NH16-10	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($1,404,420.83)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($1,385,159.99)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Vermilion Area, South Addition	LA3B	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($1,012,672.54)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area, South Addition	LA1B	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($990,315.23)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area, South Addition	LA7A	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($664,427.41)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Grand Isle Area	LA7	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($602,710.89)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($600,936.59)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Pelto Area	LA6B	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($454,031.91)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	West Cameron Area, West Addition	LA1A	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($379,025.73)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Eugene Island Area, South Addition	LA4A	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($349,050.23)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($312,997.35)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Ewing Bank	NH15-12	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($293,555.57)
Fed Offshore	2006	Gulf of Mexico	Central Gulf of Mexico	Sabine Pass Area	LA12	Other Revenues	Oil & Gas	Oil & Gas (Non-Royalty)		($293,370.74)
