Year	State	County	FIPS	Commodity	Product	Volume
2014	ND	Divide County	38023		Oil (bbl)	54631.06
2005	ND	Stark County	38089		Oil (bbl)	55497.31
2013	ND	Burke County	38013		Oil (bbl)	59028.93
2007	ND	Williams County	38105		Oil (bbl)	62391.53
2005	ND	Burke County	38013		Gas (mcf)	62824.47
2008	ND	Williams County	38105		Oil (bbl)	66122.16
2007	ND	Dunn County	38025		Gas (mcf)	66207.65
2006	ND	Dunn County	38025		Gas (mcf)	72823.62
2006	ND	Dunn County	38025		Oil (bbl)	73707.48
2005	ND	Dunn County	38025		Oil (bbl)	76406.73
2005	ND	Dunn County	38025		Gas (mcf)	78531.19
2014	ND	Slope County	38087		Gas (mcf)	91223.35
2007	ND	Dunn County	38025		Oil (bbl)	91869.02
2008	ND	Mountrail County	38061		Gas (mcf)	94989.11
2013	ND	Slope County	38087		Gas (mcf)	97635.91
2009	ND	Williams County	38105		Oil (bbl)	101150.93
2014	ND	Burke County	38013		Gas (mcf)	108939.47
2014	ND	Burke County	38013		Oil (bbl)	113179.92
2010	ND	Williams County	38105		Oil (bbl)	125121.87
2005	ND	Slope County	38087		Gas (mcf)	144003.69
2012	ND	Slope County	38087		Gas (mcf)	152970.28
2008	ND	Mountrail County	38061		Oil (bbl)	180345.55
2008	ND	Williams County	38105		Gas (mcf)	192122.58
2008	ND	Dunn County	38025		Gas (mcf)	194871.12
2010	ND	Williams County	38105		Gas (mcf)	196483.14
2005	ND	Williams County	38105		Gas (mcf)	199458.15
2005	ND	Golden Valley County	38033		Gas (mcf)	200045.1
2009	ND	Williams County	38105		Gas (mcf)	200464.52
2007	ND	Williams County	38105		Gas (mcf)	217346.14
2006	ND	Williams County	38105		Gas (mcf)	220017.86
2011	ND	Williams County	38105		Oil (bbl)	239953.4
2005	ND	Slope County	38087		Oil (bbl)	248692.2
2006	ND	Slope County	38087		Gas (mcf)	249959.05
2014	ND	Golden Valley County	38033		Gas (mcf)	259382.39
2013	ND	Golden Valley County	38033		Gas (mcf)	262713.88
2008	ND	Dunn County	38025		Oil (bbl)	278544.21
2011	ND	Golden Valley County	38033		Gas (mcf)	286589.1
2009	ND	Golden Valley County	38033		Oil (bbl)	294806.05
2009	ND	Mountrail County	38061		Gas (mcf)	295364.41
2010	ND	Golden Valley County	38033		Gas (mcf)	304676.4
2012	ND	Golden Valley County	38033		Gas (mcf)	310175.83
2005	ND	Golden Valley County	38033		Oil (bbl)	314564.85
2007	ND	Golden Valley County	38033		Gas (mcf)	315065.94
2006	ND	Golden Valley County	38033		Gas (mcf)	315277.11
2009	ND	Golden Valley County	38033		Gas (mcf)	322945.92
2006	ND	Slope County	38087		Oil (bbl)	330657.45
2010	ND	Golden Valley County	38033		Oil (bbl)	336347.24
2010	ND	Oliver County	38065		Coal (tons)	338404.89
2007	ND	Golden Valley County	38033		Oil (bbl)	342357.12
2008	ND	Golden Valley County	38033		Oil (bbl)	344308.82
2006	ND	Golden Valley County	38033		Oil (bbl)	352017.44
2008	ND	Golden Valley County	38033		Gas (mcf)	357480.75
2014	ND	Golden Valley County	38033		Oil (bbl)	368248.07
2011	ND	Williams County	38105		Gas (mcf)	375228.29
2013	ND	Golden Valley County	38033		Oil (bbl)	388155.69
2007	ND	Slope County	38087		Oil (bbl)	392520.9
2011	ND	Slope County	38087		Gas (mcf)	401696.35
2008	ND	Slope County	38087		Oil (bbl)	402055.13
2014	ND	Slope County	38087		Oil (bbl)	406320.25
2011	ND	Golden Valley County	38033		Oil (bbl)	411222.32
2009	ND	Slope County	38087		Oil (bbl)	415923.38
2013	ND	Slope County	38087		Oil (bbl)	429809.79
2010	ND	Slope County	38087		Oil (bbl)	437910.06
2012	ND	Slope County	38087		Oil (bbl)	462637.06
2009	ND	Mountrail County	38061		Oil (bbl)	463744.72
2011	ND	Slope County	38087		Oil (bbl)	465512.93
2012	ND	Golden Valley County	38033		Oil (bbl)	465641.97
2009	ND	Dunn County	38025		Oil (bbl)	498522.37
2009	ND	Dunn County	38025		Gas (mcf)	500953.67
2014	ND	Stark County	38089		Oil (bbl)	588799.89
2014	ND	Stark County	38089		Gas (mcf)	598981.92
2007	ND	Slope County	38087		Gas (mcf)	695503.87
2010	ND	Dunn County	38025		Gas (mcf)	781851.15
2010	ND	Slope County	38087		Gas (mcf)	786540.95
2012	ND	Williams County	38105		Oil (bbl)	801748.7
2010	ND	Mountrail County	38061		Gas (mcf)	835957.39
2010	ND	Dunn County	38025		Oil (bbl)	917046.91
2014	ND	Bowman County	38011		Oil (bbl)	926937.63
2012	ND	Williams County	38105		Gas (mcf)	944457.51
2013	ND	Williams County	38105		Oil (bbl)	950813.62
2014	ND	Williams County	38105		Oil (bbl)	962221.5
2011	ND	Dunn County	38025		Oil (bbl)	974975.83
2013	ND	Bowman County	38011		Oil (bbl)	999426.31
2011	ND	Dunn County	38025		Gas (mcf)	1010577.66
2012	ND	Bowman County	38011		Oil (bbl)	1054683.01
2009	ND	Slope County	38087		Gas (mcf)	1084696.96
2005	ND	McKenzie County	38053		Oil (bbl)	1114443.26
2011	ND	Oliver County	38065		Coal (tons)	1120352.05
2013	ND	Williams County	38105		Gas (mcf)	1167645.7
2014	ND	Bowman County	38011		Gas (mcf)	1173007.15
2011	ND	Bowman County	38011		Oil (bbl)	1192002.75
2013	ND	Bowman County	38011		Gas (mcf)	1220882.86
2010	ND	Billings County	38007		Gas (mcf)	1227211.27
2012	ND	Bowman County	38011		Gas (mcf)	1257969.15
2009	ND	Billings County	38007		Gas (mcf)	1347119.37
2010	ND	Bowman County	38011		Oil (bbl)	1381085.76
2014	ND	Williams County	38105		Gas (mcf)	1392919.64
2006	ND	McKenzie County	38053		Oil (bbl)	1399486.57
2013	ND	Oliver County	38065		Coal (tons)	1458947.97
2008	ND	Slope County	38087		Gas (mcf)	1491807.49
2012	ND	Dunn County	38025		Oil (bbl)	1524080.87
2011	ND	Mountrail County	38061		Gas (mcf)	1574228.65
2012	ND	Oliver County	38065		Coal (tons)	1580853.05
2007	ND	McKenzie County	38053		Oil (bbl)	1595677.98
2014	ND	Oliver County	38065		Coal (tons)	1601986.27
2006	ND	Billings County	38007		Gas (mcf)	1603346.69
2011	ND	Billings County	38007		Gas (mcf)	1638821.1
2008	ND	Billings County	38007		Gas (mcf)	1680718.58
2009	ND	Bowman County	38011		Oil (bbl)	1690987.18
2010	ND	Billings County	38007		Oil (bbl)	1704354.57
2010	ND	Mountrail County	38061		Oil (bbl)	1716012.16
2005	ND	Bowman County	38011		Oil (bbl)	1761435.2
2008	ND	McKenzie County	38053		Oil (bbl)	1766591.85
