Year	State	County	FIPS	Volume
2011	ND	Bowman County	38011	4
2010	ND	Bowman County	38011	4
2009	ND	Bowman County	38011	4
2008	ND	Bowman County	38011	4
2005	ND	Mountrail County	38061	2
2006	ND	Bowman County	38011	4
2007	ND	Bowman County	38011	4
2013	ND	Bottineau County	38009	2
2012	ND	Bottineau County	38009	2
2010	ND	Divide County	38023	2
2008	ND	Divide County	38023	2
2011	ND	Bottineau County	38009	2
2005	ND	Bowman County	38011	4
2009	ND	Divide County	38023	2
2006	ND	Mountrail County	38061	2
2012	ND	Bowman County	38011	3
2007	ND	Divide County	38023	1
2005	ND	Bottineau County	38009	2
2007	ND	Bottineau County	38009	2
2006	ND	Bottineau County	38009	2
2010	ND	Bottineau County	38009	2
2009	ND	Bottineau County	38009	2
2008	ND	Bottineau County	38009	2
2013	ND	Bowman County	38011	3
2014	ND	Bottineau County	38009	2
2014	ND	Renville County	38075	2
2014	ND	Bowman County	38011	3
2005	ND	Renville County	38075	2
2006	ND	Renville County	38075	2
2013	ND	Renville County	38075	2
2006	ND	Burke County	38013	2
2012	ND	Renville County	38075	2
2007	ND	Mountrail County	38061	2
2007	ND	Renville County	38075	2
2005	ND	Burke County	38013	2
2011	ND	Renville County	38075	2
2008	ND	Burke County	38013	2
2009	ND	Burke County	38013	2
2010	ND	Renville County	38075	2
2007	ND	Burke County	38013	2
2011	ND	Burke County	38013	2
2009	ND	Renville County	38075	2
2011	ND	Stark County	38089	2
2008	ND	Renville County	38075	2
2010	ND	Stark County	38089	2
2011	ND	Divide County	38023	2
2009	ND	Stark County	38089	2
2010	ND	Burke County	38013	2
2008	ND	Stark County	38089	2
2007	ND	Stark County	38089	2
2006	ND	Stark County	38089	2
2005	ND	Stark County	38089	2
2012	ND	Divide County	38023	2
2012	ND	Burke County	38013	2
2012	ND	Stark County	38089	2
2013	ND	Stark County	38089	2
2013	ND	Divide County	38023	2
2014	ND	Divide County	38023	2
2005	ND	Williams County	38105	2
2013	ND	Burke County	38013	2
2006	ND	Williams County	38105	2
2007	ND	Williams County	38105	2
2008	ND	Williams County	38105	2
2007	ND	Dunn County	38025	2
2006	ND	Dunn County	38025	2
2005	ND	Dunn County	38025	2
2014	ND	Slope County	38087	2
2008	ND	Mountrail County	38061	2
2013	ND	Slope County	38087	2
2009	ND	Williams County	38105	2
2014	ND	Burke County	38013	2
2010	ND	Williams County	38105	2
2005	ND	Slope County	38087	2
2012	ND	Slope County	38087	2
2008	ND	Dunn County	38025	2
2005	ND	Golden Valley County	38033	2
2011	ND	Williams County	38105	2
2006	ND	Slope County	38087	2
2014	ND	Golden Valley County	38033	2
2013	ND	Golden Valley County	38033	2
2011	ND	Golden Valley County	38033	2
2009	ND	Golden Valley County	38033	2
2009	ND	Mountrail County	38061	2
2010	ND	Golden Valley County	38033	2
2012	ND	Golden Valley County	38033	2
2007	ND	Golden Valley County	38033	2
2006	ND	Golden Valley County	38033	2
2010	ND	Oliver County	38065	1
2008	ND	Golden Valley County	38033	2
2007	ND	Slope County	38087	2
2011	ND	Slope County	38087	2
2008	ND	Slope County	38087	2
2009	ND	Slope County	38087	2
2010	ND	Slope County	38087	2
2009	ND	Dunn County	38025	2
2014	ND	Stark County	38089	2
2010	ND	Dunn County	38025	2
2012	ND	Williams County	38105	2
2010	ND	Mountrail County	38061	2
2013	ND	Williams County	38105	2
2014	ND	Williams County	38105	2
2011	ND	Dunn County	38025	2
2005	ND	McKenzie County	38053	2
2011	ND	Oliver County	38065	1
2010	ND	Billings County	38007	2
2009	ND	Billings County	38007	2
2006	ND	McKenzie County	38053	2
2013	ND	Oliver County	38065	1
2012	ND	Dunn County	38025	2
2011	ND	Mountrail County	38061	2
2012	ND	Oliver County	38065	1
2007	ND	McKenzie County	38053	2
2014	ND	Oliver County	38065	1
2006	ND	Billings County	38007	2
2011	ND	Billings County	38007	2
2008	ND	Billings County	38007	2
2008	ND	McKenzie County	38053	2
2011	ND	Mercer County	38057	1
2005	ND	Billings County	38007	2
2013	ND	Dunn County	38025	2
2012	ND	Billings County	38007	2
2013	ND	Billings County	38007	2
2009	ND	McKenzie County	38053	2
2007	ND	Billings County	38007	2
2005	ND	Mercer County	38057	1
2012	ND	Mercer County	38057	1
2012	ND	Mountrail County	38061	2
2014	ND	Billings County	38007	2
2013	ND	Mountrail County	38061	2
2014	ND	Dunn County	38025	2
2014	ND	Mountrail County	38061	2
2013	ND	Mercer County	38057	1
2010	ND	McKenzie County	38053	2
2006	ND	Mercer County	38057	1
2014	ND	Mercer County	38057	1
2007	ND	Mercer County	38057	1
2011	ND	McKenzie County	38053	2
2012	ND	McKenzie County	38053	2
2013	ND	McKenzie County	38053	2
2014	ND	McKenzie County	38053	2
