State	Revenue Type	Commodity	Revenue
MT	Royalties	Coal	44889477.56
MT	Royalties	Gas	4620714.47
MT	Royalties	Oil	25245245.64
MT	Royalties	Other Commodities	5314.96
MT	Other Revenues	Oil & Gas	191549.17
MT	Other Revenues	Phosphate	2818
NE	Royalties	Gas	5288.38
NE	Royalties	Oil	292938.04
NE	Other Revenues	Oil & Gas	38437.31
NV	Royalties	Geothermal	2730744.4
NV	Royalties	Oil	3613728.95
NV	Other Revenues	Geothermal	7572.52
NV	Other Revenues	Oil & Gas	1333.82
NM	Royalties	Coal	14827533.41
NM	Royalties	Gas	391537911.6
NM	Royalties	Oil	568253428.8
NM	Royalties	Other Commodities	22441063.17
NM	Other Revenues	Coal	25449.02
NM	Other Revenues	Geothermal	5607.81
NM	Other Revenues	Oil & Gas	7716738.58
NM	Other Revenues	Potassium	343095
NM	Other Revenues	Sodium	-9240
NY	Royalties	Gas	5222.81
NC	Other Revenues	Hardrock	474
ND	Royalties	Coal	1903263.85
ND	Royalties	Gas	9889342.29
ND	Royalties	Oil	180649260.32
ND	Royalties	Other Commodities	49709.67
ND	Other Revenues	Oil & Gas	223008.01
OH	Royalties	Gas	211525.83
OH	Royalties	Oil	235422.98
OH	Other Revenues	Oil & Gas	18918.68
OK	Royalties	Coal	962180.33
OK	Royalties	Gas	5754151.36
OK	Royalties	Oil	4998979.9
OK	Royalties	Other Commodities	1.2
OK	Other Revenues	Oil & Gas	-118301.23
PA	Royalties	Gas	12250.46
PA	Royalties	Oil	20669.77
PA	Other Revenues	Oil & Gas	53529.94
SD	Royalties	Gas	47288.28
SD	Royalties	Oil	2004620.58
SD	Other Revenues	Oil & Gas	3767.3
TX	Royalties	Gas	21257798.87
TX	Royalties	Oil	3167054
TX	Other Revenues	Oil & Gas	111205.76
UT	Royalties	Coal	39455178.73
UT	Royalties	Gas	132418429.67
UT	Royalties	Geothermal	303753.38
UT	Royalties	Oil	130370575.67
UT	Royalties	Other Commodities	3311181.7
UT	Other Revenues	Clay	942
UT	Other Revenues	Coal	2495.5
UT	Other Revenues	Gilsonite	4191
UT	Other Revenues	Oil & Gas	2208091.88
UT	Other Revenues	Phosphate	31920
UT	Other Revenues	Potassium	22528
VA	Royalties	Gas	55416.5
VA	Royalties	Oil	91.93
VA	Royalties	Other Commodities	60702.52
VA	Other Revenues	Hardrock	-2130
VA	Other Revenues	Oil & Gas	10376.1
WV	Royalties	Gas	71158.95
WV	Other Revenues	Oil & Gas	394396.26
WY	Royalties	Coal	534226397.09
WY	Royalties	Gas	560494767.31
WY	Royalties	Oil	341686585.41
WY	Royalties	Other Commodities	42995801.77
WY	Other Revenues	Coal	3587620.43
WY	Other Revenues	Oil & Gas	3643762.81
WY	Other Revenues	Sodium	25024.98
UT	Rents	Oil & Gas	3104058.08
MT	Rents	Oil & Gas	1878653.77
WY	Rents	Oil & Gas	12156742.95
NM	Bonus	Oil & Gas	55792554
AL	Rents	Oil & Gas	132265
KS	Rents	Oil & Gas	43178
CA	Rents	Geothermal	165028
UT	Rents	Geothermal	367606
NM	Rents	Sodium	-2920
UT	Rents	Gilsonite	1826.5
NM	Rents	Oil & Gas	2052419.13
MS	Rents	Oil & Gas	732154
OK	Rents	Oil & Gas	351924.85
MN	Rents	Hardrock	19571
KY	Rents	Coal	8659.5
ID	Rents	Phosphate	18
WY	Rents	Coal	603037.53
CO	Rents	Oil & Gas	4221688.66
IN	Rents	Oil & Gas	12833
OR	Rents	Geothermal	238862
MI	Rents	Oil & Gas	140004.33
CA	Rents	Sodium	2532.5
NM	Bonus	Geothermal	82500
LA	Rents	Oil & Gas	374638
CO	Bonus	Oil & Gas	3131195.5
OK	Bonus	Oil & Gas	1316388
WA	Rents	Coal	2406
MN	Rents	Copper	-2611
AL	Rents	Coal	13254
AK	Rents	Oil & Gas	5322862.49
VA	Rents	Oil & Gas	20991
OH	Rents	Oil & Gas	17323.77
ID	Rents	Geothermal	160841
WA	Rents	Geothermal	8437
OR	Rents	Oil & Gas	377474
NV	Rents	Geothermal	1555646
MT	Rents	Hardrock	20
NM	Rents	Coal	76314
MO	Rents	Hardrock	700
ND	Rents	Coal	37770
SD	Rents	Oil & Gas	220881
CA	Rents	Oil & Gas	278357.5
NM	Rents	Geothermal	55235
TX	Bonus	Oil & Gas	6162995
CO	Rents	Sodium	-11841
UT	Rents	Potassium	91694.5
ND	Rents	Oil & Gas	911698.14
AR	Rents	Oil & Gas	481258
NV	Rents	Oil & Gas	5806356.5
TX	Rents	Oil & Gas	444939.38
UT	Rents	Coal	211455.2
ND	Bonus	Oil & Gas	61506804
UT	Bonus	Oil & Gas	6144252
WY	Bonus	Oil & Gas	42415725
WV	Rents	Oil & Gas	82744
MT	Rents	Coal	111696
CO	Rents	Geothermal	28262
ID	Rents	Hardrock	40
WY	Rents	Sodium	39715
CO	Rents	Coal	64323.78
