year	volume	commodity	region	series_id	units
2015	21832.596790000003	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2014	21649.71877	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2013	20830.48954	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2012	19823.03687	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2011	19221.763180000005	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2010	18917.20666	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2009	18442.59593	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2008	17733.75861	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2007	16524.553959999997	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2006	16098.52459	Other biomass	US	ELEC.GEN.WAS-US-99.A	thousand megawatthours
2015	45.89185	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2014	46.93681	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2013	21.19013	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2012	7.7891	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2011	9.898299999999999	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2010	11.532630000000001	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2009	14.482030000000002	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2008	33.697570000000006	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2007	16.737940000000002	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2006	19.45178	Other biomass	AL	ELEC.GEN.WAS-AL-99.A	thousand megawatthours
2015	59.06783	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2014	62.51167999999999	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2013	52.03197	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2012	2.56537	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2011	3.28654	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2010	6.304379999999999	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2009	6.51142	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2008	4.6817	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2007	10.19581	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2006	6.149	Other biomass	AK	ELEC.GEN.WAS-AK-99.A	thousand megawatthours
2015	60.2745	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2014	61.053	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2013	69.13356	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2012	53.87197999999999	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2011	46.83358	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2010	28.411260000000002	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2009	21.9898	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2008	22.986389999999997	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2007	32.989869999999996	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2006	32.193380000000005	Other biomass	AZ	ELEC.GEN.WAS-AZ-99.A	thousand megawatthours
2015	106.48449000000001	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2014	102.27371	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2013	105.21846000000001	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2012	70.4792	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2011	81.00824	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2010	56.95927999999999	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2009	57.04956	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2008	46.769980000000004	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2007	42.9413	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2006	33.426010000000005	Other biomass	AR	ELEC.GEN.WAS-AR-99.A	thousand megawatthours
2015	2842.8700700000004	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2014	2913.29218	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2013	2843.2028399999995	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2012	2513.72112	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2011	2584.6928399999997	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2010	2450.78271	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2009	2467.6602599999997	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2008	2361.94599	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2007	2305.22831	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2006	2294.49548	Other biomass	CA	ELEC.GEN.WAS-CA-99.A	thousand megawatthours
2015	82.59569	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2014	79.07369	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2013	81.12125	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2012	57.72220000000001	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2011	61.520070000000004	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2010	57.9789	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2009	56.16418	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2008	45.11894	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2007	31.105	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2006	30.69179	Other biomass	CO	ELEC.GEN.WAS-CO-99.A	thousand megawatthours
2015	616.2103900000001	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2014	650.10164	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2013	647.8011899999999	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2012	665.7885100000001	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2011	658.8729599999999	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2010	739.2458	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2009	758.1083300000001	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2008	731.88128	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2007	728.16355	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2006	754.77628	Other biomass	CT	ELEC.GEN.WAS-CT-99.A	thousand megawatthours
2015	76.70109000000001	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2014	76.49938	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2013	57.346999999999994	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2012	104.85362	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2011	144.73166999999998	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2010	135.64142	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2009	125.61136	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2008	163.37464	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2007	48.116	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2006	0.41700000000000004	Other biomass	DE	ELEC.GEN.WAS-DE-99.A	thousand megawatthours
2015	2434.6678799999995	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2014	2291.8158500000004	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2013	2309.4412	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2012	2272.62144	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2011	2334.98473	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2010	2387.4156000000003	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2009	2376.7372	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2008	2334.12679	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2007	2373.01948	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2006	2351.7011500000003	Other biomass	FL	ELEC.GEN.WAS-FL-99.A	thousand megawatthours
2015	394.21698999999995	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2014	413.4964299999999	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2013	415.23864999999995	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2012	168.12194000000002	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2011	119.26293	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2010	127.00095	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2009	79.60049	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2008	121.68509999999999	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2007	53.32415	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2006	56.707679999999996	Other biomass	GA	ELEC.GEN.WAS-GA-99.A	thousand megawatthours
2015	336.53718999999995	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2014	334.03008	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2013	329.36425	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2012	280.9760999999999	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2011	312.62692	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2010	283.4736	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2009	284.42668	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2008	302.4230999999999	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2007	285.27709	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2006	325.69229	Other biomass	HI	ELEC.GEN.WAS-HI-99.A	thousand megawatthours
2015	171.31883000000002	Other biomass	ID	ELEC.GEN.WAS-ID-99.A	thousand megawatthours
2014	175.41444	Other biomass	ID	ELEC.GEN.WAS-ID-99.A	thousand megawatthours
2013	198.41514	Other biomass	ID	ELEC.GEN.WAS-ID-99.A	thousand megawatthours
2012	89.68573999999998	Other biomass	ID	ELEC.GEN.WAS-ID-99.A	thousand megawatthours
2011	47.6179	Other biomass	ID	ELEC.GEN.WAS-ID-99.A	thousand megawatthours
2010	23.58166	Other biomass	ID	ELEC.GEN.WAS-ID-99.A	thousand megawatthours
2009	0	Other biomass	ID	ELEC.GEN.WAS-ID-99.A	thousand megawatthours
2015	562.75515	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
2014	566.37236	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
2013	607.98645	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
2012	615.19321	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
2011	637.5804400000001	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
2010	670.25998	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
2009	709.7431	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
2008	697.3695999999999	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
2007	620.3252199999998	Other biomass	IL	ELEC.GEN.WAS-IL-99.A	thousand megawatthours
