year	volume	commodity	region	series_id	units
2015	42358.32395	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2014	42339.72521999999	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2013	40027.53696	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2012	37799.129089999995	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2011	37449.066779999994	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2010	37172.15964	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2009	36050.13828	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2008	37299.853050000005	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2007	39014.02402	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2006	38762.096059999996	Wood and wood-derived fuels	US	ELEC.GEN.WWW-US-99.A	thousand megawatthours
2015	3282.98054	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2014	2732.0842199999997	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2013	2854.38829	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2012	2768.7648999999997	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2011	2806.76359	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2010	2365.4533900000006	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2009	3035.3749900000003	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2008	3323.61582	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2007	3783.88218	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2006	3865.00996	Wood and wood-derived fuels	AL	ELEC.GEN.WWW-AL-99.A	thousand megawatthours
2015	0	Wood and wood-derived fuels	AK	ELEC.GEN.WWW-AK-99.A	thousand megawatthours
2014	0	Wood and wood-derived fuels	AK	ELEC.GEN.WWW-AK-99.A	thousand megawatthours
2013	0	Wood and wood-derived fuels	AK	ELEC.GEN.WWW-AK-99.A	thousand megawatthours
2008	0	Wood and wood-derived fuels	AK	ELEC.GEN.WWW-AK-99.A	thousand megawatthours
2007	0.02176	Wood and wood-derived fuels	AK	ELEC.GEN.WWW-AK-99.A	thousand megawatthours
2006	0.5155099999999999	Wood and wood-derived fuels	AK	ELEC.GEN.WWW-AK-99.A	thousand megawatthours
2015	176.98441000000003	Wood and wood-derived fuels	AZ	ELEC.GEN.WWW-AZ-99.A	thousand megawatthours
2014	169.69021	Wood and wood-derived fuels	AZ	ELEC.GEN.WWW-AZ-99.A	thousand megawatthours
2013	102.30757	Wood and wood-derived fuels	AZ	ELEC.GEN.WWW-AZ-99.A	thousand megawatthours
2012	156.69729	Wood and wood-derived fuels	AZ	ELEC.GEN.WWW-AZ-99.A	thousand megawatthours
2011	143.6255	Wood and wood-derived fuels	AZ	ELEC.GEN.WWW-AZ-99.A	thousand megawatthours
