year	volume	commodity	region	units
2015	2161.135	Biofuels	US	Trillion Btu
2014	2103.4110000000005	Biofuels	US	Trillion Btu
2013	1980.94	Biofuels	US	Trillion Btu
2012	1928.887	Biofuels	US	Trillion Btu
2011	2029.308	Biofuels	US	Trillion Btu
2010	1867.8799999999999	Biofuels	US	Trillion Btu
2009	1569.92	Biofuels	US	Trillion Btu
2008	1374.001	Biofuels	US	Trillion Btu
2007	970.07	Biofuels	US	Trillion Btu
2006	715.635	Biofuels	US	Trillion Btu
