year	volume	commodity	region	units
2015	251168.45935	Conventional Hydroelectric	US	MMWh
2014	259366.62185999998	Conventional Hydroelectric	US	MMWh
2013	268565.38272999995	Conventional Hydroelectric	US	MMWh
2012	276240.2233800001	Conventional Hydroelectric	US	MMWh
2011	319354.90345000004	Conventional Hydroelectric	US	MMWh
2010	260203.06938	Conventional Hydroelectric	US	MMWh
2009	273445.09417000005	Conventional Hydroelectric	US	MMWh
2008	254831.38510999997	Conventional Hydroelectric	US	MMWh
2007	247509.97431	Conventional Hydroelectric	US	MMWh
2006	289246.41565000004	Conventional Hydroelectric	US	MMWh
2015	10132.68056	Conventional Hydroelectric	AL	MMWh
2014	9466.872	Conventional Hydroelectric	AL	MMWh
2013	12899.178	Conventional Hydroelectric	AL	MMWh
2012	7435.223	Conventional Hydroelectric	AL	MMWh
2011	8883.598	Conventional Hydroelectric	AL	MMWh
2010	8704.254	Conventional Hydroelectric	AL	MMWh
2009	12535.373	Conventional Hydroelectric	AL	MMWh
2008	6136.148	Conventional Hydroelectric	AL	MMWh
2007	4136.1140000000005	Conventional Hydroelectric	AL	MMWh
2006	7251.786	Conventional Hydroelectric	AL	MMWh
2015	1542.2984099999999	Conventional Hydroelectric	AK	MMWh
2014	1538.738	Conventional Hydroelectric	AK	MMWh
2013	1435.4794299999999	Conventional Hydroelectric	AK	MMWh
2012	1575.045	Conventional Hydroelectric	AK	MMWh
2011	1344.7457500000003	Conventional Hydroelectric	AK	MMWh
2010	1433.1413899999998	Conventional Hydroelectric	AK	MMWh
2009	1323.7444099999998	Conventional Hydroelectric	AK	MMWh
2008	1171.801	Conventional Hydroelectric	AK	MMWh
2007	1291.223	Conventional Hydroelectric	AK	MMWh
2006	1223.60701	Conventional Hydroelectric	AK	MMWh
2015	6535.009889999999	Conventional Hydroelectric	AZ	MMWh
2014	6118.261	Conventional Hydroelectric	AZ	MMWh
2013	5914.658	Conventional Hydroelectric	AZ	MMWh
2012	6716.933999999999	Conventional Hydroelectric	AZ	MMWh
2011	9174.092	Conventional Hydroelectric	AZ	MMWh
2010	6622.160000000001	Conventional Hydroelectric	AZ	MMWh
2009	6427.345	Conventional Hydroelectric	AZ	MMWh
2008	7285.902	Conventional Hydroelectric	AZ	MMWh
2007	6597.671	Conventional Hydroelectric	AZ	MMWh
2006	6792.9039999999995	Conventional Hydroelectric	AZ	MMWh
2015	3663.11807	Conventional Hydroelectric	AR	MMWh
2014	2639.776	Conventional Hydroelectric	AR	MMWh
2013	2654.7404399999996	Conventional Hydroelectric	AR	MMWh
2012	2198.472	Conventional Hydroelectric	AR	MMWh
2011	2957.8450000000003	Conventional Hydroelectric	AR	MMWh
2010	3658.962	Conventional Hydroelectric	AR	MMWh
2009	4192.706	Conventional Hydroelectric	AR	MMWh
2008	4660.297	Conventional Hydroelectric	AR	MMWh
2007	3236.753	Conventional Hydroelectric	AR	MMWh
2006	1550.558	Conventional Hydroelectric	AR	MMWh
2015	13860.989919999998	Conventional Hydroelectric	CA	MMWh
2014	16531.34016	Conventional Hydroelectric	CA	MMWh
2013	23754.59948	Conventional Hydroelectric	CA	MMWh
2012	26837.37041	Conventional Hydroelectric	CA	MMWh
2011	42557.46688	Conventional Hydroelectric	CA	MMWh
2010	33430.87002	Conventional Hydroelectric	CA	MMWh
2009	27888.03633	Conventional Hydroelectric	CA	MMWh
2008	24127.809619999996	Conventional Hydroelectric	CA	MMWh
2007	27327.750890000003	Conventional Hydroelectric	CA	MMWh
2006	48047.38008	Conventional Hydroelectric	CA	MMWh
2015	1491.5437	Conventional Hydroelectric	CO	MMWh
2014	1769.80092	Conventional Hydroelectric	CO	MMWh
2013	1212.8719999999998	Conventional Hydroelectric	CO	MMWh
2012	1497.209	Conventional Hydroelectric	CO	MMWh
2011	2082.6214	Conventional Hydroelectric	CO	MMWh
2010	1578.26359	Conventional Hydroelectric	CO	MMWh
2009	1885.724	Conventional Hydroelectric	CO	MMWh
2008	2039.327	Conventional Hydroelectric	CO	MMWh
2007	1729.53262	Conventional Hydroelectric	CO	MMWh
2006	1791.207	Conventional Hydroelectric	CO	MMWh
2015	459.8911299999999	Conventional Hydroelectric	CT	MMWh
2014	433.96018999999995	Conventional Hydroelectric	CT	MMWh
2013	401.9280499999999	Conventional Hydroelectric	CT	MMWh
2012	312.141	Conventional Hydroelectric	CT	MMWh
2011	567.4419999999999	Conventional Hydroelectric	CT	MMWh
2010	390.6673	Conventional Hydroelectric	CT	MMWh
2009	509.54559	Conventional Hydroelectric	CT	MMWh
2008	556.1772599999999	Conventional Hydroelectric	CT	MMWh
2007	363.2608	Conventional Hydroelectric	CT	MMWh
