year	volume	commodity	region	units
2015	298358.21773	All Other Renewables	US	thousand megawatthours
2014	279212.69798999996	All Other Renewables	US	thousand megawatthours
2013	253508.06639999998	All Other Renewables	US	thousand megawatthours
2012	218332.96968999997	All Other Renewables	US	thousand megawatthours
2011	193981.19225000002	All Other Renewables	US	thousand megawatthours
2010	167173.00708	All Other Renewables	US	thousand megawatthours
2009	144278.70330000002	All Other Renewables	US	thousand megawatthours
2008	126101.00306999999	All Other Renewables	US	thousand megawatthours
2007	105237.51138	All Other Renewables	US	thousand megawatthours
2006	96525.49263999998	All Other Renewables	US	thousand megawatthours
2015	3328.8723900000005	All Other Renewables	AL	thousand megawatthours
2014	2779.0210300000003	All Other Renewables	AL	thousand megawatthours
2013	2875.57842	All Other Renewables	AL	thousand megawatthours
2012	2776.554	All Other Renewables	AL	thousand megawatthours
2011	2816.66189	All Other Renewables	AL	thousand megawatthours
2010	2376.98602	All Other Renewables	AL	thousand megawatthours
2009	3049.8570200000004	All Other Renewables	AL	thousand megawatthours
2008	3357.3133900000007	All Other Renewables	AL	thousand megawatthours
2007	3800.62012	All Other Renewables	AL	thousand megawatthours
2006	3884.46174	All Other Renewables	AL	thousand megawatthours
2015	217.30239000000003	All Other Renewables	AK	thousand megawatthours
2014	214.46868	All Other Renewables	AK	thousand megawatthours
2013	197.32097000000002	All Other Renewables	AK	thousand megawatthours
2012	39.957989999999995	All Other Renewables	AK	thousand megawatthours
2011	15.73254	All Other Renewables	AK	thousand megawatthours
2010	18.91138	All Other Renewables	AK	thousand megawatthours
2009	13.538419999999999	All Other Renewables	AK	thousand megawatthours
2008	4.749700000000001	All Other Renewables	AK	thousand megawatthours
2007	11.229569999999999	All Other Renewables	AK	thousand megawatthours
2006	7.452509999999999	All Other Renewables	AK	thousand megawatthours
2015	4198.69578	All Other Renewables	AZ	thousand megawatthours
2014	3840.36607	All Other Renewables	AZ	thousand megawatthours
2013	2732.64377	All Other Renewables	AZ	thousand megawatthours
2012	1697.6524799999997	All Other Renewables	AZ	thousand megawatthours
2011	529.38686	All Other Renewables	AZ	thousand megawatthours
2010	318.90682999999996	All Other Renewables	AZ	thousand megawatthours
2009	202.32078	All Other Renewables	AZ	thousand megawatthours
2008	113.65786	All Other Renewables	AZ	thousand megawatthours
2007	41.638870000000004	All Other Renewables	AZ	thousand megawatthours
2006	53.56738	All Other Renewables	AZ	thousand megawatthours
2015	1495.83006	All Other Renewables	AR	thousand megawatthours
2014	1530.2166600000003	All Other Renewables	AR	thousand megawatthours
2013	1600.8131999999998	All Other Renewables	AR	thousand megawatthours
2012	1660.37007	All Other Renewables	AR	thousand megawatthours
2011	1667.64568	All Other Renewables	AR	thousand megawatthours
2010	1623.94295	All Other Renewables	AR	thousand megawatthours
2009	1585.5501199999999	All Other Renewables	AR	thousand megawatthours
2008	1512.83271	All Other Renewables	AR	thousand megawatthours
2007	1623.7439299999999	All Other Renewables	AR	thousand megawatthours
2006	1722.80501	All Other Renewables	AR	thousand megawatthours
2015	46497.55431000001	All Other Renewables	CA	thousand megawatthours
2014	41916.75728	All Other Renewables	CA	thousand megawatthours
2013	35577.63222	All Other Renewables	CA	thousand megawatthours
2012	29966.84564	All Other Renewables	CA	thousand megawatthours
2011	27222.425450000002	All Other Renewables	CA	thousand megawatthours
2010	25449.72104	All Other Renewables	CA	thousand megawatthours
2009	25539.66161	All Other Renewables	CA	thousand megawatthours
2008	24783.936820000003	All Other Renewables	CA	thousand megawatthours
2007	24845.25722	All Other Renewables	CA	thousand megawatthours
2006	23915.39536	All Other Renewables	CA	thousand megawatthours
2015	7861.57066	All Other Renewables	CO	thousand megawatthours
2014	7747.3858	All Other Renewables	CO	thousand megawatthours
2013	7536.38325	All Other Renewables	CO	thousand megawatthours
2012	6192.081789999999	All Other Renewables	CO	thousand megawatthours
2011	5366.64965	All Other Renewables	CO	thousand megawatthours
2010	3554.5325100000005	All Other Renewables	CO	thousand megawatthours
2009	3245.9729	All Other Renewables	CO	thousand megawatthours
2008	3284.4511900000007	All Other Renewables	CO	thousand megawatthours
2007	1324.8291199999999	All Other Renewables	CO	thousand megawatthours
2006	896.22779	All Other Renewables	CO	thousand megawatthours
2015	828.94474	All Other Renewables	CT	thousand megawatthours
2014	768.8460399999999	All Other Renewables	CT	thousand megawatthours
