year	volume	commodity	region	units
2014	9512133	Renewable Energy	US	Billion Btu
2013	9154002	Renewable Energy	US	Billion Btu
2012	8685305	Renewable Energy	US	Billion Btu
2011	9030082	Renewable Energy	US	Billion Btu
2010	8067899	Renewable Energy	US	Billion Btu
2009	7577777	Renewable Energy	US	Billion Btu
2008	7118389	Renewable Energy	US	Billion Btu
2007	6457041	Renewable Energy	US	Billion Btu
2006	6561533	Renewable Energy	US	Billion Btu
2014	254752	Renewable Energy	AL	Billion Btu
2013	295952	Renewable Energy	AL	Billion Btu
2012	231673	Renewable Energy	AL	Billion Btu
2011	244230	Renewable Energy	AL	Billion Btu
2010	231020	Renewable Energy	AL	Billion Btu
2009	264513	Renewable Energy	AL	Billion Btu
2008	233400	Renewable Energy	AL	Billion Btu
2007	228176	Renewable Energy	AL	Billion Btu
2006	266165	Renewable Energy	AL	Billion Btu
2014	19737	Renewable Energy	AK	Billion Btu
2013	18619	Renewable Energy	AK	Billion Btu
2012	17687	Renewable Energy	AK	Billion Btu
2011	15727	Renewable Energy	AK	Billion Btu
2010	16525	Renewable Energy	AK	Billion Btu
2009	15686	Renewable Energy	AK	Billion Btu
2008	12913	Renewable Energy	AK	Billion Btu
2007	14037	Renewable Energy	AK	Billion Btu
2006	13298	Renewable Energy	AK	Billion Btu
2014	123235	Renewable Energy	AZ	Billion Btu
2013	102457	Renewable Energy	AZ	Billion Btu
2012	101608	Renewable Energy	AZ	Billion Btu
2011	115439	Renewable Energy	AZ	Billion Btu
2010	86498	Renewable Energy	AZ	Billion Btu
2009	81697	Renewable Energy	AZ	Billion Btu
2008	97231	Renewable Energy	AZ	Billion Btu
2007	83861	Renewable Energy	AZ	Billion Btu
2006	81317	Renewable Energy	AZ	Billion Btu
2014	109805	Renewable Energy	AR	Billion Btu
2013	109796	Renewable Energy	AR	Billion Btu
2012	106412	Renewable Energy	AR	Billion Btu
2011	114719	Renewable Energy	AR	Billion Btu
2010	118621	Renewable Energy	AR	Billion Btu
2009	124228	Renewable Energy	AR	Billion Btu
2008	123372	Renewable Energy	AR	Billion Btu
2007	120748	Renewable Energy	AR	Billion Btu
2006	100009	Renewable Energy	AR	Billion Btu
2014	766125	Renewable Energy	CA	Billion Btu
2013	761899	Renewable Energy	CA	Billion Btu
2012	719504	Renewable Energy	CA	Billion Btu
2011	846258	Renewable Energy	CA	Billion Btu
2010	715209	Renewable Energy	CA	Billion Btu
2009	652009	Renewable Energy	CA	Billion Btu
2008	607281	Renewable Energy	CA	Billion Btu
2007	634317	Renewable Energy	CA	Billion Btu
2006	823774	Renewable Energy	CA	Billion Btu
2014	127109	Renewable Energy	CO	Billion Btu
2013	118349	Renewable Energy	CO	Billion Btu
2012	103217	Renewable Energy	CO	Billion Btu
2011	103380	Renewable Energy	CO	Billion Btu
2010	80490	Renewable Energy	CO	Billion Btu
2009	80131	Renewable Energy	CO	Billion Btu
2008	80179	Renewable Energy	CO	Billion Btu
2007	52452	Renewable Energy	CO	Billion Btu
2006	43989	Renewable Energy	CO	Billion Btu
2014	31594	Renewable Energy	CT	Billion Btu
2013	28654	Renewable Energy	CT	Billion Btu
2012	26114	Renewable Energy	CT	Billion Btu
2011	29123	Renewable Energy	CT	Billion Btu
2010	28113	Renewable Energy	CT	Billion Btu
2009	29744	Renewable Energy	CT	Billion Btu
2008	26477	Renewable Energy	CT	Billion Btu
2007	24071	Renewable Energy	CT	Billion Btu
2006	25775	Renewable Energy	CT	Billion Btu
2014	4189	Renewable Energy	DE	Billion Btu
2013	3818	Renewable Energy	DE	Billion Btu
2012	3530	Renewable Energy	DE	Billion Btu
2011	3976	Renewable Energy	DE	Billion Btu
2010	3575	Renewable Energy	DE	Billion Btu
2009	3579	Renewable Energy	DE	Billion Btu
2008	2953	Renewable Energy	DE	Billion Btu
2007	1519	Renewable Energy	DE	Billion Btu
2006	861	Renewable Energy	DE	Billion Btu
2014	360	Renewable Energy	DC	Billion Btu
2013	323	Renewable Energy	DC	Billion Btu
2012	277	Renewable Energy	DC	Billion Btu
2011	271	Renewable Energy	DC	Billion Btu
2010	95	Renewable Energy	DC	Billion Btu
2009	41	Renewable Energy	DC	Billion Btu
2008	54	Renewable Energy	DC	Billion Btu
2007	47	Renewable Energy	DC	Billion Btu
2006	42	Renewable Energy	DC	Billion Btu
2014	248608	Renewable Energy	FL	Billion Btu
2013	252496	Renewable Energy	FL	Billion Btu
2012	241761	Renewable Energy	FL	Billion Btu
2011	243453	Renewable Energy	FL	Billion Btu
2010	237072	Renewable Energy	FL	Billion Btu
2009	222010	Renewable Energy	FL	Billion Btu
2008	201911	Renewable Energy	FL	Billion Btu
2007	195230	Renewable Energy	FL	Billion Btu
2006	189414	Renewable Energy	FL	Billion Btu
2014	257304	Renewable Energy	GA	Billion Btu
2013	237280	Renewable Energy	GA	Billion Btu
2012	199563	Renewable Energy	GA	Billion Btu
2011	211431	Renewable Energy	GA	Billion Btu
2010	211528	Renewable Energy	GA	Billion Btu
2009	194357	Renewable Energy	GA	Billion Btu
2008	173171	Renewable Energy	GA	Billion Btu
2007	200603	Renewable Energy	GA	Billion Btu
2006	207272	Renewable Energy	GA	Billion Btu
2014	27166	Renewable Energy	HI	Billion Btu
2013	25465	Renewable Energy	HI	Billion Btu
2012	20485	Renewable Energy	HI	Billion Btu
2011	18378	Renewable Energy	HI	Billion Btu
2010	16245	Renewable Energy	HI	Billion Btu
2009	16443	Renewable Energy	HI	Billion Btu
2008	16372	Renewable Energy	HI	Billion Btu
2007	15300	Renewable Energy	HI	Billion Btu
2006	14201	Renewable Energy	HI	Billion Btu
2014	154936	Renewable Energy	ID	Billion Btu
2013	138799	Renewable Energy	ID	Billion Btu
2012	154829	Renewable Energy	ID	Billion Btu
2011	176717	Renewable Energy	ID	Billion Btu
2010	130652	Renewable Energy	ID	Billion Btu
2009	134509	Renewable Energy	ID	Billion Btu
2008	133546	Renewable Energy	ID	Billion Btu
2007	125625	Renewable Energy	ID	Billion Btu
2006	146509	Renewable Energy	ID	Billion Btu
2014	308652	Renewable Energy	IL	Billion Btu
2013	297200	Renewable Energy	IL	Billion Btu
2012	278494	Renewable Energy	IL	Billion Btu
2011	265683	Renewable Energy	IL	Billion Btu
2010	263332	Renewable Energy	IL	Billion Btu
2009	245982	Renewable Energy	IL	Billion Btu
2008	195566	Renewable Energy	IL	Billion Btu
2007	163820	Renewable Energy	IL	Billion Btu
2006	134630	Renewable Energy	IL	Billion Btu
2014	215433	Renewable Energy	IN	Billion Btu
2013	201210	Renewable Energy	IN	Billion Btu
2012	196621	Renewable Energy	IN	Billion Btu
2011	200625	Renewable Energy	IN	Billion Btu
2010	179152	Renewable Energy	IN	Billion Btu
2009	150734	Renewable Energy	IN	Billion Btu
2008	123794	Renewable Energy	IN	Billion Btu
2007	71591	Renewable Energy	IN	Billion Btu
2006	48949	Renewable Energy	IN	Billion Btu
2014	713583	Renewable Energy	IA	Billion Btu
2013	674876	Renewable Energy	IA	Billion Btu
2012	632322	Renewable Energy	IA	Billion Btu
2011	634574	Renewable Energy	IA	Billion Btu
2010	626584	Renewable Energy	IA	Billion Btu
2009	536845	Renewable Energy	IA	Billion Btu
2008	398855	Renewable Energy	IA	Billion Btu
2007	332872	Renewable Energy	IA	Billion Btu
2006	263424	Renewable Energy	IA	Billion Btu
2014	185129	Renewable Energy	KS	Billion Btu
2013	160618	Renewable Energy	KS	Billion Btu
2012	115884	Renewable Energy	KS	Billion Btu
2011	106713	Renewable Energy	KS	Billion Btu
2010	102531	Renewable Energy	KS	Billion Btu
2009	91085	Renewable Energy	KS	Billion Btu
2008	85137	Renewable Energy	KS	Billion Btu
2007	49587	Renewable Energy	KS	Billion Btu
2006	39702	Renewable Energy	KS	Billion Btu
2014	75298	Renewable Energy	KY	Billion Btu
2013	74263	Renewable Energy	KY	Billion Btu
2012	60184	Renewable Energy	KY	Billion Btu
2011	69048	Renewable Energy	KY	Billion Btu
2010	64711	Renewable Energy	KY	Billion Btu
2009	69936	Renewable Energy	KY	Billion Btu
2008	57955	Renewable Energy	KY	Billion Btu
2007	55561	Renewable Energy	KY	Billion Btu
2006	61713	Renewable Energy	KY	Billion Btu
2014	142887	Renewable Energy	LA	Billion Btu
2013	119215	Renewable Energy	LA	Billion Btu
2012	104123	Renewable Energy	LA	Billion Btu
2011	106547	Renewable Energy	LA	Billion Btu
2010	104892	Renewable Energy	LA	Billion Btu
2009	107172	Renewable Energy	LA	Billion Btu
2008	109438	Renewable Energy	LA	Billion Btu
2007	150025	Renewable Energy	LA	Billion Btu
2006	149473	Renewable Energy	LA	Billion Btu
2014	151257	Renewable Energy	ME	Billion Btu
2013	155380	Renewable Energy	ME	Billion Btu
2012	152331	Renewable Energy	ME	Billion Btu
2011	154764	Renewable Energy	ME	Billion Btu
2010	151940	Renewable Energy	ME	Billion Btu
2009	148253	Renewable Energy	ME	Billion Btu
2008	182615	Renewable Energy	ME	Billion Btu
2007	155647	Renewable Energy	ME	Billion Btu
2006	152360	Renewable Energy	ME	Billion Btu
2014	53826	Renewable Energy	MD	Billion Btu
2013	54182	Renewable Energy	MD	Billion Btu
2012	48766	Renewable Energy	MD	Billion Btu
2011	56322	Renewable Energy	MD	Billion Btu
2010	45704	Renewable Energy	MD	Billion Btu
2009	48507	Renewable Energy	MD	Billion Btu
2008	44710	Renewable Energy	MD	Billion Btu
2007	40853	Renewable Energy	MD	Billion Btu
2006	45604	Renewable Energy	MD	Billion Btu
2014	64332	Renewable Energy	MA	Billion Btu
2013	57270	Renewable Energy	MA	Billion Btu
2012	48982	Renewable Energy	MA	Billion Btu
2011	49846	Renewable Energy	MA	Billion Btu
2010	47015	Renewable Energy	MA	Billion Btu
2009	49465	Renewable Energy	MA	Billion Btu
2008	42802	Renewable Energy	MA	Billion Btu
2007	38280	Renewable Energy	MA	Billion Btu
2006	45582	Renewable Energy	MA	Billion Btu
2014	193378	Renewable Energy	MI	Billion Btu
2013	178486	Renewable Energy	MI	Billion Btu
2012	154153	Renewable Energy	MI	Billion Btu
2011	152263	Renewable Energy	MI	Billion Btu
2010	139192	Renewable Energy	MI	Billion Btu
2009	131290	Renewable Energy	MI	Billion Btu
2008	145123	Renewable Energy	MI	Billion Btu
2007	132208	Renewable Energy	MI	Billion Btu
2006	117171	Renewable Energy	MI	Billion Btu
2014	334063	Renewable Energy	MN	Billion Btu
2013	294082	Renewable Energy	MN	Billion Btu
2012	292515	Renewable Energy	MN	Billion Btu
2011	300288	Renewable Energy	MN	Billion Btu
2010	288189	Renewable Energy	MN	Billion Btu
2009	258646	Renewable Energy	MN	Billion Btu
2008	215141	Renewable Energy	MN	Billion Btu
2007	179259	Renewable Energy	MN	Billion Btu
2006	157191	Renewable Energy	MN	Billion Btu
2014	58570	Renewable Energy	MS	Billion Btu
2013	57393	Renewable Energy	MS	Billion Btu
2012	75237	Renewable Energy	MS	Billion Btu
2011	63328	Renewable Energy	MS	Billion Btu
2010	62395	Renewable Energy	MS	Billion Btu
2009	53661	Renewable Energy	MS	Billion Btu
2008	47436	Renewable Energy	MS	Billion Btu
2007	63591	Renewable Energy	MS	Billion Btu
2006	63077	Renewable Energy	MS	Billion Btu
2014	93213	Renewable Energy	MO	Billion Btu
2013	94066	Renewable Energy	MO	Billion Btu
2012	80589	Renewable Energy	MO	Billion Btu
2011	88894	Renewable Energy	MO	Billion Btu
2010	93608	Renewable Energy	MO	Billion Btu
2009	93695	Renewable Energy	MO	Billion Btu
2008	81703	Renewable Energy	MO	Billion Btu
2007	60599	Renewable Energy	MO	Billion Btu
2006	42470	Renewable Energy	MO	Billion Btu
2014	133710	Renewable Energy	MT	Billion Btu
2013	114149	Renewable Energy	MT	Billion Btu
2012	123982	Renewable Energy	MT	Billion Btu
2011	139631	Renewable Energy	MT	Billion Btu
2010	113452	Renewable Energy	MT	Billion Btu
2009	113785	Renewable Energy	MT	Billion Btu
2008	123113	Renewable Energy	MT	Billion Btu
2007	117736	Renewable Energy	MT	Billion Btu
2006	122231	Renewable Energy	MT	Billion Btu
2014	277937	Renewable Energy	NE	Billion Btu
2013	281436	Renewable Energy	NE	Billion Btu
2012	277463	Renewable Energy	NE	Billion Btu
2011	301523	Renewable Energy	NE	Billion Btu
2010	268522	Renewable Energy	NE	Billion Btu
2009	178653	Renewable Energy	NE	Billion Btu
2008	176754	Renewable Energy	NE	Billion Btu
2007	129783	Renewable Energy	NE	Billion Btu
2006	103066	Renewable Energy	NE	Billion Btu
2014	69304	Renewable Energy	NV	Billion Btu
2013	68268	Renewable Energy	NV	Billion Btu
2012	58114	Renewable Energy	NV	Billion Btu
2011	51437	Renewable Energy	NV	Billion Btu
2010	49371	Renewable Energy	NV	Billion Btu
2009	47265	Renewable Energy	NV	Billion Btu
2008	38296	Renewable Energy	NV	Billion Btu
2007	37870	Renewable Energy	NV	Billion Btu
2006	38436	Renewable Energy	NV	Billion Btu
2014	54683	Renewable Energy	NH	Billion Btu
2013	52155	Renewable Energy	NH	Billion Btu
2012	44114	Renewable Energy	NH	Billion Btu
2011	44411	Renewable Energy	NH	Billion Btu
2010	42797	Renewable Energy	NH	Billion Btu
2009	45393	Renewable Energy	NH	Billion Btu
2008	39902	Renewable Energy	NH	Billion Btu
2007	34817	Renewable Energy	NH	Billion Btu
2006	33113	Renewable Energy	NH	Billion Btu
2014	58853	Renewable Energy	NJ	Billion Btu
2013	54441	Renewable Energy	NJ	Billion Btu
2012	46720	Renewable Energy	NJ	Billion Btu
2011	39273	Renewable Energy	NJ	Billion Btu
2010	34319	Renewable Energy	NJ	Billion Btu
2009	34141	Renewable Energy	NJ	Billion Btu
2008	23404	Renewable Energy	NJ	Billion Btu
2007	20533	Renewable Energy	NJ	Billion Btu
2006	21761	Renewable Energy	NJ	Billion Btu
2014	42194	Renewable Energy	NM	Billion Btu
2013	40123	Renewable Energy	NM	Billion Btu
2012	38097	Renewable Energy	NM	Billion Btu
2011	36293	Renewable Energy	NM	Billion Btu
2010	33145	Renewable Energy	NM	Billion Btu
2009	31059	Renewable Energy	NM	Billion Btu
2008	35396	Renewable Energy	NM	Billion Btu
2007	32774	Renewable Energy	NM	Billion Btu
2006	29401	Renewable Energy	NM	Billion Btu
2014	398774	Renewable Energy	NY	Billion Btu
2013	378802	Renewable Energy	NY	Billion Btu
2012	361289	Renewable Energy	NY	Billion Btu
2011	398557	Renewable Energy	NY	Billion Btu
2010	360272	Renewable Energy	NY	Billion Btu
2009	370397	Renewable Energy	NY	Billion Btu
2008	399458	Renewable Energy	NY	Billion Btu
2007	363950	Renewable Energy	NY	Billion Btu
2006	378767	Renewable Energy	NY	Billion Btu
2014	167186	Renewable Energy	NC	Billion Btu
2013	185941	Renewable Energy	NC	Billion Btu
2012	148166	Renewable Energy	NC	Billion Btu
2011	148724	Renewable Energy	NC	Billion Btu
2010	150352	Renewable Energy	NC	Billion Btu
2009	148617	Renewable Energy	NC	Billion Btu
2008	142770	Renewable Energy	NC	Billion Btu
2007	112723	Renewable Energy	NC	Billion Btu
2006	136651	Renewable Energy	NC	Billion Btu
2014	138331	Renewable Energy	ND	Billion Btu
2013	123993	Renewable Energy	ND	Billion Btu
2012	126624	Renewable Energy	ND	Billion Btu
2011	132782	Renewable Energy	ND	Billion Btu
2010	112787	Renewable Energy	ND	Billion Btu
2009	82231	Renewable Energy	ND	Billion Btu
2008	52894	Renewable Energy	ND	Billion Btu
2007	40688	Renewable Energy	ND	Billion Btu
2006	26087	Renewable Energy	ND	Billion Btu
2014	155815	Renewable Energy	OH	Billion Btu
2013	146079	Renewable Energy	OH	Billion Btu
2012	129692	Renewable Energy	OH	Billion Btu
2011	124654	Renewable Energy	OH	Billion Btu
2010	113864	Renewable Energy	OH	Billion Btu
2009	94963	Renewable Energy	OH	Billion Btu
2008	106592	Renewable Energy	OH	Billion Btu
2007	56587	Renewable Energy	OH	Billion Btu
2006	55393	Renewable Energy	OH	Billion Btu
2014	155938	Renewable Energy	OK	Billion Btu
2013	157793	Renewable Energy	OK	Billion Btu
2012	117095	Renewable Energy	OK	Billion Btu
2011	95988	Renewable Energy	OK	Billion Btu
2010	91386	Renewable Energy	OK	Billion Btu
2009	79404	Renewable Energy	OK	Billion Btu
2008	73678	Renewable Energy	OK	Billion Btu
2007	74310	Renewable Energy	OK	Billion Btu
2006	50329	Renewable Energy	OK	Billion Btu
2014	478961	Renewable Energy	OR	Billion Btu
2013	458066	Renewable Energy	OR	Billion Btu
2012	495467	Renewable Energy	OR	Billion Btu
2011	512225	Renewable Energy	OR	Billion Btu
2010	392335	Renewable Energy	OR	Billion Btu
2009	416028	Renewable Energy	OR	Billion Btu
2008	414743	Renewable Energy	OR	Billion Btu
2007	397099	Renewable Energy	OR	Billion Btu
2006	433145	Renewable Energy	OR	Billion Btu
2014	184888	Renewable Energy	PA	Billion Btu
2013	185671	Renewable Energy	PA	Billion Btu
2012	158357	Renewable Energy	PA	Billion Btu
2011	168017	Renewable Energy	PA	Billion Btu
2010	145890	Renewable Energy	PA	Billion Btu
2009	126493	Renewable Energy	PA	Billion Btu
2008	115105	Renewable Energy	PA	Billion Btu
2007	105278	Renewable Energy	PA	Billion Btu
2006	107273	Renewable Energy	PA	Billion Btu
2014	4304	Renewable Energy	RI	Billion Btu
2013	2627	Renewable Energy	RI	Billion Btu
2012	2822	Renewable Energy	RI	Billion Btu
2011	3419	Renewable Energy	RI	Billion Btu
2010	3399	Renewable Energy	RI	Billion Btu
2009	3536	Renewable Energy	RI	Billion Btu
2008	2931	Renewable Energy	RI	Billion Btu
2007	2761	Renewable Energy	RI	Billion Btu
2006	2609	Renewable Energy	RI	Billion Btu
2014	126864	Renewable Energy	SC	Billion Btu
2013	123765	Renewable Energy	SC	Billion Btu
2012	110786	Renewable Energy	SC	Billion Btu
2011	108325	Renewable Energy	SC	Billion Btu
2010	106598	Renewable Energy	SC	Billion Btu
2009	103008	Renewable Energy	SC	Billion Btu
2008	92020	Renewable Energy	SC	Billion Btu
2007	95008	Renewable Energy	SC	Billion Btu
2006	98620	Renewable Energy	SC	Billion Btu
2014	223482	Renewable Energy	SD	Billion Btu
2013	209447	Renewable Energy	SD	Billion Btu
2012	223019	Renewable Energy	SD	Billion Btu
2011	237088	Renewable Energy	SD	Billion Btu
2010	214213	Renewable Energy	SD	Billion Btu
2009	179346	Renewable Energy	SD	Billion Btu
2008	144311	Renewable Energy	SD	Billion Btu
2007	115499	Renewable Energy	SD	Billion Btu
2006	114666	Renewable Energy	SD	Billion Btu
2014	180455	Renewable Energy	TN	Billion Btu
2013	210596	Renewable Energy	TN	Billion Btu
2012	168526	Renewable Energy	TN	Billion Btu
2011	179039	Renewable Energy	TN	Billion Btu
2010	163277	Renewable Energy	TN	Billion Btu
2009	179068	Renewable Energy	TN	Billion Btu
2008	133934	Renewable Energy	TN	Billion Btu
2007	115268	Renewable Energy	TN	Billion Btu
2006	143510	Renewable Energy	TN	Billion Btu
2014	526915	Renewable Energy	TX	Billion Btu
2013	473125	Renewable Energy	TX	Billion Btu
2012	450257	Renewable Energy	TX	Billion Btu
2011	436541	Renewable Energy	TX	Billion Btu
2010	387545	Renewable Energy	TX	Billion Btu
2009	295502	Renewable Energy	TX	Billion Btu
2008	298588	Renewable Energy	TX	Billion Btu
2007	191844	Renewable Energy	TX	Billion Btu
