year	volume	commodity	region	units
2006	152295	Renewable Energy	TX	Billion Btu
2014	21573	Renewable Energy	UT	Billion Btu
2013	17076	Renewable Energy	UT	Billion Btu
2012	20528	Renewable Energy	UT	Billion Btu
2011	24226	Renewable Energy	UT	Billion Btu
2010	17395	Renewable Energy	UT	Billion Btu
2009	15970	Renewable Energy	UT	Billion Btu
2008	13965	Renewable Energy	UT	Billion Btu
2007	11039	Renewable Energy	UT	Billion Btu
2006	13208	Renewable Energy	UT	Billion Btu
2014	32946	Renewable Energy	VT	Billion Btu
2013	33549	Renewable Energy	VT	Billion Btu
2012	25695	Renewable Energy	VT	Billion Btu
2011	29326	Renewable Energy	VT	Billion Btu
2010	30156	Renewable Energy	VT	Billion Btu
2009	31604	Renewable Energy	VT	Billion Btu
2008	27049	Renewable Energy	VT	Billion Btu
2007	18662	Renewable Energy	VT	Billion Btu
2006	27602	Renewable Energy	VT	Billion Btu
2014	133100	Renewable Energy	VA	Billion Btu
2013	114803	Renewable Energy	VA	Billion Btu
2012	99269	Renewable Energy	VA	Billion Btu
2011	99858	Renewable Energy	VA	Billion Btu
2010	103470	Renewable Energy	VA	Billion Btu
2009	115018	Renewable Energy	VA	Billion Btu
2008	117514	Renewable Energy	VA	Billion Btu
2007	116861	Renewable Energy	VA	Billion Btu
2006	118838	Renewable Energy	VA	Billion Btu
2014	928071	Renewable Energy	WA	Billion Btu
2013	914922	Renewable Energy	WA	Billion Btu
2012	1011190	Renewable Energy	WA	Billion Btu
2011	1050893	Renewable Energy	WA	Billion Btu
2010	811369	Renewable Energy	WA	Billion Btu
2009	832133	Renewable Energy	WA	Billion Btu
2008	879306	Renewable Energy	WA	Billion Btu
2007	883195	Renewable Energy	WA	Billion Btu
2006	928284	Renewable Energy	WA	Billion Btu
2014	49537	Renewable Energy	WV	Billion Btu
2013	53735	Renewable Energy	WV	Billion Btu
2012	43952	Renewable Energy	WV	Billion Btu
2011	44278	Renewable Energy	WV	Billion Btu
2010	42040	Renewable Energy	WV	Billion Btu
2009	45064	Renewable Energy	WV	Billion Btu
2008	29260	Renewable Energy	WV	Billion Btu
2007	26015	Renewable Energy	WV	Billion Btu
2006	28275	Renewable Energy	WV	Billion Btu
2014	199796	Renewable Energy	WI	Billion Btu
2013	188419	Renewable Energy	WI	Billion Btu
2012	183790	Renewable Energy	WI	Billion Btu
2011	191590	Renewable Energy	WI	Billion Btu
2010	190629	Renewable Energy	WI	Billion Btu
2009	170873	Renewable Energy	WI	Billion Btu
2008	176566	Renewable Energy	WI	Billion Btu
2007	148539	Renewable Energy	WI	Billion Btu
2006	144650	Renewable Energy	WI	Billion Btu
2014	53976	Renewable Energy	WY	Billion Btu
2013	52871	Renewable Energy	WY	Billion Btu
2012	53427	Renewable Energy	WY	Billion Btu
2011	59989	Renewable Energy	WY	Billion Btu
2010	44426	Renewable Energy	WY	Billion Btu
2009	34009	Renewable Energy	WY	Billion Btu
2008	21703	Renewable Energy	WY	Billion Btu
2007	18323	Renewable Energy	WY	Billion Btu
2006	19351	Renewable Energy	WY	Billion Btu
