year	volume	commodity	region	units
2015	1815.7160000000001	Wind	US	Trillion Btu
2014	1727.542	Wind	US	Trillion Btu
2013	1601.359	Wind	US	Trillion Btu
2012	1340.059	Wind	US	Trillion Btu
2011	1167.636	Wind	US	Trillion Btu
2010	923.4269999999999	Wind	US	Trillion Btu
2009	721.129	Wind	US	Trillion Btu
2008	545.548	Wind	US	Trillion Btu
2007	340.503	Wind	US	Trillion Btu
2006	263.73799999999994	Wind	US	Trillion Btu
