year	volume	commodity	region	units
2015	26472.93466	Solar	US	MMWh
2014	17691.03119	Solar	US	MMWh
2013	9035.62038	Solar	US	MMWh
2012	4326.6752400000005	Solar	US	MMWh
2011	1817.6956500000001	Solar	US	MMWh
2010	1212.18158	Solar	US	MMWh
2009	891.1793900000001	Solar	US	MMWh
2008	864.31479	Solar	US	MMWh
2007	611.7930000000001	Solar	US	MMWh
2006	507.70599999999996	Solar	US	MMWh
2015	3515.9840599999998	Solar	AZ	MMWh
2014	3141.5078599999997	Solar	AZ	MMWh
2013	2111.43864	Solar	AZ	MMWh
2012	955.44331	Solar	AZ	MMWh
2011	83.34877999999999	Solar	AZ	MMWh
2010	15.75389	Solar	AZ	MMWh
2009	14.145	Solar	AZ	MMWh
2008	14.723999999999998	Solar	AZ	MMWh
2007	8.649	Solar	AZ	MMWh
2006	13.133999999999999	Solar	AZ	MMWh
2015	15006.62837	Solar	CA	MMWh
2014	9931.81486	Solar	CA	MMWh
2013	3813.7247899999998	Solar	CA	MMWh
2012	1382.29986	Solar	CA	MMWh
2011	888.8294	Solar	CA	MMWh
2010	769.3309499999999	Solar	CA	MMWh
2009	647.38956	Solar	CA	MMWh
2008	670.481	Solar	CA	MMWh
2007	556.9689999999999	Solar	CA	MMWh
2006	494.572	Solar	CA	MMWh
2015	288.8466	Solar	CO	MMWh
2014	253.065	Solar	CO	MMWh
2013	248.45246000000003	Solar	CO	MMWh
2012	165.44903	Solar	CO	MMWh
2011	104.63561	Solar	CO	MMWh
2010	42.49778	Solar	CO	MMWh
2009	25.584999999999997	Solar	CO	MMWh
2008	18.354000000000003	Solar	CO	MMWh
2007	2.208	Solar	CO	MMWh
2015	22.14869	Solar	CT	MMWh
2014	11.70623	Solar	CT	MMWh
2013	0	Solar	CT	MMWh
2015	62.14385	Solar	DE	MMWh
2014	49.53	Solar	DE	MMWh
2013	44.727000000000004	Solar	DE	MMWh
2012	22.559	Solar	DE	MMWh
2011	8.2798	Solar	DE	MMWh
2015	252.48183000000003	Solar	FL	MMWh
2014	241.68418	Solar	FL	MMWh
2013	209.90200000000002	Solar	FL	MMWh
2012	193.61598999999998	Solar	FL	MMWh
