year	volume	commodity	region	units
2015	3442208	Crude Oil	US	Mbbl
2014	3178306	Crude Oil	US	Mbbl
2013	2715220	Crude Oil	US	Mbbl
2012	2372312	Crude Oil	US	Mbbl
2011	2058916	Crude Oil	US	Mbbl
2010	1998554	Crude Oil	US	Mbbl
2009	1954241	Crude Oil	US	Mbbl
2008	1830416	Crude Oil	US	Mbbl
2007	1853243	Crude Oil	US	Mbbl
2006	1856606	Crude Oil	US	Mbbl
2015	9734	Crude Oil	AL	Mbbl
2014	9828	Crude Oil	AL	Mbbl
2013	10392	Crude Oil	AL	Mbbl
2012	9525	Crude Oil	AL	Mbbl
2011	8373	Crude Oil	AL	Mbbl
2010	7155	Crude Oil	AL	Mbbl
2009	7189	Crude Oil	AL	Mbbl
2008	7696	Crude Oil	AL	Mbbl
2007	7171	Crude Oil	AL	Mbbl
2006	7539	Crude Oil	AL	Mbbl
2015	176240	Crude Oil	AK	Mbbl
2014	181175	Crude Oil	AK	Mbbl
2013	187954	Crude Oil	AK	Mbbl
2012	192368	Crude Oil	AK	Mbbl
2011	204829	Crude Oil	AK	Mbbl
2010	218904	Crude Oil	AK	Mbbl
2009	235491	Crude Oil	AK	Mbbl
2008	249874	Crude Oil	AK	Mbbl
2007	263595	Crude Oil	AK	Mbbl
2006	270481	Crude Oil	AK	Mbbl
2015	37	Crude Oil	AZ	Mbbl
2014	56	Crude Oil	AZ	Mbbl
2013	60	Crude Oil	AZ	Mbbl
2012	52	Crude Oil	AZ	Mbbl
2011	37	Crude Oil	AZ	Mbbl
2010	40	Crude Oil	AZ	Mbbl
2009	46	Crude Oil	AZ	Mbbl
2008	52	Crude Oil	AZ	Mbbl
2007	43	Crude Oil	AZ	Mbbl
2006	55	Crude Oil	AZ	Mbbl
2015	6536	Crude Oil	AR	Mbbl
2014	6845	Crude Oil	AR	Mbbl
2013	6640	Crude Oil	AR	Mbbl
2012	6536	Crude Oil	AR	Mbbl
2011	5877	Crude Oil	AR	Mbbl
2010	5733	Crude Oil	AR	Mbbl
2009	5755	Crude Oil	AR	Mbbl
2008	6079	Crude Oil	AR	Mbbl
2007	6031	Crude Oil	AR	Mbbl
2006	5948	Crude Oil	AR	Mbbl
2015	201738	Crude Oil	CA	Mbbl
2014	204269	Crude Oil	CA	Mbbl
2013	198928	Crude Oil	CA	Mbbl
2012	197211	Crude Oil	CA	Mbbl
2011	193996	Crude Oil	CA	Mbbl
2010	200050	Crude Oil	CA	Mbbl
2009	207262	Crude Oil	CA	Mbbl
2008	214533	Crude Oil	CA	Mbbl
2007	218518	Crude Oil	CA	Mbbl
2006	223015	Crude Oil	CA	Mbbl
2015	119239	Crude Oil	CO	Mbbl
2014	95192	Crude Oil	CO	Mbbl
2013	65256	Crude Oil	CO	Mbbl
2012	49444	Crude Oil	CO	Mbbl
2011	39430	Crude Oil	CO	Mbbl
2010	32976	Crude Oil	CO	Mbbl
2009	30350	Crude Oil	CO	Mbbl
