year	volume	commodity	region	units
2015	16767.353219999997	Geothermal	US	MMWh
2014	15876.941	Geothermal	US	MMWh
2013	15774.67408	Geothermal	US	MMWh
2012	15562.425629999998	Geothermal	US	MMWh
2011	15316.068	Geothermal	US	MMWh
2010	15219.21312	Geothermal	US	MMWh
2009	15008.658	Geothermal	US	MMWh
2008	14839.97656	Geothermal	US	MMWh
2007	14637.21299	Geothermal	US	MMWh
2006	14568.029	Geothermal	US	MMWh
2015	12341.211470000002	Geothermal	CA	MMWh
2014	12101.728000000001	Geothermal	CA	MMWh
2013	12306.571	Geothermal	CA	MMWh
2012	12518.999	Geothermal	CA	MMWh
2011	12552.383	Geothermal	CA	MMWh
2010	12600.098	Geothermal	CA	MMWh
2009	12852.783000000001	Geothermal	CA	MMWh
2008	12883	Geothermal	CA	MMWh
2007	12990.71099	Geothermal	CA	MMWh
2006	12821.434000000001	Geothermal	CA	MMWh
2015	229.945	Geothermal	HI	MMWh
2014	253.841	Geothermal	HI	MMWh
2013	274.841	Geothermal	HI	MMWh
2012	260.99699999999996	Geothermal	HI	MMWh
2011	223.88800000000003	Geothermal	HI	MMWh
2010	200.595	Geothermal	HI	MMWh
2009	167.591	Geothermal	HI	MMWh
2008	234.333	Geothermal	HI	MMWh
2007	229.88600000000002	Geothermal	HI	MMWh
2006	212.27599999999998	Geothermal	HI	MMWh
2015	98.00427	Geothermal	ID	MMWh
2014	78.799	Geothermal	ID	MMWh
2013	39.683	Geothermal	ID	MMWh
2012	74.67599999999999	Geothermal	ID	MMWh
2011	63.49	Geothermal	ID	MMWh
2010	71.84100000000001	Geothermal	ID	MMWh
2009	75.95	Geothermal	ID	MMWh
2008	85.54700000000001	Geothermal	ID	MMWh
2015	3400.3527500000005	Geothermal	NV	MMWh
2014	2728.7879999999996	Geothermal	NV	MMWh
2013	2669.95308	Geothermal	NV	MMWh
2012	2347.4648199999997	Geothermal	NV	MMWh
2011	2146.119	Geothermal	NV	MMWh
2010	2069.73	Geothermal	NV	MMWh
2009	1633.213	Geothermal	NV	MMWh
2008	1382.8195600000001	Geothermal	NV	MMWh
2007	1252.6909999999998	Geothermal	NV	MMWh
2006	1343.711	Geothermal	NV	MMWh
2015	13.32933	Geothermal	NM	MMWh
2014	8.735999999999999	Geothermal	NM	MMWh
2013	0.069	Geothermal	NM	MMWh
2015	181.27578999999997	Geothermal	OR	MMWh
2014	183.467	Geothermal	OR	MMWh
2013	164.64899999999997	Geothermal	OR	MMWh
2012	25.650810000000003	Geothermal	OR	MMWh
2015	503.23462	Geothermal	UT	MMWh
2014	521.582	Geothermal	UT	MMWh
2013	318.90799999999996	Geothermal	UT	MMWh
2012	334.638	Geothermal	UT	MMWh
2011	330.188	Geothermal	UT	MMWh
2010	276.94912	Geothermal	UT	MMWh
2009	279.121	Geothermal	UT	MMWh
2008	254.277	Geothermal	UT	MMWh
2007	163.925	Geothermal	UT	MMWh
2006	190.608	Geothermal	UT	MMWh
