year	volume	commodity	region	series_id	units
2007	35	Gas	MD	NG.N9010MD2.A	MMcf
2006	48	Gas	MD	NG.N9010MD2.A	MMcf
2014	114946	Gas	MI	NG.N9010MI2.A	MMcf
2013	123622	Gas	MI	NG.N9010MI2.A	MMcf
2012	129333	Gas	MI	NG.N9010MI2.A	MMcf
2011	143826	Gas	MI	NG.N9010MI2.A	MMcf
2010	136782	Gas	MI	NG.N9010MI2.A	MMcf
2009	159400	Gas	MI	NG.N9010MI2.A	MMcf
2008	158794	Gas	MI	NG.N9010MI2.A	MMcf
2007	270571	Gas	MI	NG.N9010MI2.A	MMcf
2006	268673	Gas	MI	NG.N9010MI2.A	MMcf
2014	54440	Gas	MS	NG.N9010MS2.A	MMcf
2013	59272	Gas	MS	NG.N9010MS2.A	MMcf
2012	452915	Gas	MS	NG.N9010MS2.A	MMcf
2011	443351	Gas	MS	NG.N9010MS2.A	MMcf
2010	401660	Gas	MS	NG.N9010MS2.A	MMcf
2009	352888	Gas	MS	NG.N9010MS2.A	MMcf
2008	346465	Gas	MS	NG.N9010MS2.A	MMcf
2007	272878	Gas	MS	NG.N9010MS2.A	MMcf
2006	212081	Gas	MS	NG.N9010MS2.A	MMcf
2014	9	Gas	MO	NG.N9010MO2.A	MMcf
2013	9	Gas	MO	NG.N9010MO2.A	MMcf
2012		Gas	MO	NG.N9010MO2.A	MMcf
2011		Gas	MO	NG.N9010MO2.A	MMcf
2010		Gas	MO	NG.N9010MO2.A	MMcf
2009		Gas	MO	NG.N9010MO2.A	MMcf
2008		Gas	MO	NG.N9010MO2.A	MMcf
2007	0	Gas	MO	NG.N9010MO2.A	MMcf
2006	0	Gas	MO	NG.N9010MO2.A	MMcf
2015	57218	Gas	MT	NG.N9010MT2.A	MMcf
2014	59930	Gas	MT	NG.N9010MT2.A	MMcf
2013	63242	Gas	MT	NG.N9010MT2.A	MMcf
2012	66954	Gas	MT	NG.N9010MT2.A	MMcf
2011	79506	Gas	MT	NG.N9010MT2.A	MMcf
2010	93266	Gas	MT	NG.N9010MT2.A	MMcf
2009	105251	Gas	MT	NG.N9010MT2.A	MMcf
2008	119399	Gas	MT	NG.N9010MT2.A	MMcf
2007	120575	Gas	MT	NG.N9010MT2.A	MMcf
2006	114037	Gas	MT	NG.N9010MT2.A	MMcf
2014	402	Gas	NE	NG.N9010NE2.A	MMcf
2013	1032	Gas	NE	NG.N9010NE2.A	MMcf
2012	1328	Gas	NE	NG.N9010NE2.A	MMcf
2011	1980	Gas	NE	NG.N9010NE2.A	MMcf
2010	2255	Gas	NE	NG.N9010NE2.A	MMcf
2009	2916	Gas	NE	NG.N9010NE2.A	MMcf
2008	3083	Gas	NE	NG.N9010NE2.A	MMcf
2007	1560	Gas	NE	NG.N9010NE2.A	MMcf
2006	1217	Gas	NE	NG.N9010NE2.A	MMcf
2014	3	Gas	NV	NG.N9010NV2.A	MMcf
2013	3	Gas	NV	NG.N9010NV2.A	MMcf
2012	4	Gas	NV	NG.N9010NV2.A	MMcf
2011	3	Gas	NV	NG.N9010NV2.A	MMcf
2010	4	Gas	NV	NG.N9010NV2.A	MMcf
2009	4	Gas	NV	NG.N9010NV2.A	MMcf
2008	4	Gas	NV	NG.N9010NV2.A	MMcf
2007	5	Gas	NV	NG.N9010NV2.A	MMcf
2006	5	Gas	NV	NG.N9010NV2.A	MMcf
2015	1289908	Gas	NM	NG.N9010NM2.A	MMcf
2014	1265579	Gas	NM	NG.N9010NM2.A	MMcf
2013	1247394	Gas	NM	NG.N9010NM2.A	MMcf
2012	1276296	Gas	NM	NG.N9010NM2.A	MMcf
2011	1287682	Gas	NM	NG.N9010NM2.A	MMcf
2010	1341475	Gas	NM	NG.N9010NM2.A	MMcf
2009	1425222	Gas	NM	NG.N9010NM2.A	MMcf
2008	1487123	Gas	NM	NG.N9010NM2.A	MMcf
2007	1555450	Gas	NM	NG.N9010NM2.A	MMcf
2006	1619528	Gas	NM	NG.N9010NM2.A	MMcf
2014	20201	Gas	NY	NG.N9010NY2.A	MMcf
2013	23458	Gas	NY	NG.N9010NY2.A	MMcf
2012	26424	Gas	NY	NG.N9010NY2.A	MMcf
2011	31124	Gas	NY	NG.N9010NY2.A	MMcf
2010	35813	Gas	NY	NG.N9010NY2.A	MMcf
2009	44849	Gas	NY	NG.N9010NY2.A	MMcf
2008	50320	Gas	NY	NG.N9010NY2.A	MMcf
2007	54942	Gas	NY	NG.N9010NY2.A	MMcf
2006	55980	Gas	NY	NG.N9010NY2.A	MMcf
2015	581761	Gas	ND	NG.N9010ND2.A	MMcf
2014	462929	Gas	ND	NG.N9010ND2.A	MMcf
2013	345787	Gas	ND	NG.N9010ND2.A	MMcf
2012	258568	Gas	ND	NG.N9010ND2.A	MMcf
2011	157025	Gas	ND	NG.N9010ND2.A	MMcf
2010	113867	Gas	ND	NG.N9010ND2.A	MMcf
2009	92489	Gas	ND	NG.N9010ND2.A	MMcf
2008	87188	Gas	ND	NG.N9010ND2.A	MMcf
2007	70797	Gas	ND	NG.N9010ND2.A	MMcf
2006	62786	Gas	ND	NG.N9010ND2.A	MMcf
2015	1014848	Gas	OH	NG.N9010OH2.A	MMcf
2014	518767	Gas	OH	NG.N9010OH2.A	MMcf
2013	166017	Gas	OH	NG.N9010OH2.A	MMcf
2012	84482	Gas	OH	NG.N9010OH2.A	MMcf
2011	78858	Gas	OH	NG.N9010OH2.A	MMcf
2010	78122	Gas	OH	NG.N9010OH2.A	MMcf
2009	88824	Gas	OH	NG.N9010OH2.A	MMcf
2008	84858	Gas	OH	NG.N9010OH2.A	MMcf
2007	88095	Gas	OH	NG.N9010OH2.A	MMcf
2006	86315	Gas	OH	NG.N9010OH2.A	MMcf
2015	2499599	Gas	OK	NG.N9010OK2.A	MMcf
2014	2310114	Gas	OK	NG.N9010OK2.A	MMcf
2013	1993754	Gas	OK	NG.N9010OK2.A	MMcf
2012	2023461	Gas	OK	NG.N9010OK2.A	MMcf
2011	1888870	Gas	OK	NG.N9010OK2.A	MMcf
2010	1827328	Gas	OK	NG.N9010OK2.A	MMcf
2009	1901556	Gas	OK	NG.N9010OK2.A	MMcf
2008	1886710	Gas	OK	NG.N9010OK2.A	MMcf
2007	1783682	Gas	OK	NG.N9010OK2.A	MMcf
2006	1688985	Gas	OK	NG.N9010OK2.A	MMcf
2014	950	Gas	OR	NG.N9010OR2.A	MMcf
2013	770	Gas	OR	NG.N9010OR2.A	MMcf
2012	770	Gas	OR	NG.N9010OR2.A	MMcf
2011	1344	Gas	OR	NG.N9010OR2.A	MMcf
2010	1407	Gas	OR	NG.N9010OR2.A	MMcf
2009	821	Gas	OR	NG.N9010OR2.A	MMcf
2008	778	Gas	OR	NG.N9010OR2.A	MMcf
2007	409	Gas	OR	NG.N9010OR2.A	MMcf
2006	621	Gas	OR	NG.N9010OR2.A	MMcf
2015	4768848	Gas	PA	NG.N9010PA2.A	MMcf
2014	4214643	Gas	PA	NG.N9010PA2.A	MMcf
2013	3259042	Gas	PA	NG.N9010PA2.A	MMcf
2012	2256696	Gas	PA	NG.N9010PA2.A	MMcf
2011	1310592	Gas	PA	NG.N9010PA2.A	MMcf
2010	572902	Gas	PA	NG.N9010PA2.A	MMcf
2009	273869	Gas	PA	NG.N9010PA2.A	MMcf
2008	198295	Gas	PA	NG.N9010PA2.A	MMcf
2007	182277	Gas	PA	NG.N9010PA2.A	MMcf
2006	175950	Gas	PA	NG.N9010PA2.A	MMcf
2014	15307	Gas	SD	NG.N9010SD2.A	MMcf
2013	16205	Gas	SD	NG.N9010SD2.A	MMcf
2012	15085	Gas	SD	NG.N9010SD2.A	MMcf
2011	12449	Gas	SD	NG.N9010SD2.A	MMcf
2010	12540	Gas	SD	NG.N9010SD2.A	MMcf
2009	12927	Gas	SD	NG.N9010SD2.A	MMcf
2008	12007	Gas	SD	NG.N9010SD2.A	MMcf
2007	11880	Gas	SD	NG.N9010SD2.A	MMcf
2006	10616	Gas	SD	NG.N9010SD2.A	MMcf
2014	5294	Gas	TN	NG.N9010TN2.A	MMcf
2013	5400	Gas	TN	NG.N9010TN2.A	MMcf
2012	5825	Gas	TN	NG.N9010TN2.A	MMcf
2011	4851	Gas	TN	NG.N9010TN2.A	MMcf
2010	5144	Gas	TN	NG.N9010TN2.A	MMcf
2009	5478	Gas	TN	NG.N9010TN2.A	MMcf
2008	4700	Gas	TN	NG.N9010TN2.A	MMcf
2007	3942	Gas	TN	NG.N9010TN2.A	MMcf
2006	2663	Gas	TN	NG.N9010TN2.A	MMcf
2015	8763381	Gas	TX	NG.N9010TX2.A	MMcf
2014	8663333	Gas	TX	NG.N9010TX2.A	MMcf
2013	8299472	Gas	TX	NG.N9010TX2.A	MMcf
2012	8143510	Gas	TX	NG.N9010TX2.A	MMcf
2011	7934689	Gas	TX	NG.N9010TX2.A	MMcf
2010	7593697	Gas	TX	NG.N9010TX2.A	MMcf
2009	7653647	Gas	TX	NG.N9010TX2.A	MMcf
2008	7800655	Gas	TX	NG.N9010TX2.A	MMcf
2007	6960858	Gas	TX	NG.N9010TX2.A	MMcf
2006	6326433	Gas	TX	NG.N9010TX2.A	MMcf
2015	422423	Gas	UT	NG.N9010UT2.A	MMcf
2014	453207	Gas	UT	NG.N9010UT2.A	MMcf
2013	470863	Gas	UT	NG.N9010UT2.A	MMcf
2012	490393	Gas	UT	NG.N9010UT2.A	MMcf
2011	461507	Gas	UT	NG.N9010UT2.A	MMcf
2010	436885	Gas	UT	NG.N9010UT2.A	MMcf
2009	449511	Gas	UT	NG.N9010UT2.A	MMcf
2008	441598	Gas	UT	NG.N9010UT2.A	MMcf
2007	385361	Gas	UT	NG.N9010UT2.A	MMcf
2006	356321	Gas	UT	NG.N9010UT2.A	MMcf
2014	131885	Gas	VA	NG.N9010VA2.A	MMcf
2013	139382	Gas	VA	NG.N9010VA2.A	MMcf
2012	146405	Gas	VA	NG.N9010VA2.A	MMcf
2011	151094	Gas	VA	NG.N9010VA2.A	MMcf
2010	147255	Gas	VA	NG.N9010VA2.A	MMcf
2009	140738	Gas	VA	NG.N9010VA2.A	MMcf
2008	128454	Gas	VA	NG.N9010VA2.A	MMcf
2007	112057	Gas	VA	NG.N9010VA2.A	MMcf
2006	103027	Gas	VA	NG.N9010VA2.A	MMcf
2015	1318822	Gas	WV	NG.N9010WV2.A	MMcf
2014	1040250	Gas	WV	NG.N9010WV2.A	MMcf
2013	741853	Gas	WV	NG.N9010WV2.A	MMcf
2012	539860	Gas	WV	NG.N9010WV2.A	MMcf
2011	394125	Gas	WV	NG.N9010WV2.A	MMcf
2010	265174	Gas	WV	NG.N9010WV2.A	MMcf
2009	264436	Gas	WV	NG.N9010WV2.A	MMcf
2008	244880	Gas	WV	NG.N9010WV2.A	MMcf
2007	231184	Gas	WV	NG.N9010WV2.A	MMcf
2006	225530	Gas	WV	NG.N9010WV2.A	MMcf
2015	1908739	Gas	WY	NG.N9010WY2.A	MMcf
2014	1997666	Gas	WY	NG.N9010WY2.A	MMcf
2013	2047757	Gas	WY	NG.N9010WY2.A	MMcf
2012	2225622	Gas	WY	NG.N9010WY2.A	MMcf
2011	2375301	Gas	WY	NG.N9010WY2.A	MMcf
2010	2514657	Gas	WY	NG.N9010WY2.A	MMcf
2009	2536336	Gas	WY	NG.N9010WY2.A	MMcf
2008	2488267	Gas	WY	NG.N9010WY2.A	MMcf
2007	2257884	Gas	WY	NG.N9010WY2.A	MMcf
2006	2111766	Gas	WY	NG.N9010WY2.A	MMcf
