Year	State	County	FIPS	Jobs	Total	Share
2004	RI		44000	188	475628	0.0004
2004	RI	Newport County	44005	44	38815	0.0011
2004	RI	Providence County	44007	71	285324	0.0002
2004	RI	Washington County	44009	63	47852	0.0013
2005	RI		44000	252	477420	0.0005
2005	RI	Providence County	44007	73	284555	0.0003
2005	RI	Washington County	44009	128	49142	0.0026
2006	RI		44000	259	480570	0.0005
2006	RI	Providence County	44007	75	286707	0.0003
2006	RI	Washington County	44009	133	49425	0.0027
2007	RI		44000	255	480132	0.0005
2007	RI	Newport County	44005	38	39791	0.0010
2007	RI	Providence County	44007	80	287090	0.0003
2007	RI	Washington County	44009	123	49985	0.0025
2008	RI		44000	221	469701	0.0005
2008	RI	Newport County	44005	26	39629	0.0007
2008	RI	Providence County	44007	78	279663	0.0003
2008	RI	Washington County	44009	104	49749	0.0021
2009	RI		44000	194	448842	0.0004
2009	RI	Providence County	44007	107	266779	0.0004
2009	RI	Washington County	44009	75	48056	0.0016
2010	RI	Providence County	44007	91	266020	0.0003
2010	RI	Washington County	44009	73	48381	0.0015
2011	RI	Providence County	44007	83	266904	0.0003
2011	RI	Washington County	44009	86	48637	0.0018
2012	RI		44000	188	450711	0.0004
2012	RI	Providence County	44007	91	267923	0.0003
2012	RI	Washington County	44009	82	49370	0.0017
2013	RI	Providence County	44007	91	270745	0.0003
2013	RI	Washington County	44009	88	50021	0.0018
