Year	State	County	FIPS	Volume
2010	WV	Lewis County	54041	2
2011	WV	Lewis County	54041	2
2009	WV	Lewis County	54041	2
2014	WV	Lewis County	54041	1
2014	WV	Wyoming County	54109	1
2013	WV	Wyoming County	54109	1
2012	WV	Wyoming County	54109	1
2011	WV	Wyoming County	54109	1
2010	WV	Wyoming County	54109	1
2009	WV	Wyoming County	54109	1
2008	WV	Wyoming County	54109	1
2007	WV	Wyoming County	54109	1
2006	WV	Pendleton County	54071	1
2005	WV	Pendleton County	54071	1
2006	WV	Wyoming County	54109	1
2005	WV	Wyoming County	54109	1
2008	WV	Randolph County	54083	1
2012	WV	Randolph County	54083	1
2008	WV	Lewis County	54041	1
2007	WV	Lewis County	54041	1
2006	WV	Lewis County	54041	1
2012	WV	Grant County	54023	1
2010	WV	Grant County	54023	1
2007	WV	Randolph County	54083	1
2014	WV	Preston County	54077	1
2014	WV	Randolph County	54083	1
2008	WV	Grant County	54023	1
2009	WV	Grant County	54023	1
2013	WV	Preston County	54077	1
2014	WV	Pendleton County	54071	1
2007	WV	Grant County	54023	1
2012	WV	Pendleton County	54071	1
2013	WV	Randolph County	54083	1
2011	WV	Grant County	54023	1
2007	WV	Pendleton County	54071	1
2006	WV	Grant County	54023	1
2011	WV	Preston County	54077	1
2012	WV	Preston County	54077	1
2005	WV	Grant County	54023	1
2013	WV	Pendleton County	54071	1
2010	WV	Preston County	54077	1
2009	WV	Pendleton County	54071	1
2011	WV	Pocahontas County	54075	1
2009	WV	Preston County	54077	1
2010	WV	Pendleton County	54071	1
2006	WV	Randolph County	54083	1
2010	WV	Pocahontas County	54075	1
2008	WV	Preston County	54077	1
2005	WV	Randolph County	54083	1
2007	WV	Preston County	54077	1
2014	WV	Tucker County	54093	1
2009	WV	Pocahontas County	54075	1
2011	WV	Pendleton County	54071	1
2006	WV	Preston County	54077	1
2008	WV	Pocahontas County	54075	1
2014	WV	Mingo County	54059	1
2012	WV	Tucker County	54093	1
2013	WV	Tucker County	54093	1
2013	WV	Mingo County	54059	1
2012	WV	Mingo County	54059	1
2005	WV	Preston County	54077	1
2011	WV	Mingo County	54059	1
2007	WV	Pocahontas County	54075	1
2010	WV	Mingo County	54059	1
2008	WV	Pendleton County	54071	1
2009	WV	Mingo County	54059	1
2006	WV	Pocahontas County	54075	1
2008	WV	Mingo County	54059	1
2007	WV	Mingo County	54059	1
2005	WV	Pocahontas County	54075	1
2006	WV	Mingo County	54059	1
2010	WV	Tucker County	54093	1
2005	WV	Mingo County	54059	1
2011	WV	Tucker County	54093	1
2007	WV	Tucker County	54093	1
2006	WV	Tucker County	54093	1
2009	WV	Tucker County	54093	1
2005	WV	Tucker County	54093	1
2008	WV	Tucker County	54093	1
