Year	State	FIPS	Commodity	type	Revenue
2004	MS	28001	Oil	Royalties	71762.11
2004	MS	28017	Gas	Royalties	15019.53
2004	MS	28023	Oil	Royalties	380.9
2004	MS	28031	Gas	Royalties	47.66
2004	MS	28031	Oil	Royalties	1107.52
2004	MS	28037	Oil	Royalties	454883.36
2004	MS	28045	Gas	Royalties	5.36
2004	MS	28045	Oil	Royalties	79.58
2004	MS	28061	Gas	Royalties	1584.52
2004	MS	28065	Oil & Gas	Other Roy Vals	400
2004	MS	28065	Gas	Royalties	2668.77
2004	MS	28065	Oil	Royalties	41.38
2004	MS	28067	Oil & Gas	Other Roy Vals	3000
2004	MS	28067	Gas	Royalties	22785.69
2004	MS	28067	Oil	Royalties	22307
2004	MS	28067	Oil	Royalties	883.09
2004	MS	28073	Oil	Royalties	-10426.72
2004	MS	28077	Gas	Royalties	519.44
2004	MS	28077	Oil	Royalties	25.18
2004	MS	28087	Gas	Royalties	88485.42
2004	MS	28089	Oil & Gas	Other Revenues	483
2004	MS	28095	Gas	Royalties	2115.5
2004	MS	28109	Gas	Royalties	25972.02
2004	MS	28109	Oil	Royalties	21616.7
2004	MS	28111	Oil	Royalties	577079.29
2004	MS	28111	Oil	Royalties	42727.58
2004	MS	28123	Oil	Royalties	23968.67
2004	MS	28131	Gas	Royalties	71848.77
2004	MS	28153	Gas	Royalties	331.37
2004	MS	28153	Gas	Royalties	960.63
2004	MS	28153	Oil	Royalties	355437.92
2004	MS	28157	Gas	Royalties	108082.35
2004	MS	28157	Gas	Royalties	-3317.13
2004	MS	28157	Oil	Royalties	-2574.25
2004	MS	28157	Oil	Royalties	59073.93
2005	MS	28001	Oil	Royalties	77073.93
2005	MS	28017	Oil & Gas	Other Revenues	908
2005	MS	28017	Gas	Royalties	28653.36
2005	MS	28023	Oil	Royalties	291.96
2005	MS	28031	Gas	Royalties	216.82
2005	MS	28031	Oil	Royalties	1735.6
2005	MS	28035	Gas	Royalties	68623.82
2005	MS	28035	Gas	Royalties	97706.16
2005	MS	28035	Oil	Royalties	43236.46
2005	MS	28035	Oil	Royalties	5706.52
2005	MS	28037	Oil	Royalties	584045.37
2005	MS	28045	Oil & Gas	Other Revenues	-2536.25
2005	MS	28045	Gas	Royalties	6.53
2005	MS	28061	Gas	Royalties	8067.54
2005	MS	28061	Oil	Royalties	26.72
2005	MS	28065	Gas	Royalties	2658.71
2005	MS	28065	Oil	Royalties	23.86
2005	MS	28067	Oil & Gas	Other Roy Vals	-3000
2005	MS	28067	Gas	Royalties	25797.29
2005	MS	28067	Oil	Royalties	20838.05
2005	MS	28073	Oil	Royalties	40390.62
2005	MS	28077	Gas	Royalties	199.22
2005	MS	28077	Oil	Royalties	18.16
2005	MS	28087	Gas	Royalties	141718.15
2005	MS	28087	Oil	Royalties	2925.85
2005	MS	28089	Oil & Gas	Other Revenues	483
2005	MS	28095	Gas	Royalties	2140.75
2005	MS	28109	Gas	Royalties	25528.66
2005	MS	28109	Oil	Royalties	33448.09
2005	MS	28111	Oil	Royalties	51053.58
2005	MS	28111	Oil	Royalties	578586.32
2005	MS	28123	Oil	Royalties	72103.43
2005	MS	28131	Gas	Royalties	97980.58
2005	MS	28153	Oil	Royalties	426417.6
2005	MS	28157	Gas	Royalties	49583.91
2005	MS	28157	Oil	Royalties	47835.9
2006	MS	28001	Oil	Royalties	99179.47
2006	MS	28017	Oil & Gas	Other Revenues	908
2006	MS	28017	Gas	Royalties	46787.7
