Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	1588.12
2005	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	1201.44
2006	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	438.62
2007	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	572.82
2008	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	410.12
2009	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	1461.33
2010	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	4407.67
2011	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	2189.97
2012	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	2777.46
2013	IN	Gibson	18051	Oil	Oil (bbl)	Royalties	1334.7
