Year	State	County	FIPS	Volume
2012	NY	Steuben County	36101	1
2011	NY	Steuben County	36101	1
2010	NY	Steuben County	36101	1
2009	NY	Steuben County	36101	1
2006	NY	Steuben County	36101	1
2007	NY	Steuben County	36101	1
2008	NY	Steuben County	36101	1
2005	NY	Steuben County	36101	1
2014	NY	Seneca County	36099	1
2013	NY	Seneca County	36099	1
2012	NY	Seneca County	36099	1
2010	NY	Seneca County	36099	1
2011	NY	Seneca County	36099	1
2008	NY	Chautauqua County	36013	1
2007	NY	Seneca County	36099	1
2009	NY	Seneca County	36099	1
2006	NY	Seneca County	36099	1
2008	NY	Seneca County	36099	1
2005	NY	Seneca County	36099	1
2007	NY	Chautauqua County	36013	1
2006	NY	Chautauqua County	36013	1
2014	NY	Chautauqua County	36013	1
2009	NY	Chautauqua County	36013	1
2010	NY	Chautauqua County	36013	1
2011	NY	Chautauqua County	36013	1
2013	NY	Chautauqua County	36013	1
2005	NY	Chautauqua County	36013	1
2012	NY	Chautauqua County	36013	1
