Month,Calendar Year,Land Class,Land Category,Commodity,Volume
November,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,512,947 "
November,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,153,188 "
November,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,890,411 "
November,2008,Native American,Onshore,Oil Prod Vol (bbl)," 1,006,857 "
December,2008,Federal,Offshore,Gas Prod Vol (mcf)," 182,831,320 "
December,2008,Federal,Offshore,Oil Prod Vol (bbl)," 39,381,348 "
December,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,493,994 "
December,2008,Federal,Onshore,Gas Prod Vol (mcf)," 339,557,281 "
December,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,617,004 "
December,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,125,407 "
December,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,914,074 "
December,2008,Native American,Onshore,Oil Prod Vol (bbl)," 1,008,216 "
January,2009,Federal,Offshore,Gas Prod Vol (mcf)," 203,532,279 "
January,2009,Federal,Offshore,Oil Prod Vol (bbl)," 41,968,432 "
January,2009,Federal,Onshore,Coal Prod Vol (ton)," 40,936,177 "
January,2009,Federal,Onshore,Gas Prod Vol (mcf)," 344,858,141 "
January,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,742,915 "
January,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,052,390 "
January,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,814,199 "
January,2009,Native American,Onshore,Oil Prod Vol (bbl)," 991,103 "
February,2009,Federal,Offshore,Gas Prod Vol (mcf)," 191,727,944 "
February,2009,Federal,Offshore,Oil Prod Vol (bbl)," 39,008,618 "
February,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,145,606 "
February,2009,Federal,Onshore,Gas Prod Vol (mcf)," 317,369,449 "
February,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,020,179 "
February,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,804,533 "
February,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,261,845 "
February,2009,Native American,Onshore,Oil Prod Vol (bbl)," 927,028 "
March,2009,Federal,Offshore,Gas Prod Vol (mcf)," 213,188,631 "
