Fiscal Year,Land Category,Land Class,State,County,FIPS Code,Offshore Region,Product, Volume 
2003,Offshore,Federal,,,,Offshore Alaska,Oil (bbl)," 3,626,044 "
2003,Offshore,Federal,,,,Offshore Alaska,Gas (mcf)," 11,455,234 "
2003,Offshore,Federal,,,,Offshore Gulf,Oil (bbl)," 555,614,297 "
2003,Offshore,Federal,,,,Offshore Gulf,Gas (mcf)," 4,432,757,167 "
2003,Offshore,Federal,,,,Offshore Pacific,Oil (bbl)," 30,685,447 "
2003,Offshore,Federal,,,,Offshore Pacific,Gas (mcf)," 62,738,248 "
2003,Offshore,Federal,LA,Central Gulf of Mexico,,,Salt (tons)," 24,551 "
2003,Onshore,Federal,AK,Kenai Peninsula Borough,02122,,Oil (bbl)," 525,460 "
2003,Onshore,Federal,AK,Kenai Peninsula Borough,02122,,Gas (mcf)," 52,586,893 "
2003,Onshore,Federal,AL,Baldwin County,01003,,Oil (bbl), 9 
2003,Onshore,Federal,AL,Baldwin County,01003,,Gas (mcf)," 91,425 "
2003,Onshore,Federal,AL,Bibb County,01007,,Clay (tons)," 58,434 "
2003,Onshore,Federal,AL,Choctaw County,01023,,Oil (bbl), 110 
2003,Onshore,Federal,AL,Covington County,01039,,Oil (bbl)," 287,414 "
2003,Onshore,Federal,AL,Escambia County,01053,,Gas (mcf)," 2,387 "
2003,Onshore,Federal,AL,Escambia County,01053,,Oil (bbl)," 18,004 "
2003,Onshore,Federal,AL,Fayette County,01057,,Gas (mcf)," 4,770 "
2003,Onshore,Federal,AL,Lamar County,01075,,Oil (bbl)," 1,882 "
2003,Onshore,Federal,AL,Lamar County,01075,,Gas (mcf)," 4,381 "
2003,Onshore,Federal,AL,Mobile County,01097,,Oil (bbl)," 6,599 "
2003,Onshore,Federal,AL,Mobile County,01097,,Gas (mcf)," 41,000,152 "
2003,Onshore,Federal,AL,Tuscaloosa County,01125,,Gas (mcf)," 636,888 "
2003,Onshore,Federal,AR,Columbia County,05027,,Oil (bbl), 121 
2003,Onshore,Federal,AR,Columbia County,05027,,Gas (mcf)," 9,270 "
2003,Onshore,Federal,AR,Crawford County,05033,,Gas (mcf)," 133,032 "
2003,Onshore,Federal,AR,Franklin County,05047,,Gas (mcf)," 344,190 "
2003,Onshore,Federal,AR,Johnson County,05071,,Gas (mcf)," 943,998 "
2003,Onshore,Federal,AR,Logan County,05083,,Gas (mcf)," 174,093 "
2003,Onshore,Federal,AR,Montgomery County,05097,,Quartz Crystal (tickets/pounds)," 1,928 "
2003,Onshore,Federal,AR,Pope County,05115,,Gas (mcf)," 27,214 "
2003,Onshore,Federal,AR,Sebastian County,05131,,Gas (mcf)," 4,705,812 "
2003,Onshore,Federal,AR,Sharp County,05135,,Gas (mcf)," 38,889 "
2003,Onshore,Federal,AR,Yell County,05149,,Gas (mcf)," 295,909 "
2003,Onshore,Federal,CA,Contra Costa County,06013,,Gas (mcf)," 1,012 "
2003,Onshore,Federal,CA,Fresno County,06019,,Oil (bbl)," 45,763 "
2003,Onshore,Federal,CA,Fresno County,06019,,Gas (mcf)," 708,106 "
2003,Onshore,Federal,CA,Glenn County,06021,,Gas (mcf)," 12,704 "
2003,Onshore,Federal,CA,Imperial County,06025,,"Geothermal - Electrical Generation, Other"," 210,150 "
2003,Onshore,Federal,CA,Imperial County,06025,,"Geothermal - Electrical Generation, Kilowatt Hours"," 375,672,000 "
2003,Onshore,Federal,CA,Inyo County,06027,,"Geothermal - Electrical Generation, Kilowatt Hours"," 577,935,285 "
2003,Onshore,Federal,CA,Kern County,06029,,Gas (mcf)," 1,548,610 "
2003,Onshore,Federal,CA,Kern County,06029,,Oil (bbl)," 14,497,221 "
2003,Onshore,Federal,CA,Kings County,06031,,Oil (bbl)," 31,976 "
2003,Onshore,Federal,CA,Kings County,06031,,Gas (mcf)," 158,559 "
2003,Onshore,Federal,CA,Lake County,06033,,"Geothermal - Electrical Generation, Thousands of Pounds"," 23,398,882 "
2003,Onshore,Federal,CA,Lassen County,06035,,"Geothermal - Direct Utilization, Millions of BTUs"," 275,711 "
2003,Onshore,Federal,CA,Los Angeles County,06037,,Gas (mcf)," 128,594 "
2003,Onshore,Federal,CA,Los Angeles County,06037,,Oil (bbl)," 716,024 "
2003,Onshore,Federal,CA,Mono County,06051,,"Geothermal - Electrical Generation, Kilowatt Hours"," 105,039,825 "
2003,Onshore,Federal,CA,Monterey County,06053,,Gas (mcf)," 1,510 "
2003,Onshore,Federal,CA,Monterey County,06053,,Oil (bbl)," 5,235 "
2003,Onshore,Federal,CA,Sacramento County,06067,,Oil (bbl)," 3,657 "
2003,Onshore,Federal,CA,Sacramento County,06067,,Gas (mcf)," 4,687,074 "
2003,Onshore,Federal,CA,San Benito County,06069,,Gas (mcf), 25 
2003,Onshore,Federal,CA,San Benito County,06069,,Oil (bbl)," 1,567 "
2003,Onshore,Federal,CA,San Bernardino County,06071,,Borax-Anhydrous (tons), 206 
2003,Onshore,Federal,CA,San Bernardino County,06071,,Borax-Pentahydrate (tons)," 8,001 "
2003,Onshore,Federal,CA,San Bernardino County,06071,,Borax-Decahydrate (tons)," 8,791 "
2003,Onshore,Federal,CA,San Bernardino County,06071,,Boric Acid (tons)," 18,828 "
2003,Onshore,Federal,CA,San Bernardino County,06071,,Salt (tons)," 25,357 "
2003,Onshore,Federal,CA,San Bernardino County,06071,,Anhydrous Sodium Sulfate (tons)," 169,750 "
2003,Onshore,Federal,CA,San Bernardino County,06071,,Soda Ash (tons)," 813,171 "
2003,Onshore,Federal,CA,San Joaquin County,06077,,Gas (mcf)," 5,114 "
2003,Onshore,Federal,CA,San Luis Obispo County,06079,,Gas (mcf)," 4,106 "
2003,Onshore,Federal,CA,San Luis Obispo County,06079,,Oil (bbl)," 13,972 "
2003,Onshore,Federal,CA,Santa Barbara County,06083,,Oil (bbl)," 134,956 "
2003,Onshore,Federal,CA,Santa Barbara County,06083,,Gas (mcf)," 264,624 "
2003,Onshore,Federal,CA,Solano County,06095,,Oil (bbl)," 15,793 "
2003,Onshore,Federal,CA,Solano County,06095,,Gas (mcf)," 18,378,333 "
2003,Onshore,Federal,CA,Sonoma County,06097,,"Geothermal - Electrical Generation, Thousands of Pounds"," 28,622,239 "
2003,Onshore,Federal,CA,Ventura County,06111,,Oil (bbl)," 340,278 "
2003,Onshore,Federal,CA,Ventura County,06111,,Gas (mcf)," 809,339 "
2003,Onshore,Federal,CO,Arapahoe County,08005,,Gas (mcf), 23 
2003,Onshore,Federal,CO,Arapahoe County,08005,,Oil (bbl), 23 
2003,Onshore,Federal,CO,Archuleta County,08007,,Gas (mcf)," 3,077,733 "
2003,Onshore,Federal,CO,Baca County,08009,,Oil (bbl)," 48,994 "
2003,Onshore,Federal,CO,Baca County,08009,,Gas (mcf)," 98,744 "
2003,Onshore,Federal,CO,Bent County,08011,,Oil (bbl), 25 
2003,Onshore,Federal,CO,Bent County,08011,,Gas (mcf)," 54,950 "
2003,Onshore,Federal,CO,Broomfield County,08014,,Gas (mcf), 8 
2003,Onshore,Federal,CO,Cheyenne County,08017,,Oil (bbl)," 39,587 "
2003,Onshore,Federal,CO,Cheyenne County,08017,,Gas (mcf)," 281,904 "
2003,Onshore,Federal,CO,Delta County,08029,,Oil (bbl), 40 
2003,Onshore,Federal,CO,Delta County,08029,,Gas (mcf)," 62,762 "
2003,Onshore,Federal,CO,Delta County,08029,,Coal (tons)," 4,782,467 "
2003,Onshore,Federal,CO,Dolores County,08033,,Oil (bbl)," 39,307 "
2003,Onshore,Federal,CO,Dolores County,08033,,Gas (mcf)," 101,106,948 "
2003,Onshore,Federal,CO,Fremont County,08043,,Oil (bbl), 46 
2003,Onshore,Federal,CO,Garfield County,08045,,Oil (bbl)," 116,081 "
2003,Onshore,Federal,CO,Garfield County,08045,,Coal (tons)," 290,958 "
2003,Onshore,Federal,CO,Garfield County,08045,,Gas (mcf)," 39,950,450 "
2003,Onshore,Federal,CO,Gunnison County,08051,,Oil (bbl), 310 
2003,Onshore,Federal,CO,Gunnison County,08051,,Gas (mcf)," 103,095 "
2003,Onshore,Federal,CO,Gunnison County,08051,,Coal (tons)," 8,151,046 "
2003,Onshore,Federal,CO,Huerfano County,08055,,Gas (mcf)," 14,390,665 "
2003,Onshore,Federal,CO,Jackson County,08057,,Oil (bbl)," 123,788 "
2003,Onshore,Federal,CO,Jackson County,08057,,Gas (mcf)," 640,829 "
2003,Onshore,Federal,CO,Kiowa County,08061,,Oil (bbl)," 2,083 "
2003,Onshore,Federal,CO,Kiowa County,08061,,Gas (mcf)," 12,683 "
2003,Onshore,Federal,CO,Kit Carson County,08063,,Oil (bbl), 31 
2003,Onshore,Federal,CO,Kit Carson County,08063,,Gas (mcf), 43 
2003,Onshore,Federal,CO,La Plata County,08067,,Oil (bbl), 72 
2003,Onshore,Federal,CO,La Plata County,08067,,Coal (tons)," 292,546 "
2003,Onshore,Federal,CO,La Plata County,08067,,Gas (mcf)," 12,699,627 "
2003,Onshore,Federal,CO,Larimer County,08069,,Gas (mcf), 348 
2003,Onshore,Federal,CO,Larimer County,08069,,Oil (bbl)," 1,292 "
2003,Onshore,Federal,CO,Las Animas County,08071,,Gas (mcf)," 2,073,823 "
2003,Onshore,Federal,CO,Logan County,08075,,Oil (bbl), 860 
2003,Onshore,Federal,CO,Logan County,08075,,Gas (mcf)," 1,440 "
2003,Onshore,Federal,CO,Mesa County,08077,,Oil (bbl)," 1,820 "
2003,Onshore,Federal,CO,Mesa County,08077,,Gas (mcf)," 6,334,847 "
2003,Onshore,Federal,CO,Moffat County,08081,,Oil (bbl)," 251,979 "
