Month,Calendar Year,Land Class,Land Category,Revenue Type,Commodity, Revenue ,,
February,2008,Federal,Onshore,Royalties,Oil," $83,591,950.49 ",,
February,2008,Federal,Onshore,Royalties,Other Products," $7,939,332.21 ",,
February,2008,Federal,,Civil Penalties,," $865,250.00 ",,
February,2008,Federal,,Other Revenues,," $(21,831.75)",,
February,2008,Native American,Onshore,Other Revenues,Coal," $(73,729.60)",,
February,2008,Native American,Onshore,Other Revenues,Copper," $600,000.00 ",,
February,2008,Native American,Onshore,Other Revenues,Gas," $9,716.95 ",,
February,2008,Native American,Onshore,Other Revenues,NGL," $4,056.74 ",,
February,2008,Native American,Onshore,Other Revenues,Oil," $(10,385.09)",,
February,2008,Native American,Onshore,Other Revenues,Oil & Gas," $251,516.66 ",,
February,2008,Native American,Onshore,Other Revenues,Sand & Gravel," $3,300.00 ",,
February,2008,Native American,Onshore,Rents,Oil & Gas," $98,901.60 ",,
February,2008,Native American,Onshore,Rents,Sand & Gravel, $541.66 ,,
February,2008,Native American,Onshore,Royalties,Coal," $5,994,588.09 ",,
February,2008,Native American,Onshore,Royalties,Gas," $17,923,552.71 ",,
February,2008,Native American,Onshore,Royalties,NGL," $1,603,684.27 ",,
February,2008,Native American,Onshore,Royalties,Oil," $10,081,633.01 ",,
February,2008,Native American,Onshore,Royalties,Other Products," $515,072.79 ",,
March,2008,Federal,Offshore,Bonus,Oil & Gas," $935,646,488.00 ",,
March,2008,Federal,Offshore,Other Revenues,Gas," $26,081.33 ",,
March,2008,Federal,Offshore,Other Revenues,NGL, $926.15 ,,
March,2008,Federal,Offshore,Other Revenues,Oil," $290,476.33 ",,
March,2008,Federal,Offshore,Other Revenues,Oil & Gas," $3,374,358.83 ",,
March,2008,Federal,Offshore,Rents,Oil & Gas," $9,658,983.76 ",,
March,2008,Federal,Offshore,Royalties,Gas," $265,565,366.83 ",,
March,2008,Federal,Offshore,Royalties,NGL," $30,621,581.20 ",,
March,2008,Federal,Offshore,Royalties,Oil," $381,612,118.46 ",,
March,2008,Federal,Offshore,Royalties,Other Products," $12,012.63 ",,
March,2008,Federal,Onshore,Bonus,Coal," $2,000.00 ",,
March,2008,Federal,Onshore,Bonus,Oil & Gas," $27,609,244.50 ",,
March,2008,Federal,Onshore,Bonus,Potassium," $787,103.75 ",,
March,2008,Federal,Onshore,Other Revenues,Coal," $(8,228.32)",,
March,2008,Federal,Onshore,Other Revenues,Garnet, $240.00 ,,
March,2008,Federal,Onshore,Other Revenues,Gas," $3,477.83 ",,
March,2008,Federal,Onshore,Other Revenues,Geothermal," $2,888.96 ",,
March,2008,Federal,Onshore,Other Revenues,Gilsonite," $3,901.72 ",,
March,2008,Federal,Onshore,Other Revenues,Hardrock," $20,406.00 ",,
March,2008,Federal,Onshore,Other Revenues,Oil & Gas," $8,176,401.81 ",,
March,2008,Federal,Onshore,Other Revenues,Phosphate," $7,093.00 ",,
March,2008,Federal,Onshore,Other Revenues,Potassium," $10,327.30 ",,
March,2008,Federal,Onshore,Other Revenues,Sodium," $20,209.15 ",,
March,2008,Federal,Onshore,Rents,Coal," $147,292.51 ",,
March,2008,Federal,Onshore,Rents,Garnet, $80.00 ,,
March,2008,Federal,Onshore,Rents,Geothermal," $21,014.00 ",,
March,2008,Federal,Onshore,Rents,Gilsonite, $638.00 ,,
March,2008,Federal,Onshore,Rents,Hardrock," $7,161.00 ",,
March,2008,Federal,Onshore,Rents,Oil & Gas," $3,546,287.21 ",,
March,2008,Federal,Onshore,Rents,Phosphate," $3,039.00 ",,
March,2008,Federal,Onshore,Rents,Potassium," $(1,409.75)",,
March,2008,Federal,Onshore,Rents,Sodium," $(6,163.93)",,
March,2008,Federal,Onshore,Royalties,Coal," $57,453,065.68 ",,
March,2008,Federal,Onshore,Royalties,Gas," $174,196,278.70 ",,
March,2008,Federal,Onshore,Royalties,NGL," $15,348,955.92 ",,
March,2008,Federal,Onshore,Royalties,Oil," $74,699,951.15 ",,
March,2008,Federal,Onshore,Royalties,Other Products," $8,863,040.73 ",,
March,2008,Federal,,Civil Penalties,," $433,677.00 ",,
March,2008,Federal,,Other Revenues,," $(167,927.92)",,
March,2008,Native American,Onshore,Other Revenues,Gas," $1,537.38 ",,
March,2008,Native American,Onshore,Other Revenues,NGL," $2,182.57 ",,
March,2008,Native American,Onshore,Other Revenues,Oil," $(18,070.20)",,
March,2008,Native American,Onshore,Other Revenues,Oil & Gas," $515,875.15 ",,
March,2008,Native American,Onshore,Other Revenues,Sand & Gravel," $1,666.67 ",,
March,2008,Native American,Onshore,Rents,Copper," $16,720.00 ",,
March,2008,Native American,Onshore,Rents,Gypsum, $15.00 ,,
March,2008,Native American,Onshore,Rents,Oil & Gas," $108,995.99 ",,
March,2008,Native American,Onshore,Rents,Sand & Gravel, $541.66 ,,
March,2008,Native American,Onshore,Royalties,Coal," $5,303,145.47 ",,
March,2008,Native American,Onshore,Royalties,Gas," $21,762,074.07 ",,
March,2008,Native American,Onshore,Royalties,NGL," $632,380.77 ",,
March,2008,Native American,Onshore,Royalties,Oil," $10,159,025.24 ",,
March,2008,Native American,Onshore,Royalties,Other Products," $316,749.67 ",,
March,2008,Native American,,Other Revenues,," $30,750.65 ",,
April,2008,Federal,Offshore,Bonus,Oil & Gas," $562,220,074.00 ",,
April,2008,Federal,Offshore,Other Revenues,Gas," $13,123.04 ",,
April,2008,Federal,Offshore,Other Revenues,NGL," $1,582.93 ",,
April,2008,Federal,Offshore,Other Revenues,Oil," $520,176.98 ",,
April,2008,Federal,Offshore,Other Revenues,Oil & Gas," $10,333,682.71 ",,
April,2008,Federal,Offshore,Other Revenues,Sulfur," $12,776.04 ",,
April,2008,Federal,Offshore,Rents,Oil & Gas," $21,362,363.00 ",,
April,2008,Federal,Offshore,Royalties,Gas," $240,885,671.11 ",,
April,2008,Federal,Offshore,Royalties,NGL," $21,019,807.95 ",,
April,2008,Federal,Offshore,Royalties,Oil," $346,569,622.50 ",,
April,2008,Federal,Offshore,Royalties,Other Products," $66,145.62 ",,
April,2008,Federal,Onshore,Bonus,Coal," $10,286,693.85 ",,
April,2008,Federal,Onshore,Bonus,Oil & Gas," $3,964,164.00 ",,
April,2008,Federal,Onshore,Other Revenues,Coal," $285,394.24 ",,
April,2008,Federal,Onshore,Other Revenues,Gas," $2,651.70 ",,
April,2008,Federal,Onshore,Other Revenues,Geothermal," $2,034.90 ",,
April,2008,Federal,Onshore,Other Revenues,Hardrock," $18,747.00 ",,
April,2008,Federal,Onshore,Other Revenues,Oil & Gas," $13,263,013.99 ",,
April,2008,Federal,Onshore,Other Revenues,Phosphate," $25,640.00 ",,
April,2008,Federal,Onshore,Other Revenues,Potassium," $(26,386.31)",,
April,2008,Federal,Onshore,Other Revenues,Sodium," $(20,697.51)",,
April,2008,Federal,Onshore,Rents,Coal," $59,163.39 ",,
April,2008,Federal,Onshore,Rents,Geothermal," $24,034.22 ",,
April,2008,Federal,Onshore,Rents,Hardrock," $3,098.00 ",,
April,2008,Federal,Onshore,Rents,Oil & Gas," $4,121,247.70 ",,
April,2008,Federal,Onshore,Rents,Phosphate," $(2,396.00)",,
April,2008,Federal,Onshore,Rents,Potassium," $1,160.00 ",,
April,2008,Federal,Onshore,Rents,Sodium," $10,244.00 ",,
April,2008,Federal,Onshore,Royalties,Coal," $60,262,488.96 ",,
April,2008,Federal,Onshore,Royalties,Gas," $227,196,940.85 ",,
April,2008,Federal,Onshore,Royalties,NGL," $30,223,151.92 ",,
April,2008,Federal,Onshore,Royalties,Oil," $89,629,598.57 ",,
April,2008,Federal,Onshore,Royalties,Other Products," $9,874,560.93 ",,
April,2008,Federal,,Civil Penalties,," $107,812.50 ",,
April,2008,Federal,,Other Revenues,," $(21,985.53)",,
April,2008,Native American,Onshore,Other Revenues,Coal," $1,221,712.07 ",,
April,2008,Native American,Onshore,Other Revenues,Copper," $450,000.00 ",,
April,2008,Native American,Onshore,Other Revenues,Gas," $4,002.29 ",,
April,2008,Native American,Onshore,Other Revenues,NGL," $3,731.51 ",,
