Reporting Companies	Royalties Government	Royalties Company	Royalties Variance $	Royalties Variance %	Rents Government	Rents Company	Rents Variance $	Rents Variance %	Bonus Government	Bonus Company	Bonus Variance $	Bonus Variance %	Other Revenue Government	Other Revenue Company	Other Revenue Variance $	Other Revenue Variance %	Offshore Inspection Fee Government	Offshore Inspection Fee Company	Offshore Inspection Fee Variance $	Offshore Inspection Fee Variance %	ONRR Civil Penalties Government	ONRR Civil Penalties Company	ONRR Civil Penalties Variance $	ONRR Civil Penalties Variance %	Bonus & 1st Year Rental Government	Bonus & 1st Year Rental Company	Bonus & 1st Year Rental Variance $	Bonus & 1st Year Rental Variance %	Permit Fees Government	Permit Fees Company	Permit Fees Variance $	Permit Fees Variance %	Renewables Government	Renewables Company	Renewables Variance $	Renewables Variance %	AML Fees Government	AML Fees Company	AML Fees Variance $	AML Fees Variance %	OSMRE Civil Penalties Government	OSMRE Civil Penalties Company	OSMRE Civil Penalties Variance $	OSMRE Civil Penalties Variance %	Corporate Income Tax Company
Continental Resources, Inc. 	 $36,469,094 	 DNP 	 N/A 	N/A	 $53,445 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $894,448 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $75,000 	 DNP 	 N/A 	N/A	 $513,875 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
Devon Energy Corporation	 $123,899,212 	 $122,681,650 	 $1,217,562 	0.98%	 $100,547 	 $116,024 	 $15,477 	15.39%	 $- 	 $- 	 $- 	0.00%	 $(429,734)	 $(373,041)	 $56,693 	13.19%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $1,183,360 	 $1,183,360 	 $- 	0.00%	 $1,508,440 	 $1,431,315 	 $77,125 	5.11%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 DNR 
Encana Corporation	 $38,655,206 	 DNP 	 N/A 	N/A	 $751,086 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $988,968 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $465,730 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
Energy XXI	 $76,505,994 	 DNP 	 N/A 	N/A	 $376,404 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $(223,365)	 DNP 	 N/A 	N/A	 $183,700 	 DNP 	 N/A 	N/A	 $75,000 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
ENI Petroleum	 $46,188,658 	 $46,204,386 	 $15,728 	0.03%	 $4,441,585 	 $4,464,090 	 $22,505 	0.51%	 $- 	 $- 	 $- 	0.00%	 $(1,849,312)	 $(1,885,211)	 $35,899 	1.94%	 $199,700 	 $199,700 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 
EOG Resources, Inc. 	 $51,206,351 	 DNP 	 N/A 	N/A	 $312,058 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $(1,368,502)	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $1,353,270 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
EPL Oil & Gas, Inc. 	 $71,094,372 	 DNP 	 N/A 	N/A	 $944,430 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $(6,686,008)	 DNP 	 N/A 	N/A	 $251,100 	 DNP 	 N/A 	N/A	 $190,000 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
ExxonMobil Corporation	 $245,256,815 	 $247,650,767 	 $2,393,952 	0.98%	 $10,187,493 	 $11,596,564 	 $1,409,071 	13.83%	 $52,950,650 	 $52,950,650 	 $- 	0.00%	 $14,920,601 	 $3,688,601 	 $11,232,000 	75.28%	 $541,000 	 $541,113 	 $113 	0.02%	 $75,000 	 $75,000 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $803,910 	 $803,910 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 DNR 
Fieldwood Energy LLC	 $237,439,549 	 DNP 	 N/A 	N/A	 $4,404,507 	 DNP 	 N/A 	N/A	 $1,330,704 	 DNP 	 N/A 	N/A	 $(12,341,727)	 DNP 	 N/A 	N/A	 $14,506,500 	 DNP 	 N/A 	N/A	 $1,727,000 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 N/A 
Freeport-McMoRan Inc.	 $151,167,910 	 $150,499,060 	 $668,850 	0.44%	 $4,515,203 	 $4,532,826 	 $17,623 	0.39%	 $41,808,040 	 $41,808,026 	 $14 	0.00%	 $1,100,708 	 $1,092,681 	 $8,027 	0.73%	 $3,401,600 	 $3,401,600 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $2,702,738 	 $2,733,772 	 $31,034 	1.15%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $(160,013,413)
Hess Corporation	 $121,879,024 	 $121,879,890 	 $866 	0.00%	 $2,289,484 	 $2,320,328 	 $30,844 	1.35%	 $8,292,948 	 $8,295,948 	 $3,000 	0.04%	 $461,116 	 $464,102 	 $2,986 	0.65%	 $398,500 	 $398,500 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $266,260 	 $266,260 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 DNR 
Jonah Energy LLC	 $57,211,659 	 DNP 	 N/A 	N/A	 $62,494 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $(4,716,108)	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $633,960 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
