Year	State	County	FIPS	Volume
2014	PA	Forest County	42053	2
2013	PA	Forest County	42053	2
2012	PA	Forest County	42053	2
2011	PA	Forest County	42053	2
2014	PA	Indiana County	42063	1
2012	PA	Indiana County	42063	1
2014	PA	Westmoreland County	42129	1
2010	PA	Indiana County	42063	1
2005	PA	Indiana County	42063	1
2013	PA	Indiana County	42063	1
2012	PA	Westmoreland County	42129	1
2011	PA	Indiana County	42063	1
2009	PA	Indiana County	42063	1
2006	PA	Indiana County	42063	1
2010	PA	Forest County	42053	2
2005	PA	Westmoreland County	42129	1
2009	PA	Forest County	42053	2
2008	PA	Indiana County	42063	1
2007	PA	Indiana County	42063	1
2010	PA	Westmoreland County	42129	1
2013	PA	Westmoreland County	42129	1
2006	PA	Westmoreland County	42129	1
2011	PA	Westmoreland County	42129	1
2009	PA	Westmoreland County	42129	1
2008	PA	Westmoreland County	42129	1
2007	PA	Westmoreland County	42129	1
